Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Agricultural and Food Economics,31 December 2013,https://link.springer.com/article/10.1186/2193-7532-1-17,Time preferences and health behaviour: a review,December 2013,Lydia Lawless,Andreas C Drichoutis,Rodolfo M Nayga Jr,Female,Male,Male,Mix,,
1.0,1.0,Agricultural and Food Economics,31 December 2013,https://link.springer.com/article/10.1186/2193-7532-1-16,"Changes in the technical and scale efficiency of rice production activities in the Mekong delta, Vietnam",December 2013,Diep Thanh Tung,,,,Unknown,Unknown,Mix,,
1.0,1.0,Agricultural and Food Economics,05 December 2013,https://link.springer.com/article/10.1186/2193-7532-1-15,Information and output in agricultural markets: the role of market transparency,December 2013,Christian Ahlers,Udo Broll,Bernhard Eckwert,Male,Male,Male,Male,"Markets for important food staples as grains and vegetable oils have seen a great deal of turmoil over the past decade. Particularly, uncertainty associated with price volatility negatively affects investment and production decisions by risk-averse farmers. An intuitive illustration is given by Figure1 that displays the FAO real monthly food as well as the respective cereals price index. The data shows that global food markets exhibited serious patterns of uncertainty over the past decade. FAO real food price indices. The FAO real food price index consists of the average of 5 commodity group (meat, dairy, cereals, oil, sugar) price indices weighted with the average export shares of each of the groups for 2002-2004. The cereals price index is compiled using the grains and rice price indices weighted by their average trade share 2002-2004. The Grains Price Index consists of International Grains Council (IGC) wheat price index and 1 maize export quotation. The Rice Price Index consists of 3 components containing average prices of 16 rice quotations: the components are Indica, Japonica and Aromatic rice varieties and the weights for combining the three components are assumed (fixed) trade shares of the three varieties. However, the role of technology adoption and adjustment of supply is of central importance with respect to securing adequate levels of agricultural production and achieving global food security. Consequently, recent studies stressed the role of market transparency and information flows for improving production decisions in agricultural markets (see UNCTAD2011). Thus, market transparency can be understood in terms of parameters that, at least partially, are under control of public and private agencies. Governmental and non-governmental organizations then may enhance transparency by providing a greater deal and more reliable information on important determinants of price movements, such as indicators of climate change, international market conditions, government price stabilization schemes, weather forecasts, disaster relief programs, stricter food safety standards, insurance and alternatives (UNCTAD2011). Against this background, the present study is concerned with the impact of changes in markets transparency on agricultural production levels. In particular, we study how the ex ante expected volume of agricultural production responds to additional information when information also affects the futures market for agricultural commodities. Earlier studies addressing this issue have modeled market transparency solely by means of exogenous changes in the distributional parameters of the market price. In such a framework, the futures market is completely separated from the underlying transparency concept (see Newbery and Stiglitz1981, Kawai and Zilcha1986, Frechette2000, Moschini and Hennessy2001, Allen and Lueck2003 as well as Hudson2007). In our view, this approach misses out an important link that exists between market transparency and risk-sharing opportunities on futures markets. In our model, we endogenize uncertainty through an information system provided by governmental and non-governmental organizations or related agencies that explicitly links market transparency to the terms of contracting on the futures market. The notion of market transparency underlying this approach is adopted from the work of Eckwert and Zilcha (2001,2003). Along the seminal contributions of Blackwell (1953) and Hirshleifer (1971), market transparency is linked to the informativeness of an observable signal which is (imperfectly) correlated with the future spot price. The uncertainty the farmer is exposed to then depends on the observed signal as well as on the information system within which the signal can be interpreted. We find that a higher degree of market transparency leads to higher expected profits but does not increase agricultural production levels per se. However, when we vary the prevailing risk-sharing regime such that farmers have no access to futures markets, transparency does increase ex ante expected utility and output. In particular, we consider a model where a farmer faces risky revenues due to a random product price. The distribution of the price is given and there exists a futures market (see, for example, Broll et al.2013). The terms at which the farmer can hedge the revenue risk through trade in futures contracts negatively depends on the degree of market transparency. Higher market transparency then affects the farmer’s production decision in two opposing ways. Firstly, price uncertainty declines and ex ante expected utility increases, resulting in higher production levels. Secondly, additional information on future market conditions may interfere with the operation of risk-sharing markets and thereby decrease ex ante expected utility and production levels. The paper is organized as follows. In section ‘Methods’, we introduce the model and our concepts of information and market transparency. Our main results are derived in section ‘Results and discussion’. Section ‘Conclusions’ concludes.",2
1.0,1.0,Agricultural and Food Economics,21 October 2013,https://link.springer.com/article/10.1186/2193-7532-1-13,"Understanding the process of adaptation to climate change by small-holder farmers: the case of east Hararghe Zone, Ethiopia",December 2013,Yibekal A Tessema,Chanyalew S Aweke,Getachew S Endris,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Agricultural and Food Economics,14 October 2013,https://link.springer.com/article/10.1186/2193-7532-1-12,Family farm business and access to rural development polices: a demographic perspective,December 2013,Luca Bartoli,Marcello De Rosa,,Male,Male,Unknown,Male,"The aim of this paper is to analyze funding strategies adopted by family farms with reference to rural development plans. More precisely, it looks into the influence of demographic variables on obtaining funds from the rural development policy: we define as “consumption of policy” the farm’s ability to obtain funds from rural development policies. A general characteristic of the agricultural sector in many European countries is the presence of an overlap between the productive and domestic spheres, that is farms’ strategies depend on the family situations (Jervell 1999. According to Gasson et al(1988), family farm businesses are related to situations where: 
the principals are related by kinship or marriage,
 
business ownership is usually combined with managerial control, and
 
control is passed from one generation to another within the same family.
 In this context, any boundary between productive and reproductive work in the farm household is artificial (Errington and Gasson 1993) and conditions farms’ strategies and aptitude to invest: the number of family members and localization in the life cycle could be relevant variables of influence. In a lot of cases, demographic transition, either vertical or oblique (Bergstrom 1996), is stimulated by policies aiming at favoring intergenerational transmission. Besides, other investments are necessary to maintain a farm’s profitability and its persistence over time. In order to cope with an even more competitive scenario and to secure a family farm’s resilience, a mix of strategies has to be carried out (Darnhofer 2010). Recent rural development polices make a set of instruments available in order to sustain farm competitiveness and to diversify agricultural income. The possibility to obtain funds is influenced by a set of constraints which, in many cases, reduce the consumption of policies. In this situation, an interesting field of analysis is the influence of demographic variables in accessing rural policies. After presenting a brief theoretical overview, the paper proposes an empirical test within an Italian region (Lazio), where the odds of gaining access to rural development policies will be examined through a logistic regression model. The paper sustains the hypothesis of differentiation in the access to policies, due to demographic factors in the composition of family farms. As Offutt (2002) points out, since farm households are demonstrably diverse, analysts would seem obliged to investigate hypotheses about differential response and impact. One of these differences concerns demographic variables: family contexts are particularly favorable to set up a farm venture (Jervell 2011): an abundant economic literature has emphasised the strict connection between farm household strategies and style of farming (among others, Whatmore, 1994), by demonstrating the persistency of family farms (Sabbatini 2011). Their ability to survive over time witnesses the relevance of F-connection1 in fostering lower levels of transaction costs and a higher aptitude to adapt (Ben-Porath 1980; Pollack 1985; Corsi 2009). Social approaches to this theme underline the relevance of non-profit decisions in maintaining farming activity (Kuehne et al2010). For example, some researchers emphasize the relevance of family identity in strengthening the links between the future and past family history (Burton, 2004). Furthermore, a sentimental attachment to the place (place dependence and place identity) reinforces the links between farmer and farming and delays the eventual decision to retire (Kuehne 2012). However, in many other cases financial constraints are determining factors, thus inducing the abandonment of activity. To avoid this, agricultural policy offers financial support to promote farm adjustments. Some authors have recently stressed the role of the Common Agricultural Policy in preserving small farms (Koutsou et al. 2011), through the process of the functional repositioning of agriculture, as a result of deepening, broadening and regrounding, and through the creation of rural webs (van der Ploeg and Marsden 2008). As a matter of fact, family farms are expected to play an important role even in the new scenario of “modern rurality” designed within the rural development policies (Abdelmalek, 2000). Family units are requested to face competitive challenges through the definition of farm strategies, which are generally overlapping with family strategies (Caillavet et al2005; Abdel 1997). In this context a relevant subject of analysis is related to the capabilities of gaining access to rural development policies, which contain a set of measures to sustain either farm competitiveness or diversification, along sectorial or territorial trajectories of development. This ability could be decreased both on the supply and the demand side. From the supply standpoint, a large literature taking origin from Downs (1957) work has demonstrated that deviations emerge in a context of public choice. As far as demand is concerned, collective action theories evidence the relevance of pressure groups in conditioning policy decisions (Olson 1965; Becker 1983)2. The impacts of agricultural policies on farms’ structural adjustments are analysed also within agent-based models (Balmann 1997; Albisser and Lehmann 2007; Balmann et al. 2003), which endogenise the importance of psychological and social factors which interfere in the farmer’s strategy definition. They are considered to be a useful tool to evaluate agricultural policy impact (Berger 2001; Happe 2004). More recent studies have emphasized the relevance of territory, social capital and socioeconomic farm characteristics in obtaining access to rural policies and fostering local rural development (Sabbatini, 2008; Meert et al., 2005; Marotta, 2007; Casieri et al., 2010). The inclination to adopt rural policy, that is to receive subsidies within the rural development framework, is variable and could depend on socio-demographic characteristics of the farm: family size, presence of young farmers and localization in the life cycle are influencing factors that should be examined in depth. As a matter of fact, consuming policy is a costly activity in terms of time spending and opportunity costs; in addition, informational asymmetries represent an important barrier to access. To overcome these obstacles, farmers have to improve their attention: neo-Austrian perspectives permit to get a better comprehension of the decision processes through the concept of entrepreneurial alertness (Kirzner 1973). In the Kirznerian perspective, the entrepreneur is characterised by the aim to increase profits: to this end, he or she must pay attention to opportunities. Kirzner (1997) makes reference to the concept of alertness to summarize the entrepreneur’s aptitude to take advantage of opportunities. Access to rural development policies becomes a way to support farm adjustments. The decision about consuming or not and about what measures are better to adopt could be influenced by demographic variables. As thoroughly demonstrated in literature, demographic variables are commonly recognized as explanatory factors influencing farm strategies: family composition and localization in the life cycle are determinants of different paths of development. What does the term demographic really mean? Should one refer to all the members of the family, or to the members effectively employed on the farm? Are there any differences if considering one or the other typology of family farms? Our paper sets in this context and aims at analysing the influence of demographic variables on the farm’s decision to adopt rural policies. By proposing a two-way classification of family farms, the hypothesis under analysis is that possible differences in the access to rural development policies could emerge. The research is conducted through interdisciplinary approaches which privilege a demographic perspective of analysis, where the fundamental elements are related to farm family traits. To this end, after a brief methodological note our analysis proposes an empirical test of the access to rural policies, within an Italian region (Lazio). The hypothesis under study is that family composition influences the consumption of policies.",5
1.0,1.0,Agricultural and Food Economics,09 October 2013,https://link.springer.com/article/10.1186/2193-7532-1-11,Determinants of sheep and goat meat consumption in Switzerland,December 2013,Matteo Aepli,Robert Finger,,Male,Male,Unknown,Male,"In Switzerland, there are currently almost 418,000 sheep and 82,000 goats. This production activity has a high importance especially for small-scale farms and part-time farming in Swiss agriculture (Aepli and Jörin 2011). About 20% of all Swiss farmers keep sheep or goats (SFSO 2012). The feeding system is mainly grassland based. Almost half of the sheep are grazing on summer pasture with increasing tendency during the last years (Kaulfers 2009). The production of these small ruminants contributes substantially to conservation of landscapes and diversity associated with Swiss and European agriculture (Dýrmundsson 2006). For instance, grazing of summer pastures prevents the natural regrowth of shrubs and forests (Herzog et al. 2009). Preventing this forest regrowth is of high societal and political interest because this is associated with negative impacts on biodiversity and the valuation of mountain landscapes by people (e.g., Gellrich et al. 2007; Hunziker et al. 2008). A recent investigation shows that this regrowth occurs particularly on steeper slopes and at higher elevations where cultivation costs are high and yield potential is low (Pellissier et al. 2012). These are, however, exactly the plots that are either only suitable for small ruminant grazing or where this land use implies the smallest costs of cultivating these areas (e.g., Dux et al. 2009). Thus, even though the consumption levels of sheep and goat meat are currently small (1.3 kg per capita for sheep and goat meat, Proviande 2012), small ruminants play a decisive role in Swiss agriculture. This role is determined by consumers’ decisions to buy sheep and goat meat.a Despite this relevance, there is no study that has addressed this question yet.b Switzerland as a high developed country is a particularly interesting case due to high production costs of farms for livestock and for crops on the one side (e.g., Lehmann et al. 2005; Lips et al. 2007; Raaflaub et al. 2005) and high purchase power of the consumers on the other side. Against this background, the goal of this article is to identify the determinants of sheep and goat meat consumption in Switzerland. Sheep and goat farming are under great pressure in Switzerland as well as in the whole of Europe because of a decreasing demand, high imports from Oceania and a price drop in some countries in the recent past (Boutonnet 1999; Proviande 2013; Aepli and Jörin 2011). An important reason for this consumption decline is the substitution with other types of meat like poultry and pork as well as fish (Dýrmundsson 2006; Jaquet et al.; 2000). Such substitution was also observed in Switzerland (Aepli and Jörin, 2011), where the consumer price for sheep meat increased by 30% since 2000, whereas the consumer price for poultry and fish has remained constant (SFSO, 2013). During the next years international competition will further increase and at the same time sheep and goat meat consumption may continue to decline (Dýrmundsson 2006; European Commission 2012). Therefore, the understanding of the determinants of demand is crucial for the European sheep and goat meat production. The analysis of Swiss demand will give some useful information for the whole European market. Following recent studies (Abdulai 2002; Gallet 2009; Jaquet et al. 2000), we focused our research on the following determinants affecting sheep and goat meat consumption: different meat prices (sheep and goat, beef, pork, chicken), fish price, total expenditure and expenditure for food, as well as households’ characteristics like the presence of children and education. In addition, we are also able to account for within-country cultural differences determined by language regions in Switzerland. Estimating the relevance of these determinants will contribute to a better understanding of the driving forces of demand and will provide an empirical base for marketing activities. We use data from the Swiss household expenditure survey covering monthly data for the period 2000-2005 with a total sample size of 20,940. Even though the use of detailed micro-data (i.e., highly disaggregated data with respect to time, product groups and households) is superior to other approaches (e.g., Akbay et al. 2007; Lazaridis 2003; Majumder et al. 2012; Thiele 2008), we face two major methodological challenges when analyzing this household expenditure survey data for sheep and goat meat. First, many households do not purchase this kind of meat every month leading to a large share of zero observations. Second, no direct price data are provided in our data set. To overcome these problems we combine recently proposed approaches to a) avoid selection biases associated with zero consumption using Tobit regressions (e.g., Ma et al. 2006; Yimer 2011), and b) we derive quality adjusted price levels at the household level using the approach proposed by Majumder et al. (2012) or regional market prices where available.",7
1.0,1.0,Agricultural and Food Economics,27 August 2013,https://link.springer.com/article/10.1186/2193-7532-1-10,Hawai‘i’s food consumption and supply sources: benchmark estimates and measurement issues,December 2013,Matthew K Loke,PingSun Leung,,Male,Unknown,Unknown,Male,"In the aftermath of the Great Recession of 2007–2009, public concern, interest, and debate on food security and food self-sufficiency has intensified in Hawai‘i and elsewhere in the United States. This concern is real and understandable, considering Hawai‘i’s geographic isolation in the Central Pacific Ocean, looming threats of global warming and climate change, and the 2008 food crisis, which showed serious vulnerabilities in the global food system. Hawai‘i’s supply of food, as it presently exists, is vulnerable to disruptions in the shipping chain, production fluctuations in the continental United States, severe weather conditions, and sudden spikes in the prices of food products, as well as higher prices for fuel, feed, fertilizers, and other agricultural “inputs.” During the 2008 food crisis, the surge in food price inflation worldwide was caused primarily by rising oil prices, depreciating U.S. dollar, increasing demand for biofuels, and export restrictions imposed by leading food producing countries (Heady and Fan 2008). In some quarters, there is a genuine desire to dissociate local food prices from the rising global oil price. In order to start a meaningful discussion on food security or food self-sufficiency in Hawai‘i, we must have a reasonably good assessment of the consumption level of food groups, the characteristics of food consumed, and its origins or supply sources. In 1937, H.H. Warner, then Director of the Agricultural Extension Service, Territory of Hawai‘i, wrote on the character and variety of foods consumed by people on the Islands. He described the unique situation in Hawai‘i: “Probably nowhere else in the world is there to be found a group of similar racial proportions with as distinctly varied diet habits, isolated from a large part of their natural food supply.”a While changing diets have evolved since then, including the creation of Euro-Asian cuisine and the Hawai‘i Regional Cuisine movement, Warner’s insightful comment is still valid and relevant today. At the current time, Hawai‘i lacks an established set of benchmark estimates on the availability of food for market consumption and its supply sources. This paper serves to fill that persistent gap in the existing literature and proposes to present available facts and a logical empirical methodology to establish definitive estimates on various food groups consumed from local and import sources. Hence, the two primary objectives in this paper are as follows: (1) map existing food supply flows and to determine the various levels of food consumption in Hawai‘i; and (2) suggest modified measures of food self-sufficiency and import dependency to provide a more accurate assessment on the extent of food localization in Hawai‘i. The amount of food consumed in Hawai‘i that is sourced from imports is not readily available. This deficiency is due to the difficulties in reconciling the various data sources on food imports and food expenditures. For example, interstate trade flow data are rather rudimentary, unlike customs data on foreign imports, which are fairly disaggregated. The problem is further complicated by the conversion of data consistently from the various sources to a common baseline in the supply chain (Leung and Loke 2008). Despite these challenges, various local studies have been conducted. A Rocky Mountain Institute study estimated the import share of food in the County of Hawai‘i at 85% (Page et al. 2007). Likewise, popular food system analyst, Ken Meter, estimated that more than 90% of Hawai‘i's food is imported (Halweil 2004). Later, the Ulupono Initiative estimated that Hawai‘i consumers spend only 8% of their food budget on locally grown food, while spending the rest on imports (Ulupono Initiative 2011). Then, the University of Hawai‘i at Hilo produced a Hawai‘i Island food self-sufficiency scorecard that estimated the percentage of locally produced food consumed by commodity group, ranging from 0% for grains to 95% for fresh milk (Melrose and Delparte 2012). Recently, the state planning office, in a report on “increased food security and food self-sufficiency strategy,” noted that 85–90% of Hawai‘i's food is imported (OP-DBEDT 2012). These estimates have been widely cited despite lingering questions about and critiques of their methodologies and estimated parameters. In comparison, the food self-sufficiency measure for the New England states is estimated at 27% in 1997 (Holm et al. 2000).",30
1.0,1.0,Agricultural and Food Economics,23 August 2013,https://link.springer.com/article/10.1186/2193-7532-1-9,Sustainability in the wine industry: key questions and research trendsa,December 2013,Cristina Santini,Alessio Cavicchi,Leonardo Casini,Female,Male,Male,Mix,,
1.0,1.0,Agricultural and Food Economics,21 August 2013,https://link.springer.com/article/10.1186/2193-7532-1-8,"Economic performance of small ruminant production in a protected area: a case study from Tell Ar-Rumman, a Mediterranean ecosystem in Jordan",December 2013,Khalid M Al-Khalidi,Amani A Alassaf,Raed J Al-Tabini,Male,Female,Male,Mix,,
1.0,1.0,Agricultural and Food Economics,20 August 2013,https://link.springer.com/article/10.1186/2193-7532-1-7,On the relationship between regional trade agreements and agricultural technology and productivity,December 2013,Pascal L Ghazalian,,,Male,Unknown,Unknown,Male,"Regional Trade Agreements (RTAs) represent a prominent feature of the current international trading system. For instance, the number of RTAs that have been reported to the World Trade Organization (WTO) exceeded 500 in 2012 (WTO, 2012). RTAs normally encompass reductions (or eliminations) of policy trade barriers (e.g., tariffs, non-tariff barriers) between member countries. Also, RTAs often bring about higher levels of business cooperation and trade facilitation measures (e.g., development of regional trade-enhancing infrastructure) between member countries that further promote intra-regional trade flows. RTAs are commonly associated with increases in intra-regional trade flows in agricultural productsa. Naturally, such increases in intra-regional trade would be accompanied with a rise in market competition levels, in domestic agricultural markets for producers in importing member countries and in foreign regional agricultural markets for producers in exporting member countries. The formation of an RTA is expected to generate various implications for agricultural technology and productivity in the importing and exporting member countries. This is because the formation of an RTA, which promotes intra-regional increases in agricultural trade flows, would eventually magnify market competition levels. In this context, several studies (e.g., Krugman, 1991; Frankel, 1997; Perdikis, 2007) noted that reductions in regional and bilateral trade barriers would not only decrease market prices, but would also compel firms in RTAs’ member countries to upgrade their production technologies and to realize more efficient uses of inputs. The RTA-induced intensification of market competition, realized through increases in import levels, could potentially provoke domestic firms in the agricultural sector to respond by upgrading their production technology and productivity levels to maintain or expand their domestic market shares vis-à-vis foreign regional exporting competitors. These potential responses are in accordance with many conventional studies indicating that increases in import competition levels would potentially induce domestic firms to upgrade their innovation activities (e.g., Pugel, 1978; Caves, 1985; Levinsohn, 1991). Furthermore, following the formation of a regional trading bloc, domestic firms in the agricultural sector become more exposed to foreign production technologies and practices. In this context, Josling (2011) noted that the formation of RTAs would promote flows of knowledge and technology between member countries, particularly from highly competitive agricultural sectors in some member countries to agricultural sectors in other member countries. This exposure to foreign knowledge and technology could generate supplementary incentives for domestic firms in the agricultural sector to invest in upgrading their production technologies and practices and realize the spillover effects. Alternatively, the formation of an RTA could lessen the incentives of domestic firms in the agricultural sector of importing member countries to implement technology and productivity upgrading policies. These implications could arguably occur since RTA-induced increases in imports would raise the market competition levels and, consequently, would lead to reductions in the price-to-cost margins. This situation could reduce the market share of domestic firms and the expected returns from technology and productivity upgrading investments, and from innovation activities in general (Aghion and Howitt, 1998; Funk, 2003; Ghazalian, 2012). RTA-induced increases in exporting activities would expose exporting firms in the agricultural sector of member countries to a more intense market competition in foreign regional agricultural markets, but also to new production technologies and practices. These exposures could potentially stimulate these exporting firms to upgrade their production technologies and productivity levels to further enhance their competitiveness in foreign regional markets and to realize the spillover effects. This argument is consistent with the seminal study on endogenous growth theory of Grossman and Helpman (1991) which identifies the positive effects of increases in exporting activities on innovation activities. Finally, the formation of a regional trading bloc generates larger effective agricultural markets for the exporting agricultural sectors of member countries. These larger agricultural markets could improve the feasibility of investments to upgrade agricultural technology and productivity. Lileeva and Trefler (2010) initially identified equivalent potential effects where larger effective regional markets would enhance the feasibility of investments in innovation activities. The analytical literature has paid little attention to adjustments in agricultural technology and productivity, which are typically associated with shifts in supply curves, when examining the effects of RTAs on agricultural trade and welfare through the conventional frameworks. This paper contributes to the literature by analyzing the implications of RTA-induced adjustments in agricultural technology and productivity for the effects of RTAs on agricultural trade and welfare. It investigates the relationship between RTAs and agricultural technology and productivity in the context of Viner’s (1950) conventional partial equilibrium framework with perfectly elastic foreign supply schedules faced by the importing member country. It also examines this relationship in the context of Pomfret’s (1986) extended partial equilibrium framework depicting upward-sloping foreign supply schedules for the importing member country. This paper shows changes in the initial benefits and losses from RTAs and depicts their redistributions following the RTA-induced adjustments in agricultural technology and productivity in the importing and exporting member countries. It is important to underscore the relevant study by Anania and McCalla (1995) that examined the implications of some domestic and trade policies, which are commonly used in developing countries, for the distribution of benefits from agricultural technology improvements. Using a partial equilibrium framework, Anania and McCalla (1995) identified different cases where policy interventions increase, reduce, or do not impact the overall benefits from agricultural technology improvements. Yet, in all cases, the distribution of benefits from agricultural technology improvements is found to be different with policy interventions.",3
