Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Asia-Pacific Journal of Regional Science,22 March 2017,https://link.springer.com/article/10.1007/s41685-017-0024-6,Message from the Editor-in-Chief,April 2017,Yoshiro Higano,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,07 February 2017,https://link.springer.com/article/10.1007/s41685-017-0004-x,A great event: regional scientific development in the Asia–Pacific region,April 2017,Zheng Wang,,,,Unknown,Unknown,Mix,,
1.0,1.0,Asia-Pacific Journal of Regional Science,24 February 2017,https://link.springer.com/article/10.1007/s41685-017-0019-3,Looking forward: the importance of the new Asia-Pacific Journal of Regional Science,April 2017,Jacques Poot,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,07 March 2017,https://link.springer.com/article/10.1007/s41685-017-0012-x,Timely launch of new journal,April 2017,Zhibiao Liu,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Asia-Pacific Journal of Regional Science,22 February 2017,https://link.springer.com/article/10.1007/s41685-017-0006-8,A challenging welcome to the new journal,April 2017,Jorge Serrano,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,02 March 2017,https://link.springer.com/article/10.1007/s41685-017-0021-9,Well begun is half done,April 2017,Euijune Kim,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Asia-Pacific Journal of Regional Science,15 March 2017,https://link.springer.com/article/10.1007/s41685-017-0018-4,New opportunity for dissemination of regional research results in the Asia-Pacific region,April 2017,Sarwar Jahan,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Asia-Pacific Journal of Regional Science,31 January 2017,https://link.springer.com/article/10.1007/s41685-017-0003-y,New journal for the worldwide regional science movement,April 2017,David A. Plane,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,17 February 2017,https://link.springer.com/article/10.1007/s41685-017-0015-7,Opportunities to share research to benefit emerging countries,April 2017,Charan Singh,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,22 February 2017,https://link.springer.com/article/10.1007/s41685-017-0016-6,Advancing regional science in the Asia-Pacific: new journal to play a key role,April 2017,John R. Madden,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,31 January 2017,https://link.springer.com/article/10.1007/s41685-017-0002-z,New opportunity for scholars,April 2017,Sunil Kanwar,,,,Unknown,Unknown,Mix,,
1.0,1.0,Asia-Pacific Journal of Regional Science,09 March 2017,https://link.springer.com/article/10.1007/s41685-017-0025-5,Words of congratulation from one side of the Pacific Rim to the other,April 2017,Rachel S. Franklin,,,Female,Unknown,Unknown,Female,,
1.0,1.0,Asia-Pacific Journal of Regional Science,10 February 2017,https://link.springer.com/article/10.1007/s41685-017-0010-z,Welcome to the Asia-Pacific Journal of Regional Science,April 2017,M. R. Narayana,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Asia-Pacific Journal of Regional Science,25 February 2017,https://link.springer.com/article/10.1007/s41685-017-0020-x,Big step of regional science in Latin America,April 2017,Patricio Aroca,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,24 February 2017,https://link.springer.com/article/10.1007/s41685-017-0011-y,Felicitations on the first international journal of regional science in the Asia Pacific regions,April 2017,Hirotada Kohno,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,14 February 2017,https://link.springer.com/article/10.1007/s41685-017-0008-6,Filling an important gap,April 2017,Alessandra Faggian,,,Female,Unknown,Unknown,Female,,
1.0,1.0,Asia-Pacific Journal of Regional Science,01 March 2017,https://link.springer.com/article/10.1007/s41685-017-0005-9,All’s well that “begins well”: congratulations on Asia-Pacific Journal of Regional Science!,April 2017,Yasuhiro Sakai,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,13 February 2017,https://link.springer.com/article/10.1007/s41685-017-0007-7,East meets west,April 2017,Peter Nijkamp,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,25 January 2017,https://link.springer.com/article/10.1007/s41685-017-0001-0,For the initiation of Asia-Pacific Journal of Regional Science: why it is potentially so important,April 2017,Kingsley E. Haynes,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,15 March 2017,https://link.springer.com/article/10.1007/s41685-017-0023-7,High time for a new journal with an Asian focus,April 2017,Roger R. Stough,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,22 February 2017,https://link.springer.com/article/10.1007/s41685-017-0017-5,Exciting times for regional scientists,April 2017,Peter Batey,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Asia-Pacific Journal of Regional Science,28 February 2017,https://link.springer.com/article/10.1007/s41685-017-0014-8,Factors shaping the economic landscape in today’s world,April 2017,Andrés Rodríguez-Pose,,,Male,Unknown,Unknown,Male,,
