Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299807,A new forum on the economic horizon,November 1973,John M. Virgo,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299808,America's Third Century in perspective,November 1973,James M. Buchanan,,,Male,Unknown,Unknown,Male,,12
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299809,Some proposals for a new methodology for economics,November 1973,Ralph W. Pfouts,,,Male,Unknown,Unknown,Male,,4
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299810,New developments in economics through the application of system dynamics,November 1973,Helmut Schuster,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299811,The economics of state subsidized pupil transportation programs and their impact on urban school finances and public transportation,November 1973,Marvin R. Brams,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299812,Adam smith on the Vietnam War,November 1973,Charles E. Staley,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299813,"First annual Atlantic Economic conference Virginia Commonwealth University September 28–29, 1973",November 1973,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299814,Abstracts,November 1973,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299815,Surreptitious transborder manpower: Its impact on domestic labor [813],November 1973,John M. Virgo,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299816,Book review,November 1973,Paul H. Kipps,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299881,On the liquidity effect of increasing reserve requirements,April 1974,Joseph Aschheim,,,Male,Unknown,Unknown,Male,,1
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299882,Choosing among alternative linear regression models,April 1974,Peter Schmidt,,,Male,Unknown,Unknown,Male,,3
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299883,Tax exempt property: A local illustration of a national problem,April 1974,James L. Cox,Mark A. Haskell,,Male,Male,Unknown,Male,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299884,Worker earnings in bituminous coal since mechanization,April 1974,John P. David,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299885,Market structure and the performance of large firms,April 1974,E. Barry Solomon,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299886,Working of the price mechanism in India,April 1974,Umesh C. Gulati,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299887,Non-market factors in Banks' short-term asset holdings,April 1974,William B. Harrison,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299888,Managerial perspectives of the shorter workweek in Georgia manufacturing firms,April 1974,Arthur G. Bedeian,Robert D. Coston,,Male,Male,Unknown,Male,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299889,A note on short-run and long-run competitive equilibria,April 1974,Edgar K. Browning,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299890,The relationship between the birth rate and female earnings [826],April 1974,Michael A. Spinelli,Dennis M. O'Toole,,Male,Male,Unknown,Male,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299891,The most economical way to go [850],April 1974,Richard B. McKenzie,,,Male,Unknown,Unknown,Male,,1
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299892,Book review,April 1974,J. William Hanlon,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299893,Atlantic economic society bylaws,April 1974,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Atlantic Economic Journal,,https://link.springer.com/article/10.1007/BF02299370,"Economist vs. legist, politician, bureaucrat",November 1974,Joseph J. Spengler,,,Male,Unknown,Unknown,Male,,
