Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
41,1,Business Economics,01 January 2006,https://link.springer.com/article/10.2145/20060101,Potential Growth of the U.S. Economy: Will the Productivity Resurgence Continue?,January 2006,Dale W Jorgenson,Mun S Ho,Kevin J Stiroh,,,Male,Mix,,
41,1,Business Economics,01 January 2006,https://link.springer.com/article/10.2145/20060102,Information Technology and the Data Jungle,January 2006,Rosemary D Marcuss,,,Female,Unknown,Unknown,Female,,
41,1,Business Economics,01 January 2006,https://link.springer.com/article/10.2145/20060103,Saving for Retirement: Understanding the Importance of Heterogeneity,January 2006,Andrew A Samwick,,,Male,Unknown,Unknown,Male,,13
41,1,Business Economics,01 January 2006,https://link.springer.com/article/10.2145/20060104,India and the Global Economy,January 2006,Beth Anne Wilson,Geoffrey N Keim,,Female,Male,Unknown,Mix,,
41,1,Business Economics,01 January 2006,https://link.springer.com/article/10.2145/20060105,Using Neural Nets to Forecast the Unemployment Rate,January 2006,Rolando F Peláez,,,Male,Unknown,Unknown,Male,,12
41,1,Business Economics,01 January 2006,https://link.springer.com/article/10.2145/20060106,A Chain-Type Price Index for New Business Jet Aircraft,January 2006,Dong W Cho,,,,Unknown,Unknown,Mix,,
41,1,Business Economics,01 January 2006,https://link.springer.com/article/10.2145/20060107,Regulatory Reform and the U.S. Manufacturing Sector,January 2006,Thomas A Hemphill,,,Male,Unknown,Unknown,Male,,
41,1,Business Economics,01 January 2006,https://link.springer.com/article/10.2145/20060108,Housing Costs in the CPI: What Are We Measuring?,January 2006,Joseph G Carson,David S Johnson,Charles Steindel,Male,Male,Male,Male,,5
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060201,Enhancing Fed Credibility,April 2006,Janet L Yellen,,,Female,Unknown,Unknown,Female,,8
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060202,Financing Retirement: The Private Sector,April 2006,David A Wise,,,Male,Unknown,Unknown,Male,,
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060203,Improving Incentives in Health Care Spending,April 2006,Katherine Baicker,,,Female,Unknown,Unknown,Female,,3
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060204,Subjective Probability Forecasts for Recessions,April 2006,Kajal Lahiri,J George Wang,,Female,Unknown,Unknown,Female,,14
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060205,The Unemployment Effects of Proposed Changes in Social Security's “Normal Retirement Age”,April 2006,Franklin A Michello,William F Ford,,Male,Male,Unknown,Male,,9
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060206,Whose Capital is It? Putting Owners Back in Control,April 2006,John Bogle,,,Male,Unknown,Unknown,Male,,
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060207,BJK Research LLC,April 2006,Bruce Kratofil,,,Male,Unknown,Unknown,Male,,
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060208,Employment Dynamics: BLS and Census Bureau Use Administrative Records to Provide New Data,April 2006,Robert P Parker,,,Male,Unknown,Unknown,Male,,1
41,2,Business Economics,01 April 2006,https://link.springer.com/article/10.2145/20060209,The U.S. Market for Power Lawn and Garden Equipment,April 2006,Michael A Deneen,Andrew C Gross,,Male,Male,Unknown,Male,,2
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060301,Private Equity Finance as a Growth Engine: What It Means for Emerging Markets,July 2006,Florence Eid,,,Female,Unknown,Unknown,Female,,5
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060302,Domestic Implications of a Global Labor Market,July 2006,John E Silvia,,,Male,Unknown,Unknown,Male,,4
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060303,A Temporary Tax Rebate in a Recession: Is it Effective and Safe?,July 2006,Laurence S Seidman,Kenneth A Lewis,,Female,Male,Unknown,Mix,,
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060304,When Will Social Security Shortfalls Begin to Pinch?,July 2006,Jerry H Tempelman,,,Male,Unknown,Unknown,Male,,
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060305,Consumer-Driven Health Plans: New Developments and the Long Road Ahead,July 2006,Richard M Scheffler,Mistique C Felton,,Male,Unknown,Unknown,Male,,3
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060306,"Medicaid, State Finances, and the Bottom Line for Businesses",July 2006,Louis F Rossiter,Randy F Neice,,Male,,Unknown,Mix,,
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060307,Modeling NABE Members' Compensation,July 2006,Peter Jaquette,,,Male,Unknown,Unknown,Male,,5
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060308,"MillicentCox, LLC",July 2006,Millicent Cox,,,Female,Unknown,Unknown,Female,,
41,3,Business Economics,01 July 2006,https://link.springer.com/article/10.2145/20060309,The Global Market for Power Tools,July 2006,Michael A Deneen,Andrew C Gross,,Male,Male,Unknown,Male,,6
41,4,Business Economics,01 October 2006,https://link.springer.com/article/10.2145/20060401,The Monetary Policy Model,October 2006,William Poole,,,Male,Unknown,Unknown,Male,,
41,4,Business Economics,01 October 2006,https://link.springer.com/article/10.2145/20060402,Reflections of a Professional Life-Long Fed Watcher,October 2006,Stuart G Hoffman,,,Male,Unknown,Unknown,Male,,
41,4,Business Economics,01 October 2006,https://link.springer.com/article/10.2145/20060403,Strengthening Globalization's Invisible Hand: What Matters Most?,October 2006,Thomas F Siems,Adam S Ratner,,Male,Male,Unknown,Male,,2
41,4,Business Economics,01 October 2006,https://link.springer.com/article/10.2145/20060404,Pricing of Mutual Fund Services in Retirement Plans: Evidence from Open-End Equity Funds,October 2006,Jacob De Rooy,,,Male,Unknown,Unknown,Male,,
41,4,Business Economics,01 October 2006,https://link.springer.com/article/10.2145/20060405,Productivity and Wages,October 2006,Edward P Lazear,,,Male,Unknown,Unknown,Male,,5
41,4,Business Economics,01 October 2006,https://link.springer.com/article/10.2145/20060406,Expected Future Budget Deficits and the U.S. Yield Curve,October 2006,Lloyd B Thomas,Danhua Wu,,Male,Unknown,Unknown,Male,,2
41,4,Business Economics,01 October 2006,https://link.springer.com/article/10.2145/20060407,Original Equipment Suppliers Association,October 2006,Dave Andrea,,,Male,Unknown,Unknown,Male,,
41,4,Business Economics,01 October 2006,https://link.springer.com/article/10.2145/20060408,Energy Information Administration Provides Extensive Data on Petroleum Supply and Demand Conditions,October 2006,Robert P Parker,,,Male,Unknown,Unknown,Male,,
42,1,Business Economics,01 January 2007,https://link.springer.com/article/10.2145/20070101,"U.S. International Deficits, Debt, and Income Payments: Key Relationships Affecting the International Outlook",January 2007,John Kitchen,,,Male,Unknown,Unknown,Male,,1
42,1,Business Economics,01 January 2007,https://link.springer.com/article/10.2145/20070102,Borrowing Without Debt? Understanding the U.S. International Investment Position,January 2007,Matthew Higgins,Thomas Klitgaard,Cédric Tille,Male,Male,Male,Male,,14
42,1,Business Economics,01 January 2007,https://link.springer.com/article/10.2145/20070103,The Valuation of Hidden Assets in Foreign Transactions: Why “Dark Matter” Matters,January 2007,Ricardo Hausmann,Federico Sturzenegger,,Male,Male,Unknown,Male,,3
42,1,Business Economics,01 January 2007,https://link.springer.com/article/10.2145/20070104,Financial Literacy and Retirement Preparedness: Evidence and Implications for Financial Education,January 2007,Annamaria Lusardi,Olivia S Mitchelli,,Female,Female,Unknown,Female,,744
42,1,Business Economics,01 January 2007,https://link.springer.com/article/10.2145/20070105,Does Prepayment Risk of Mortgages Affect Excess Returns of Bank Stocks?,January 2007,Ling T He,,,,Unknown,Unknown,Mix,,
42,1,Business Economics,01 January 2007,https://link.springer.com/article/10.2145/20070106,The Link Between Gasoline Prices and Vehicle Sales,January 2007,Walter McManus,,,Male,Unknown,Unknown,Male,,13
42,1,Business Economics,01 January 2007,https://link.springer.com/article/10.2145/20070107,Cost-Benefit Analysis: Regulatory Reform or Favoring the Regulated?,January 2007,Thomas A Hemphill,,,Male,Unknown,Unknown,Male,,
42,1,Business Economics,01 January 2007,https://link.springer.com/article/10.2145/20070108,Windows and Doors Around the World—The Global Market for Fenestration Products,January 2007,Kenneth Long,Andrew Gross,,Male,Male,Unknown,Male,,2
42,2,Business Economics,01 April 2007,https://link.springer.com/article/10.2145/20070201,Housing Activity and Consumer Spending,April 2007,Jonathan McCarthy,Charles Steindel,,Male,Male,Unknown,Male,,5
42,2,Business Economics,01 April 2007,https://link.springer.com/article/10.2145/20070202,Dynamic Adjustments in Transfer Pricing Agreements,April 2007,David Broomahll,,,Male,Unknown,Unknown,Male,,2
42,2,Business Economics,01 April 2007,https://link.springer.com/article/10.2145/20070203,The Propensity To Sue: Why Do People Seek Legal Actions?,April 2007,Fredrick C Dunbar,Faten Sabry,,Male,Female,Unknown,Mix,,
42,2,Business Economics,01 April 2007,https://link.springer.com/article/10.2145/20070204,"Consumer-Driven Healthcare: Information, Incentives, Enrollment, and Implications for National Health Expenditures",April 2007,Paul Hughes-Cromwick,Sarah Root,Charles Roehrig,Male,Female,Male,Mix,,
42,2,Business Economics,01 April 2007,https://link.springer.com/article/10.2145/20070205,New Dimensions of Financial Liberalization in Japan,April 2007,Masaharu Takenaka,,,Male,Unknown,Unknown,Male,,1
42,2,Business Economics,01 April 2007,https://link.springer.com/article/10.2145/20070206,New Monthly Hours and Earnings Measures from the Bureau of Labor Statistics' Current Employment Statistics Program,April 2007,Robert P Parker,,,Male,Unknown,Unknown,Male,,2
42,3,Business Economics,01 July 2007,https://link.springer.com/article/10.2145/20070301,The Changing Dynamics of Inflation,July 2007,Randall S Kroszner,,,Male,Unknown,Unknown,Male,,1
42,3,Business Economics,01 July 2007,https://link.springer.com/article/10.2145/20070302,The Competitiveness of European Financial Markets,July 2007,Gertrude Tumpel-Gugerell,,,Female,Unknown,Unknown,Female,,2
42,3,Business Economics,01 July 2007,https://link.springer.com/article/10.2145/20070303,Germany's Post-Wirtschaftswunder Struggle,July 2007,Jörg Decressin,,,Male,Unknown,Unknown,Male,,
42,3,Business Economics,01 July 2007,https://link.springer.com/article/10.2145/20070304,Demystifying Japan's Economic Recovery,July 2007,Jun Kurihara,,,,Unknown,Unknown,Mix,,
42,3,Business Economics,01 July 2007,https://link.springer.com/article/10.2145/20070305,Making Health Care More Affordable Through Health Insurance Finance Reform,July 2007,Katherine Baicker,,,Female,Unknown,Unknown,Female,,
42,3,Business Economics,01 July 2007,https://link.springer.com/article/10.2145/20070306,Seeking a Replacement for the Medicare Physician Services Payment Method,July 2007,Martey S Dodoo,Robert L Phillips Jr.,Larry A Green,Unknown,Male,Male,Male,,
42,3,Business Economics,01 July 2007,https://link.springer.com/article/10.2145/20070307,The U.S. Television Set Market,July 2007,Shawn G DuBravac,,,,Unknown,Unknown,Mix,,
42,4,Business Economics,01 October 2007,https://link.springer.com/article/10.2145/20070401,The Explanatory Power of Monetary Policy Rules,October 2007,John B Taylor,,,Male,Unknown,Unknown,Male,,4
42,4,Business Economics,01 October 2007,https://link.springer.com/article/10.2145/20070402,The Incredible Shrinking Banking Industry,October 2007,Carl R Tannebaum,,,Male,Unknown,Unknown,Male,,
42,4,Business Economics,01 October 2007,https://link.springer.com/article/10.2145/20070403,Forecasting Components of Consumption with Components of Consumer Sentiment,October 2007,James A Wilcox,,,Male,Unknown,Unknown,Male,,28
42,4,Business Economics,01 October 2007,https://link.springer.com/article/10.2145/20070404,An Empirical Model of the Sources of Innovation in the U.S. Manufacturing Sector,October 2007,Jeremy A Leonard,Cliff Waldman,,Male,Male,Unknown,Male,,8
42,4,Business Economics,01 October 2007,https://link.springer.com/article/10.2145/20070405,Analyzing the Link Between Real GDP and Employment: An Industry Sector Approach,October 2007,Barbara Sawtelle,,,Female,Unknown,Unknown,Female,,9
42,4,Business Economics,01 October 2007,https://link.springer.com/article/10.2145/20070406,Comparing Aggregate Housing Price Measures,October 2007,Jordan Rappaport,,,Male,Unknown,Unknown,Male,,2
