Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,China Finance and Economic Review,23 December 2013,https://link.springer.com/article/10.1186/2196-5633-1-5,Prospects for China’s economic development in the next decade,December 2013,Shantong Li,Sanmang Wu,Jianwu He,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,China Finance and Economic Review,20 December 2013,https://link.springer.com/article/10.1186/2196-5633-1-4,Green economic growth from a developmental perspective,December 2013,Bei Jin,Gang Li,,,,Unknown,Mix,,
1.0,1.0,China Finance and Economic Review,13 December 2013,https://link.springer.com/article/10.1186/2196-5633-1-3,The development of the service industry in the modern economy: mechanisms and implications for China,December 2013,Dazhong Cheng,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,China Finance and Economic Review,13 December 2013,https://link.springer.com/article/10.1186/2196-5633-1-2,"The goal, path, and policy responses of China’s new urbanization",December 2013,Pengfei Ni,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,China Finance and Economic Review,13 December 2013,https://link.springer.com/article/10.1186/2196-5633-1-1,Approaching a neoclassical scenario: the labor market in China after the Lewis turning point,December 2013,Fang Cai,,,,Unknown,Unknown,Mix,,
2.0,1.0,China Finance and Economic Review,03 January 2014,https://link.springer.com/article/10.1186/2196-5633-2-5,Thoughts on urbanization models from a global perspective,December 2014,Baoxing Qiu,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,China Finance and Economic Review,03 January 2014,https://link.springer.com/article/10.1186/2196-5633-2-4,A study on the basic path for producer services to promote industrial upgrading and the related finance and taxation measures,December 2014,Jiechang Xia,Xiaobing Zhang,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,China Finance and Economic Review,03 January 2014,https://link.springer.com/article/10.1186/2196-5633-2-3,China’s path to the construction of low-carbon cities in the context of new-style urbanization,December 2014,Shouyi Hao,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,China Finance and Economic Review,02 January 2014,https://link.springer.com/article/10.1186/2196-5633-2-2,Scientific development and a new green deal,December 2014,Xiaoxi Li,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,China Finance and Economic Review,02 January 2014,https://link.springer.com/article/10.1186/2196-5633-2-1,"The cause, features and effects of current policy mix of opposing fiscal and monetary policies",December 2014,Wei Liu,,,,Unknown,Unknown,Mix,,
3.0,1.0,China Finance and Economic Review,23 December 2015,https://link.springer.com/article/10.1186/s40589-015-0021-8,Reforms to China’s financial administration following the 16th CPC National Congress,December 2015,Kang Jia,,,,Unknown,Unknown,Mix,,
3.0,1.0,China Finance and Economic Review,23 December 2015,https://link.springer.com/article/10.1186/s40589-015-0017-4,The coming fallout following China’s “condensed development model” of economic growth and the transformation of China’s mode of economic growth,December 2015,Shijin Liu,,,Unknown,Unknown,Unknown,Unknown,,
3.0,1.0,China Finance and Economic Review,11 December 2015,https://link.springer.com/article/10.1186/s40589-015-0016-5,Conservation and efficient utilization of resources: a major indicator of China’s economic transformation,December 2015,Zhang Zhuoyuan,,,,Unknown,Unknown,Mix,,
