Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Cliometrica,11 January 2007,https://link.springer.com/article/10.1007/s11698-006-0001-1,What is ‘Cliometrica’?,April 2007,Dora Costa,Jean-Luc Demeulemeester,Claude Diebolt,Female,Male,,Mix,,
1.0,1.0,Cliometrica,10 January 2007,https://link.springer.com/article/10.1007/s11698-006-0002-0,How much could economics gain from history: the contribution of cliometrics,April 2007,Jean-Luc Demeulemeester,Claude Diebolt,,Male,,Unknown,Mix,,
1.0,1.0,Cliometrica,12 January 2007,https://link.springer.com/article/10.1007/s11698-006-0004-y,Romer revisited: long-term changes in the cyclical sensitivity of unemployment,April 2007,John A. James,Mark Thomas,,Male,Male,Unknown,Male,,2
1.0,1.0,Cliometrica,10 January 2007,https://link.springer.com/article/10.1007/s11698-006-0003-z,UK money demand 1873–2001: a long-run time series analysis and event study,April 2007,Heino Bohn Nielsen,,,Male,Unknown,Unknown,Male,,9
1.0,1.0,Cliometrica,03 February 2007,https://link.springer.com/article/10.1007/s11698-007-0006-4,The origins of US total factor productivity growth in the golden age,April 2007,Alexander J. Field,,,Male,Unknown,Unknown,Male,,9
1.0,2.0,Cliometrica,12 April 2007,https://link.springer.com/article/10.1007/s11698-006-0005-x,Path dependence: a foundational concept for historical social science,July 2007,Paul A. David,,,Male,Unknown,Unknown,Male,,188
1.0,2.0,Cliometrica,06 March 2007,https://link.springer.com/article/10.1007/s11698-007-0008-2,The Crash of 1882 and the Bailout of the Paris Bourse,July 2007,Eugene N. White,,,Male,Unknown,Unknown,Male,,20
1.0,2.0,Cliometrica,06 February 2007,https://link.springer.com/article/10.1007/s11698-007-0007-3,Fluctuations in the momentum of growth within the capitalist epoch,July 2007,Angus Maddison,,,Male,Unknown,Unknown,Male,"Cyclical analysis started in 1856 with Clement Juglar (1819–1905) and 1862 with Jevons (1835–1882). Both emphasized periodicity in economic activity whereas most earlier writers interpreted interruptions to growth as random financial crises. Jevons work was largely concentrated on English experience and had an idiosyncratic emphasis on the influence of sun-spots (1). Juglar’s analysis was comparative. He concluded that cycles were roughly synchronous in France, the UK, and USA. The evidence he assembled related mainly to monetary phenomena-expansions or contractions in central bank activity, rates of interest, prices of key commodities, etc., plus narrative ‘business annals’. It is frequently asserted that Juglar found cycles of a characteristic length of 9 years, but this is not in fact true. His cycles for France averaged 7 years with a range from 3 to 18 years, and for the UK 6 years with a range from 2 to 10 years. For several decades the quantitative indicators available to cyclical analysts were similar to those used by Juglar, though they were later augmented to include price indices, data on output and foreign trade. A more sophisticated causal analysis (under-consumptionist) was also developed by the Russian economist Mikhail Tugan-Baranowsky (1894, 1865–1919) in 1894 in his analysis of cycles in the UK. In the 1920s, institutes were set up in several countries to measure and interpret variations in current economic activity, in historical perspective. These included the Conjuncture Institute in Moscow and the National Bureau of Economic Research (NBER) in New York, both set up in 1920. The London and Cambridge Economic Service started its Monthly Bulletin in 1923. In 1925, Ernst Wagemann, the President of the German Statistical Office, set up an officially financed Institut fur Konjunkturforschung in Berlin, with a staff of 50, to brief decision-makers in the public and private sectors with an up-to-date analysis of the economic situation (see Tooze 1999). In 1933 it became the Deutsches Institut fűr Wirtschaftsforschung. The Institute of Statistics in the Sorbonne in Paris, the Institutes of Statistics in the Universities of Rome and Padua presided by Corrado Gini, and the League of Nations Committee of Experts on Economic Barometers started work in 1926. The Osterreichisches Institut fur Konjuncturforschung, directed by Friedrich von Hayek, started in Vienna in 1927 (see Mitchell 1927, pp 201–202). At this time, most of these countries did not have national accounts (except Germany, where they were initiated in 1929 and the USA from 1934), so their basic analytical tools were not macro-measures of output, expenditure and income but miscellaneous indicators of prices, financial transactions, commercial activity, output of various agricultural, mining and manufacturing products. They concentrated on business activity and generally ignored the role of government. The heterogeneity of their indicators was a substantial problem in measuring cross-country synchronicity of business cycle movements. The ultimate refinement in this type of business cycle analysis was the massive effort of the NBER, under the successive leadership of Wesley Mitchell (1874–1948), and Arthur Burns (1904–1987). The first phase of their research was preparation (a) of a huge databank of statistical indicators and charts on production, construction, transport and communication, wholesale, retail and foreign trade, wages and employment, currency, banking and financial transactions (see Mitchell 1927), and (b) narrative chronologies of past cycles (business annals). The annals were compiled by Willard Thorp (1926), in liaison with associates in other countries, including von Hayek, Aftalion, R. Kuczinski, and Kondratieff; they provided a cyclical periodisation for 17 countries; for the UK and USA back to 1790, for other countries to the mid-nineteenth century. With this material, NBER developed a series of ‘reference cycles’ for four countries (France, Germany, Great Britain, and the USA) based mainly on monthly quantitative data, which started in 1854 for the last two countries, in 1865 for France, and 1879 for Germany. The number of monthly or quarterly series for the USA was 19 for 1860 rising to 811 in 1942 (plus 161 annual indicators). The monthly and quarterly series were seasonally adjusted. For the three European countries the number of indicators was much smaller. The NBER derived its ‘reference cycles’ by plotting most of the information on charts in de-seasonalized form, and, by iterative procedures of inspection, identifying the turning points of cycles by the size of clusters of roughly concurrent fluctuations (Burns and Mitchell 1947, pp 20:78–79, and 82). Thus its central concept of economic activity was a fuzzy cocktail rather than a clearly defined measure of aggregate economic activity. The main purpose was to develop sensitive warning indicators of turning points in business activity. These were classified as leading, coincident, or lagging. The reference cycle became part of the official statistical armoury of the USA for forecasting purposes, though it is now supplemented by the more sophisticated econometric models of aggregate activity (quarterly GDP). For the period 1857 to 1978 the NBER discerned 28 successive peak-to-trough movements for the United States, i.e. a recession on average every 4 years, with a variation in their incidence from two-and-a-half to nine-and-a-half years. For other countries the average duration was found to be longer: 53 months for France, 62 for the UK and 64 for Germany for prewar years. The NBER cycles were not adjusted to eliminate trend, so they were not measures of oscillation in economic activity. They registered recessions only when there was an absolute fall in the relevant indicators (2). The NBER technique of using monthly and rather volatile series picked up more cycles than a GDP index based on annual data, and the ‘reference cycles’ that did correspond with GDP movements did not always have exactly the same dates (3). The NBER approach is a useful tool in interpreting quantitative economic history, but a major problem is that it yields no satisfactory measure of the amplitude of fluctuations because of the difficulty of producing a meaningful summary measure from such heterogeneous data. Thus one cannot use the reference cycle itself to distinguish major and minor cycles, in the same way that one can with simpler measures of industrial output or GDP. Arthur Burns (1934), Production Trends in the United States since 1870 was an attempt to look at longer term ‘trend cycles’, based on annual movement (1870–1929) of commodity output indicators for 90 agricultural, mining and industrial items and 14 for transport and communications. It analysed patterns of growth and retardation for individual industries, but made no attempt to measure their aggregate movement. Although the bulk of NBER research in the 1920s was concentrated on business cycles, there was also a feeble effort to measure national income of the USA. Two studies were published in 1921, followed by Wilford King’s unimpressive National Income and its Purchasing Power in 1930, which contained no aggregate estimate nor any concept of what such an aggregate would be. In 1930 Mitchell asked Simon Kuznets to take over the work on national income. Kuznets migrated to the USA in 1922, after doing his undergraduate studies in Kharkov. He did his Columbia Ph.D. thesis on cyles under Mitchell in 1926 and worked in the Bureau in 1927–1929 on his post-doctoral monograph Secular Movements in Production and Prices (1930). It resembled other work in the Bureau in type of indicator, but Kuznets used only annual data, had somewhat wider country coverage, much more ambitious decomposition of time series, explored fluctuations over periods distinctly longer than business cycles, and his analytical approach was influenced by the Russian tradition. From 1930 onwards his professional interests were transformed. He blazed a new trail which he followed for the rest of his life, developing comprehensive measures of aggregate activity and economic growth, first for the United States, and then the rest of the world. He lost interest in the fuzzy cocktail of indicators that continued to be Burns’delight, though he continued his close association with the NBER, and was successful in persuading it to undertake important studies on economic growth which buttressed his own work (4).",9
1.0,3.0,Cliometrica,27 March 2007,https://link.springer.com/article/10.1007/s11698-007-0010-8,The treatment effect of borders on trade. The great war and the disintegration of Central Europe,October 2007,Hans Christian Heinemeyer,,,Male,Unknown,Unknown,Male,,11
1.0,3.0,Cliometrica,03 April 2007,https://link.springer.com/article/10.1007/s11698-007-0013-5,"Anthropometric evidence on economic growth, biological well-being and regional convergence in the Habsburg Monarchy, c. 1850–1910",October 2007,John Komlos,,,Male,Unknown,Unknown,Male,,51
