Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435198,Computer Science in Economics and Management: A New Discipline!,January 1988,Hans M. Amman,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435199,A decision theoretic approach to file search,January 1988,James C. Moore,William B. Richmond,Andrew B. Whinston,Male,Male,Male,Male,,10
1.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435200,Two- or three-stage least squares?,January 1988,David A. Belsley,,,Male,Unknown,Unknown,Male,,51
1.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435201,Balancing large systems of national accounts,January 1988,F. Van Der Ploeg,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435202,Square root kalman algorithms in econometrics,January 1988,Carlo Carraro,,,Male,Unknown,Unknown,Male,,9
1.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435203,A knowledge-based system for production and distribution economics,January 1988,Ramayya Krishnan,David A. Kendrick,Ronald M. Lee,Male,Male,Male,Male,,10
1.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435204,Computer science in economics and management information for authors,January 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435205,Call for papers,January 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00427157,Logical errors in database SQL retrieval queries,January 1988,R. B. Buitendijk,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00427158,A logic programming approach to revealed preference theory,January 1988,Kuan-Pin Lin,Stan Perry,,Unknown,Male,Unknown,Male,,
1.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00427159,Expert systems and economic policy analysis: An application to OCS auction leasing,January 1988,Elizabeth Hoffman,Varghese S. Jacob,Andrew Whinston,Female,Unknown,Male,Mix,,
1.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00427160,The impact of collinearity involving the intercept term on the numerical accuracy of regression,January 1988,Stephen D. Simon,James P. Lesage,,Male,Male,Unknown,Male,,10
1.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00427161,A user-friendly interface to Kendrick's DUAL code,January 1988,Cornelia Grischow,Goetz Uebe,,Female,Unknown,Unknown,Female,,
1.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436277,Publisher's announcement,January 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436278,Parallel distributed processing models for economic systems and games,January 1988,Kislaya Prasad,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436279,Connecting expert system features to a multiple criteria programming based decision support system,January 1988,Ralf Östermark,Hannu Salmela,,Male,Male,Unknown,Male,,2
1.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436280,GEMPACK: General-purpose software for applied general equilibrium and other economic modellers,January 1988,G. Codsi,K. R. Pearson,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436281,A general methodology for testing supercomputers in an industrial environment,January 1988,E. Vergison,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00454700,Integrated modeling systems: AI in the business and economics context,January 1989,David A. Kendrick,Leon S. Lasdon,Andrew B. Whinston,Male,Male,Male,Male,,
2.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00454701,Integrated Modeling Systems,January 1989,Arthur M. Geoffrion,,,Male,Unknown,Unknown,Male,,29
2.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00454702,A comparison of structured modeling and GAMS,January 1989,David Kendrick,Ramayya Krishnan,,Male,Male,Unknown,Male,,
2.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00454703,Knowledge representation and processing in economics and management,January 1989,Clyde W. Holsapple,Andrew B. Whinston,,Male,Male,Unknown,Male,,
2.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00454704,Logical testing for new approaches to mathematical programming modeling and analysis,January 1989,Fred Glover,Harvey J. Greenberg,,Male,Male,Unknown,Male,,
2.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00454705,An Expert System for Stochastic Control Problems: Automatic Report Generation,January 1989,Jean-Philippe Chancelier,Claude Gomez,Agnès Sulem,Unknown,,Female,Mix,,
2.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00454706,Hercules — A modeling system with knowledge about economics,January 1989,Arne Drud,,,Male,Unknown,Unknown,Male,,4
2.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00454707,Announcement,January 1989,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435828,Vectorization and econometric model simulation,January 1989,Christian E. Petersen,Andrea Cividini,,Male,Female,Unknown,Mix,,
2.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435829,A model of decision-making involving two information processors,January 1989,Varghese S. Jacob,James C. Moore,Andrew Whinston,Unknown,Male,Male,Male,,2
2.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435830,A metalanguage design for sessions with group decision support systems,January 1989,Niv Ahituv,Israel Spiegler,,Male,Male,Unknown,Male,,
2.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435831,Mathematica: A critical appraisal,January 1989,David A. Belsley,,,Male,Unknown,Unknown,Male,,1
2.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436509,Bond pricing in APL2: A study in numerical solution of the Brennan and Schwartz bond pricing model using a vector processor,January 1989,Garth H. Foster,,,Male,Unknown,Unknown,Male,,3
2.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436510,Progressive equilibration algorithms: The case of linear transaction costs,January 1989,Alexander Eydeland,Anna Nagurney,,Male,Female,Unknown,Mix,,
2.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436511,Computational aspects of robust estimators for linear regressions,January 1989,Marilena Furno,Christopher Baum,,Female,Male,Unknown,Mix,,
2.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436512,PRTSM: Pattern recognition-based time series modeler,January 1989,Kun Chang Lee,Sung Joo Park,,,,Unknown,Mix,,
2.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436513,Call for papers,January 1989,,,,Unknown,Unknown,Unknown,Unknown,,
3.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435400,Editorial,March 1990,David A. Kendrick,Leon S. Lasdon,Andrew B. Whinston,Male,Male,Male,Male,,
3.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435401,A survey of reasoning procedures in knowledge based systems for economics and management,March 1990,L. F. Pau,,,Unknown,Unknown,Unknown,Unknown,,
3.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435402,"An intelligent decision support system for supply, distribution, and marketing planning",March 1990,Darwin Klingman,Rema Padman,Nancy Phillips,Male,Female,Female,Mix,,
3.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435403,Industry structure modeling for competitive analysis: An integrated AI and systems approach,March 1990,Edison Tse,Jaffer Syed,,Male,Unknown,Unknown,Male,,
3.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435404,A hierarchical/relational approach to modeling,March 1990,Thomas E. Baker,,,Male,Unknown,Unknown,Male,,2
3.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435405,Toward an environment theory of decision support,March 1990,C. W. Holsapple,A. B. Whinston,,Unknown,Unknown,Unknown,Unknown,,
3.0,1.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00435406,Logic as an integrated modeling framework,March 1990,Ronald M. Lee,Ramayya Krishnan,,Male,Male,Unknown,Male,,1
3.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436711,Is a GigaLIP Fast Enough?,June 1990,Tom W. Keller,,,Male,Unknown,Unknown,Male,,
3.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436712,Inductive Learning Methods for Knowledge-Based Decision Support: A Comparative Analysis,June 1990,Michael J. Shaw,James A. Gentry,Selwyn Piramuthu,Male,Male,Male,Male,,11
3.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436713,Generic Expert Systems for Management Applications: The Operations Advisor and the Management Advisor,June 1990,Walter Reitman,,,Male,Unknown,Unknown,Male,,4
3.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436714,Comax: An Expert System for Cotton Crop Management,June 1990,Hal Lemmon,,,Male,Unknown,Unknown,Male,,1
3.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436715,ESL — A New Simulation Language for Economic Models,June 1990,G. Ohlendorf,P. Stahlecker,,Unknown,Unknown,Unknown,Unknown,,
3.0,2.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00436716,How to Strip a Model to Its Essential Elements,June 1990,Giampiero M. Gallo,Manfred H. Gilli,,Male,Male,Unknown,Male,,3
3.0,3.0,Computational Economics,,https://link.springer.com/article/10.1007/BF00437064,Publisher's note,September 1990,,,,Unknown,Unknown,Unknown,Unknown,,
