Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642662,Presentazione,March 1978,Luciano Daboni,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642663,La stima del coefficiente di regressione mediante l’indice di cograduazione di Gini,March 1978,D. Michele Cifarelli,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642664,Irreversibility and entropy,March 1978,Carlo Brumat,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642665,Arbitraggi bilanciati per giochi omogenei di maggioranza ponderata,March 1978,Flavio Pressacco,,,Male,Unknown,Unknown,Male,,3
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642666,Su un problema di Leo Moser,March 1978,E. L. Aparo,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642667,On the class of games of timing of incomplete information,March 1978,Augusto Bellieri dei Belliera,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642668,A conjecture on a caracterisation of all 4-connected planar graphs,March 1978,Paolo Manca,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642669,Statuto dell’Associazione per la matematica applicata alle scienze economiche e sociali,March 1978,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02642670,Regolamento dell’A.M.A.S.E.S.,March 1978,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02631369,The method of entropy maximization,September 1978,Carlo Brumat,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02631370,Esistenza Di Un Equilibrio Concorrenziale Per La Teoria Generale Della Domanda Di Spazio E Della Rendita,September 1978,Piera Mazzoleni,,,Female,Unknown,Unknown,Female,,1
1.0,2.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02631371,Due problemi di natura combinatoria inerenti le partizioni di un insieme finito,September 1978,Giulio Diale,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02631372,Su una generalizzazione del problema del commesso viaggiatore,September 1978,Ermanno Pitacco,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02631373,Sulle operazioni associative tra variabili casuali,September 1978,Erio Castagnoli,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Decisions in Economics and Finance,,https://link.springer.com/article/10.1007/BF02631374,Consistent graphs with signed points,September 1978,Lowell W. Beineke,Frank Harary,,Male,Male,Unknown,Male,,5
