Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050001,Historic Turning Points in Real Estate,January 2008,Robert J Shiller,,,Male,Unknown,Unknown,Male,"At the risk of repeating the obvious, but for the purpose of making sure the reader is online with some important facts, let us first reflect on those ubiquitous terms “supply” and “demand” that determine, by their intersection, prices in any market. The price has to clear the market continually. If there is an imbalance between supply and demand at any time, the price will have to change immediately. It would seem that demand for housing services should be relatively inelastic in the short run, especially with regard to the number of units (rather than their size). Most families want just one house. The decision to own two or more houses, or the decision to break up the family to spread out over more houses, is not made very often — most commonly only at important life turning points or job changes. It is difficult for builders to transform two small housing units into one larger unit, or one large unit into two small housing units, without great costs. Hence, even small changes in the number of housing units might be expected to cause major short-run changes in home prices. However, home prices do seem to show enormous momentum, and sudden changes in the market seem rare. In a speculative market, a sudden change in some component of supply or demand may produce little price change if people think that the change is temporary, and so another component, a speculative component, offsets the sudden change. But the speculative component is inherently psychological, potentially unstable, and subject to contagion and herd behavior. People may change their mind about whether a change in price is only temporary or is the beginning of a new trend. They are especially likely to change their mind because we have professional marketers whose job is to get some kind of social response moving, and, when they do find some advertising pitch that resonates with investors, they will run it for all it is worth. The supply of housing is dictated by the decisions of builders, who face markets for construction labor, materials, and land prices. According to the simple “Tobin's Q” model of investment, whenever home prices are high relative to construction costs, construction will proceed at a relatively high rate, until the gap between home prices and construction costs is closed off by new construction. If construction could be done instantaneously, it would not matter whether prices are rising or falling, builders would look only at the current price and build whenever price is high relative to construction costs. Since there are lags on the order of a year between decision to build and completion of a housing unit, builders will tend to pull back in a period of declining prices even if prices are high relative to construction costs, but will continue to build at a high rate if housing prices are still expected to be high by the time the construction can be completed. Analysis of past booms seems to indicate that investors in both the stock market and the housing market seem often not to understand the supply response to price increases. These are normal intelligent people, and so why would they repeatedly make the same mistake again and again? There seems to be what I will call a uniqueness bias, a tendency for investors to overestimate how unique an investment they favor is, failing to take account of the inevitable supply response to high prices. The uniqueness bias is reflected in quite a number of anomalies of human judgment that psychologists have documented, including the “representativeness heuristic,” “overconfidence,” “wishful-thinking bias,” “spotlight effect,” and “self-esteem bias.” The uniqueness bias is related to failure to imagine how many possible competitors there are, a tendency to think highly of oneself and one's associates, and an association of investments with one's sense of personal identity with an identified business model. The uniqueness bias has its effect in the stock market by encouraging people to think that a company's market position is unique, and thus underestimating how quickly new competition will move in to close off any initial advantage. Gordon Philips and Gerard Hoberg, in their 2007 study of booms in individual stocks, found that those in competitive industries, not concentrated industries, show significant downturns following high valuations. For competitive industries, stock returns are low following high industry valuation and investment. They concluded that firms and the investors in these firms face a signal extraction problem in booms, not knowing whether other firms have the same apparent opportunities, not recognizing potential competition. They are thus vulnerable to “new era” booms, overinvesting while neglecting to consider that many others are, or soon, will be making essentially the same investments. The uniqueness bias has its effect in the housing market when people imagine that the city they live in is unusually attractive, and increasingly so. They fail to understand that new such cities can be constructed in what are today cornfields or forests. In their 1990 paper, “The Baby Boom, The Baby Bust and the Housing Market,” N. Gregory Mankiw and David Weil argued that the housing market would soon crash as the baby boomers retired, neglecting to consider how supply would adjust to any such change in demand. In their 2004 paper “Superstar Cities,” Gyourko et al. argued for extrapolating some long-standing trends in major US cities, claiming that these superstars will only grow in status, assuming implicitly that there can be no new supply of the services those cities provide. We have seen many examples of such thinking in the history of economic thought. I wish to turn to some of these now, with special attention to the behavior of the markets around what later proved to be major turning points.",53
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050011,Socialism vs Social Democracy as Income-Equalizing Institutions,January 2008,John E Roemer,,,Male,Unknown,Unknown,Male,"Disagreements between socialists and social democrats have festered since the beginning of the 20th century. Originally, the central conflict concerned the path to socialism: socialists argued that revolutionary struggle was the only way, while social democrats argued for “boring from within” by participating in elections and traveling the parliamentary road. It is by no means clear with whom Marx and Engels would have sided on this issue: Engels famously remarked that when workers received the franchise, socialism would come quickly through the ballot box. An engaging discussion of the social democratic electoral strategy in the first half of the 20th century is Przeworski and Sprague [1986]. For an exhaustive history of these debates, see Sassoon [1996]. There is, however, a second distinction between socialism and social democracy that seems more pertinent today, when democracy has become the pervasive institutional desideratum, at least in the advanced countries, and that is with respect to the dimension of income distribution. Socialism, as defined by Marx, was an economic system in which capitalist exploitation had been eliminated. This means that the distribution of society's output to its producers was in proportion to the value of labor they expended in its production (on which more below). One institutional proposal whereby such a distribution could be achieved, perhaps, is nationalization of the capital stock, followed by the distribution of the entire product to workers, in the proportions just described, in lieu of using the capitalist system of distribution, in which the product is distributed in part to workers in proportion to the value of their labor and in part to the owners of capital in proportion to the value of their contributed capital. But this institutional proposal should not be viewed as the definition of socialism: it is merely a tactic of implementation, which the centrally planned economies tried — at least, so the justification goes. The definition of socialism is an allocation in which capitalist exploitation has been eliminated. (See, e.g., Roemer [1982] for formal definitions of exploitation.) This is summed up in Marx's phrase that socialism's allocative rule is “from each according to his ability, to each according to his work,” while the more advanced stage of communism was defined as one in which distribution would be not according to work but need. Those whose work is more valuable receive more under socialism than others do. Some may question my claim that the distributional rule of socialism is “distribution according to the value of labor performed” rather than “distribution according to labor time worked,” where time might be altered by intensity in the sense of physical exertion. The difference, here, is that the “value of labor” is labor time multiplied by an appropriate efficiency or skill factor and “labor time” is hours of work, multiplied, perhaps, by a measure of intensity but not skill. I believe the only sensible definition is the value-of-labor one. For exploitation is the appropriation of “surplus value,” and that must be the value of the product minus the value of the labor embodied in it. Clearly, the value of the product will include the value of skilled labor applied in its production, and so the elimination of exploitation must entail that the contribution of skilled labor goes to the skilled laborer. Those who seek clarification in the Marxian texts find ambivalence: in Critique of the Gotha Program, Marx (1875) writes that “labor, to serve as a measure, must be defined by its duration or intensity…” and later in the same paragraph writes that the equal right of labor is “…an unequal right for unequal labor…[which] tacitly recognizes unequal individual endowment, and thus productive capacity, as a natural privilege. It is therefore a right of inequality.” Clearly, the second quotation values labor by its skill. Social democrats, however, were not primarily concerned with the elimination of capitalist exploitation, but rather with achieving a more equal distribution of income than was associated with laissez-faire capitalism. The model that was implemented in the Nordic countries, with great success, used taxation rather than nationalization. Firms remained, in Scandinavia, almost entirely privately owned, and their ownership was quite concentrated, but income and consumption taxation succeeded in redistributing income substantially. (This is not the sole technique they used to achieve relative income equality: there is also the “solidaristic wage” policy, which reduced wage differentials considerably compared to what transpired in other advanced capitalist countries.) Perhaps because the classical Marxist model assumed that workers were homogeneous in skill (as proposed in Capital, Volume 1), socialists have tended to associate the elimination of exploitation with the achievement of income equality. But this is a false association, because in reality — certainly today, if not when Marx wrote — the distribution of skills is extremely heterogeneous. If, per socialism, the product were to be distributed in proportion to the value of labor expended, there would still be considerable income inequality. It is even conceivable that the socialist allocation (which we will define in a precise way below) would sustain more income inequality than would a social democratic regime that redistributes income through taxation, but makes no attempt to eliminate exploitation in the Marxian sense. In this article, I will define precisely, for a simple model, what the socialist allocation is. I will then calibrate the model to the American economy, and ask: What degree of income taxation and redistribution would achieve the same Gini coefficient of income as the socialist allocation would? It turns out that, given the skill distribution in the United States today, the socialist allocation would produce slightly more income inequality than exists in the present American after-tax distribution of income. Socialists must therefore resolve for themselves the following dilemma: if it is primarily income inequality with which they are concerned, then there seems little point in advocating socialism as a goal. If, however, they continue to advocate the elimination of capitalist exploitation, then reasons beyond the achievement of income equality must be provided. I will offer several proposals in the conclusion for what those reasons could be, although they may not be convincing, to myself or others. The alternative move, which I advocate, is to go beyond socialism, as classically defined, as the desideratum. There is a similarity in spirit between this paper and recent work by Saez [2005], who shows that those at the top of the current wealth distribution in the United States are now individuals whose income is earned as opposed to unearned (in the sense of being labor income rather than capital income); this contrasts with a century ago, when those at the top received their income primarily from capital. If the wealthiest people in capitalist society are simply those who receive high returns to their labor, then the Marxist critique of capitalism is weakened. Those who are disturbed by income inequality, in this case, should be concerned with reducing inequality in the distribution of skills, through education, the solidaristic wage, and the redistribution of income, rather than with the elimination of exploitation.",11
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050017,The Effect of Childhood Sexual Victimization on Women's Income,January 2008,John Robst,Stacy Smith,,Male,,Unknown,Mix,,
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050019,Is Local Government Spending Converging?,January 2008,Mark Skidmore,Steven Deller,,Male,Male,Unknown,Male,"Traditional models of public finance including the median voter [Bowen 1943; Black 1948], the Tiebout [1956] and Peterson [1981] view of competition among local governments, and the complementary theories of public choice [Bish and Ostrom 1979; March and Olsen 1989; McCabe and Vinzant 1999] are built on the assumption that government fiscal policies are a function of the preferences of economic agents.Footnote 1 Assuming that elected officials are responsive, these theoretical views of the public sector indicate that government fiscal policy will adjust to the changing preferences or circumstances of economic agents. Therefore, changes in government fiscal policies depend on agents' changing demands for government services. The goods and services provided by local governments are seldom for immediate consumption and can be interpreted as inputs to productive activity in the private sector. This includes not only the obvious infrastructure spending like roads, bridges, and water treatment facilities but also activities that facilitate the accumulation of human and social capital. Such activities include education, health care provision, environmental protection, safety, and protection of property rights. In fact, most government activity can probably be interpreted as some kind of investment. Even investments in “quality of life” attributes such as parks, recreational, and cultural services are playing an increasingly important role in the functioning of local economies [Dissart and Deller 2000; Deller et al. 2001]. In a sense, government spending can be seen as an endogenous element in a regional growth process. There is significant empirical work demonstrating that as income increases the demand for public services will also increase, translating in practice into a natural tendency to increase government spending. From a demand perspective, the question hinges on the income elasticity of demand, but from a supply perspective we argue that government spending is much like private capital and exhibits diminishing marginal returns. Local governments that have a high level of government spending therefore have limited incentives to expand spending while those with relatively small government sectors will want to increase public spending in greater proportion. We hypothesize that this will lead to convergence of government spending across localities. In the next section of this study, we review the literature on convergence in government spending and provide an outline of the analytical framework we use to explain why we expect faster spending growth in localities with lower initial levels of government spending. In the subsequent section, we document a few basic stylized facts and proceed to provide more rigorous empirical analyses, which demonstrate convergence in local government spending even after we control for a large number of complicating factors. We summarize our findings and discuss their implications in the last section.",6
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050002,Estimating Wal-Mart's Impacts in Maryland: A Test of Identification Strategies and Endogeneity Tests,January 2008,Michael J Hicks,,,Male,Unknown,Unknown,Male,"Wal-Mart's ubiquity has spawned considerable analysis from a variety of research traditions. Most of these studies assess the local economic consequences of Wal-Mart's entrance on employment, wages, and retail and wholesale structure. However, only a handful of these employ methods that effectively attempt to evaluate the incremental effects of a Wal-Mart on these variables. This leaves many important questions unanswered. A central question to researchers is the problem of endogeneity within Wal-Mart's entrance decision. Simply, estimates of Wal-Mart's impact must be disentangled from growth in regions that were occurring or would have occurred anyway. Failure to do so potentially biases the estimates. To date, three approaches have been employed to account for endogenous entrance decisions in an estimation of the impacts on labor markets and retail structure. In this paper I review these methods, adding a fourth identification strategy based upon comments regarding Wal-Mart's entrance decisions made by a company executive. I also test endogeneity of Wal-Mart's entrance decision on several variables, which may be employed to choose location, timing, and date. I extend this analytical framework to the impact Wal-Mart may have on overall employment and wages. I begin by reviewing the most recent studies that attempt to evaluate endogeneity and treat its presence econometrically. I then add to the identification debate by introducing another identifying equation derived from evidence of Wal-Mart's entrance practices. My comparisons of these results are performed through an examination of retail labor markets (wages and employment) and overall labor markets. I conclude with recommendations for further analysis and policy considerations.",22
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050003,An Economic Analysis of Libel Law,January 2008,Manoj Dalvi,James F Refalo,,Male,Male,Unknown,Male,"This paper examines the welfare effects of different libel law standards as applied to the publication of news stories about public figures. Because of public (social) externalities, not all benefits or costs stemming from publication accrue to, or are borne by, the newspaper. As a result of these distortions, the socially optimal solution is unlikely to obtain. The paper models the application of libel law by assuming that the newspaper's decision to publish is determined by the expected liability (costs) arising from publication of false stories, where its ability to mitigate some of the costs depends on the applicable liability standard. We show that compared with strict liability, the current standard governing libel law — termed “negligence” — leads to greater publication costs for stories that are likely to be true and potentially increased publication of stories that are likely to be false. This result is due to additional liability protection provided by negligence, enabling a newspaper to “insure” against liability. We also show that an implicit agency problem exists between the newspaper and society under both standards, and determine conditions for which the social optimum can be consistently attained under strict liability, when using conventional policy tools. We demonstrate that the negligence standard cannot be adjusted in a similar manner. Finally, we provide other applications for this modeling approach. Prior to 1964, the legal rule governing libel in the United States was a “strict liability” standard, under which a newspaper would be liable for all damages caused to someone's reputation by any story that was not provably true.Footnote 1 In its decision of New York Times v. Sullivan,Footnote 2 the Supreme Court ruled that “a public official cannot recover damages for a defamatory falsehood unless he proves that the statement was made with “actual malice,” — that is “with knowledge that it was false or with reckless disregard of whether it was false or not.”Footnote 3 It thereby reduced the range of stories for which a newspaper could be found liable. In 1967, the Supreme Court extended this protection to stories about public figures.Footnote 4 Thus, a negligence-style standard now governs libel suits brought by public officials or public figures.Footnote 5
 The motivation for this paper is to analyze implications for public welfare of these different liability standards in the presence of public externalities. Libel is an example of a “single activity accident” [Brown 1973; Diamond 1974], such that the actions of a newspaper damage an individual.Footnote 6 For single activity accidents, a strict liability standard in the absence of other externalities is generally efficient [Shavell 1980; 1987]. Such models examine cases in which the only externality from an activity is the harm done to a third party.Footnote 7 However, publishing news about public issues is deemed to entail a positive externality.Footnote 8 The concern with a strict liability standard for libel is a potential chilling of publication and concomitant reduction of this externality.Footnote 9 If publishers internalized all benefits from their activities and the only distortion was the negative externality from libel, this would not be of any concern. Since conventional tort models typically assume the party will internalize all benefits and costs other than third-party damages, it is important to consider some deviation from those assumptions in order to assess whether the New York Times v. Sullivan standard is appropriate. The model in this paper will allow for the possibility that, absent any libel, the social value of publishing differs from the private incentive.Footnote 10 We do this by assuming that the newspaper pursues policies that maximize expected value, and that the costs and benefits from publication differ from those of society. Such an assumption implies that a strict liability standard, by itself, does not result in the social optimum. However, we show that in theory we can adjust the strict liability standard using policy tools so that the problem solved by the publisher is proportional to that needed to maximize public welfare. In contrast, the negligence standard will fail to attain the social optimum even with the use of policy tools. We extend the existing liability literature and study the distortions caused by liability rules in a two-stage decision model where the newspaper has the option to obtain further information regarding the truthfulness of a story, and we allow abandonment of the activity.Footnote 11 The former permits a revision of the expected value of a story; the latter allows a story to be pursued that would otherwise not be sufficiently plausible to publish under a strict liability standard. Permitting investigation also allows us to examine the qualitative differences between the two liability standards, namely that under negligence, investigation permits a publisher to inure itself against liability. Using the two-stage model we are able to define regions governing the actions of the publisher based on the ex ante (or perceived) probability that a story is true. The remainder of the paper is organized as follows. The next section discusses the details of the model and derives the probability boundaries that are central to the model and govern the publishing decisions of the newspaper. The subsequent section derives the welfare equation and examines the deviation from the social optimum created by the agency problem. This section also develops the conditions under which policy tools can be used to correct for agency, and discusses policy implications. The penultimate section provides applicable extensions. The final section presents the conclusions.",4
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050009,The Quality–Quantity Trade-off,January 2008,Bryan C McCannon,,,Male,Unknown,Unknown,Male,"The purpose of this note is to extend the standard vertical-product-differentiation model to analyze the trade-off, often present, between the quality of a good and the quantity produced, and to study the implications of such a relationship. The standard model developed by Gabszewicz and Thisse [1979; 1980] and Shaked and Sutton [1982; 1983] implicitly assumes that quality and quantity are independent choices. That is, at any set level of quality, a firm is free to produce as much as it desires. Their models are set up as extensive-form games where the choice of quality is linked to quantity only, through the equilibrium refinement of subgame perfection, by the fact that for each possible choice of quality the firms will set their prices and quantities to maximize their profits. This untested assumption can be rationalized. For example, the blueprints of a factory can be used to make a second factory identical to the first. Thus, quantity can be doubled with no change in the product being produced. While this may often be a reasonable assumption, in some markets it does not hold true. Consider a market for a good with a specialized or rare input. The use of the input cannot be expanded without an effect on the ability to maintain a certain level of quality. Consider, as an example, cigars. Cigars are a luxury good that do much more than just provide nicotine. Aficionados critique cigars on various dimensions where quality is discussed and enjoyed. For example, a popular magazine on cigars provides reviews by numerous professional reviewers. Reviewers, not observing price, brand, or origins of the tobacco, critique cigars based on esthetics, construction, flavor, and strength. A cigar's quality is determined by the environment in which the tobacco is grown and by the skill of the laborers. Furthermore, it is very costly to increase production. In fact, production can only be increased at the expense of lower quality. Making more cigars requires that leaves that would have otherwise been rejected (or used in lower-priced cigars) be used. Using large quantities of nitrogen fertilizer has the effect of growing more and larger tobacco leaves, but these leaves tend to be bitter and bad-tasting.Footnote 1 Also, rolling more cigars may require using less-skilled workers or machines, either of which would reduce the quality of the final product. Thus, there is a distinct link between the quantity and quality of the cigars produced. As another example, consider an instructor teaching a course. As the number of students enrolled increases, the demands on the instructor increase. The ability of the instructor to meet with students outside of class requires either significantly more time invested or a reduction in the time allotted per capita. Projects and examinations must be either eliminated or altered, or the instructor must incur a considerable cost. In both examples, there is an inverse relationship between quality and quantity; as one increases the cost to providing the other increases and, consequently, the amount is reduced. It is this feature of markets for such goods that is considered here. In a similar setup, Sheshinski [1976] allows for a trade-off between quantity and quality. He considers a monopolist determining price, quantity, and quality to understand the distortions caused and the usefulness of regulation. He does not illustrate the effect of the quality–quantity trade-off and does not consider competition, which is done here. In this note, I lay out a model of quality selection in an imperfectly competitive market, taking into account the trade-off between quality and quantity. I show that the stronger this relationship is, the more sales are shifted from the high-quality to the low-quality producer. Furthermore, a stronger relationship between quality and quantity results in the price of all goods being greater. These results extend and revise those of Gabszewicz and Thisse [1979; 1980] and Shaked and Sutton [1982; 1983] for goods that exhibit this trade-off.",7
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050004,Introduction to the Symposium on Ethics,January 2008,Sandra J Peart,David M Levy,,Female,Male,Unknown,Mix,,
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050007,Inducing Greater Transparency: Towards the Establishment of Ethical Rules for Econometrics,January 2008,David M Levy,Sandra J Peart,,Male,Female,Unknown,Mix,,
34,1,Eastern Economic Journal,17 December 2007,https://link.springer.com/article/10.1057/palgrave.eej.9050006,Why the Con Hasn't Been Taken Out of Econometrics,January 2008,Martin Zelder,,,Male,Unknown,Unknown,Male,"Most people, including those who are not sure how to calculate a mean, mistrust statistical analysis. Even those among us presumably able to calculate means correctly have their doubts: “Econometricians have found their Philosophers' Stone; it is called regression analysis and is used for transforming data into ‘significant’ results! Deception is easily practised from false recipes intended to simulate useful findings” [Hendry 1980]. Although these concerns have evolved into systematic prescriptive analysis (e.g., Leamer [1978]), an irony remains: despite undoubtedly wide agreement among economists that many econometric estimates are suspect, few among us openly acknowledge our own shortcomings. Moreover, as Levy and Peart [2003] point out, economics/econometrics (unlike, e.g., dental hygiene) lacks even a basic formalized code of ethics to implement appropriate principles to guide estimation. Perhaps one reason for our lack of clear principles that should and do govern econometric estimation is the limited body of economic analysis on the subject. Indeed, the vast majority of writing on econometric practice is didactic/prescriptive, and as such is extraordinarily useful.Footnote 1 Economic analysis of econometric practice, is, however, much rarer, with exceptions found in papers by De Long and Lang [1992], Feigenbaum and Levy [1993a, 1993b; 1996], Fölster [1995], Engers and Gans [1998], and Freedman [2000], although none of these presents an explicit model of choice involving econometricians, journals, and the economics profession. It is, therefore, the task of this paper to attempt to explore such a model, formalizing the insights from the analytical literature noted above while infusing them with the spirit of the economic analysis of fraud and crime [including Becker 1968; Akerlof 1970; Darby and Karni 1973; Matsumura and Tucker 1992]. The orientation of this model is game-theoretic, with relevant choices being made in sequence by three players: an econometrician, a journal, and the rest of the economics profession. The next section defines “cons” in econometrics. The subsequent sections present the structure of the “con” game, examine the equilibria of the game, and assess the normative properties of these equilibria, respectively. The final section offers concluding thoughts.",3
