Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
33,1,Economia Politica,19 February 2016,https://link.springer.com/article/10.1007/s40888-016-0026-2,A European fiscal union: the case for a larger central budget,April 2016,Carlo Cottarelli,,,Male,Unknown,Unknown,Male,"The future of European Union—and more specifically euro-area institutions—was at the center of a heated policy debate during 2011–2012, when the euro-area faced its deepest crisis since its birth. One key event during that period was the publication, on December 5, 2012, of the report “Towards a Genuine Economic and Monetary Union” authored by the so-called “four presidents” (Van Rompuy, Barroso, Juncker e Draghi) which identified four pillars on which a “stable and prosperous” monetary union could be built (see European Commission 2012). One of these pillars—together with the banking union (or, more precisely an “integrated financial framework”), the integrated economic policy framework, and the strengthening of democratic legitimacy—was the “fiscal union”—at least this is the term used by many to refer to it, although more precisely the report referred to the achievement of an “integrated budgetary framework ensuring both sound national budgetary policies and greater resilience to economic shocks of the euro area as a whole”. Since then, progress has been made in all these areas, although to different extents, with more progress being made in achieving an integrated financial framework. The update of the four presidents’ report issued in June 2015 (actually now the five presidents’ report, following the inclusion of the president of the EU Parliament; see European Commission 2015) makes new proposals on how to advance in integrating the institutions of the euro-area but is relatively less ambitious than the previous report, at least in terms of short-term objectives. The debate on the medium and long term future of European institutions is, however, still very much alive (see, for example, Sapir and Wolff 2015). The need to base this debate on adequate information motivated the studies collected in a volume published at end-2014 (Cottarelli and Guerguil 2014), which was prepared primarily by economists of the Fiscal Affairs Department of the International Monetary Fund. The idea underlying this volume is that, in designing future European fiscal institutions, it is useful to look at the features of these institutions in other economic areas that share the same currency, the defining element of the euro area, and compare them with the current fiscal institutions in the euro area. In doing this, there is an obvious problem: other economic areas that share the same currency are—with the exception of the two African monetary unions and of the small Caribbean monetary union—also political unions while the euro area is not a full political union, at least not yet! In order to alleviate this problem, the book focused on fiscal institutions in policy unions in which the political power is less centralized, namely in federal states. In any case, even if imperfect, comparisons with federal states can still provide information on how some economic policy problems that characterize common currency areas have been addressed, thus providing a benchmark against which to assess current European institutions and perhaps suggesting the direction in which these institutions will evolve over the long term. This article, based on the empirical evidence presented in the book, argues that the key differences between the fiscal institutions of the European Union and those of fiscal federations arise from the very limited role played in Europe by the Union budget, which is extremely undersized with respect to what is found even in the most decentralized fiscal federations. Furthermore, it is argued that the existence of a large federal budget plays a key role in ensuring the good working of a monetary union. Thus, while not being the only solution to the existing problems, the strengthening of the EU budget provides the logical evolution of—a logical ending point for—the process of integration of European institutions over the long term.",6
33,1,Economia Politica,16 February 2016,https://link.springer.com/article/10.1007/s40888-016-0025-3,Corporate taxation and financial strategies under asymmetric information,April 2016,Francesco Cohen,Alessandro Fedele,Paolo M. Panteghini,Male,Male,Male,Male,"The deductibility of interest payments ensures a tax benefit to debt-financed firms. Accordingly, a fair amount of research has found evidence that debt usage is positively affected by corporate tax rates, as argued by Graham (2003). These results support the idea that companies can trade-off the tax benefits of debt finance with the expected costs of default, therefore obtaining an optimal capital structure.Footnote 1
 As stressed by Gordon (2010), corporate financial choices can also be explained by information asymmetries. In particular, Akerlof (1970) lemon problem fits well with capital markets. As pointed out by Myers and Majluf (1984), when corporations seek outside finance, investors learn that the firms need funds. For this reason, firms with less pressing needs for cash (those who are doing well) will forego outside finance, even at the cost of foregoing good investment projects. Only weaker firms borrow.Footnote 2 This fact is supported by robust evidence, showing that the use of debt declines when profitability rises and led Myers (1993) to state that taxation is irrelevant in terms of financial choices. Subsequently, he added that it is “of third-order importance” (Myers et al. 1998).Footnote 3
 This lively debate demonstrates that there is much to learn about the possible interactions between taxation and corporate finance. It is worth noting that this literature mainly focuses on the demand side of capital markets, thereby investigating the determinants of corporate capital structure. This is somewhat surprising, since lenders (in particular, banks and other financial institutions) crucially affect both the amount and the cost of debt. In our view, both sides of financial markets should be investigated. For this reason, we develop a screening model that aims to study the effects of corporate taxation on credit market equilibria under asymmetric information. To the best of our knowledge, only a few papers have dealt with public policies and the supply side of capital market.Footnote 4 Relevant exceptions are (de Meza and Webb 1999, 2000) who focus on public policy and welfare analysis, under credit rationing. Building upon the well-known contributions by Stiglitz and Weiss (1981) and de Meza and Webb (1987). Boadway and Keen (2006) generalize the findings of both papers by analyzing screening and signaling equilibria. In particular, they assume a continuum of potential firms, each with its own project characterized by a given probability and return in case of success, and a competitive banking sector. They investigate welfare-improving policy interventions. However, they admit that “it would be dangerous to draw any strong conclusions for policy”, from their results and that “it is tempting to invoke the principle of insufficient reason to ... seek to impose any corrective tax or subsidy at all” (p. 501). In the same vein, Fuest and Tillessen (2005) study public assistance programs for entrepreneurial investment based on closed ended subsidies, namely, tax benefits granted only up to a certain absolute limit. To deal with the optimality of this policy they apply a three-stage model where banks offer loan contracts, then firms apply for the contract they prefer and finally banks decide whether to accept the application or not. They show that under asymmetric information, banks distort investment in order to prevent mimicking. In this case, open ended (i.e., unlimited) taxes or subsidies are preferable. More recently, Minelli and Modica (2009) use the Stiglitz and Weiss (1981) approach to find optimal policies under asymmetric information. By assuming the existence of banks with market power, they study three kinds of policy tools: interest rate subsidies; investment subsidies; loan guarantees. They show that interest rate subsidies and loan guarantees are optimal to correct market equilibrium inefficiency. Simon (2011) provides an explanation for a government to discriminate between debt and equity financing. Assuming that entrepreneurs are risk-averse, she shows that equity generates more surplus than debt, because it also provides insurance. If, therefore, the government aims at extracting surplus from entrepreneurs it should tax equity-financed income more heavily. The following interesting aspect, however, has been disregarded by public policy papers using asymmetric information: the effect of the business cycle on credit market conditions. As shown in Fig. 1, the spread between the high-yield and the investment-grade interest rates on corporate loans in the EU and US crucially depends on the business cycle.Footnote 5 In particular, downturns in 2001–2 and 2008–9 led to a sharp increase of this variable. We can claim that the interest rate paid by corporations of different types is closer (more different) during a recovery (downturn). The spread between the high-yield and the investment-grade interest rates on corporate loans (Global Financial Stability Report, October, 2013) Our paper departs from the above articles in several respects. Firstly, we aim to set up a theoretical environment where five pieces of evidence are accounted for: (1) the existence of a tax incentive to borrow [see e.g., Miniaci et al. (2014)]; (2) the presence of asymmetric information in credit markets [see Gordon (2010), and the papers cited herein]; (3) the screening activity of lenders [see e.g., Bester (1985) and, especially, Besanko and Thakor (1987), who, as in our framework, use the loan size as a screening device]; (4) the negative relationship between leverage and profitability [see e.g., Miniaci et al. (2014)]; finally, (5) the business cycle effects on the spread between the high-yield and the investment-grade interest rates on corporate loans (see Fig. 1). This would lead us to consider both sides of capital markets. In addition, we highlight and investigate the joint effects of the business cycle and of taxation on credit market equilibrium.Footnote 6 In order to focus on the relationship between corporate taxation and the financial market, we depart from de Meza and Webb (1999, 2000) by assuming that credit is unconstrained. Our two-period model assumes a given number of risk-neutral firms that invest under taxation. Firms can issue equity and/or apply for a loan from external lenders to finance an investment project, whose cost is normalized to unity. There are two types of firms: bad firms’ projects succeed with lower probability and yield lower expected returns than good firms’ ones. We assume the existence of a capital market with at least two homogeneous risk-neutral lenders competing à la Bertrand. In particular, they operate in an asymmetric information context, where firms’ probability of success in unverifiable. Borrowing is regulated through a loan contract characterized by interest rate and amount of funding. In addition, we let the lenders decide whether to commit or not to the contract proposed to firms, but not yet signed by the parties. In case of non-commitment, the lenders can reject loan applications. The converse is true if they commit.Footnote 7 Given these assumptions, we find three main results. Firstly, if the percentage of bad firms in the economy is low relatively to that of good firms, a pooling equilibrium without commitment is found, where bad and good firms sign the same loan contract. Interestingly, the pooling equilibrium disappears when the option of non-commitment is absent, i.e., when the lenders cannot reject firms’ applications for loans. By contrast, when the percentage of bad firms is large enough, a separating equilibrium arises, with or without commitment. In this case, good firms pay a lower interest rate but receive less debt than bad firms. Put differently, firms with less pressing needs for cash (i.e., good ones) have lower leverage.Footnote 8
 Secondly, the above result crucially depends on corporate taxation, in that the threshold portion of bad firm below (above) which a pooling (separating) equilibrium exists is affected by the level of corporate tax rate. Finally, we provide some comparative statics on the portion of bad firms. We expect such a portion to increase during a downturn. In this case, we prove that the rise in the corporate spread between the high-yield (i.e., bad firms) and the investment-grade (good firms) interest rates, highlighted in Fig. 1, is more likely when the corporate tax rate is high enough. When, however, the portion of bad firms decreases (e.g., following a recovery), the reduction in the corporate spread, observed in Fig. 1, is more likely when the corporate tax rate is relatively low. Overall, we conclude that the impact of the business cycle on the credit market equilibrium can be affected by taxation. In the working-paper version of the paper (Cohen et al. 2014), we also provide a welfare analysis and discuss corporate tax policy implications. The structure of the paper is as follows. The model is presented in Sect. 2, and describes financial choices under both symmetric and asymmetric information. Section 3 derives comparative statics results. Section 4 summarizes our findings and concludes. Appendices 1 and 5 contain the proofs of our results.",2
33,1,Economia Politica,05 February 2016,https://link.springer.com/article/10.1007/s40888-016-0023-5,Education and training in a model of endogenous growth with creative wear-and-tear,April 2016,Adriaan Van Zon,Roberto Antonietti,,Male,Male,Unknown,Male,"In a recent paper, Jones and Romer (2010) present a list of five stylized facts that characterize the world economy in the last 50 years, which include steady increase in human capital per worker in the form of a sustained increase in educational attainment. There is a strong consensus in the academic literature that human capital is an important determinant of productivity at both the individual and the aggregate level. At the macroeconomic level, in particular, there is evidence that human capital investments have a positive impact on productivity growth, not only in the short run but also in the long run, through their contribution to technological progress. Human capital has become a crucial element in technology-driven sustainable growth in which new technologies continuously replace existing ones, but require people continuously to learn how to operate them efficiently. However, human capital as such, encompasses different types of investments in people. While the economic literature on the determinants of aggregate productivity growth generally focuses on one aspect of human capital, i.e. education, labor economists point to the importance of other types of human capital, in particular learning-by-doing (Arrow 1962), experience, and on-the-job training (Schultz 1961; Mincer 1962; Becker 1964). Thus, the economic role of education has been widely recognized but the relationship between technological change, training, and economic growth is less well acknowledged. In particular, economic theory does not provide a clear-cut prediction about the sign of the relationship between technological change and investment in job-specific training. One argument is that technological change makes formal education and previously acquired skills obsolete, thus increasing investments in specific training or experience, and reducing investment in general education (Weinberg 2004). An alternative view is that general education enables workers to adjust to and benefit from technological change, so that there are higher incentives to invest in schooling than in specific, on-the-job, training (Welch 1970; Gould et al. 2001; Gould 2002). According to the small body of available evidence—primarily based on the US case (Lillard and Tan 1986; Bartel and Sicherman 1998): (1) the incidence of training is higher at higher rates of technological change; (2) more educated individuals are more likely to receive on-the-job training, but technical change tends to remove this effect as the training gap between highly educated and less educated workers narrows; (3) when a new technology is first introduced, the general skills of highly educated workers act like a substitute for firm training. As experience with the new technology accumulates, it becomes possible to train less educated employees to perform new tasks. Table 1 shows that, in the European Union, between 2005 and 2013, the macroeconomic trends are characterized by increasing average effort in R&D activities and an increasing share of tertiary educated population. However, in relation to training trends, we note that between 1999 and 2010 the total number of training hours generally decreased, together with an average increase in the number of firms providing continuous vocational training courses, and an increase in the share of participants in vocational training courses.Footnote 1
 Against this background, we investigate: (1) what is the relationship between faster introduction of new technologies and the human capital composition of a country’s workforce? (2) Does technological change make training more efficient? (3) Do people get enough education to minimize firms’ training costs? We try to shed some light on these questions by developing an endogenous growth model in which the adoption of a new technology is supposed to be costly for firms, since before the technology can be used for production, the relevant workers need to learn how to operate it. We further endogenize the process of general knowledge accumulation by making households decide upon their level of education in the context of the optimal allocation of their income derived from working and the ownership of assets (firms in this case), over consumption and accumulation of assets and human capital. Acquiring education comes at an explicit cost (education fees) to these private households.Footnote 2
 The model we develop combines elements from Romer (1990), Aghion and Howitt (1992), and Ramsey (1928), so that productivity growth is the result of firms’ ‘love of variety’ and of quality improvements in a context of intertemporally optimal consumer decisions. However, in our model, the obsolescence of older intermediate inputs is gradual rather than complete, as in a ‘creative wear and tear’ process where all varieties can live forever although they gradually fade out over time (Van Zon and Yetkiner 2003). To this basic set-up, we add the notion of the crucial importance of heterogeneous human capital for economic growth, and employ Ramsey’s (1928) intertemporal optimization framework to endogenize the household decision regarding the allocation of resources across different activities including consumption and the accumulation of (general) human capital, through a process of self-financed education.Footnote 3
 Our simulation results show that, in times of rapid introduction of new technologies, the optimum ‘portfolio-mix’ between general and specific human capital changes in favor of the former, since it provides a relatively more efficient basis for acquiring specific skills that are prone to creative destruction. However, in a general equilibrium setting with endogenous education costs, households tend to under-invest in education, leaving training cost reductions and growth opportunities unexploited. The paper is organized as follows. Section 2 presents the related literature. Section 3 presents the model. Section 4 presents a numerical simulation exercise, for the partial and general equilibrium specifications of our model. Section 5 summarizes and concludes.",1
33,1,Economia Politica,12 January 2016,https://link.springer.com/article/10.1007/s40888-016-0022-6,On the volatility transmission between oil and stock markets: a comparison of emerging importers and exporters,April 2016,Elie Bouri,Riza Demirer,,Male,Male,Unknown,Male,"Volatility spillovers between the oil and stock markets have become an important issue for policy makers and financial market participants whose hedging decisions and energy policies are often affected by the uncertainty in the oil market. Clearly, higher oil prices may lead to higher production costs which in turn may affect corporate earnings and thus stock prices. Oil price shocks can also affect macroeconomic variables including GDP growth rates and inflation expectations (e.g. Hamilton 2005), which in turn can affect corporate earnings expectations. In fact, a number of studies including Chiou and Lee (2009) and Choi and Hammoudeh (2010) show that oil volatility shocks can lead to substantial stock market movements and volatility jumps. Considering that energy expenditures can account for a relatively large portion of GDP in developing nations, volatility in energy prices can present a major challenge if exposure to energy price fluctuations is not properly hedged. To that end, modelling volatility interactions between the oil and stock markets is a matter of particular importance for both corporations and policy makers in their strategies to manage energy price risks and mitigate the negative effects of cross-border shocks in their operations. While the theoretical linkages that relate oil and stock prices to common factors are not well established (Awartani and Maghyereh 2013), the empirical literature has often associated oil price risk with systematic risk factors, driving risk and return dynamics in stock markets. In fact, in a recent study, Demirer et al. (2015) show that oil price sensitivity of stocks can serve as a systematic risk proxy, leading to a significant and positive risk premium in stock returns. However, the literature on the volatility interactions across the oil and stock markets has largely focused on the stock markets of large, oil-importing countries and major exporting nations in the Gulf Cooperation Council (GCC) (e.g. Malik and Hammoudeh 2007; Arouri et al. 2011; Awartani and Maghyereh 2013). Clearly, as Filis et al. (2011) and Wang et al. (2013) note, the effect of oil price shocks on stock returns will be significantly different for importing and exporting countries. In this study, we provide a comparative analysis of the volatility transmissions across the oil and a number of emerging (oil) importers and exporters by performing the causality-in-variance test developed by Hafner and Herwartz (2006). Our findings suggest unidirectional volatility transmissions from oil prices to stock markets, particularly in the case of the net exporting nations of Kuwait, Saudi Arabia and UAE, while country-to-oil effects are largely ruled out. On the other hand, we observe significant volatility spillovers from oil prices to emerging importers during the post-global financial crisis (GFC) period, suggesting that emerging importers are not immune from oil market volatility spillovers as well. The findings suggest that the information on oil market volatility combined with the magnitude of volatility spillovers can be utilized towards modeling and monitoring volatility shocks in emerging stock markets. We conclude that policy makers who are concerned about stability in the stock markets can design and implement appropriate regulations and courses of action to effectively cushion the impact of oil volatility shocks on the domestic stock market. The rest of this paper is organized as follows. Section 2 provides a brief review of the vast literature on oil-stock market linkages. Section 3 presents the data and methodology. Section 4 discusses the empirical findings from volatility spillover causality tests and the impulse response functions; and Sect. 5 concludes the paper with a discussion of policy and investment implications.",32
33,1,Economia Politica,19 March 2016,https://link.springer.com/article/10.1007/s40888-016-0027-1,RCTs for better policy? The case of public systems in developing countries,April 2016,Sunil Mitra Kumar,,,,Unknown,Unknown,Mix,,
33,1,Economia Politica,24 February 2016,https://link.springer.com/article/10.1007/s40888-016-0024-4,"Discretionary policy, strategic complementarity and tax evasion: a strategic analysis of the Italian audit mechanism",April 2016,Bruno Chiarini,Simona Monteleone,,Male,Female,Unknown,Mix,,
33,2,Economia Politica,29 June 2016,https://link.springer.com/article/10.1007/s40888-016-0033-3,Europe in the new global economic governance: can we still make a difference?,August 2016,Marco Buti,,,Male,Unknown,Unknown,Male,"Global economic governance is undergoing dramatic changes. In the long term, it is expected that differential growth rates, combined with demographic developments, will shift global economic power from advanced to emerging and developing countries. The global financial crisis has accelerated this development. While in 1999 emerging and developing economies collectively accounted for 42 % of global GDP on a purchasing power parity basis, by 2014, they held 55 %, and this is expected to rise further to 61 % by 2020.Footnote 1 Against the background of an increasingly integrated global economy and important shifts in global economic weights, the effective governance of the world economy is becoming ever more important. Long-term trends in global economic governance are clear when looking at the evolution of the international monetary system. Historically, international monetary relations in the post-WWII era were governed by the Bretton Woods system. Its essential feature was a fixed exchange rate of all currencies vis-à-vis the US dollar, which reinforced the central role of the dollar in global governance. In the 1960s, the Bretton Woods system came under pressure, as the US dollar’s fixed value against gold was seen as overvalued due to the rising US current account deficit. The system dissolved between 1968 and 1973, and the major currencies commenced floating against each other permanently. Global economic governance has in recent decades evolved towards a more multipolar system. Monetary relations are no longer solely centred on the US dollar, but instead are built on several pillars, including the euro, the yen, the pound sterling, and a renminbi, which is growing in significance. The increasing role of the renminbi demonstrates the rise of emerging markets and developing countries in the international economy. The greater economic weight of emerging and developing countries means that they expect an increased role in global governance. The challenge will be to further open up the existing system to include the ‘newcomers’ in an appropriate way. Reforming global economic governance became unavoidable after the global financial crisis, which had profound systemic consequences. At the economic level, the crisis made clear the extent of global interdependence and spillovers. This meant that at the political and institutional level, the appropriate response was to step up international cooperation, resulting in the emergence of the G20 as a new forum for the coordination of economic policy. These changes affect the role and position of Europe in the world. The EU remains a key partner in the new global order. Depending on the measure, the EU accounts for 17 % (GDP based on PPP) or 24 % (GDP in nominal terms) of the global economy. The EU is also the world’s largest trading block and a leader in international investment. The central question is how to position the EU in a post-crisis world, and how we manage to punch according to our weight in the global economy. In what follows, I argue that in order to remain a leader in global economic governance, Europe will need to face up to a number of mainly domestic challenges, while at the same time making use of and enhancing its existing strengths.",1
33,2,Economia Politica,21 June 2016,https://link.springer.com/article/10.1007/s40888-016-0032-4,The ECB: a reluctant leading character of the EMU play,August 2016,Francesco Saraceno,,,Male,Unknown,Unknown,Male,"The global financial crisis that began in 2008 seems to slowly fade away, as the world economy continues to recover from the worst shock since the 1930s. Recovery is fragile and uneven: In particular, the EMU only recovered pre-crisis output levels at the end of 2015, and emerging economies may face difficult times ahead because their potential growth has been impacted by the crisis (and by increased geopolitical risks). Yet, even if revised downwards, the IMF global growth forecast for the years ahead is acceptable. The first phase of the crisis has been extensively discussed, and here we can just recall the salient facts: the unraveling of a small speculative sector of the US credit sector, the market for subprime loans, generated a cascading effect on the rest of the global financial system. Contagion was mostly due to the deregulation which allowed the proliferation of increasingly opaque financial instruments, spreading toxic assets in the portfolios of often unaware owners, and leading at the same time to excessive risk-taking and debt. When the US housing bubble burst, financial institutions worldwide, but also households and firms, rushed to sell their assets. This deleveraging process led to a credit crunch and to a drastic reduction of investment and consumption. The financial crisis therefore spilled to the real economy. The policy response followed the typical textbook recipes that are known since Keynes wrote the General Theory in 1936: on the one hand, the prompt intervention of central banks through massive credit to financial institutions prevented the meltdown of the financial sector. This injection nevertheless, was ineffective to restart the economy. In the process of deleveraging, banks, businesses and households shrank their balance sheet, thus reducing credit at a faster pace than liquidity was increased by central banks (Adrian and Shin 2010), which was therefore not turned into demand for goods and services. This liquidity trap, familiar to historians, made monetary policy lose traction, as was clear by the end of 2008. In line with Keynes’ prescriptions, fiscal policy then took the witness; in the spring of 2009, most advanced and emerging economies implemented massive stimulus plans that supported demand and put the economy on a recovery path, even if at the price of a generalized deterioration of public finances. The European economy, in particular Eurozone countries, began to diverge from the other advanced economies when Greece made public, in the fall of 2009, frauds in the management of public finances that had been going on for the previous decade. The Greek crisis revealed imbalances that went well beyond public finances’ irresponsibility in the Eurozone periphery (Saraceno 2013a). Since then, while the rest of the world economy is heading toward a recovery certainly fragile, but irreversible, the Eurozone is tangled into a never-ending crisis, which may still endanger the very existence of the single currency. The scope of this paper is to assess the response to the crisis looking both at the policies followed, and at the rules and institutions that the EMU has in place to ensure its governance. The focus will be on monetary policy that, most probably against the will of ECB presidents Trichet and Draghi, came to be at the forefront of the fight against the crisis. In a nutshell, I will argue that the ECB has been the only institution fighting against the breakup of the Eurozone, but mostly for the wrong reasons, i.e. the inertial and wrongheaded fiscal policy of Member States. I will then argue that this dysfunctional behavior of European policy makers is the fruit of a European version of the Washington Consensus, that has shaped institutions and, even more importantly the mindset of European policy makers. The structure of the paper is as follows: Sect. 2 will assess the precarious EMU health. The following section will build on previous work (Fitoussi and Saraceno 2013) to describe the theoretical underpinnings of the so-called Berlin–Brussels–Frankfurt (BBF) consensus. Section 4 will then will address the behavior of the ECB during the crisis, showing how it went as far as the treaties allowed, and sometimes beyond, to fight speculation and the threat of exit by peripheral countries. Section 5 will deal with what should be done to finally lift the EMU economy out of the crisis. I will argue that in a liquidity trap there is only so much a central bank can do, and that the answer lies in more active fiscal policy; this in turn would require modifying the current fiscal framework. The section will conclude asking whether a dual mandate, or even a triple mandate embedding fiscal stability, would better equip the ECB to fight recessions and foster economic growth.",6
33,2,Economia Politica,01 July 2016,https://link.springer.com/article/10.1007/s40888-016-0035-1,"The Pavitt Taxonomy, revisited: patterns of innovation in manufacturing and services",August 2016,Francesco Bogliacino,Mario Pianta,,Male,Male,Unknown,Male,"StudiesFootnote 1 on firms and industries face the challenge of understanding the sources, evolution and persistence of the very high heterogeneity found in key characteristics. The standard approach of mainstream economics—based on a “well-behaving” representative firm operating in well-defined market contexts—can hardly be reconciled with the extent of such heterogeneity.Footnote 2 Evidence from Bottazzi et al. (2010) for the period 1991–2004 shows that (labour) productivity differentials within French and Italian manufacturing firms in the same three digit sector, measured as ratios between the 95th percentile and the 5th percentile, range from 2 to 9. In US manufacturing, considering firms in the same 4 digits industries, Syverson (2011) reports an average p90-p10 difference in (log total factor) productivity around 2. This heterogeneity appears to be pervasive across countries and persistent over time; similar results have emerged from studies on firm size, efficiency, profitability, innovation, and growth rate (Moreno and Coad 2015; Colombelli et al. 2014a). The search for alternatives to the mainstream approach needs to identify the key factors shaping heterogeneity while getting rid of the “noise” of individual observations, so that causal relationship can be explored. The Pavitt Taxonomy (Pavitt 1984) considered the nature, sources and patterns innovation, as well as firm size and market structure, identifying four classes: Science Based Industries, Specialized Suppliers Industries, Scale Intensive industries, Supplier Dominated industries. Its empirical base was the Science Policy Research Unit (SPRU) database on innovation in UK firms, and it convincingly identified regularities and differences among firms and industries, becoming a milestone in innovation and business studies. It was developed in parallel to work on evolutionary/Neo-Schumpeterian approaches (e.g. Freeman 1982; Dosi 1982, 1988) exploring the importance of diversity in economic activities. The original work was focused on manufacturing (putting the entire service economy in the suppliers dominated class); a more recent literature has used a similar approach for investigating innovative activities in services (Tidd et al. 2005; Gallouj and Savona 2009). Efforts to extend or redefine industrial or firms taxonomies have usually focused on the production/innovation side, trying to cluster economic units according to their characteristics and strategies. However, one of the advantages of the Pavitt Taxonomy was its ability to fit the diversity of industries in the context of the relationship between innovation and economic performance. This article reassesses the Pavitt Taxonomy and extends it to service industries on the bases of systematic empirical evidence; using a complex array of techniques, we provide a grouping that incorporates varieties of input and innovative strategies and differences in the nexus innovation-performance. Focusing on regularities at the industry level for both manufacturing and services, we propose and test a Revised Pavitt Taxonomy. A major novelty of this article is the systematic and detailed use of empirical evidence and statistical tests, using the rich information provided by European Community Innovation Surveys (CIS).Footnote 3 They account for different dimensions of innovative efforts, addressing the nature of innovation, its sources, strategies, cost, outcomes and economic relevance. This analysis is based on the sectoral innovation database (SID), developed at the University of Urbino, which provides data from three waves of the CIS for 38 manufacturing and services industries in eight European countries (Pianta et al. 2015). Our methodology uses a variety of statistical tools—descriptive statistics, distributional tests, principal component and regression analyses—to test the stability of the Revised Pavitt Taxonomy over time and across countries. Our findings confirm that the four classes originally identified by Pavitt still hold after a proper placement of service industries—including ICT intensive activities. Moreover, the Revised Pavitt Taxonomy is able to account for the diversity in the determinants of innovation and in the innovation-performance link across European industries. This article proceeds as follows: Sect. 2 discusses heterogeneity and introduces our approach; Sect. 3 reviews the literature on applications and extensions of the Pavitt Taxonomy; Sect. 4 presents the Revised Pavitt Taxonomy and its empirical grounding, Sect. 5 provides some econometric tests. Section 6 briefly concludes.",71
33,2,Economia Politica,27 April 2016,https://link.springer.com/article/10.1007/s40888-016-0029-z,"Regional agreements, trade cost and flows in the Pacific",August 2016,Dibyendu Maiti,Sunil Kumar,,Unknown,,Unknown,Mix,,
