Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
12,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621292,Basic economic trends in west berlin 1974/75,January 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,2,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621337,The soviet pensioner,February 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,2,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621336,"The use of heating oil and coal in west Germany’s manufacturing industry, 1960 to 1974",February 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,3,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621338,Stagnation of investment jeopardises growth path,March 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,3,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621339,Developing countries on the way to industrialisation,March 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,4,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621331,The GDR economy at the turn of 1974/75,April 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,5,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621450,The effect of western inflation on east-west trade,May 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,5,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621451,Problems of financing oil-induced current account deficits,May 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,6,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621374,The effects of the new foreign trade prices in the CMEA countries,June 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,6,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621373,Moderate wage expansion coupled with high unemployment,June 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,7,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621358,New efforts to promote European integration — a flash in the pan?,July 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,8,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621362,Increase in the dependence of West German jobs on visible exports between 1970 and 1974,August 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,8,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621361,West germany: end of the downswing,August 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,9,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621288,West Germany’s foreign trade: decline in exports comes to a halt,September 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,9,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621289,The economic situation in the GDR in mid-1975,September 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,10,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621360,The GDR’s long-term housebuilding programme,October 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,10,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621359,"People’s Republic of China: slower growth, more foreign trade",October 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,11,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621290,The European Community as an export market for the developing countries,November 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,11,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621291,Utilisation of industrial capacity,November 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,12,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621334,Milk-the European community’s most costly farm product,December 1975,,,,Unknown,Unknown,Unknown,Unknown,,
12,12,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02621335,Private consumption of goods in the CMEA countries,December 1975,,,,Unknown,Unknown,Unknown,Unknown,,
13,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02614624,Central bank policy in 1976,January 1976,,,,Unknown,Unknown,Unknown,Unknown,,
13,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02614625,Trends in production costs in West German manufacturing industry,January 1976,,,,Unknown,Unknown,Unknown,Unknown,,
13,2,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02614618,Return to overall economic balance through expansion?,February 1976,,,,Unknown,Unknown,Unknown,Unknown,,
13,2,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02614619,Trends in eastern Europe’s electricity supply,February 1976,,,,Unknown,Unknown,Unknown,Unknown,,
13,3,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02614708,Main economic trends in 1976,March 1976,,,,Unknown,Unknown,Unknown,Unknown,,
13,3,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02614709,West Germany: new upturn,March 1976,,,,Unknown,Unknown,Unknown,Unknown,,
14,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF03186548,First signs of a moderate rise in manufacturing employment,January 1977,,,,Unknown,Unknown,Unknown,Unknown,,
14,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF03186549,The GDR's state budget 1973 to 1976,January 1977,,,,Unknown,Unknown,Unknown,Unknown,,
14,2,Economic Bulletin,,https://link.springer.com/article/10.1007/BF03186550,The CMEA countries’ energy supplies marked by rising prices,February 1977,,,,Unknown,Unknown,Unknown,Unknown,,
14,2,Economic Bulletin,,https://link.springer.com/article/10.1007/BF03186551,High unemployment in the European community,February 1977,,,,Unknown,Unknown,Unknown,Unknown,,
14,3,Economic Bulletin,,https://link.springer.com/article/10.1007/BF03186552,Main economic trends in 1977,March 1977,,,,Unknown,Unknown,Unknown,Unknown,,
15,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02302851,Forecast summary,February 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02302852,The world economy in 1978,February 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02302853,The German economy: Forecast Background,February 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02302854,The 1978 forecast,February 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02302855,1978 sector commentary,February 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02302856,Policy recommendations,February 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,1,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02302857,Forecast tables,February 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,2,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02229005,The GDR economy in 1978,March 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,2,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02229006,West German growth resumes,March 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,3,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02230323,Economic report currency uncertainty slows down recovery,April 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,3,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02230324,Rising unemployment to 1985? Prospects and a strategy,April 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,4,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02238352,The world economy,May 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,4,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02238353,The West German economy in spring 1978,May 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,4,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02238354,Co-ordinated growth policy needed to overcome dollar troubles,May 1978,,,,Unknown,Unknown,Unknown,Unknown,,
15,5,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02315996,Economic report,June 1978,Karin MÜller-Krumholz,,,Female,Unknown,Unknown,Female,,1
15,5,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02315997,The economic situation in the CMEA countries,June 1978,Jochen Bethkenhagen,Maria Lodahl,Maria Elisabeth Ruban,Male,Female,Female,Mix,,
15,6,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02227142,Economic report,July 1978,Horst Seidler,,,Male,Unknown,Unknown,Male,,
15,6,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02227143,Employment and pay in West Germany in 1977,July 1978,Gerhard Göseke,,,Male,Unknown,Unknown,Male,,
15,7,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02329907,Economic report,August 1978,Horst Seidler,,,Male,Unknown,Unknown,Male,,
15,7,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02329908,Slowdown in the Soviet economy in 1977/78,August 1978,Heinrich Machowski,Maria Elisabeth Ruban,,Male,Female,Unknown,Mix,,
15,8,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02296666,Economic report,September 1978,Karin Müller-Krumhoz,,,Female,Unknown,Unknown,Female,,
15,8,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02296667,Raw materials from the deep sea: what implications for land-based mining in developing countries?,September 1978,Dieter Kamphausen,,,Male,Unknown,Unknown,Male,,2
15,9,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02230310,Economic report,October 1978,Horst Seidler,,,Male,Unknown,Unknown,Male,,
15,9,Economic Bulletin,,https://link.springer.com/article/10.1007/BF02230311,China: technology imports to speed up growth,October 1978,Ernst Hagemann,,,Male,Unknown,Unknown,Male,,
