Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02510834,Introduction,March 1961,John Sanness,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02513407,Östökonomien-Aktuelle utviklingstrekk Sammendrag fra sovjetisk fagpresse,March 1961,H. Hallaråker,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02510835,The seminar,March 1961,Harald Hallaråker,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02513408,Per GUSTAVSEN: Bankvesenet i den sovjetiske ökonomi,March 1961,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02510836,"Economic development in the Soviet Union and Eastern Europe, with special reference to statistics",March 1961,Michael Kaser,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02513409,Robert F. Lamberg: Tendenser i Östblokkens landbruk,March 1961,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02513410,Oversettelser,March 1961,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02510837,Operational aspects of Soviet economy,March 1961,Maurice Dobb,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02513411,Nye böker,March 1961,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02510838,Notes on the economic relations between the East European countries,March 1961,Knud Erik Svendsen,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02513412,Statistisk materiale om Sovjetsamveldets utenrikshandel,March 1961,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02510839,Economic planning and the growth problem in Developing Countries,March 1961,Ragnar Frisch,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Economic Change and Restructuring,,https://link.springer.com/article/10.1007/BF02510840,Economic problems in a rich country: Capitalism versus socialism,March 1961,Leif Johansen,,,Male,Unknown,Unknown,Male,,1
