Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Economic Theory Bulletin,28 May 2013,https://link.springer.com/article/10.1007/s40505-013-0014-4,Editorial,May 2013,David K. Levine,Nicholas C. Yannelis,,Male,Male,Unknown,Male,,
1.0,1.0,Economic Theory Bulletin,04 April 2013,https://link.springer.com/article/10.1007/s40505-013-0010-8,Incentive compatibility of rational expectations equilibrium in large economies: a counterexample,May 2013,Yeneng Sun,Lei Wu,Nicholas C. Yannelis,Unknown,,Male,Mix,,
1.0,1.0,Economic Theory Bulletin,05 April 2013,https://link.springer.com/article/10.1007/s40505-013-0013-5,Using oriented volume to prove Sperner’s lemma,May 2013,Yakar Kannai,,,Male,Unknown,Unknown,Male,"Sperner’s (1928) well-known lemma is used to prove the Brouwer fixed point theorem (and is actually equivalent to it), and has been used frequently, along with various generalizations, to establish fundamental results in game theory and in economics (see e.g. in Kannai 1992; McLennan and Tourky 2008; Scarf 1982; Shapley and Vohra 1991 and in the references quoted there). Motivated by the wish to provide a proof “sufficiently short or intuitively appealing to be attractive in the context of texts on mathematical economics”, a proof which can be “reasonably be assumed to be part of the prior knowledge of students studying mathematical economics, at least at the advanced level” was supplied in McLennan and Tourky (2008).Footnote 1 The proof of Sperner’s lemma provided in Kannai (1992) is based (via Kannai 1981) on an argument involving volume (as in McLennan and Tourky 2008), but involves “advanced calculus”, unfortunately not too familiar to the present generation of students studying mathematical economics. In the present note we provide an elementary proof of Sperner’s lemma, inspired both by McLennan and Tourky (2008) and the method of Kannai (1992) and Kannai (1981). This proof uses the concept of oriented volumeFootnote 2 rather than the volume itself, but requires no extra parameter for homotopy. Observe that we actually prove a stronger form of Sperner’s lemma (the oriented version), due to Brown and Cairns (1961), see Sect. 4. Sperner’s lemma is stated and proved in Sect. 2, where the necessary concepts are recalled for convenience of the reader. (For completeness we follow McLennan and Tourky (2008) and define affine dependence, simplices, and triangulations.) The main technical tool is the Main Lemma, establishing equality (2) of the oriented volume of the image of a simplex with the sum of the oriented volumes of images of the simplices in a triangulation of the simplex under a Sperner labeling. In Sect. 3, a proof along similar lines is provided for generalizations of Sperner’s lemma, such as the Sperner–Shapley’s lemma, [this generalization is useful, e.g., in proving Scarf’s theorem on non-emptyness of the core of a balanced game, see Shapley (1973) and also Kannai (1992)], and for more general forms (used for example in Section 7 of Scarf 1982). In addition, the Main Lemma is generalized to a certain class of pseudomanifolds with boundaries. In Sect. 4, we comment on relations between arguments and results described in this note and well-known ideas. As stated earlier, the prerequisites needed for understanding Sect. 2 are minimal. In Sect. 3, we use freely standard topological concepts and terminology, such as may be found, e.g., in Seifert and Threlfall (1980) or Spanier (1966). I am very much indebted to Prof. H. E. Scarf for several very useful comments.",2
1.0,1.0,Economic Theory Bulletin,11 April 2013,https://link.springer.com/article/10.1007/s40505-013-0011-7,On the existence of coalition-proof Bertrand equilibrium,May 2013,R. R. Routledge,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economic Theory Bulletin,01 April 2013,https://link.springer.com/article/10.1007/s40505-013-0009-1,Eliciting beliefs by paying in chance,May 2013,Alvaro Sandroni,Eran Shmaya,,Male,Male,Unknown,Male,"Several mechanisms, often called proper scoring rules, incentivize an expert to honestly report his subjective probabilities. However, these mechanisms often assume that the expert is risk neutral or that the expert’s preferences over risk are known. Recently, Karni (2009) showed a novel mechanism that induces truth reporting even if the expert’s preferences over risk are not known. Lambert (2011) characterizes the mechanisms that induce truthful-revelation with unknown preferences. In this paper, we describe a very simple principle that can also be used to dispose the assumption that the expert’s preferences are known when beliefs are elicited. There are two monetary rewards. The expert receives the greater reward with odds proportional to a proper scoring rule. Payments based on this principle delivers incentives for an expert to truthfully reveal what he knows, even if his attitudes toward risk are unknown. We present two examples to illustrate the use of this principle. In the first example, we consider a traditional proper scoring rules (the Brier Score). In the second example, we consider Prelec (2004) “Truth Serum” which elicits honest opinions in the absence of any data. In both cases, the original mechanism is based on known preferences. We show how to transform these mechanisms, with the principle mentioned above, so that the assumption of risk-neutrality (or known attitudes towards risk) are disposed. While we provide no general results, we hope that these two examples illustrate the basic principle clearly.",5
1.0,1.0,Economic Theory Bulletin,25 March 2013,https://link.springer.com/article/10.1007/s40505-013-0006-4,Revealed cardinal preference,May 2013,József Sákovics,,,Male,Unknown,Unknown,Male,"Assume that there are two discrete goods, A and B, and two observations: when the price vector is \((p_{A}^{1}=1,p_{B}^{1}=3)\), the consumer chooses B, when the price vector is \((p_{A}^{2}=1,p_{B}^{2}=2)\) she chooses A. Intuitively, this does not seem to be rational behavior: a decrease in the price of B has made the consumer switch away from it. However, according to the accepted theory of revealed preference (for a synopsis, see Varian 2006), these choices are consistent with the consumer maximizing a(n ordinal) utility function subject to a budget constraint: any utility function that assigns a higher value to B than to A is acceptable.Footnote 1 How come? The reason is implicit in the definition of the hypothesis we are testing. As each observation corresponds to a different decision, even if the preferences are assumed constant, the budgets are allowed to vary. Consequently, there seem to be “ too many” degrees of freedom: as we cannot reject the possibility that in the second experiment the consumer had a budget less than 2, the second observation is effectively discarded. To resolve this problem, I suggest that we should discard the notion that the consumer is budget constrained, instead. To replace the budget constraint—following Marshall (1890)—assume that the consumer is endowed with a marginal utility for money, \(\lambda .\) Now both observations count and we have two inequalities that need to be satisfied for the data to be consistent with our new definition of rationality: Substituting in It is immediate that, despite having an additional constraint, consistency can be assured: as long as \(\lambda _{2}\ge 2\lambda _{1},\) there exist (cardinal) utility levels such that both inequalities are satisfied.Footnote 2 That is, if (and only if) we cannot reject the possibility that the consumer values money at least twice as much in the second experiment, the data continue to be reconciled with the—modified—theory. So far it seems that the two modeling assumptions are operationally equivalent. Not quite so! Unlike budgets, the marginal utility of money is not mercurial: barring significant shocks to lifetime(!) wealth occurring between the experiments, \(\lambda \)—understood as the value of an extra dollar to the consumer in the rest of her life—should be (at least, approximately) constant across the observations. Taking this on board, our consistency conditions become which obviously cannot be satisifed for any \(\lambda >0.\)
 Consequently, appealing to the “stickiness” of marginal utility of money, we can refine GARP, so that the result of the test agrees with our intuition. At the same time, we have surreptitiously introduced a “partial equilibrium” model of consumer choice as the paradigm of rationality. In the next section, we show that the example generalizes.",5
1.0,1.0,Economic Theory Bulletin,30 March 2013,https://link.springer.com/article/10.1007/s40505-013-0008-2,On seller estimates and buyer returns,May 2013,Alex Gershkov,Flavio Toxvaerd,,Male,Male,Unknown,Male,"Asymmetry of information is pervasive in markets for financial assets. Sellers of assets such as shares of newly floated companies as well as objects of fine art may have better information about true values than potential buyers, and have an inherent interest in distorting sales prices upwards. This fact raises the concern that buyers may be lead to overpay for assets and let themselves be fooled by information supplied by the seller. The empirical evidence seems inconclusive. Bradshaw et al. (2003) confidently assert that “[the] evidence [...] suggests that investors are systematically fooled by analyst hype”. If such conclusions are taken at face value, we are facing a potentially huge problem of market inefficiency which casts a shadow on the investment advice provided by sellers of assets. It is therefore of great importance to study the robustness and interpretations of studies suggestive of such sell-side manipulation and buyer gullibility. In recent empirical research, Mei and Moses (2005) describe and study a natural experiment that occurred in the market for fine art. Prior to 1973, buyers of art at auction houses such as Sotheby’s and Christie’s largely relied on own information and research when valuing pieces put up for sale. After 1973, both auction houses publicly announced valuations of all items offered for sale. This situation provides an ideal context within which to test the effects that announced seller valuations have on prices of assets. Their main findings can be summarized as follows: (i) Auctioneer price estimates are biased, (ii) Bidders tend to pay more for objects with high auctioneer price estimates and (iii) The introduction of auctioneer price estimates caused long-term under performance of auctioned objects. The authors take these findings to suggest that buyers of art are credulous and that auction houses exploit this fact to further their own interests. In this paper, we revisit these findings by providing a simple formal model of the aforementioned natural experiment, in which all bidders are fully rational. Within this model, we show that it is consistent with equilibrium behavior for bidders to bid more aggressively for items with higher announced valuations and that the shift from a regime without public valuations to one with such valuations can lead to a decrease in long-term returns for bidders. Mei and Moses’ (2005) finding (i), i.e. that auctioneer estimates are biased (significantly so, although the bias is quite small), should be contrasted to previous studies that fail to find the existence of bias, such as Keane and Runkle (1988). McAndrew et al. (2012) argue that the bias found in previous studies stems from the exclusion in the data of assets that do not reach the reserve price (and are thus not traded). They show that once all auctioned objects are considered (sold and unsold alike), there is no evidence of bias. In a related paper, Sproule and Valsan (2006) consider a hedonic model of art auctions and find that it has no better predictive power than those of estimates provided by sellers of the assets. In itself, estimation bias is not of interest in the current context unless bidders are found to react to announced price estimates. In other words, if bidders were oblivious to announced price estimates, such estimates would be inconsequential. This motivates Mei and Moses’ (2005) analysis of bidder reactions to public price estimates. They find that bidders tend to pay more for items with higher announced auctioneer price estimates. What should or can one conclude based on such an observation? Clearly, were it indeed the case that auction houses and sellers of assets were manipulating information and exploiting gullible bidders by providing them with biased price estimates, such a finding would be expected. Unfortunately, concluding that bidders are gullible would be premature, since such a pattern in price reactions is equally consistent with a more benign state of affairs, namely that sellers truthfully reveal the information they possess and that bidders in turn rationally bid more aggressively for higher value items. This difficulty leads to the natural experiment provided by the introduction of public price estimates in 1973. The approach adopted by Mei and Moses (2005) is to consider what effects the regime change had on bidder returns. If the introduction of price estimates changed bidder returns to the worse, they argue, this would constitute prima facie evidence that bidders are being misled by the manipulated information provided by auction houses. Specifically, their analysis is as follows. They consider a large data set of prices of items for which three consecutive sales have been recorded. This allows us to determine the effects (if any) that the introduction of price estimates had on returns to a particular item over different holding periods (i.e. the adjusted change in price from the date at which the item was acquired until the date at which it was resold). Figure 1 shows their setup schematically. For some part of the data set (scenario A), the first sale occurred prior to 1973 while the next two sales occurred after 1973. The remaining part of the data set (scenario B) consists of items which had two recorded sales prior to 1973 and one recorded sale after. The two scenarios under the two regimes The strategy of their analysis is as follows. If, as the authors conjecture, the introduction of price estimates creates an upward pressure on prices, only items sold in the second regime (i.e. post price estimate introduction) would be thus influenced. In turn, this would mean that the return in holding period 1 (from \(t=1\) to \(t=2\)) in scenario A would be larger than the return in holding period 1 in scenario B. Similarly, the return in holding period 2 (from \(t=2\) to \(t=3\)) in scenario A should be lower than the return in holding period 2 in scenario B. Below, we shall argue that both findings (ii) and (iii) in Mei and Moses (2005) are consistent with fully rational behavior and furthermore that both observations are essentially reflections of the same mechanisms at work. As a consequence, their result (i) also becomes irrelevant. Specifically, our setup is as follows. We consider two different regimes, consistent with the situations prevailing before and after the introduction of auctioneer valuations. In the first regime, bidders receive private signals before participating in a standard English auction. No further information is disclosed before bidding takes place. In the second regime, everything is as in the first regime, with the difference that before bidding takes place, the auctioneer publicly announces all bidders’ signals. We then go on to study two different scenarios, like scenarios A and B in Mei and Moses’ (2005) study. We show that in equilibrium, the return in holding period 1 in scenario A is larger than the return in holding period 1 in scenario B. Similarly, we show that the return in holding period 2 in scenario A is lower than the return in holding period 2 in scenario B. In short, we show that the decrease in long-term return on assets during holding periods that straddle the introduction of publicly announced auctioneer valuations are due to the fact that more information is released, which in turn prompts bidders to rationally bid more aggressively than they otherwise would have.",2
1.0,1.0,Economic Theory Bulletin,25 March 2013,https://link.springer.com/article/10.1007/s40505-013-0007-3,Making efficient public good decisions using an augmented Ausubel auction,May 2013,Matt Van Essen,,,Male,Unknown,Unknown,Male,"After almost 50 years of research on incentive design, it remains unclear whether a practical institution can be designed to overcome free-riding incentives in a public good environment. While this problem is easier if agents reveal their preferences to a decision maker, agents’ interests are not typically aligned with those of the decision maker. As a result, agents may misrepresent their preferences. In this paper, we look to recent contributions in dynamic private good auctions and experimental economics to give us insight into a new, and hopefully improved, way of overcoming the “preference revelation” problem in a public good setting. Early work in this area came from Vickrey (1961) in a private good setting. He proposed an auction which efficiently allocates multiple units of a homogeneous good by encouraging revelation of preferences as a dominant strategy. His mechanism was later generalized by Clarke (1971) and Groves (1973) to accommodate public goods. Loeb (1977) shows the Vickrey auction can also be re-defined to make efficient public good decisions. These mechanisms are known as VCG mechanisms and have generated a large literature.Footnote 1 Despite the theoretical interest in VCG mechanisms, Rothkopf (2007), and others, have argued they are not practical due to lack of privacy preservation. Intuitively, an auction is privacy preserving for a bidder if, when the auction ends, the seller cannot construct a complete demand schedule for that bidder. A second price sealed bid auction, for example, is not privacy preserving since at the end of the auction a seller knows all the valuations. This feature encourages practices like ‘shill’ bidding and may dissuade bidders from participating. Privacy preservation is also a concern in public good settings, where consumers prefer the government not know their true valuations. A potential solution to this critique is to use a dynamic auction to make allocation decisions. A Japanese auction, for example, is outcome equivalent to the second price sealed bid auction, but preserves the privacy of the winning bidder. In this auction, an auctioneer slowly raises the price and bidders signal each round whether they want to continue and drop out if the price becomes too high. The last bidder still in the auction wins and pays the price the second to last bidder dropped out at. However, unlike the second price auction, the winner never reveals his maximum willingness to pay. Thus, in a dynamic setting the auction can stop before bidders can reveal their whole valuation schedule. Ausubel (2004) introduced a dynamic auction that retains the nice revelation properties of the private good multi-unit Vickrey auction, is outcome equivalent to the Vickrey auction, and preserves the privacy of some of the bidders.Footnote 2 In addition, this auction has been more “behaviorally” successful than its sealed bid counterpart when tested in the laboratory. Kagel and Levin (2001) find that bidders in the private good Ausubel auction do, in general, bid truthfully when compared with bidders in uniform price sealed bid auctions. In a follow up paper, Kagel and Levin (2001) compare the private good, multi-unit Vickrey auction against the private good Ausubel auction with different information feedback treatments finding the Ausubel auction outperforms the Vickrey auction.Footnote 3 The authors credit these results to the relative transparency of Ausubel’s auction. We define and study the public good Ausubel auction. The intuition for the transition is simple. In the private good Ausubel setting, all bidders take the auctioneer’s price as given and respond with (potentially) different quantity bids.Footnote 4 In a public good setting, bidders face a uniform quantity of the public good, by definition, but have (potentially) different marginal valuations for each unit. Thus, it is natural to re-define the private good Ausubel auction by using an ascending “quantity” auction instead of an ascending “price” auction. In this new mechanism, the auctioneer starts by calling out a low quantity (instead of a price) and individuals respond by submitting value bids (instead of quantity bids). If the bids exceed the marginal cost (i.e., supply for that unit), the auction continues and the auctioneer increases the quantity. This process continues until the sum of the bids no longer exceeds the marginal cost—i.e., until there is no longer excess inverse demand for the public good. Truth telling is made incentive compatible by adopting a variation of Ausubel’s “clinching rule” to determine the individuals’ taxes. The resulting auction is the ascending quantity Ausubel auction (AQ-AA) and it has a number of nice features. We show the AQ-AA is privacy preserving, that truthful revelation of bidders’ valuations is supported as an equilibrium in a variety of strategic environments, and that auction is outcome equivalent to the public good Vickrey auction. However, not all of the properties of the AQ-AA are ideal in a public good setting. We conclude the paper by discussing two shortcomings of the AQ-AA that do not appear in the private good Ausubel auction and introduce a dynamic auction with similar strategic properties that corrects these problems.",1
1.0,1.0,Economic Theory Bulletin,11 April 2013,https://link.springer.com/article/10.1007/s40505-013-0004-6,The (im)possibility of collective risk measurement: Arrovian aggregation of variational preferences,May 2013,Frederik S. Herzberg,,,Male,Unknown,Unknown,Male,"Consider a committee that has to compare several risky positions on a financial market. One obvious example from the recent past would be a panel of various supervisory authorities and public financial institutions, assessing various government bonds by means of several continuous convex risk measures. We ask the question whether it is possible to find a mechanism for merging, in a rational and systematic manner, the resulting differing risk assessments into a single risk assessment, one financial position at a time. It will turn out that for finite electorates, this is not the case; hence, a panel as in the above example should agree on a single risk measure from the outset. In the case of infinite electorates, however, we shall see that rational and systematic aggregation rules for preferences representing convex risk measures do exist; this observation entails a microfoundation for macroeconomic models with, for example, Hansen’s and Sargent’s (2001) multiplier preferences. What is needed to arrive at these results is a theory of collective decision making with respect to (continuous) convex risk measures. The main clue will be to identify (negated) continuous convex risk measures with their decision-theoretic counterparts, viz. variational preferences, (via their maxmin-expected-utility-plus-penalty representation) and to apply recent results from abstract aggregation theory. Convex risk measures can be represented as negated maxmin expected utility functions with additive convex lower semi-continuous penalty (Föllmer and Schied 2002, 2004), which in turn are in a one-to-one correspondence with the set of so-called variational preference relations (Maccheroni et al. 2006). Given such an individual decision-theoretic foundation for convex risk measures, it is only natural to study the aggregation problem for convex risk measures as an aggregation problem for variational preference relations. The original, Arrovian preference aggregation theory [originating with Arrow’s (1963) famous impossibility theorem; for concise proofs, cf. Fishburn (1970) and Yu (2012)] does not provide suitable methods to study the aggregation of variational preferences. Even the assumptions in the rich literature on Arrovian social choice on economic domains—cf. e.g. Maskin (1976, 1979), Kalai et al. (1979) or Moulin (1980) for important early contributions as well as Le Breton and Weymark (2002, 2010) and Bossert and Weymark (2006) for more recent work and surveys—are too restrictive for the purposes of the present paper. [For instance, many contributions in this body of literature require the alternatives to form a non-negative orthant and the population to be finite; the only theorem in this literature that might be considered a special case of our results in this paper is the analogue of Arrow’s impossibility theorem for expected-utility preferences which Le Breton proved in his habilitation thesis Le Breton (1986), cf. also Le Breton and Weymark (2010).] That said, there is also a (“non-Arrovian”) literature on the aggregation of (generalisations of) expected-utility preferences. This body of literature originated with Harsanyi’s (1955) paper on the aggregation of von Neumann and Morgenstern (1944) expected-utility preferences and has seen numerous contributions by diverse other authors. For example, the Paretian aggregation of subjective expected-utility preferences has been studied (motivated by a Bayesian view of probabilities) by, e.g. Hylland and Zeckhauser (1979), Seidenfeld et al. (1989), and Mongin (1995). Gilboa et al. (2004) even generalise Harsanyi’s (1955) and Mongin’s (1995) characterisations (of social welfare functions as convex combinations of individual utility functions) to a setting where both the utility functions and the probability measures are subjective. Furthermore, Mongin (1998) investigated the aggregation of state-dependent expected-utility preferences, while the aggregation of an even richer class of preference orderings [that includes the Gilboa and Schmeidler (1989) maxmin expected-utility preferences] has been studied quite recently by Gajdos et al. (2008). For all its merits, this body of literature generally does not impose Arrow’s (1963) axiom of independence of irrelevant alternatives (let alone systematicity) and, therefore, should not be considered a branch of Arrovian aggregation theory; in addition, the contributions in this literature typically only consider the case of finitely many individuals. In contrast, the present paper does assume the systematicity axiom (a stronger sibling of the independence axiom), thus placing itself more firmly within the Arrovian current of aggregation theory, and studies the case of infinite electorates as well. The scope of Arrovian aggregation theory has developed considerably during the past decade. It now encompasses aggregation problems of very general form, including even the aggregation of general logical propositions. This area, known as judgment aggregation theory or abstract aggregation theory, has seen seminal contributions by List and Pettit (2002), Dietrich and Mongin (2007), Nehring and Puppe (2007), Dokow and Holzman (2010), Dietrich and List (2007, 2008, 2010); for a survey, see List and Puppe (2009). A very recent development in this area is the investigation of the aggregation of more general propositional attitudes which allows for a unified treatment of both judgment aggregation and probabilistic opinion pooling (cf. McConway (1981) for a seminal contribution to the latter area), cf. Dietrich and List (2010). One of the recent and less well-known generalisations of classical (Arrovian) preference aggregation theory within judgment aggregation theory is concerned with the aggregation of relational structures (model aggregation). This approach can best be seen as a continuation of Lauwers and Van Liedekerke’s far-sighted paper Lauwers and Van Liedekerke (1995) and was elaborated systematically recently by Herzberg and Eckert (2012a, b).Footnote 1 It is a rather natural methodological choice to employ model aggregation theory in our analysis of variational preference aggregation, on account of the intrinsic emphasis which model aggregation theory lays on semantics (in comparison with most of the judgment aggregation literature) and also because of its historical roots in preference aggregation theory through the work of Lauwers and Van Liedekerke (1995). In the present paper, the methodology of model aggregation theory will enable us to prove variational analogues of two of the most important (im)possibility theorems of Arrovian social choice theory—those of Arrow and Fishburn—, and to propose a potential analogue of Campbell’s theorem in a generalised variational setting. Moreover, it may well be possible to apply the same proof methodology to obtain similar results for multiple priors preferences (which can be represented by coherent risk measures) and perhaps ultimately even for dynamic variational or multiple priors preferences. The paper is structured as follows: Sect. 2 reviews the axioms and the representation theorem of variational preferences and relates them to convex risk measures. Section 3 proposes a formal framework for an Arrovian aggregation theory of variational preferences, within which Sect. 4 formulates the main (im)possibility results of this paper. Section 5 then describes briefly the ideas behind the proof methodology (model aggregation theory), while Sect. 6 discusses possible extensions and future research. In an Appendix, we also apply Dietrich and List (2010) account of majority voting to the problem of variational preference aggregation. The fruit is a possibility theorem, but at the cost of considerable and—at least at first sight—rather unnatural restrictions on the domain of the variational preference aggregator.",4
1.0,1.0,Economic Theory Bulletin,27 March 2013,https://link.springer.com/article/10.1007/s40505-013-0001-9,First-price auctions on general preference domains: axiomatic characterizations,May 2013,Tsuyoshi Adachi,Takumi Kongo,,Male,Male,Unknown,Male,"In this study, an auction is theoretically studied under a standard setting, an allocation problem of an indivisible item among multiple agents, each of which is interested in obtaining the item by paying some amount of money.Footnote 1 The value of an item being sold differs from agent to agent so that the amount of money they are willing to pay for obtaining the item also differs from agent to agent. By considering every agent’s preference on the pair of the item and payment, an auction format decides (1) whether the agent obtains the item and (2) the amount of money each agent pays.Footnote 2
 Second-price auctions (Vickrey 1961, generally referred to as Vickrey auctions) and first-price auctions are two well-known auction formats. In both formats, the agent who represents the highest willingness to pay obtains the item (when multiple agents represent the equally highest willingness to pay, a prearranged tie-breaking system is applied to choose one of them); agents who do not obtain the item pay nothing. The difference between the two famous auction formats lies in the payment by the agent who wins the auction. According to the second-price rule, the winner pays the amount of money equal to the second highest willingness to pay among agents, while in first-price auctions, the highest willingness to pay, that is, one’s own. This slight difference causes considerable distinctions between properties of the two formats. Among them, one of the most important properties of second-price auctions is strategy-proofness, which requires that each agent’s stating his true preferences does not worsen his welfare. By focusing on strategy-proofness, second-price auctions are axiomatically characterized in various ways (Holmstrom 1979; Chew and Serizawa 2007; Saitoh and Serizawa 2008; Sakai 2008; Sakai 2013; Adachi 2012; Ashlagi and Serizawa 2012). Meanwhile, although their payment rules are simple, first-price auctions have not been well-investigated from an axiomatic point of view. First-price auctions apparently fail to be strategy-proof. Even though his willingness to pay is the highest, an agent representing his true preference obtains essentially nothing, because the agent obtains the item by paying exactly the same amount of money as the value of the item, which is equivalent to obtaining nothing without paying. Thus, ordinarily, every agent is inclined to understate his valuation of the item in first-price auctions. This type of strategic behavior stems from the fact that the winner’s payment amount is determined by the winner’s willingness to pay. This self-deterministic payment property in first-price auctions is compatible with non-bossiness (Satterthwaite and Sonnenschein 1981), which is another important property related to agents’ strategic behavior.Footnote 3 Non-bossiness requires that an agent stating a false preference has no influence on others unless it influences the agent. Essentially, first-price auctions have this property.Footnote 4 Obviously, in first-price auctions, the winner is not able to change the outcome for other agents while maintaining himself as a winner. Any agent other than the winner does not change the payment of others unless he becomes a winner; however, in this case, the outcome for the agent has also been changed. In contrast, second-price auctions lack non-bossiness because the payment amount for the winner relies on others’ willingness to pay. An agent other than the winner is able to change the winner’s payment while keeping the outcome for himself unchanged by increasing his willingness to pay not more than the winner’s one but more than the second highest one. Therefore, a clear distinction between second- and first-price auctions is captured by the difference between strategy-proofness and non-bossiness—two major axioms concerning agents’ strategic behavior. In this paper, we present axiomatic characterizations of first-price auctions by focusing on non-bossiness. Together with non-bossiness, other axioms needed for the characterizations are classified into three types: efficiency, equity, and participation-constraint-related axioms. These three types of axioms are basic and important to our results, which suggest that first-price auctions are consequent auction formats when we pay attention to non-bossiness. In particular, our results show that first-price auctions are characterized by (i) strong non-bossiness in welfare, Pareto efficiency, equal welfare to equals, and individual rationality, (ii) non-bossiness in welfare, Pareto efficiency, anonymity in welfare, and individual rationality, (iii) non-bossiness in welfare, envy-freeness (Foley 1967), and individual rationality, and (iv) non-bossiness in welfare, Pareto efficiency, and individual rationality on some restricted domains. Pareto efficiency is a usual requirement in economics. Individual rationality ensures agents’ voluntary participation in the auction. Each of the properties, anonymity in welfare, envy freeness, and equal welfare to equals, requires a type of impartial treatment among agents. Thus, (i) is a parallel result to (ii), which strengthens a non-bossy axiom instead of weakening an equity axiom, while (iv) specifies the domains on which we can drop an equity axiom from the set of axioms in (ii). Also, our results are obtained in a general setting for agents preferences. For agents’ preferences, we assume only three basic properties: money monotonicity (less payment is preferable), weak item monotonicity (the auctioned item has non-negative value), and finiteness (the value of the auctioned item is not infinite). We also assume that the domain of agents preferences is not empty (avoid triviality) and is rich (with no spaces between). Our characterizations of first-price auctions on these general-preference domains are in line with recent studies of characterizations of second-price auctions on general-preference domains, such as Saitoh and Serizawa (2008), Sakai (2008); Sakai (2013), and Adachi (2012). Importantly, our conditions on preference domains are the most general ones. The rest of the paper is organized as follows. In Sect. 2, we present our model. In Sect. 3, axioms characterizing first-price auctions are introduced. In Sect. 4, four axiomatic characterizations of first-price auctions are discussed.",3
