Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210569,To the reader,March 1991,C. D. Aliprantis,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210570,"Spanning, valuation and options",March 1991,Donald J. Brown,Stephen A. Ross,,Male,Male,Unknown,Male,,35
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210571,Linear models of economic survival under production uncertainty,March 1991,Mukul Majumdar,Roy Radner,,,Male,Unknown,Mix,,
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210572,Incentives in two-sided matching with random stable mechanisms,March 1991,Alvin E. Roth,John H. Vande Vate,,Male,Male,Unknown,Male,,53
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210573,Indeterminacy in incomplete market economies,March 1991,Andreu Mas-Colell,,,Male,Unknown,Unknown,Male,,23
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210574,Hours and employment variation in business cycle theory,March 1991,Finn E. Kydland,Edward C. Prescott,,Male,Male,Unknown,Male,,98
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210575,Additive utility,March 1991,Gebhard Fuhrken,Marcel K. Richter,,Male,Male,Unknown,Male,,21
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210576,"On Kakutani's fixed point theorem, the K-K-M-S theorem and the core of a balanced game",March 1991,Lloyd Shapley,Rajiv Vohra,,Male,Male,Unknown,Male,,29
1.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210577,Forthcoming papers,March 1991,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211530,Indefinitely sustained consumption despite exhaustible natural resources,June 1991,David Cass,Tapan Mitra,,Male,Male,Unknown,Male,,30
1.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211531,Non-parametric estimation of deterministically chaotic systems,June 1991,Mahmoud A. El-Gamal,,,Male,Unknown,Unknown,Male,,3
1.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211532,When is the core equivalence theorem valid?,June 1991,Charalambos D. Aliprantis,Owen Burkinshaw,,Male,Male,Unknown,Male,,13
1.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211533,The core of an economy with differential information,June 1991,Nicholas C. Yannelis,,,Male,Unknown,Unknown,Male,,148
1.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211534,An example of the Peleg and Yaari economy,June 1991,Robert A. Becker,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211535,On constrained optimal allocations with incomplete markets,June 1991,Jan Werner,,,Male,Unknown,Unknown,Male,,6
1.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211536,Forthcoming papers,June 1991,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210561,On the arbitrage pricing theory,September 1991,Christian Gilles,Stephen F. LeRoy,,Male,Male,Unknown,Male,,25
1.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210562,Polynomial utility,September 1991,G. Fuhrken,M. K. Richter,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210563,The subjective expected utility hypothesis and revealed preference,September 1991,T. Kim,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210564,Real indeterminacy in incomplete financial market economies without aggregate risk,September 1991,P. Siconolfi,A. Villanacci,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210565,"Demand deposit contracts, suspension of convertibility, and optimal financial intermediation",September 1991,A. P. Villamil,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210566,A note on bargaining over a finite number of feasible agreements,September 1991,Abhinay Muthoo,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210567,A simple exposition of some basic results of implicit contract theory,September 1991,Stephen R. Blough,,,Male,Unknown,Unknown,Male,,
1.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01210568,Forthcoming papers,September 1991,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01229311,On the generic nonconvergence of Bayesian actions and beliefs,December 1991,M. Feldman,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01229312,Optimal contract mechanisms for principal-agent problems with moral hazard and adverse selection,December 1991,F. H. Page Jr,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01229313,On Cournot-Nash equilibrium distributions for games with differential information and discontinuous payoffs,December 1991,Erik J. Balder,,,Male,Unknown,Unknown,Male,,16
1.0,4.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01229314,Ethnic groups and the Heckscher-Ohlin-Samuelson trade model,December 1991,M. Ali Khan,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01229315,Efficient budget balancing cartel equilibria with imperfect monitoring,December 1991,Dominique Demougin,Arthur Fishman,,,Male,Unknown,Mix,,
1.0,4.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01229316,The closedness of the free-disposal hull of a production set,December 1991,Anthony Horsley,Andrzej J. Wrobel,,Male,Male,Unknown,Male,,1
1.0,4.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01229317,Linear models of economic survival under production uncertainty,December 1991,Mukul Majumdar,Roy Radner,,,Male,Unknown,Mix,,
1.0,4.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01229318,Forthcoming papers,December 1991,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213250,Measurement distortion and missing contingencies in optimal contracts,March 1992,Franklin Allen,Douglas Gale,,Male,Male,Unknown,Male,,55
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213251,Hierarchical Arrow Social Welfare Functions,March 1992,Thomas E. Armstrong,,,Male,Unknown,Unknown,Male,,4
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213252,On characterizing equilibria of economies with externalities and taxes as solutions to optimization problems,March 1992,Timothy J. Kehoe,David K. Levine,Paul M. Romer,Male,Male,Male,Male,,47
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213253,The Borda method is most likely to respect the Condorcet principle,March 1992,Jill Van Newenhizen,,,Female,Unknown,Unknown,Female,,40
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213254,On the efficiency of ex ante and ex post pricing institutions,March 1992,Michael Peters,,,Male,Unknown,Unknown,Male,,5
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213255,The nonatomic assignment model,March 1992,Neil E. Gretsky,Joseph M. Ostroy,William R. Zame,Male,Male,Male,Male,,82
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213256,Inessentiality of large groups and the approximate core property: an equivalence theorem,March 1992,Myrna Holtz Wooders,,,Female,Unknown,Unknown,Female,,20
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213257,Debreu's Gap Theorem,March 1992,A. F. Beardon,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01213258,Forthcoming papers,March 1992,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211438,The joint exploitation of a productive asset: a game-theoretic approach,June 1992,Jess Benhabib,Roy Radner,,Male,Male,Unknown,Male,,106
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211439,Second best equilibria for games of joint exploitation of a productive asset,June 1992,A. Rustichini,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211440,Markovian equilibrium in a class of stochastic games: existence theorems for discounted and undiscounted models,June 1992,Prajit K. Dutta,Rangarajan Sundaram,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211441,A general-equilibrium intertemporal model of an open economy,June 1992,John S. Chipman,Guoqiang Tian,,Male,Unknown,Unknown,Male,,3
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211442,General equilibrium with differentiated commodities: the linear activity model without joint production,June 1992,Konrad Podczeck,,,Male,Unknown,Unknown,Male,,3
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211443,Mechanism design for general screening problems with moral hazard,June 1992,Frank H. Page Jr,,,Male,Unknown,Unknown,Male,,26
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211444,Transaction costs and the use of cash and credit,June 1992,S. L. Schreft,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211445,An alternative proof for the linear utility representation theorem,June 1992,Walter Trockel,,,Male,Unknown,Unknown,Male,,10
2.0,2.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211446,Forthcoming papers,June 1992,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211417,Editorial,September 1992,C. D. Aliprantis,,,Unknown,Unknown,Unknown,Unknown,,
2.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211418,Introduction to the mini-symposium on “the structure of sunspot equilibria in the presence of incomplete financial markets”,September 1992,David Cass,,,Male,Unknown,Unknown,Male,,2
2.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211419,Real indeterminacy of equilibria in a sunspot economy with inside money,September 1992,Shinichi Suda,Jean-Marc Tallon,Antonio Villanacci,Male,Unknown,Male,Male,,10
2.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211420,The structure of the set of sunspot equilibria in economies with incomplete financial markets,September 1992,Tito Pietra,,,Male,Unknown,Unknown,Male,,9
2.0,3.0,Economic Theory,,https://link.springer.com/article/10.1007/BF01211421,Sunspots and incomplete financial markets: The general case,September 1992,David Cass,,,Male,Unknown,Unknown,Male,,24
