Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Economics of Disasters and Climate Change,25 May 2017,https://link.springer.com/article/10.1007/s41885-017-0008-z,Disasters and Climate Change Economics: - a New Journal for a Changing World,June 2017,Ilan Noy,Shunsuke Managi,Stephane Hallegatte,Male,Male,Unknown,Male,,3
1.0,1.0,Economics of Disasters and Climate Change,01 June 2017,https://link.springer.com/article/10.1007/s41885-017-0006-1,"A Normative Exploration of the Link Between Development, Economic Growth, and Natural Risk",June 2017,Stephane Hallegatte,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Economics of Disasters and Climate Change,21 April 2017,https://link.springer.com/article/10.1007/s41885-017-0002-5,Impact of Natural Disasters on Financial Development,June 2017,Subhani Keerthiratne,Richard S. J. Tol,,Unknown,Male,Unknown,Male,,19
1.0,1.0,Economics of Disasters and Climate Change,06 May 2017,https://link.springer.com/article/10.1007/s41885-017-0005-2,"Impact of Climate Change, Weather Extremes, and Price Risk on Global Food Supply",June 2017,Mekbib G. Haile,Tesfamicheal Wossen,Joachim von Braun,Unknown,Unknown,Male,Male,,37
1.0,1.0,Economics of Disasters and Climate Change,08 May 2017,https://link.springer.com/article/10.1007/s41885-017-0001-6,Going Back: Radiation and Intentions to Return amongst Households Evacuated after the Great Tohoku Earthquake,June 2017,Alistair Munro,Shunsuke Managi,,Male,Male,Unknown,Male,,17
1.0,1.0,Economics of Disasters and Climate Change,04 May 2017,https://link.springer.com/article/10.1007/s41885-017-0004-3,Impacts of a Changing Climate on Economic Damages and Insurance,June 2017,Christian L. E. Franzke,,,Male,Unknown,Unknown,Male,,21
1.0,1.0,Economics of Disasters and Climate Change,29 May 2017,https://link.springer.com/article/10.1007/s41885-017-0007-0,Challenges and Opportunities for Economic Evaluation of Disaster Risk Decisions,June 2017,Nicola Smith,Charlotte Brown,Wendy Saunders,Female,Female,Female,Female,,8
1.0,2.0,Economics of Disasters and Climate Change,10 July 2017,https://link.springer.com/article/10.1007/s41885-017-0013-2,"Risk, Loss, and Ambiguity Aversion after a Natural Disaster",July 2017,Robert Shupp,Scott Loveridge,Cynthia Rogers,Male,Male,Female,Mix,,
1.0,2.0,Economics of Disasters and Climate Change,21 June 2017,https://link.springer.com/article/10.1007/s41885-017-0011-4,At the Very Edge of a Storm: The Impact of a Distant Cyclone on Atoll Islands,July 2017,Tauisi Taupo,Ilan Noy,,Unknown,Male,Unknown,Male,,8
1.0,2.0,Economics of Disasters and Climate Change,19 July 2017,https://link.springer.com/article/10.1007/s41885-017-0014-1,Economies of Integrated Risk Management? An Empirical Analysis of the Swiss Public Insurance Approach to Natural Hazard Prevention,July 2017,Reimund Schwarze,Carsten Croonenbroeck,,Male,Male,Unknown,Male,,5
1.0,2.0,Economics of Disasters and Climate Change,29 April 2017,https://link.springer.com/article/10.1007/s41885-017-0003-4,Understanding and Mitigating the Impacts of Massive Relocations Due to Disasters,July 2017,Vicki Marion Bier,,,Female,Unknown,Unknown,Female,,9
1.0,3.0,Economics of Disasters and Climate Change,03 August 2017,https://link.springer.com/article/10.1007/s41885-017-0012-3,"Equity, Emissions Allowance Trading and the Paris Agreement on Climate Change",October 2017,Adam Rose,Dan Wei,Toon Vandyck,Male,Male,Male,Male,,11
1.0,3.0,Economics of Disasters and Climate Change,13 September 2017,https://link.springer.com/article/10.1007/s41885-017-0009-y,Natural Capital Depletion: the Impact of Natural Disasters on Inclusive Growth,October 2017,Darshana Rajapaksa,Moinul Islam,Shunsuke Managi,Female,Unknown,Male,Mix,,
1.0,3.0,Economics of Disasters and Climate Change,18 August 2017,https://link.springer.com/article/10.1007/s41885-017-0010-5,"Cyclones, Deforestation, and Production of Food Crops in Vietnam",October 2017,Tam Bang Vu,Eric Iksoon Im,Ryan Torio,Male,Male,,Mix,,
