Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010050001,Editors' introduction,March 2000,Amihai Glazer,Kai A. Konrad,,Male,Male,Unknown,Male,,
1.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010050002,The state: Agent or proprietor?,March 2000,Herschel I. Grossman,,,Male,Unknown,Unknown,Male,,53
1.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010050003,"Progressive ambition, electoral selection, and the creation of ideologues",March 2000,Joseph E. Harrington Jr.,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010050004,Property rights and the evolution of the state,March 2000,Yoram Barzel,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010050005,Establishing a reputation for dependability by means of inflation targets,March 2000,Alex Cukierman,,,Male,Unknown,Unknown,Male,,17
1.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010050006,The rationality of revolution,March 2000,Leonard Dudley,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00021677,"Federalism, distributive politics and representative democracy",July 2000,Guillaume Cheikbossian,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00021678,Institutional quality and poverty measures in a cross-section of countries,July 2000,Alberto Chong,César Calderón,,Male,Male,Unknown,Male,,6
1.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00021679,"Rush, delay or money burning: Informational biases in policy decisions",July 2000,Hans Gersbach,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00021680,Larceny,July 2000,Paul J. Zak,,,Male,Unknown,Unknown,Male,,
1.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011013,Regulation in a political economy: explaining limited commitment and the ratchet effect,December 2000,Roland Strausz,,,Male,Unknown,Unknown,Male,,
1.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011015,"Social pressure, uncertainty, and cooperation",December 2000,Steffen Huck,Dorothea Kübler,,Male,Female,Unknown,Mix,,
1.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011014,On the cost-benefit of the regionalisation of the National Health Service,December 2000,Alessandro Petretto,,,Male,Unknown,Unknown,Male,,8
1.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011012,"Voting on welfare reform Stemming migration, assisting the needy, or promoting economic growth?",December 2000,Dennis Coates,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011017,Special Issue on Social Conflict – Preface,March 2001,Amihai Glazer,Kai K. Konrad,,Male,Male,Unknown,Male,,
2.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011019,Targeting and political support for welfare spending,March 2001,Karl Ove Moene,Michael Wallerstein,,Male,Male,Unknown,Male,,
2.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011016,Butter and guns: Complementarity between economic and military competition,March 2001,Herschel I. Grossman,Juan Mendoza,,Male,Male,Unknown,Male,,
2.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s10101-001-8001-x,"How to understand, and deal with dictatorship: an economist's view",March 2001,Ronald Wintrobe,,,Male,Unknown,Unknown,Male,,31
2.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011018,Social decision rules are not immune to conflict,March 2001,Joan Esteban,Debraj Ray,,Female,Unknown,Unknown,Female,,15
2.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011020,"Tax resistance, economy and state transformation in China and Europe",March 2001,R. Bin Wong,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011021,"Social identity, inequality and conflict",March 2001,James A. Robinson,,,Male,Unknown,Unknown,Male,,37
2.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011022,Information distortion and competitive remedies in government transfer programs: The case of ethanol,July 2001,Ronald N. Johnson,Gary D. Libecap,,Male,Male,Unknown,Male,,22
2.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011023,Growth and government: Is there a difference between developed and developing countries?,July 2001,Tove Strauss,,,Female,Unknown,Unknown,Female,,
2.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011024,Allocation of authority under central grants,July 2001,Hikaru Ogawa,,,,Unknown,Unknown,Mix,,
2.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011026,The political economy of organized crime: providing protection when the state does not,November 2001,Stergios Skaperdas,,,Male,Unknown,Unknown,Male,,166
2.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011025,Endogenous institutions in bureaucratic compliance games,November 2001,Silvia Fedeli,Michele Santoni,,Female,Female,Unknown,Female,,
2.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011027,Optimal law enforcement when victims are rational players,November 2001,Nuno Garoupa,,,Male,Unknown,Unknown,Male,,
2.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00011028,The invalidity of the Condorcet Jury Theorem under endogenous decisional skills,November 2001,Ruth Ben-Yashar,Shmuel Nitzan,,Female,Male,Unknown,Mix,,
3.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100037,When should central bankers be fired?,March 2002,Carl E. Walsh,,,Male,Unknown,Unknown,Male,,
3.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100039,Does corruption affect income inequality and poverty?,March 2002,Sanjeev Gupta,Hamid Davoodi,Rosa Alonso-Terme,Male,Male,Female,Mix,,
3.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/PL00023924,"How to understand, and deal with dictatorship: an economist's view",March 2002,Ronald Wintrobe,,,Male,Unknown,Unknown,Male,,
3.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010000020,Incumbency preservation through electoral legislation: The case of the secret ballot,March 2002,Jac C. Heckelman,Andrew J. Yates,,Male,Male,Unknown,Male,,
3.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100041,Grants structure when the type of public project is endogenous,March 2002,Hikaru Ogawa,,,,Unknown,Unknown,Mix,,
3.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100033,Frequent probabilistic punishment in law enforcement,March 2002,Orit Perry,Ido Erev,Ernan Haruvy,Female,Male,Unknown,Mix,,
3.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100032,Trust breeds trust: How taxpayers are treated,July 2002,Lars P. Feld,Bruno S. Frey,,Male,Male,Unknown,Male,,385
3.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100038,Centralized versus decentralized decision-making in a county government setting,July 2002,Gökhan R. Karahan,Laura Razzolini,William F. Shughart II,Male,Female,Male,Mix,,
3.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100034,Rent-seeking in a unionised monopoly,July 2002,Odd Rune Straume,,,Male,Unknown,Unknown,Male,,
3.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100035,Vertical externalities and control of politicians,July 2002,Matthias Wrede,,,Male,Unknown,Unknown,Male,,4
3.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100036,The flypaper effect and political strength,July 2002,Per Tovmo,Torberg Falch,,Male,Unknown,Unknown,Male,,21
3.0,2.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100029,Sources of inefficiency in representative democracy: Evidence on public investments across nations,July 2002,W. Mark Crain,,,Unknown,Unknown,Unknown,Unknown,,
3.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010200045,"Corruption, economic growth, and income inequality in Africa",November 2002,Kwabena Gyimah-Brempong,,,Unknown,Unknown,Unknown,Unknown,,
3.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100040,How municipalities react to budgetary windfalls,November 2002,Bruno Heyndels,Frank Van Driessche,,Male,Male,Unknown,Male,,
3.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010200048,Central government subsidies to local public goods,November 2002,Nobuo Akai,Toshihiro Ihori,,Male,Male,Unknown,Male,,
3.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010200046,Pre-assigned rents and bureaucratic friction,November 2002,Nava Kahana,Shmuel Nitzan,,Female,Male,Unknown,Mix,,
3.0,3.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100044,Rational probation decisions for juvenile delinquents,November 2002,Oliver Fabel,Volker Meier,,Male,Male,Unknown,Male,,
4.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010200051,"Trade intensity, country size and corruption",April 2003,Stephen Knack,Omar Azfar,,Male,Male,Unknown,Male,,106
4.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100042,Measuring voting power in an international institution: the United States and the inter-American development bank,April 2003,Jonathan R. Strand,,,Male,Unknown,Unknown,Male,,13
4.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100031,Political culture and foreign direct investment: The case of Italy,April 2003,Ram Mudambi,Pietro Navarra,,Male,Male,Unknown,Male,,
4.0,1.0,Economics of Governance,,https://link.springer.com/article/10.1007/s101010100043,Voting on public pensions with hands and feet,April 2003,Alexander Haupt,Wolfgang Peters,,Male,Male,Unknown,Male,,
