Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353891,A word from the editors,June 1998,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353892,"Climate change, response timing, and integrated assessment modeling",June 1998,Akihiro Amano,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353893,Environmental problems and policies in postwar Japan reviewed,June 1998,Shigeto Tsuru,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353894,"A comparative study on environmental policy development processes in the three East Asian countries: Japan, Korea, and China",June 1998,Yohei Harashima,Tsuneyuki Morita,,Male,Unknown,Unknown,Male,,11
1.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353895,Environmental resource accounting frameworks for the public domain and public trust managements,June 1998,Yoshifusa Kitabatake,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353896,Concept of sustainable development: An evaluation of its usefulness 10 years after Brundtland,December 1998,David Pearce,Giles Atkinson,,Male,Male,Unknown,Male,,19
1.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353897,Assessment of technological options in the global energy system for limiting the atmospheric CO2 concentration,December 1998,Yasumasa Fujii,Kenji Yamaji,,Male,Male,Unknown,Male,,45
1.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353898,Energy technology changes and CO2 emission scenarios in China,December 1998,Kejun Jiang,Xiulian Hu,Tsuneyuki Morita,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353899,Environmental policy and status for chlorinated dioxins and related compounds,December 1998,Shin-ichi Sakai,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353900,Lake Biwa development and beyond,December 1998,Masahisa Nakamura,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353901,Global warming as a cooperative game,March 1999,Hirofumi Uzawa,,,Male,Unknown,Unknown,Male,,12
2.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353902,Governance by green taxes: implementing clean water policies in Europe 1970–1990,March 1999,Mikael Skou Andersen,,,Male,Unknown,Unknown,Male,,18
2.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353903,Measuring values of wetlands in Taiwan,March 1999,Kai-Lih Chen,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353904,High-tech pollution in Japan,March 1999,Fumikazu Yoshida,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353905,Alternative approach to combining revealed and stated preference data: evaluating water quality of a river system in Taipei,June 1999,Daigee Shaw,Yu-Lan Chien,Yih-Ming Lin,Unknown,,Unknown,Mix,,
2.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353906,Economic incentives and optimal waste management: Korean experiences in unit pricing for garbage collection,June 1999,Jeong Jeon Rhee,,,,Unknown,Unknown,Mix,,
2.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353907,"Reproductive value, harvest value, and impact multiplier as indicators for maximum sustainable fisheries",June 1999,Hiroyuki Matsuda,Atsushi Yamauchi,Takashi Yamakawa,Male,Male,Male,Male,,6
2.0,2.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353908,Voluntary agreements: cost-effective or a smokescreen for failure?,June 1999,Kilian Bizer,,,Male,Unknown,Unknown,Male,,8
2.0,3.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353909,Growth or environmental concern: which comes first? Optimal control with pure stock pollutants,September 1999,Kjell Holmåker,Thomas Sterner,,Male,Male,Unknown,Male,,
2.0,3.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353910,"Sustainable consumption, sustainable development, and green net national product",September 1999,Ayumi Onuma,,,Female,Unknown,Unknown,Female,,2
2.0,3.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353911,Carbon sequestration cost by afforestation in Taiwan,September 1999,Ching-Cheng Chang,,,Unknown,Unknown,Unknown,Unknown,,
2.0,3.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353912,Itai-Itai disease and the countermeasures against cadmium pollution by the Kamioka mine,September 1999,Fumikazu Yoshida,Akio Hata,Haruo Tonegawa,Unknown,Male,Male,Male,,31
2.0,4.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353913,A deposit-refund system applied to non-point nitrogen emissions from agriculture,December 1999,Lars Gårn Hansen,,,Male,Unknown,Unknown,Male,,4
2.0,4.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353914,Comparing costs and environmental benefits of strategies to combat acidification and ozone in Europe,December 1999,Wolfram Krewitt,Mike Holland,Rainer Friedrich,Male,Male,Male,Male,,9
2.0,4.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353915,Long-term emission scenarios for China,December 1999,Kejun Jiang,Toshihiko Masui,Yuzuru Matsuoka,Unknown,Male,Male,Male,,7
2.0,4.0,Environmental Economics and Policy Studies,18 September 2014,https://link.springer.com/article/10.1007/BF03353916,A study on systems for a clean development mechanism to reduce CO2 emissions,December 1999,Ryuji Matsuhashi,We Chang,Hisashi Ishitani,Male,Unknown,Male,Male,,1
