Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00305947,The raison d'être of ERE,March 1991,J. B. Opschoor,H. M. A. Jansen,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00305948,National accounts and environmental resources,March 1991,Karl-Göran Mäler,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00305949,Environmental problems and policy in the Single European Market,March 1991,Henk Folmer,Charles W. Howe,,Male,Male,Unknown,Male,,2
1.0,1.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00305950,General equilibrium effects of environmental policy: A CGE-modeling approach,March 1991,Lars Bergman,,,Male,Unknown,Unknown,Male,,8
1.0,1.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00305951,Static and dynamic efficiency of pollution control strategies,March 1991,Doede Wiersma,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00305952,Another reconciliation between economists and forestry experts: OLG-arguments,March 1991,Karl-Gustaf Löfgren,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00305953,On the dynamics of renewable resource harvesting and pollution control,March 1991,Olli Tahvonen,,,Male,Unknown,Unknown,Male,,3
1.0,1.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00305954,Newsletter,March 1991,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00310015,A comparative study of environmental amenity valuations,June 1991,Mordechai Shechter,,,Male,Unknown,Unknown,Male,,19
1.0,2.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00310016,(Monopolistic) resource extraction and limit pricing: The market penetration of competitively produced synfuels,June 1991,Franz Wirl,,,Male,Unknown,Unknown,Male,,7
1.0,2.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00310017,"Incentives, regulations, and sustainable land use in Costa Rica",June 1991,Ernst Lutz,Herman Daly,,Male,Male,Unknown,Male,,18
1.0,2.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00310018,Cooperative and noncooperative protection against transferable and filterable externalities,June 1991,Jason F. Shogren,Thomas D. Crocker,,Male,Male,Unknown,Male,,40
1.0,2.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00310019,Pollution control and the Ramsey problem,June 1991,Frederick Van Der Ploeg,Cees Withagen,,Male,Male,Unknown,Male,,103
1.0,3.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00367920,"The greenhouse effect: Damages, costs and abatement",September 1991,Robert U. Ayres,Jörg Walter,,Male,Male,Unknown,Male,,125
1.0,3.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00367921,Europe '92. Decentralizing environmental policy in the single market,September 1991,Horst Siebert,,,Male,Unknown,Unknown,Male,,4
1.0,3.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00367922,The control of CO2 emissions and its economic impact: An AGE model for a german state,September 1991,Klaus Conrad,Michael Schröder,,Male,Male,Unknown,Male,,25
1.0,3.0,Environmental and Resource Economics,,https://link.springer.com/article/10.1007/BF00367923,Towards a sustainable and efficient use of manure in agriculture: The Dutch case,September 1991,Frank J. Dietz,Nico J. P. Hoogervorst,,Male,Male,Unknown,Male,,10
