Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353821,Editorial Note,June 2011,Hakan Danis,Peter Rangazas,,Male,Male,Unknown,Male,,
1.0,1.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353822,Relative Efficiency of Government Spending and Its Determinants: Evidence from East Asian Countries,June 2011,Eric C. Wang,Eskander Alvi,,Male,Unknown,Unknown,Male,,
1.0,1.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353823,Micro-Finance and Rural Enterprises: An Analysis of Operational Performance and Constraints in the SHG-Bank Linkage Program in India,June 2011,Sudhir K. Jain,K. K. Tripathy,,Male,Unknown,Unknown,Male,,
1.0,1.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353824,Fishing In Troubled Waters: The Lull Before The Storm,June 2011,Sílvia Bou Ysàs,Magda Cayón Costa,,Unknown,Female,Unknown,Female,,
1.0,1.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353825,The Position of Women in Social and Economic Life: A Comparison between the EU and Turkey,June 2011,Nuray Gökçek Karaca,Fatma Kocabaş,,Female,Female,Unknown,Female,,
1.0,2.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353826,"Capital Investment, Earnings, and Annual Stock Returns: Causality Relationships In China",December 2011,Ahmet Can Inci,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353827,Comparing High Frequency Data of Stocks that are Traded Simultaneously in the US and Germany: Simulated Versus Empirical Data,December 2011,Jörg Rieger,Kirsten Rüchardt,Bodo Vogt,Male,Female,Male,Mix,,
1.0,2.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353828,The Composition of Foreign Reserves of the Central Banks of Selected Countries: Will the Euro Replace the Dollar?,December 2011,Akbar Komijani,Hossein Tavakolian,,Male,Male,Unknown,Male,,
1.0,2.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353829,A Higher Moment Downside Framework for Conditional and Unconditional Capm in the Russian Stock Market,December 2011,Tamara Teplova,Evgeniya Shutova,,Female,Female,Unknown,Female,,
2.0,1.0,Eurasian Economic Review,28 August 2014,https://link.springer.com/article/10.14208/BF03353830,A Quantitative Mirror on the Euribor Market Using Implied Probability Density Functions,June 2012,Josep Maria Puigvert-Gutiérrez,Rupert de Vincent-Humphreys,,Male,Male,Unknown,Male,,
