Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540987,The purpose of theEuropean Journal of Law and Economics and the intentions of its editors,March 1994,Jürgen G. Backhaus,Frank H. Stephen,,Male,Male,Unknown,Male,,3
1.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540988,Court errors,March 1994,Gordon Tullock,,,Male,Unknown,Unknown,Male,,15
1.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540989,Expected damage and due care,March 1994,Frank H. Stephen,,,Male,Unknown,Unknown,Male,,
1.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540990,Institutional law and economics,March 1994,A. Allan Schmid,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540991,The economic analysis of public law,March 1994,Susan Rose-Ackerman,,,Female,Unknown,Unknown,Female,,7
1.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540992,Call for papers,March 1994,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540799,Preface,October 1994,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540800,The economic functions of supreme auditing institutions: Purpose of the conference,October 1994,Jürgen G. Backhaus,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540801,TheContaduria Mayor de Cuentas at the time of Ferdinand and Isabella of Castile (1474–1516),October 1994,Esteban Hernández-Esteve,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540802,The DutchAlgemene Rekenkamer and its role in light of contemporary theory,October 1994,Willem J. Van Braband,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540803,The DutchAlgemene Rekenkamer and its role in light of practical experience,October 1994,Henk H. G. Koolen,,,Male,Unknown,Unknown,Male,,
1.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540804,A profile of the Italian state Audit Court: An agent in search of a resolute principal,October 1994,Francesco Forte,Giuseppe Eusepi,,Male,Male,Unknown,Male,,3
1.0,3.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01552468,Supreme auditing institutions: A politico-economic analysis,November 1994,Bruno S. Frey,,,Male,Unknown,Unknown,Male,,15
1.0,3.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01552469,Agency problems in the legal political system and supreme auditing institutions,November 1994,Hannes Streim,,,Male,Unknown,Unknown,Male,,27
1.0,3.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01552470,Applying game theory to the protection of public funds: Some introductory notes,November 1994,Francesco Forte,Charles H. Powers,,Male,Male,Unknown,Male,,4
1.0,3.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01552471,Autonomy and private ordering in contract law,November 1994,Francesco Parisi,,,Male,Unknown,Unknown,Male,,3
1.0,3.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01552472,Call for papers,November 1994,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540699,Efficiency and effectiveness control based on economic analysis: The example of the Austrian court of audit,December 1994,Rainer Bartel,Friedrich Schneider,,Male,Male,Unknown,Male,,1
1.0,4.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540700,The need for performance auditing in the public sector and the best-practice frontier,December 1994,Wim A. Moesen,,,Male,Unknown,Unknown,Male,,5
1.0,4.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540701,Assessing the performance of public enterprises: A public-choice approach,December 1994,Jürgen G. Backhaus,,,Male,Unknown,Unknown,Male,,5
2.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540821,The ethics of competition,January 1995,Yuichi Shionoya,,,Male,Unknown,Unknown,Male,,4
2.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540822,Economic models of compensation for damage caused by nuclear accidents: Some lessons for the revision of the Paris and Vienna Conventions,January 1995,Michael Faure,,,Male,Unknown,Unknown,Male,,17
2.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540823,Fraud in courtship: Annulment and divorce,January 1995,Margaret F. Brinig,Michael V. Alexeev,,Female,Male,Unknown,Mix,,
2.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540824,Explaining the process of change taking place in legal rules and social norms: The cases of institutional economics and new institutional economics,January 1995,Fernando Toboso,,,Male,Unknown,Unknown,Male,,5
2.0,1.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540825,Reducing the cost of resolving intellectual property disputes,January 1995,William Kingston,,,Male,Unknown,Unknown,Male,,5
2.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540950,"Income transfers, entrepreneurial effort, and the Coase theorem: The case for efficiency reconsidered",June 1995,Eirik G. Furubotn,,,Male,Unknown,Unknown,Male,,
2.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540951,Thinking about thought,June 1995,Gordon Tullock,,,Male,Unknown,Unknown,Male,,
2.0,2.0,European Journal of Law and Economics,,https://link.springer.com/article/10.1007/BF01540952,Contract discipline: In search of principles in the control of contracting power,June 1995,Paul Burrows,,,Male,Unknown,Unknown,Male,,3
