Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.3,Welcoming the Evolutionary and Institutional Economics Review,November 2004,Geoffrey M. Hodgson,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.5,Evolutionary Economics in the 21st Century: A Manifesto,November 2004,Yoshinori Shiozawa,,,Male,Unknown,Unknown,Male,,23
1.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.49,Keynesian Economics—An Evolutionist Manifesto,November 2004,Masaaki Yoshida,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.57,Adam Smith and Competitive Equilibrium,November 2004,Ramesh Chandra,,,Male,Unknown,Unknown,Male,,7
1.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.85,Bottleneck Monopolies and Network Externalities in Network Industries,November 2004,Takanori Ida,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.107,Management Model for Technological Change and Sustainable Growth,November 2004,Shungo Sakaki,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.127,"Population Thinking, Price’s Equation and the Analysis of Economic Evolution",November 2004,Esben Sloth Andersen,,,Male,Unknown,Unknown,Male,,53
1.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.155,Why is Environmental Policy not Market-Based?,March 2005,Tosihiro Oka,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.177,Co-evolution of Accounting Rules and Creative Accounting Instruments—The Case of a Rulesbased Approach to Accounting Standard Setting,March 2005,Norio Sawabe,,,Male,Unknown,Unknown,Male,,10
1.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.197,A Study on the Consistency between Empirical Studies and Growth Models with Demand Satiation and Structural Change,March 2005,Tatsuyoshi Matsumae,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.1.221,Some Comments on the Methodological Principles of Nelson and Winter’s Evolutionary Theory,March 2005,Patrick Eparvier,,,Male,Unknown,Unknown,Male,,2
2.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.1,The Socio-economics of Institutions and Evolution,October 2005,Makoto Nishibe,Hiroyasu Uemura,,,Male,Unknown,Mix,,
2.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.7,The Nature of Institutional Economics,October 2005,Tony Lawson,,,Male,Unknown,Unknown,Male,,27
2.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.21,Can Self-interest Explain Cooperation?,October 2005,Samuel Bowles,Herbert Gintis,,Male,Male,Unknown,Male,,15
2.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.43,"Coherence, Diversity, and the Evolution of Capitalisms—The Institutional Complementarity Hypothesis",October 2005,Robert Boyer,,,Male,Unknown,Unknown,Male,,79
2.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.81,Rules and Knowledge,October 2005,Carlos M. Parra,,,Male,Unknown,Unknown,Male,,11
2.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.113,Economics as an Evolutionary System—Psychological Development and Economic Behavior,October 2005,Bernard Lietaer,Stefan Brunnhuber,,Male,Male,Unknown,Male,,5
2.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.145,An Evolutionary Theory of Economic Interaction—Introduction to Socio- and Econo-Physics,March 2006,Yuji Aruka,Jürgen Mimkes,,Male,Male,Unknown,Male,,5
2.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.161,Intentions and Principles of Sociodynamics,March 2006,Wolfgang Weidlich,,,Male,Unknown,Unknown,Male,,6
2.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.167,Real Estate Price Peaks—A Comparative Overview,March 2006,Bertrand M. Roehner,,,Male,Unknown,Unknown,Male,,13
2.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.183,Re-examination of the Size Distribution of Firms,March 2006,Taisei Kaizoji,Hiroshi Iyetomi,Yuichi Ikeda,Unknown,Male,Male,Male,,14
2.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.199,The Monetary Circuit —A “Mathematical Institutional” Interpretation,March 2006,Romar Correa,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.2.213,Characterizing Institutional and Heterodox Economics—A Reply to Tony Lawson,March 2006,Geoffrey M. Hodgson,,,Male,Unknown,Unknown,Male,,7
3.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.3,Redefining Evolutionary Economics,June 2006,Makoto Nishibe,,,,Unknown,Unknown,Mix,,
3.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.27,Evolutionary Linguistics and Evolutionary Economics,June 2006,Takashi Hashimoto,,,Male,Unknown,Unknown,Male,,2
3.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.47,A Present Appreciation of Evolutionary Economics — A Historical Characterization of the Alternative Thoughts of Economics in the Light of Evolutionism,June 2006,Susumu Egashira,,,Male,Unknown,Unknown,Male,,2
3.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.71,What Can Economics Learn from Post-Darwinist Developments in Biological Evolutionary Theory Represented by S. Kauffman and L. Margulis? — An Application Study in Asian Economic Systems,June 2006,Kenji Tominomori,,,Male,Unknown,Unknown,Male,,
3.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.89,Trust as a Governance Mechanism in Inter-Firm Relations — Conceptual Considerations,June 2006,Teemu Kautonen,,,Male,Unknown,Unknown,Male,,7
3.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.109,Co-evolution of Firm Strategies and Institutional Setting in Firm-based Late Industrialization — The Case of the Japanese Commercial Aircraft Industry,June 2006,Seishi Kimura,,,,Unknown,Unknown,Mix,,
3.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.141,"A New Construction of Ricardian Trade Theory—A Many-country, Many-commodity Case with Intermediate Goods and Choice of Production Techniques—",September 2007,Yoshinori Shiozawa,,,Male,Unknown,Unknown,Male,,39
3.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.189,Evolutionary Reading of Max Weber’s Economic Sociology—A Reappraisal of ‘Marx-Weber Problem’,September 2007,Kiichiro Yagi,,,Unknown,Unknown,Unknown,Unknown,,
3.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.209,Deliberative Trade Policy,September 2007,Carsten Herrmann-Pillath,,,Male,Unknown,Unknown,Male,,10
3.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.239,“S-shaped” curves in economic growth. A theoretical contribution and an application,September 2007,Gloria Jarne,Julio Sanchez-Choliz,Francisco Fatas-Villafranca,Female,Male,Male,Mix,,
3.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.261,Why Most (but not all) Churches Hate Sex,September 2007,Guido Ortona,,,Male,Unknown,Unknown,Male,,
3.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.275,Myrdal’s Theory of Cumulative Causation,September 2007,Nanako Fujita,,,Female,Unknown,Unknown,Female,,18
3.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.3.285,"Samuel Bowles, Microeconomics: Behavior, Institutions, and Evolution, Princeton University Press, 2004.",September 2007,Akinori Isogai,Hiroyasu Uemura,,Male,Male,Unknown,Male,,
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.1,The Evolution of Institutions and Organizations,December 2007,Hiroyasu Uemura,Akinori Isogai,,Male,Male,Unknown,Male,,
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.7,Evolutionary and Institutional Economics as the New Mainstream?,December 2007,Geoffrey M. Hodgson,,,Male,Unknown,Unknown,Male,,88
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.27,Karl Marx after New Institutional Economics,December 2007,Ugo Pagano,,,Male,Unknown,Unknown,Male,,11
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.55,Architecture-Based Comparative Advantage — A Design Information View of Manufacturing,December 2007,Takahiro Fujimoto,,,Male,Unknown,Unknown,Male,,65
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.113,The Diversity of Capitalism and Heterogeneity of Firms—A Case Study of Japan during the Lost Decade,December 2007,Sébastien Lechevalier,,,Male,Unknown,Unknown,Male,,13
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.143,Econo-physics: A Perspective of Matching Two Sciences,December 2007,Yuri Yegorov,,,Male,Unknown,Unknown,Male,,8
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.171,A Study on Changes in the Composition of Output—An Alternative Consumption Theory in Terms of Multiple-self,December 2007,Satoshi Yoshii,,,Male,Unknown,Unknown,Male,,
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.181,Productivity and the Complementary Nature of the Internal Institutions of the Firm,December 2007,Zhu Mei,,,,Unknown,Unknown,Mix,,
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.195,"Philippe Batifoulier (ed), Théorie des Conventions, Economica, Paris, 2001, 328 pages",December 2007,Fumiaki Suda,Akira Ebizuka,,Male,,Unknown,Mix,,
4.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.207,"Masaaki Hirooka, Innovation Dynamism and Economic Growth. A Nonlinear Perspective, Edward Elgar, Cheltenham, UK and Northampton, MA, USA, 2006, 448 pages",December 2007,Takeshi Sakade,,,Male,Unknown,Unknown,Male,,5
4.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.217,The Evolution of Moral Science: Economic Rationality in the Complex Social System,February 2008,Yuji Aruka,,,Male,Unknown,Unknown,Male,,1
4.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.239,The General Pattern of Marshallian Evolution,February 2008,Tiziano Raffaelli,,,Male,Unknown,Unknown,Male,,4
4.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.251,Econophysics: Challenges and Promises —An Observation-based Approach,February 2008,Bertrand M. Roehner,,,Male,Unknown,Unknown,Male,,3
4.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.267,Network Analyses of the Circulation Flow of Community Currency,February 2008,Nozomi Kichiji,Makoto Nishibe,,Female,,Unknown,Mix,,
4.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.301,Rate of Profit and Disproportionate Productivity Growth under a Constant Profit Share,February 2008,Hiroaki Sasaki,,,Male,Unknown,Unknown,Male,,
4.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.4.313,"Masanao Aoki and Hiroshi Yoshikawa, Reconstructing Macroeconomics—A Perspective from Statistical Physics and Combinatorial Stochastic Processes, Cambridge University Press, 2007, 352 pages",February 2008,Yoshi Fujiwara,,,Male,Unknown,Unknown,Male,,3
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.1,What is the U-Mart Project?,September 2008,Kazuhisa Taniguchi,,,Male,Unknown,Unknown,Male,,1
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.5,Where and Why Does the Zaraba Method Have Advantages over the Itayose Method? — Comparison of the Zaraba Method and the Itayose Method by Using the U-Mart System—,September 2008,Kazuhisa Taniguchi,Isao Ono,Naoki Mori,Male,Male,Male,Male,,4
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.21,Artificial Market Study as Interdisciplinary Research,September 2008,Hajime Kita,,,Male,Unknown,Unknown,Male,,1
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.29,Strategy Experiments in an Artificial Futures Market,September 2008,Takashi Yamada,Yuhsuke Koyama,Takao Terano,Male,Unknown,Male,Male,,2
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.53,U-Mart as a New Generation Artificial Market,September 2008,Yuhsuke Koyama,,,Unknown,Unknown,Unknown,Unknown,,
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.63,U-Mart System: A Market Simulator for Analyzing and Designing Institutions,September 2008,Isao Ono,Hiroshi Sato,Hajime Kita,Male,Male,Male,Male,,6
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.81,"Equilibrium Illusion, Economic Complexity and Evolutionary Foundation in Economic Analysis",September 2008,Ping Chen,,,,Unknown,Unknown,Mix,,
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.129,Consilience and the Naturalistic Foundations of Evolutionary Economics,September 2008,Carsten Herrmann-Pillath,,,Male,Unknown,Unknown,Male,,2
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.163,Tipping Points: Managing Complex Systems for Economic Development Success,September 2008,Hans-Peter Brunner,,,Unknown,Unknown,Unknown,Unknown,,
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.189,Toward an Incentive Alignment Theory of Nonprofit Organization,September 2008,Vladislav Valentinov,,,Male,Unknown,Unknown,Male,,6
5.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.197,"Y. Shiozawa, Y. Nakajima, H. Matsui, Y. Koyama, K. Taniguchi, and F. Hashimoto, Artificial Market Experiments with the U-Mart System, Springer ABSS Series Vol. 4, 2008, Springer-Verlag",September 2008,Takao Terano,,,Male,Unknown,Unknown,Male,,
5.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.205,Foundations and Microfoundations of Dynamic Capabilities,March 2009,Victor Pelaez,Ruth Hofmann,Dayani Aquino,Male,Female,Unknown,Mix,,
5.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.225,Where Do We Stand on the Intellectual Property Rights System between “Open Access and Reinforcing Private Ownership”?,March 2009,Shungo Sakaki,,,Unknown,Unknown,Unknown,Unknown,,
5.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.259,An Evolutionary Perspective on the Management of Stability and Change,March 2009,Carl Henning Reschke,Sascha Kraus,,Male,,Unknown,Mix,,
5.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.279,Can Chocolate be Money as a Medium of Exchange? Belief Learning vs. Reinforcement Learning,March 2009,Toshiji Kawagoe,,,Male,Unknown,Unknown,Male,,5
5.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.293,A Note on the Institution as a Nested Reasoning Structure in Terms of Bounded Cognition,March 2009,Tetsuya Kawamura,,,Male,Unknown,Unknown,Male,,2
5.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.5.307,"Klaus Mainzer, Der kreative Zufall: Wie das Neue in die Welt kommt (The Creative Chance. How Novelty Comes into the World, (In German)), C.H. Beck, München, 2007, 283 pages",March 2009,Yuji Aruka,,,Male,Unknown,Unknown,Male,,3
6.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.1,Challenges of Complexity in the 21st Century,September 2009,Klaus Mainzer,,,Male,Unknown,Unknown,Male,,5
6.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.23,On the Theory of Economic Evolution,September 2009,Kurt Dopfer,Jason Potts,,Male,Male,Unknown,Male,,33
6.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.45,Agent-based and “History-Friendly” Models for Explaining Industrial Evolution,September 2009,Minho Yoon,Keun Lee,,Unknown,,Unknown,Mix,,
6.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.71,A Transformational Conception of Evolutionary Processes,September 2009,Nuno Martins,,,Male,Unknown,Unknown,Male,,4
6.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.103,Two Propositions on the Theory of the Firm,September 2009,Francesco Bogliacino,,,Male,Unknown,Unknown,Male,,
6.0,1.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.121,Have Foreign Shareholders Helped Japanese Firms Demand Changes in the Number of their Employees?,September 2009,Jun Fukuda,,,,Unknown,Unknown,Mix,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.143,Simulation Analysis of Global Orders Based on the Concept of Global Public Goods,March 2010,Kazuo Yoshida,Makoto Sejima,Shigeru Fujimoto,Male,,Male,Mix,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.159,A Simulation Environment to Support Simulation Studies on Global Public Goods,March 2010,Hirofumi Yamaki,Muneyoshi Saito,Kazuo Yoshida,Male,Unknown,Male,Male,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.185,Coalition and Dilemma in a Three-person Game,March 2010,Takashi Hashimoto,Yasuhiro Uehara,,Male,Male,Unknown,Male,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.201,Alliance Formation and Better-Shot Global Public Goods: Theory and Simulation,March 2010,Shintaro Nakagawa,Makoto Sejima,Shigeru Fujimoto,Male,,Male,Mix,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.227,An Evolutionary Route to the Formation of Coordination in the Iterated Leader’ s Game with Errors,March 2010,Eizo Akiyama,,,Male,Unknown,Unknown,Male,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.245,Two-country Negotiation Game by Players Presuming the Opponent’ s Payoff Structure,March 2010,Susumu Egashira,,,Male,Unknown,Unknown,Male,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.259,Of Ants and Men—the Role of Complexity in Social Change,March 2010,David G. Green,Tania G. Leishman,Gary D. Leishman,Male,Female,Male,Mix,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.277,Multilevel Selection Processes in Economics: Theory and Methods,March 2010,Natalia Zinovyeva,,,Female,Unknown,Unknown,Female,,1
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.299,"A Comparison of Non-regular Employment in Korea and Japan: Nature, Difference, and its Possible Reasons",March 2010,Joon-Young Kim,,,,Unknown,Unknown,Mix,,
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.329,Normal and Critical Evolution in Sociodynamics,March 2010,Wolfgang Weidlich,,,Male,Unknown,Unknown,Male,,1
6.0,2.0,Evolutionary and Institutional Economics Review,09 April 2015,https://link.springer.com/article/10.14441/eier.6.337,Torahiko Terada (1878–1935): Father of the science of complex systems,March 2010,Mitsugu Matsushita,,,Male,Unknown,Unknown,Male,,1
