Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009966010448,Editors' Preface,June 1998,Charles A. Holt,Arthur J.H.C. Schram,,Male,Male,Unknown,Male,,1
1.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009970815935,Introduction,June 1998,James C. Cox,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009905800005,Quantal Response Equilibria for Extensive Form Games,June 1998,Richard D. Mckelvey,Thomas R. Palfrey,,Male,Male,Unknown,Male,,291
1.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009957816843,Axiomatic Characterization of the Quadratic Scoring Rule,June 1998,Reinhard Selten,,,Male,Unknown,Unknown,Male,,145
1.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009909900914,Sequential Markets: An Experimental Investigation of Clower's Dual-Decision Hypothesis,June 1998,John D. Hey,Daniela di Cagno,,Male,Female,Unknown,Mix,,
1.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009961917752,A Monte Carlo Analysis of the Fisher Randomization Technique: Reviving Randomization for Experimental Economists,June 1998,Robert Moir,,,Male,Unknown,Unknown,Male,,33
1.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009914001822,Individual and Group Behavior in the Ultimatum Game: Are Groups More “Rational” Players?,June 1998,Gary Bornstein,Ilan Yaniv,,Male,Male,Unknown,Male,,141
1.0,2.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1026435508449,On the Validity of the Random Lottery Incentive System,September 1998,Robin P. Cubitt,Chris Starmer,Robert Sugden,,,Male,Mix,,
1.0,2.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009972125288,What Collusion? Unilateral Market Power as a Catalyst for Countercyclical Markups,September 1998,Bart J. Wilson,,,Male,Unknown,Unknown,Male,,13
1.0,2.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009992209358,Numerical Computation of Equilibrium Bid Functions in a First-Price Auction with Heterogeneous Risk Attitudes,September 1998,Mark V. Van Boening,Stephen J. Rassenti,Vernon L. Smith,Male,Male,Male,Male,,4
1.0,2.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009903417134,Bonn Workshop 1997—Theories of Bounded Rationality,September 1998,Bettina Kuon,Abdolkarim Sadrieh,Reinhard Selten,Female,Unknown,Male,Mix,,
1.0,2.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009944326196,Bounded Rationality in Individual Decision Making,September 1998,Colin Camerer,,,Male,Unknown,Unknown,Male,,127
1.0,3.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009996324622,Nash as an Organizing Principle in the Voluntary Provision of Public Goods: Experimental Evidence,December 1998,R. Mark Isaac,James M. Walker,,Unknown,Male,Unknown,Male,,31
1.0,3.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009951108693,Measuring Motivations for the Reciprocal Responses Observed in a Simple Dilemma Game,December 1998,Gary E. Bolton,Jordi Brandts,Axel Ockenfels,Male,Male,Male,Male,,51
1.0,3.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009903210510,Reinforcement-Based Adaptive Learning in Asymmetric Two-Person Bargaining with Incomplete Information,December 1998,Amnon Rapoport,Terry E. Daniel,Darryl A. Seale,Male,,Male,Mix,,
1.0,3.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009915506721,Bonn Workshop 1997—Theories of Bounded Rationality,December 1998,Bettina Kuon,Abdolkarim Sadrieh,Reinhard Selten,Female,Unknown,Male,Mix,,
1.0,3.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009911411418,Bargaining and Dilemma Games: From Laboratory Data Towards Theoretical Synthesis,December 1998,Gary E. Bolton,,,Male,Unknown,Unknown,Male,,11
2.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009984414401,Heterogeneity and the Voluntary Provision of Public Goods,August 1999,Kenneth S. Chan,Stuart Mestelman,R. Andrew Muller,Male,Male,Unknown,Male,,69
2.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009925731240,The Effects of Decoy Gambles on Individual Choice,August 1999,Kaisa Herne,,,Female,Unknown,Unknown,Female,,44
2.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009977715310,Continuous-Time Strategy Selection in Linear Population Games,August 1999,Siegfried K. Berninghaus,Karl-Martin Ehrhart,Claudia Keser,Male,Unknown,Female,Mix,,
2.0,1.0,Experimental Economics,,https://link.springer.com/article/10.1023/A:1009929832148,Collusion Without Conspiracy: An Experimental Study of One-Sided Auctions,August 1999,Katerina Sherstyuk,,,Female,Unknown,Unknown,Female,,16
