Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0006-x,Factor Mobility and Dispersion in Marginal Products: A Case on China,January 2006,Gong Liutang,Xie Danyang,,,,Unknown,Mix,,
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0001-2,Issues on Settlement of Final Expenses and Performance Assessment in the Course of Transition: Evidence from China,January 2006,Lü Wei,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0007-9,SOE Reform under Oligopolistic Market Structure: The Optimal Choice of State Shares,January 2006,Sun Qunyan,Li Jie,Zhang Anming,,,,Mix,,
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0008-8,"Reform, Interaction of Policies, and Economic Growth: Evidence from China’s Provincial Panel Data",January 2006,Chen Zhao,Lu Ming,Yan Ji,,,Male,Mix,,
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0010-1,"Information, Informal Finance, and SME Financing",January 2006,Lin Justin Yifu,Sun Xifang,,Female,,Unknown,Mix,,
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0011-0,An Empirical Study on Corporate Governance and Market Valuation in China,January 2006,Bai Chong-En,Liu Qiao,Zhang Junxi,,,,Mix,,
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0012-z,"Risks, Financing Constraints, and High Savings Ratio in the Rural Economy of China: A Model Incorporating Precautionary Savings and Liquidity Constraints",January 2006,Ma Junlu,Tian Gang,,,,Unknown,Mix,,
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0013-y,"The Effect of Changes in Real Exchange Rates on Employment: Evidence from Manufacturing Industries in China, 1980–2002",January 2006,Fan Yanhui,Song Wang,,,,Unknown,Mix,,
1.0,1.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-005-0014-x,"Informal Institutions, Consumption Custom, and Assumption of OLG Model—A Theoretical Analysis on Households’ Consumption Decisions in the Oriental Culture and Belief",January 2006,Huang Shao’an,Sun Tao,,,,Unknown,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0001-x,Analysis on structural changes in the macroeconomic data series with the empirical evidence from China,June 2006,Li Zinai,Zhou Jian,,,,Unknown,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0002-9,A re-estimation of China’s agricultural surplus labor,June 2006,Wang Jiangui,Ding Shouhai,,,,Unknown,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0003-8,Competitive advantage: an analytical framework based on entrepreneurship,June 2006,Liu Zhibiao,,,,Unknown,Unknown,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0004-7,Income inequality and economic growth—the Kuznets curve revisited,June 2006,Yin Heng,Gong Liutang,Zou Heng-fu,,,Unknown,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0005-6,The directions of FDI and the self-intensifying expectations of the exchange rate and the effectiveness of sterilized intervention,June 2006,Li Tiandong,Xue Shaoqiang,Zhu Qi,,,,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0006-5,The relationship between urbanization and commodity circulation: a theoretical and positive research,June 2006,Yan Weilong,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0007-4,Investment behavior and investment aggregates during China’s economic transition,June 2006,Wang Xi,,,,Unknown,Unknown,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0008-3,Determinates of the decline in the income-velocity of money in China: a new perspective,June 2006,Zhao Liuyan,Wang Yiming,,,,Unknown,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0009-2,The approach to transforming the traditional agricultural economy: a research on the multiple paths of poverty alleviation and transformation in rural China,June 2006,Zou Wei,Zhuang Ziyin,,Unknown,,Unknown,Mix,,
1.0,2.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0010-9,The influence analysis on public expenditure to the technique efficiency of China,June 2006,Chen Xun,Yu Jie,,,,Unknown,Mix,,
1.0,3.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0011-8,A report on the development of China’s market economy 2005,September 2006,Li Xiaoxi,,,,Unknown,Unknown,Mix,,
1.0,3.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0012-7,Rapid industrialization and market for energy and minerals: China in the East Asian context,September 2006,Ross Garnaut,Song Ligang,,Male,,Unknown,Mix,,
1.0,3.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0013-6,An analysis of the consumption risk and asset returns of Chinese residents,September 2006,Zang Xuheng,Wang Liping,,Unknown,,Unknown,Mix,,
1.0,3.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0014-5,Political economy of China’s trade policy: the evidence from industrial protection in 1990s,September 2006,Sheng Bin,,,,Unknown,Unknown,Mix,,
1.0,3.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0015-4,Banking structure and financial stability: a comparison of Chinese and German banking systems,September 2006,Cai Conglu,,,Male,Unknown,Unknown,Male,,2
1.0,3.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0016-3,Analysis on total factor productivity of Chinese provincial economy,September 2006,Guo Qingwang,Zhao Zhiyun,Jia Junxue,,,,Mix,,
1.0,4.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0017-2,A research on China’s long-term rice prices (1644–2000),December 2006,Lu Feng,Peng Kaixiang,,,,Unknown,Mix,,
1.0,4.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0018-1,"Foreign trade, environmental protection and sustainable economic growth in China",December 2006,Chen Jiyong,Liu Wei,Hu Yi,,,,Mix,,
1.0,4.0,Frontiers of Economics in China,,https://link.springer.com/article/10.1007/s11459-006-0019-0,Unit roots and structural breakpoints in China’s macroeconomic and financial time series,December 2006,Liang Qi,Teng Jianzhou,,,,Unknown,Mix,,
