Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
34,1,Homo Oeconomicus,08 March 2017,https://link.springer.com/article/10.1007/s41412-017-0040-9,Proposals for a Democracy of the Future,April 2017,Bruno S. Frey,,,Male,Unknown,Unknown,Male,"Democracy is an old and honorable institution already discussed and practiced in ancient Greece. Over the centuries, it has had its ups and downs, and has transformed itself by allowing (former) slaves and women to have the right to vote. However, democracy is not very dynamic. For instance, the construction of the European Union—which, of course, claims to be democratic—can hardly be considered a further development of the democratic idea for the twenty-first century. Rather, in large measure it represents falling back to the rule of professional politicians who fill the ranks of the European commission, other executive agencies and of the European parliament. Neither do national countries seriously deal with the challenge of the digital world that may impose totally different forms of information, discussion and voting. This contribution focuses on how direct participation of citizens in the political process could be further developed in order to still be prosperous in the future. Recently, there have been strong attacks against existing democracy such as by Brennan (2016) in his book Against Democracy or Van Reybrouck (2016) in his book Against Elections: The Case for Democracy. I consider direct participation rights of people to be a desideratum. The issue I deal with is where, when, and to what extent such participation rights should exist. As a Swiss, direct democratic institutions of my country influence my considerations. The country has fared well with direct democracy. Econometric analyses suggest that Switzerland’s high-income level has been positively influenced by direct democracy (see Kirchgässner et al. 1999; Kirchgässner and Feld 2000; Kirchgässner 2015). Switzerland is also top in many rankings.Footnote 1 Moreover, the Swiss are, next to Denmark, the happiest people in the world (see e.g. World Happiness Report 2016, Update). According to Frey and Stutzer (2000, 2002), when comparing the 26 cantons in Switzerland, and controlling for dozens of other factors influencing happiness, the different possibilities of citizens to participate by direct votes in referendums significantly influence the subjective well-being of citizens. Moreover, foreigners who have no voting rights are less satisfied with their lives than are Swiss citizens even controlling for a large number of other determinants of subjective well-being. When foreign inhabitants in Switzerland get the Swiss nationality, their happiness rises because they are now entitled to participate not only in elections but also in the great number of national, cantonal and communal referendums. I do not intend to provide a survey of direct democracy. This has been done elsewhere (e.g. Frey 1994; Frey and Goette 1998; Kriesi 2005). Rather, I present several concrete proposals of how direct participation rights could be reformed. This discussion is based on the Public Choice approach,Footnote 2 i.e. assuming that individuals are rational actors and respond systematically to relative prices determined by institutional conditions (see e.g. Brennan and Hamlin 2000; Mueller 1996, 1997). The goal is to widen the scope of the present analysis of democracy by suggesting novel ideas to further develop democracy. The author is well aware that all these proposals can be undermined by strategic action.Footnote 3 However, the Gibbard-Satterthwaite-Theorem states that all public decision-making mechanisms are subject to possible strategic action. Thus, the novel proposals here advanced are not the only ones subject to this problem. In what exact way my proposals can be influenced by strategic action, and what mechanisms can be introduced to reduce its impact, must be left to future research. Section 2 shortly considers the application of democracy to new areas. While this aspect has been rarely undertaken, it has been intensively discussed in the social sciences. Section 3 suggests variable voting weights according to several dimensions. The following Sect. 4 discusses a possible reform of how to deal with close referendum outcomes. Section 5 introduces random procedures to improve democracy. Section 6 concludes.",19
34,1,Homo Oeconomicus,16 November 2016,https://link.springer.com/article/10.1007/s41412-016-0033-0,Historical Migration and Geographic Clustering of Prominent Western Philosophers,April 2017,John O’Hagan,Alan Walsh,,Male,Male,Unknown,Male,"A number of articles have reported on the results from the compilation of new data on the historical migration and clustering of prominent creative workers, including visual artists (O’Hagan and Kelly 2005, and O’Hagan and Hellmanzik 2008), and classical music composers (O’Hagan and Borowiecki). The current paper attempts to build on this work by examining the birth location, migration and clustering patterns of 146 of the most important Western philosophers over two millennia (see full list in Table A1).Footnote 1
 Collins (1998) in his majestic tome, The Sociology of Philosophies, a Global Theory of Intellectual Change, covered in great detail the whole spectrum both time-wise and in terms of an extensive coverage of non-Western philosophers. He also very much emphasized the clustering effect operating among philosophers as evidenced by the following. The history of philosophy is to a considerable extent the history of groups. Nothing abstract is meant here—nothing but groups of friends, discussion partners, close-knit circles that often have the characteristics of social movements. Take the upsurge of German Idealism, from Kant to Hegel and Schopenhauer. The first thing to strike us should be the dates: all the major works are between 1781 (Kant’s Critique of Pure Reason) and 1819 (Schopenhauer’s World as Will and Representation)—38 years, the approximate length of a generation. There is a social core: Fichte, Schelling, and Hegel, who once lived together in the same house. Fichte takes the early lead, inspiring the others on a visit while they are young students at Tübingen in the 1790 s, then turning Jena into a center for the philosophical movement to which a stream of the soon-to-be-eminent congregate; then on to Dresden in the heady years 1799–1800 to live with the Romantic circle of the Schlegel brothers. (p. 3). Collins ranked philosophers according to how many pages of discussion they receive in various histories of philosophy and then divided them into dominant, major, secondary, and minor figures. No evidence is provided, though, on how precisely this was done. For Greece it is interesting that he had 8 dominant, 20 major, 68 secondary and 237 minor. He later uses a slightly different classification when dealing with the ‘significant’ figures in world history, which he estimates at between 135 and 500 philosophers. He also highlights and maps the personal connections between the significant philosophers but again the evidence for this is not made explicit. The purpose of this paper is to shed a little more light on the hugely informative work of Collins in three ways. First we seek to explain briefly why it might be expected that the most important philosophers would cluster, a topic addressed very well but in a general way by Collins. Second, following the expectation that there were strong arguments to expect them to cluster, we collected detailed data on 146 prominent or significant philosophers in terms of birth location and life-time migration. Third, we seek to examine the extent to which these philosophers worked in clusters, accompanied in most cases according to Collins by a large number of less important philosophers. Given the nature of the data set it is impossible to test any of the explanations posited in a formal way, but some evidence is supplied via case study which throws light perhaps on what explanations for clustering apply to philosophers. There have also been more ‘micro’ studies of clusters of creative workers, such as by Farrell (2001), and Oberlin and Gieryn (2015). The former examined thirteen creative clusters, covering visual artists, to literary artists to inventors of film, the aim being to establish common patterns in collaboration and friendship dynamics. The latter also examined in some detail three clusters of visual artists. It should be noted from the start, that while geographic clustering might occur, it does not follow automatically that it always lead to networking among philosophers. The nature, extent and benefit of networking that might have resulted from the geographic clustering of philosophers is for another paper. Section 2 though will examine the reasons why we might expect philosophers to want to network, through geographic clusters. If there are strong prima facie reasons for this, and it is found that they did in fact cluster over the millennia, then it might be reasonable to assume, a priori, that such benefits did ensue. Section 3 will address some methodological issues that arise in the collection and analysis of the data. Section 4 provides a summary of the key results regarding birth location and migration for the entire period. Section 5 takes a more detailed look at three major epochs in terms of migration and clustering: Ancient Greece (601 BC to 300 BC); the Scholastic period (1001 AD to 1300 AD); and the Post Scientific Revolution period (1610 AD to 1900 AD). Section 6 returns to the issues discussed in Sect. 2, namely why such clustering took place by examining the age at which the first major work of each philosopher was published and whether or not that took place prior to or after their first major migration (more than three months) for work reasons. Section 7 concludes the paper.",4
34,1,Homo Oeconomicus,02 March 2017,https://link.springer.com/article/10.1007/s41412-017-0037-4,Marijuana Prohibition and Rent Seeking,April 2017,R. Warren Anderson,,,Unknown,Unknown,Unknown,Unknown,,
34,1,Homo Oeconomicus,04 March 2017,https://link.springer.com/article/10.1007/s41412-017-0039-2,"Ancient Athenians, Californians and Modern Greeks: A Comparative Analysis of Choice Set Under Direct Democracy Procedures",April 2017,Emmanouil M. L. Economou,Nicholas C. Kyriazis,Theodore Metaxas,Male,Male,Male,Male,"Choice under democracy has been an ongoing issue for analysis by economists, political scientists and historians, since at least the appearance of the first democracy in Athens, in 510-507 BCE. Thus, although almost 2500 years separate ancient Athens from modern democracies, some elements of the political context under which choices are being made, seem to exhibit common characteristics. Here, we focus on three examples of choice between public good(s) and private consumption, under direct democracy procedures. We focus on direct democracy because it brings to the fore the two well-known problems of principal-agent and unbundling of issues. In this essay, we analyse Themistocles’ Naval Law of 483/2 BCE, California’s Proposition 13 of 1978 and Greece’s referendum of June 2015. We have chosen these three particular cases, instead of others, because of their differences concerning the actual institutional set-up and historic context, as well as because of their different outcomes: in the first case in favour of defense for the public good and increased taxation, in the second case against the increase of taxation which entailed fewer provisions of a variety of public goods (such as education, health and social services to vulnerable and at-risk residents) and in the third case, it was of no consequence because the outcome was different from the issues of the referendum’s vote (either more or less austerity measures). These differences make, we suggest, the comparison of the three cases interesting.Footnote 1
 The essay is organized as follows: in the next part, we discuss some general issues of choice, followed by an analysis of the similarities and differences between the three cases. Sections 3-5 analyse in greater detail our three cases: Themistocles’ Naval Law, California’s Proposition 13, and the Greek July 2015 referendum. Section 6 offers a comparative analysis of the three cases. In the conclusion, we offer our insights as to why the outcomes differ and the reasons leading to these differences.",9
34,1,Homo Oeconomicus,03 March 2017,https://link.springer.com/article/10.1007/s41412-017-0036-5,Simple vs. Sophisticated Rules for the Allocation of Voting Weights,April 2017,N. Maaser,,,Unknown,Unknown,Unknown,Unknown,,
34,1,Homo Oeconomicus,01 February 2017,https://link.springer.com/article/10.1007/s41412-017-0035-6,Land Grabbing: Last Ditch Effort of Colonialism? A Survey of a Few Contributions and a Couple of Suggestions,April 2017,Gianpaolo Rossini,,,Male,Unknown,Unknown,Male,"Historical records of changes of property of large chunks of land are often associated to the aftermath of wars and colonization. One consequence of a conquer by a colonizing country is the manipulation or radical change of local land and real estate regime and registry (cadastre) system. The consequence is arbitrary expropriation of properties, with small or without compensation to the legitimate owners, for alleged security or public needs reasons or simply for the settlement of colons.Footnote 1 In poor colonized areas expropriation is even easier due to the absence of a legal regime for land and estate properties comparable to that of dominating countries. Moreover, in backward countries the popularity of market exchange is low. The introduction of property rights and marketability for land in less advanced countries where commons and orally recorded usage rights are popular is a violation of cultures and habits with dramatic externalities. Where land is not liable to be possessed privately there is no clear attribution of property rights. When land exchangeability is introduced in poor areas the market is poisoned with dramatic asymmetries. Poor incumbent users of land do not have neither the hard currency to resist buying pressures nor any ability to assess the market value of their resources. In peace postcolonial times the “legal” transfer of large properties in poor countries is, to some extent, quite a recent phenomenon, while the “illegal” or “strongly coactive” transfer has never stopped and has gone on with a surprising continuity since colonial times.Footnote 2 Quite often LSLAs occur where legal rules are either new, unclear or absent and private exclusive ownership of land and water are almost unknown to incumbent inhabitants (Cotula et al. 2011; Arezki et al. 2015). Official data, mainly from international development institutions, report that during the last ten years LSLAs have covered a ground surface (48 million ha) almost as large as Spain. The main statistical source of these assessments and of most empirical studies on the subject is the Land Matrix Database, (LMD) which reports recent (since 2000) land transfers (finalized and near to final settlement). This precious matrix is an open source data set which provides a global broad view of LSLA. It is based on updated information from different operators and statistical institutions worldwide. Unfortunately it has no official certification. Data from NGOs and other nonofficial sources make the figures produced by the LMD much larger since to those figures we should add smaller LSLAs made on a piecemeal basis in order to avoid frequent backlash raised by LSLA. These “small” acquisitions would rather add a relevant portion of transfers to published LMD data. LSLAs concern, most of the times, formerly or presently colonized countries. In some regions (such as Zimbabwe) these acquisitions target properties previously “belonging” to colonial farmers (who got them as conquer spoils at the time of colonization) that were later nationalized during the decolonization process. LSLA areas usually show high degree of inequality in the distribution of both wealth and the national product and are economically dependent upon the rich world or the affluent part of the country where LSLA takes place. LSLAs are carried out mainly by multinational enterprises, private financial institutions, large investors from advanced areas including Asia, the Persian Gulf and other emerging countries. These and other features of LSLA raise legitimate worries. Do LSLAs represent the last ditch effort of a disguised fresh wave of neocolonial appropriation of resources belonging to poor people, not able to develop with their own means? Or may LSLAs be an opportunity for the development of backward areas of the world? Different and opposing views are set forth in the literature, in public discussions and within international institutions such as the World Bank (WB). As it appears in Arezki et al. (2015) the WB did favor large foreign projects investments in farmland. Cotula et al. (2011) and other papers are on the opposite side and strongly criticize LSLAs which seem to reduce average welfare and to raise local tensions. Expected economic development is most of the times absent while displacement, anger, and increased inequality could be observed in several African areas such as Madagascar, Tanzania, Sierra Leone and Senegal. Literature is quite skeptical about the benefits of selling land to foreigners for poor countries since they never receive proper compensation. Then, most of the aspects of LSLA point to an asymmetric relation between buyers and sellers of land that reminds closely expropriations of colonial type. The majority of international agencies used to recommend LSLA as a way to get out of poverty and underdevelopment. Recently the stance has changed within main development international institutions, including the WB. Our purpose is to survey some specific contributions to see how far are LSLAs from desirable deals for backward regions and how much colonialism is contained in them. In Sect. 2 we consider a case study paper, in Sect. 3 we analyze corruption in LSLAs, in Sect. 4 we go through fairness, in Sect. 5 we examine a game theoretical experimental assessment of LSLAs, in Sect. 6 we see some political economy and touch upon internal conflicts raised when LSLA takes place. In Sect. 7 we draw conclusions and provide a few policy suggestions.",1
34,2,Homo Oeconomicus,22 July 2017,https://link.springer.com/article/10.1007/s41412-017-0051-6,Assessing Mental Models via Recording Decision Deliberations of Pairs,November 2017,Siegfried K. Berninghaus,Werner Güth,Kerstin Pull,Male,Male,Female,Mix,,
34,2,Homo Oeconomicus,11 July 2017,https://link.springer.com/article/10.1007/s41412-017-0049-0,Intergroup Revenge: A Laboratory Experiment,November 2017,David Hugh-Jones,Martin Alois Leroch,,Male,Male,Unknown,Male,"Humans categorize themselves and others by group membership. While such categorization need not necessarily affect behavior, at times it certainly does. In this paper, we analyze how group membership affects behavior of recipients of actions towards innocent third parties, who happen to share the group membership with a previous, initial actor. More specifically, we want to know if, and if so under which circumstances, revenge is not only oriented at direct perpetrators, but expands to the entire group they belong to. At first sight it appears straightforward that people take revenge against entire groups, not only against direct individual perpetrators, even in routine social and economic life. For instance, consumers buy fewer products from countries which they see as politically antagonistic (Klein and Ettensoe 1999, Leong et al. 2008). Further, on days after terrorist bombings in Israel, Jewish (Arab) judges become more likely to favor Jewish (Arab) plaintiffs in their decisions, and Israeli Arabs face higher prices for used cars (Shayo and Zussman 2011; Zussman 2012). On a political level, for instance, Keynes (1922) perceived the Treaty of Paris’ devastation of the German economy as an act of revenge, and quoted Thomas Hardy’s play The Dynasts: “Nought remains/But vindictiveness here amid the strong,/And there amid the weak an impotent rage.” In its most extreme case, revenge against groups may trigger violent intergroup conflict. After an argument between an Indian Dalit and an upper caste farmer, upper caste villagers attacked 80 Dalit families (Hoff et al. 2011). In Atlanta, 1906, after newspaper allegations of black attacks on white women, a group of white people rioted, killing 25 black men (Bauerlein 2001). In both cases, innocent people were made to suffer for the real or supposed crimes of others. Many field studies of intergroup violence report similar tit-for-tat processes, with harm to members of one group being avenged by attacks on previously uninvolved coethnics of the original attackers (Horowitz 1985, 2001; Chagnon 1988). The psychology of reciprocity may indeed play a part in these phenomena. Laboratory experiments show that humans reciprocate harm done to them, even at a cost to themselves (Fehr and Gächter 2000; Falk and Fischbacher 2006). A natural extension, which would account for the episodes described above, is that humans reciprocate not only towards individuals, but also towards entire groups. We label retaliation against a perpetrator’s group members group reciprocity. However, these examples do not provide conclusive evidence for the motivations underlying group reciprocal behavior. In field studies it is hard to distinguish group reciprocity from in-group bias under external threat (Sherif et al. 1961), or from strategic considerations, e.g. if people are rewarded for defending their coethnics (Chagnon 1988). Therefore, to identify group reciprocity cleanly, we ran a computerized laboratory experiment. We emphasize that we do not believe real-world scenarios like those above can be recreated in the lab. This holds especially for episodes of violent conflict. However, experimenters can study analogous situations, such as intergroup contests and vendettas (Bornstein 1992, 2003; Weisel and Zultan 2013; Abbink and Herrmann 2009). Here, we test for an individual psychological mechanism which may underlie real-world phenomena. We also examine how inequality and unfairness affect group reciprocity. Our theory relates to existing work on in-group favouritism. As previous experiments show, people value group membership, and prefer to interact with others from their own group (Hargreaves-Heap and Zizzo 2009; Currarini and Mengel 2012). They cooperate more with in-group members (de Cremer and van Vugt 1999; Goette et al. 2006; Guala 2012). Group members give more to each other, punish each other less and reward each other more (Bernhard et al. 2006; Chen and Li 2009; Currarini and Mengel 2012). Shared group identity may also provide a simple coordination mechanism for individuals (Chen and Chen 2011). However, these phenomena appear insufficient to explain extreme prejudice of the form outlined above or even violence against outgroups (Brewer 1999). Indeed, in-group bias disappears when subjects allocate a “bad” such as exposure to aversive noise (Mummendey et al. 1992). In response to this explanatory gap, psychologists have developed theories of intergroup emotions, including “vicarious retribution”, a propensity to retaliate against groups (Lickel et al. 2006). We extend this literature by conducting an incentivized experiment which identifies group reciprocity, while avoiding a number of confounds. Of existing experiments, some have examined only verbal attitudes (Stenstrom et al. 2008), while others cannot cleanly distinguish individual-level reciprocity from group reciprocity, because the reciprocator’s choices affect the whole outgroup including the individual who committed the offence (Gaertner et al. 2008; Abbink and Herrmann 2009). Our design makes it clear to subjects that they are interacting with different members of the same group. Our experiment also differentiates group reciprocity from “generalized” or “downstream indirect” reciprocity. This is a phenomenon in which another person’s helpful/harmful behaviour causes the subject to help/harm other people in general (Dufwenberg et al. 2001; Greiner and Levatti 2005; Stanca 2009). Generalized reciprocity could be supported by various mechanisms, including learning, imitation, or changes in mood. By contrast, group reciprocity is directed specifically against the original offender’s group, not just against people in general. We distinguish group reciprocity from generalized reciprocity by including control treatments where subjects can reciprocate against a “neutral” third party. As well as testing for the existence of group reciprocity, we also make a start at understanding its correlates. We examine the relationship between group reciprocity and fairness perceptions. Qualitative studies and cross-country regressions both show a link between inequality, unfairness, and intergroup conflict (Tambiah 1996; Horowitz 2001; Cederman et al. 2011). In different experimental sessions we varied the perceived unfairness of intergroup allocations, by allocating a reward to one group either randomly, or as the reward for group performance in a quiz. We show that group reciprocity is only observed when rewards are allocated randomly—a treatment which subjects perceived as less fair. Also, subjects who perceived the experiment as less fair were more likely to group-reciprocate.",6
34,2,Homo Oeconomicus,03 March 2017,https://link.springer.com/article/10.1007/s41412-017-0038-3,Climate Change and Environmentally Induced Migration Across Regions: Cooperative and Non-cooperative Solutions,November 2017,E. V. Petracou,A. Xepapadeas,A. N. Yannacopoulos,Unknown,Unknown,Unknown,Unknown,,
34,2,Homo Oeconomicus,10 July 2017,https://link.springer.com/article/10.1007/s41412-017-0050-7,Understanding “Development”: Insights from Some Aspects of Complexity Theory,November 2017,Christopher A. Hartwell,,,Male,Unknown,Unknown,Male,"Critiques of neoclassical economics have increased in frequency and vehemence over the past decade, spurred on by the global financial crisis, manifesting themselves in one of two variants. The first category has been termed by Arnsperger and Varoufakis (2006) as “unsophisticated:” criticisms that focus mostly on orthodox conceptions of economic behavior and the market, railing against assumptions of rationality or individualistic “instrumentalism” and debating neoclassical assumptions at their margins. These criticisms tend to call for more of the same as an antidote for perceived failings, such as increased regulation (Crotty 2009), better monetary policy oversight (Allen and Snyder 2009), or massive increases in government spending through monetary manipulation (Wray 2011). However, a more sophisticated challenge to the ruling orthodoxy, arising from across the heterodox spectrum (O’Hara 2007 notes it may be the only thing uniting heterodox approaches), has instead confronted the entire foundation of neoclassical reasoning. This further critique has focused on Walrasian assumptions of equilibrium, taking up the original work of Scarf (1960) and Sonnenschein (1972) to call for a “post-Walrasian economics” (Colander Shelley 1998). Based in part upon real world experience (not least in the failures of development economics to bring much of the world out of poverty), the anti-equilibrium critique conjectured that reality contained multiple equilibria, and none of them was necessarily “natural”. Thus, the movement of an economy in the aggregate was highly path-dependent, a concept that was a direct repudiation of equilibrating tendencies supposedly nested within an economy (Davis 2006). But if equilibrium theory is “still dead after all these years” (Ackerman 2002), what has taken its place? Early work dared not contemplate the full consequences of what a violation of the assumption of equilibrium would mean; as Colander (2003:19) noted, the question of a post-Walrasian world wouldn’t be “Why does the economy exhibit instability and fluctuations?” but rather “Why does it exhibit as little instability as it does?” It is only in recent years that complexity theory, with some (but not all) aspects borrowed from the natural sciences, appears to have stepped into explain what exists in this “unbridgeable gap between market behavior and equilibrium theory” (Matutinovic 2010:32). Focusing on an evolutionary approach to economics, and understanding that economic relations are enmeshed in a series of small and large complex adaptive systems (CAS), certain aspects of complexity theory embraces the idea that such systems may not tend to equilibrium. In fact, taken as a whole, complexity theories understand that “out of equilibrium” may be the most often observed state of an economy, pervasive in such areas as foreign exchange markets and the savings and investment nexus (Rosser 1999). The increasing application of complexity theory to economic issues, and its provision of a valid alternative to neoclassical equilibrium-based foundations,Footnote 1 has occurred at the same time as another breakthrough in mainstream economic thinking: the acknowledgement of the importance of institutions in economic development. While Douglass North (1990) is credited with resurrecting institutional analysis in the guise of the “new institutional economics” (NIE), empirical research from Acemoglu et al. (2003, 2005), Rodrik et al. (2004), Glaeser et al. (2004), and more recently Fatás and Mihov (2013) and Flachaire et al. (2014) has confirmed the role that institutions play in determining the wealth or poverty of nations. These approaches have incorporated many of the tenets of new institutional economics, recognizing that economic outcomes are mediated and influenced by institutional make-up and the broader cultural currents in a given society. While there has been a welcome permeation of NIE tenets into empirical growth work, the emphasis on institutions has still been somewhat limited: as Williamson (2000:595) famously remarked, “the confession is that we are still very ignorant about institutions”. Indeed, much of the development literature has only considered broader institutional changes or aggregated categories of institutions (such as “market-sustaining”, to use Rodrik et al.’s (2004) terminology), with a scarce few in-depth case studies examining the richness of institutional complexity and diversity (the entire body of Elinor Ostrom’s work, typified in Ostrom (2005), being the major exception to the neglect of institutions). To again quote Williamson (2000:595), the chief reason for this “ignorance is that institutions are very complex”, a reality that makes them difficult to tackle in an equilibrium framework, given that they have nonlinearities, exhibit threshold effects, and often lack definitive boundaries. In other words, institutions themselves are complex adaptive systems, more suited to a theoretical framework that recognizes this reality than standard neoclassical analysis. This presents the development economist with a most terrible quandary: if institutions are crucial for development of an economy (which is a complex system) but institutions themselves are also complex adaptive systems, how can one possibly hope to achieve a state of higher development? The purpose of this paper is to further our knowledge of institutions in the pursuit of development by examining institutions explicitly from the standpoint of certain aspects of complexity theory. It is my contention that complexity theory has much to recommend it in terms of understanding institutional composition, which then in turn has a direct impact upon the development of a country’s (region’s/individual’s) economic outcomes. In particular, complexity theory may help economists to understand what a “good” institution is and how it can function in a sea of institutions, as well as shedding light on how such “good” institutions come to be. Unfortunately, as this paper will show, the knowledge of the complexity of institutions also presents a difficulty in attempting to influence their development from either a centralized, planning sense or from an external (donor) agent. The key finding of this examination is that understanding economic complexities, relying on institutional and Austrian approaches, may actually come full circle to a neoclassical prescription of laissez-faire, even while eschewing the idea of equilibrium. In other words, equilibrium may exist, but the complex nature of institutions and their operations make it incredibly difficult for a policymaker to “create” (or even understand) this equilibrium. It is may thus be more important to remove barriers from the path to this better state than to actively engage in institution-building. While this faces its own challenges from the point of view of a complex system, it may be a reasonable solution for policymakers.",4
