Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,IZA Journal of European Labor Studies,31 December 2012,https://link.springer.com/article/10.1186/2193-9012-1-9,More alike than different: the Spanish and Irish labour markets before and after the crisis,December 2012,Pablo Agnese,Pablo F Salvador,,Male,Male,Unknown,Male,"The recent crisis of 2007 has left us with more questions than answers. The major economies have seen negative GDP growth rates in 2008 and 2009, just to experience positive rates again in 2010 and 2011. In the European setting, not all member states have been affected in the same way. For example, Germany, the UK, and France are now recovering at a reasonable pace –between 1.5 and 3.5 percent GDP growth rates in 2010 and 2011. The Nordic countries, in turn, yet not as severely hit as in the mid-1990s, seem to have learned from their previous experience and have quickly recovered with GDP growth rates of the order of 3.0 to 5.5 percent in the last two years. On the other hand, much of the discussion now taking place focuses on the less fortunate countries which have come to be known as PIGS (Portugal, Italy, Greece, and Spain, with Ireland joining the club right after the crisis). The PIGS share a set of similar traits that make for a separate study, to wit: high unemployment rates, persistent fiscal imbalances, weakening financial sectors and credit rationing, severe after-effects of the housing boom, widespread corruption, and frequent strikes. However, a closer look reveals that not all PIGS are the same. For instance, while Greece, Ireland, and Portugal, and more recently Spain, have received financial help from the European Union, Italy has not. Besides, two of these countries –Spain and Ireland– underwent major increases in unemployment, even when compared to the other PIGS. Moreover, the evolution of the unemployment rate in both countries has followed the same pattern in the last decades, although Spain displays much higher rates since the mid-1990s. Our goal, then, is to study the trajectory of the unemployment rate in Spain and Ireland while highlighting the common drivers for the most part of the past decade and a half. We divide our analysis into two periods, before and after the 2007 crisis, which coincide with the major turning points of the unemployment rate in recent years. We estimate a dynamic labour market model for each country and perform a dynamic accounting exercise to examine how much of the unemployment variation in Spain and Ireland is attributable to the explanatory variables. Our results suggest that the two countries seem to have more similarities than differences –despite the clear contrast in the degree of flexibility of their labour markets. We base our empirical analysis on the Chain Reaction Theory (CRT) of unemployment. The use of this approach is justified for two reasons. First, its wider methodological perspective permits us to consider non-stationary variables as drivers of the unemployment rate. Second, as shown in Figure 1 (Section 2), the actual rate of unemployment in both countries is far from its equilibrium level, implying that the natural rate of unemployment (NRU) cannot account for the large increases in unemployment. 
The actual unemployment rate, the NRU, and frictional growth.
 The paper is structured as follows. Section 2 puts these two economies in context. Section 2 briefly discusses the theoretical framework on which we base our empirical analysis. Section 2 shows the estimated models and the econometric methodology. Section 2 presents the contributions of the exogenous variables to the variation of unemployment, before and after the crisis. And finally, Section 2 concludes.",
1.0,1.0,IZA Journal of European Labor Studies,31 December 2012,https://link.springer.com/article/10.1186/2193-9012-1-8,Wage and occupational assimilation by skill level: migration policy lessons from Spain,December 2012,Núria Rodríguez-Planas,,,Female,Unknown,Unknown,Female,"Much of the literature on immigrants’ assimilation has focused on countries with a long tradition of receiving immigrants1. Most of these studies find that after an initial adaptation period, immigrants’ earnings and employment choices converge towards those of similar natives. Moreover, the evidence shows that assimilation is directly related with immigrants’ skill level. In contrast, not much is known on how immigrants adjust to an economy with little experience as a host country. Nonetheless understanding immigrants’ assimilation process in such circumstances can be of most policy relevance, especially in the midst of the new immigration flows towards countries other than the most traditional countries receiving immigrants. Indeed Southern European countries have recently experienced a preponderance of migrants in their territory (Reher and Silvestre, 2009). In this paper, we propose to use Spain as a quite unique experience to analyze such issues as the country experienced an unprecedented immigration boom in a short period of time—with immigrants representing from 1% of the population in 1990 to 12% in 2009. Given the impressive inflow of immigrants that Spain has experienced in the last ten years (on average, an annual flow of immigrants of 500,000 per year), the assimilation process of immigrants is an important issue not only for economic, but also for social reasons. Moreover, the experience of Spain ought to be of interest to policymakers of other Southern European countries that share common cultural affinities (such as, the strong family-orientated values associated with a low degree of individualization—Flaquer, 2000); similar socio-economic circumstances (such as, rigid labor and financial markets, important underground economy, low productivity growth, and excessive borrowing —Garicano, 2008; Andrés, 2009; de la Rica, 2009; Estrada et al., 2009; and Cuñat and Garicano, 2009); welfare commonalities (such as, the mix of universalistic health-care and education systems with professional pension schemes, the high degree of institutional fragmentation, and the lack of an explicit family policy as evidenced by a very limited number of family-friendly social provisions—Guillén, 1997; Ferrera, 1996; Rodríguez-Planas, 2012); and a recent preponderance of illegal migration and weak governmental capacity to regulate immigrants’ inflows—Castles and Miller, 2003; Arango, 2004; Solé, 2004; Martin et al., 2006). Unlike the findings from countries with a long tradition of receiving immigrants (summarized in Section 2), Section 3 of this paper presents evidence that skilled immigrants in Spain do not assimilate as well as low-skilled ones. It is important to note that we are not the first to find evidence that in Spain the recent wave of immigrants has suffered from over-education. One of the first studies to explore this question is that of Amuedo-Dorantes and de la Rica, 2007. Using 2001 decennial Population Census data, these authors find evidence of immigrants’ progressive employment and occupational mobility as their residence in Spain increases. Unfortunately, due to data limitations, their analysis focuses on immigrants who arrived during the second half of the 1990s and, therefore, misses most of the massive recent inflow of immigrants2. Using cross-sectional data from the 1996 to 2005 Spanish Labor Force Survey, Fernández and Ortega 2008, find that although the Spanish labor market is able to absorb immigrants within 5 years after arrival, it does so at the expense of allocating them in fixed-term contract jobs for which they are over-qualified. Similarly, Sanromá et al. 2009, find that non-EU15 immigrants in Spain suffer over-education, in both incidence and intensity, and that the process of assimilation is very low. Using panel data from Social Security records, Izquierdo et al., 2009, find that, despite a sizeable and significant wage gap reduction between legal immigrant men working in wage and salary jobs in the formal sector and their native counterparts within the 5 years after arrival to Spain, full assimilation of wages does not take place as a 15 percentage points wage differential remains. The novelty of the current paper is that by doing the analysis by skill level an interesting new insight emerges, namely that having a high-school degree does not give immigrants an advantage in terms occupational or wage assimilation (relative to their native counterparts). After exploring the potential reasons behind this result in Section 4, this paper concludes with a discussion of the policy consequences for the Spanish case.",12
1.0,1.0,IZA Journal of European Labor Studies,31 December 2012,https://link.springer.com/article/10.1186/2193-9012-1-7,"Primum vivere . . . industrial change, job destruction and the geographical distribution of unemployment",December 2012,Francesco Pastore,,,Male,Unknown,Unknown,Male,"With the explosion of the Great Depression, the risk is high that the already extraordinary gap in unemployment rates among regions of many European countries and of the European Union (EU) will further increase. Nonetheless, little attention is devoted to the issue of the possible impact of the economic crisis on the geographical pattern of unemployment. This paper aims to provide a frame of mind to think of this problem and, based on it, to survey the most recent literature. The underlying assumption of the paper is that regional unemployment differentials within the EU remain persistent, despite increasing interregional and intra-European migration flows. This suggests, in turn, that there are important factors at a local level that are able to cause regional unemployment differences to generate and persist over time. There may possibly be two lines of reasoning of why this might be the case. First, there might be reasons why geographical labour mobility within a country is reinforcing rather than reducing regional differences in local unemployment rates, as assumed in traditional neoclassical models of regional unemployment (Marston, 1985). A growing body of literature (see, among others, Moretti, 2003, and the related contributions on social externalities of human capital; and, within the New Economic Geography literature, Epifani and Gancia, 2005; Francis, 2009) suggests that economies to scale and positive externalities among complementary production factors might explain this, in turn. In other words, although moving from high to low unemployment regions, labour would be attracted where its return is higher, not because labour is less abundant, but because the returns to capital is higher, which would reinforce the ability of wealthier regions to produce more than average, generating further divergence, rather than convergence. This means, however, that regional unemployment is not only a consequence of state failure, due to the proven inability of regional policy, also at the EU level, to cause convergence, but also a consequence of market failure. Second, there might be reasons why more jobs are continuously destroyed in high unemployment regions, causing the spatial gap to persist over time. Also due to the failure of the adjustment mechanism depicted above, the factors causing a low competitiveness of high unemployment regions might tend to persist. A recent contribution by Munich and Svejnar (2009), based on estimates of matching functions in six Central and Eastern European Countries (CEECs since now) from 1991 to 2005, shows that industrial restructuring is still in the mid-2000 a major cause of local (and national) unemployment in several cases, although in other cases low demand and inefficient matching are also important factors. The higher degree of industrial restructuring of high unemployment regions is, in turn, possibly due both to temporary and permanent factors. The temporary factors include a greater openness to international trade by new competitors and the introduction of new technologies that replace the traditional productions. High unemployment regions typically have a more traditional production structure, often constituted of a large number of newly born, small sized firms operating in the traditional manufacturing sectors, which are the most exposed to competition from emerging market economies. The long term factors, which help explaining why some regions exhibit more weaknesses in the event of the same economic recession, and therefore less competitiveness and attractivity to foreign investment, include: a) a lower endowment of both physical and human capital; b) higher than average criminality rates (especially organised crime); c) reduced importance of migration flows as an adjustment mechanism; d) the economic dependence on more developed regions; e) the presence of poverty traps. This paper only marginally discusses geographical labour mobility and rather focuses on the second line of reasoning: in fact, it studies the way industrial restructuring affects local unemployment and does so by looking at the local labour market dynamics. Newly available data with a longitudinal structure allow studying it with a detail that has never been available before. The data come both from sample surveys and administrative sources. This is an important pre-condition to study the impact of industrial restructuring on local unemployment. Related to this has been the flourishing of an increasing body of literature whose results this paper will try to summarise and interpret by proposing a theoretical framework that is often implicit in the empirical literature, but hardly made explicit and discussed in depth. The paper is structured as follows. Section One gives a simple theoretical framework with which to think of the link between structural change, worker reallocation and regional imbalances. Section Two reviews the empirical literature on the hypotheses discussed in the previous section. Section Three discusses the policy implications of the main findings of the surveyed literature. Some summary remarks follow.",1
1.0,1.0,IZA Journal of European Labor Studies,28 December 2012,https://link.springer.com/article/10.1186/2193-9012-1-6,Why is there a gender earnings gap in self-employment? A decomposition analysis with German data,December 2012,Daniel SJ Lechmann,Claus Schnabel,,Male,Male,Unknown,Male,"It is well-known that women earn less than men in paid employment. The public often perceives this difference in wages as discrimination against women, and policy makers give high priority to overcoming this inequality (see e.g. European Commission 2011). Economic and sociological research, however, has shown that the difference in wages can largely be traced back to women having different productive characteristics than men (in particular different human capital endowments), choosing different occupations and working fewer hours (see Altonji and Blank 1999 for a survey and Weichselbaumer and Winter-Ebmer 2005 for a meta-analysis of this strand of literature). Yet even when accounting for these differences, a substantial part of the gender pay gap cannot be explained and is then usually assumed to reflect employer discrimination against women. One possibility to ensure not being discriminated by one’s employer evidently is being one’s own employer, i.e. becoming self-employed. Hence, if employer discrimination played a major role, the gender gap in self-employment earnings could be expected to be significantly lower than the gender wage gap in paid employment (Moore 1983). There is some empirical evidence, however, suggesting that exactly the opposite is the case – both raw and unexplained gender earnings gaps seem to be higher in self-employment than in paid employment (see, e.g., Eastough and Miller 2004, Álvarez et al. 2009). This is somewhat puzzling, in particular as other potential sources of discrimination such as discriminating behavior of customers or capital providers do not seem to play a substantial role for self-employed women. While it is true that women generally start self-employment with less start-up capital than men and that financial constraints seem to contribute to the gender earnings gap to some extent (e.g. Hundley 2001, Walker 2009, Rybczynski 2009), there is no conclusive evidence whether this is due to discrimination by capital lenders (see, inter alia, Asiedu et al. 2012, Orser et al. 2006, Verheul and Thurik 2001, Coleman 2000, Fabowale et al. 1995). Also discrimination by consumers does not seem to explain the self-employment gender earnings gap (see Aronson 1991: 72–73, Moore 1983). Even though there exists a large gender gap in self-employment earnings for which discrimination does not provide a satisfactory explanation, relatively few studies have attempted to explore the causes of this gap (e.g. Hundley 2001 and Walker 2009 for the U.S., Eastough and Miller 2004 for Australia and the U.S., Leung 2006 for Canada, Álvarez et al. 2009 for Spain and Tansel 2000 for Turkey)1. While the analyses by Hundley (2001) and Walker (2009) with U.S. data point to the relevance of working hours and household production as an important factor for explaining gender earnings differences, the effects of these variables are not always robust to selecting men or women as the reference group. Other studies, not considering hours and housework, mostly find the segregation of men and women into different industries or occupations to be among the most important contributions to the gender earnings gap. The percentage of the earnings gap that can be explained by endowment differences between men and women varies widely from practically zero percent (Álvarez et al. 2009, Tansel 2000) up to almost 100 percent (Leung 2006). When it comes to Germany, the empirical evidence is especially scarce. In an early study, Jungbauer-Gans (1999) examines the earnings gap in 1995 using the German Micro Census which, however, only provides earnings data in intervals. For the self-employed, she finds a small earnings gap which becomes larger but insignificant when attempting to correct for selection into (self-)employment, and does not perform a decomposition analysis. A recent survey by Gather et al. (2010) provides some bivariate inspection of the gender earnings gap in Germany. Based on the 2007 wave of the German Socio-Economic Panel (GSOEP) the authors calculate that fulltime self-employed women earn 34.7 percent less than men in self-employment. Observing that, when analyzed on their own, neither human capital nor segregation into industries nor the existence of children can explain the earnings gap, they conclude that multivariate decomposition analysis is needed to identify the determinants of earnings differences (and the unexplained residual) for the self-employed. Our study attempts to fill this gap in the literature by identifying and decomposing the causes of the self-employment gender earnings gap in Germany, using the gender pay gap in paid employment as a benchmark. Utilizing a rich cross-sectional dataset with continuous information on earnings (rather than earnings intervals), we analyze whether the raw and the unexplained gender earnings gap differ between self-employment and paid employment. Our dataset provides, among others, detailed information on human capital endowments of individuals, on personal characteristics including career aspirations, on job characteristics such as working hours, working time flexibility, professional field and task profile, and on firm size. This enables us to test whether self-employed women earn less than men because they differ in productivity-related attributes or own different types of businesses. We are also able to analyze whether it is different motivations and non-monetary aspects that contribute to the gender earnings gap, i.e. whether self-employed women earn less because they are seeking work-family balance rather than profits. That said, a limitation of this rich data set is that it is only cross-sectional, so that unobserved heterogeneity can hardly be taken into account. Yet we will perform a Heckman (1979) selection correction as a robustness check in order to address the issue of selection on unobservables into self-employment or paid employment. In order to explain the gender earnings gap one has to identify variables that differ between male and female self-employed and at the same time affect earnings in such a way that they may account for the lower female earnings. Accordingly this paper is structured as follows: In section 2, after presenting our data, we describe men’s and women’s distribution of earnings and their differences in endowments, motivations and job characteristics that may be responsible for the gender earnings gap. We then explore the impact of these variables by estimating earnings functions in section 3. Section 4 decomposes the gender earnings gap utilizing an Oaxaca-Blinder-decomposition, and section 5 concludes.",15
1.0,1.0,IZA Journal of European Labor Studies,27 December 2012,https://link.springer.com/article/10.1186/2193-9012-1-5,Anonymous job applications in Europe,December 2012,Annabelle Krause,Ulf Rinne,Klaus F Zimmermann,Female,Male,Male,Mix,,
1.0,1.0,IZA Journal of European Labor Studies,18 December 2012,https://link.springer.com/article/10.1186/2193-9012-1-4,Reforming an insider-outsider labor market: the Spanish experience,December 2012,Samuel Bentolila,Juan J Dolado,Juan F Jimeno,Male,Male,Male,Male,"Since the early 1980s, the world economy has been subject to the twin forces of growing globalization and accelerated technological progress. European countries have tried to adapt labor market institutions to this changing environment in different ways. In several cases, the strategy has been to introduce labor market flexibility at the margin, by widening the scope of so-called atypical employment, through temporary and part-time contracts. This, together with the high rates of unionization or coverage of collective bargaining prevailing in these countries, has exacerbated the insider-outsider divide in their labor markets. Notice that the latter term comes originally from the standard insider-outsider model, which explains how persistent unemployment can arise when working conditions, and wages in particular, are determined by taking into account only the interests of employed insiders, thus disregarding the interests of unemployed outsiders (Lindbeck and Snower 1984, 1988;Blanchard and Summers 1986). Yet, in the specific context of dual/segmented labor markets, this conventional interpretation should be slightly modified. In line with the literature on this topic, not all employed workers should be considered as being insiders but only those who hold open-ended or permanent labor contracts subject to high employment protection (Bentolila and Dolado 1994; Saint-Paul 1996). Conversely, employees under very flexible contracts are better thought of as being part of the outsiders because, given that their role is precisely to bear the brunt of employment adjustments, their attachment to the job is fragile. Though in most instances the introduction of flexibility at the margin was perceived as a transitory measure aimed at counteracting the negative employment consequences of recessions during the early 1980s and early 1990s, the incidence of atypical employment has continuously increased: in 1980 the temporary employment rate among employees in Europe was around 7.5%, now it is around 14%, reaching maximum values in Portugal (23%) and Spain (25%). The expansion of 1995-2006 drew attention away from unemployment, but the impact of the financial crisis, the employment consequences of the Great Recession, and the need for supply policies to promote long-term growth in Europe in the context of the European Monetary Union (EMU), have again shifted the focus towards new labor market reforms. While the drawbacks of atypical employment were blurred by the boom, its negative economic and social effects have become more salient with the recession, so that the need for a different type of labor market reform has become increasingly evident (International MonetaryFund 2010, Box 3.1;Boeri 2011). Given past experience, this time the dualism strategy is being challenged and some economists have started to explore new routes, which are geared towards making labor market regulation more efficient, flexible, and simple (Blanchard and Tirole 2003;Cahuc and Kramarz 2004;Boeri and Garibaldi 2008; Bentolila et al.2008, Ichino et al.2009; Andrés et al.2009). Their proposals do, however, face the difficulty of eliminating an insider-outsider divide that, in some countries, has become well-entrenched. Its equilibrium nature stems from its being beneficial to particular groups of workers and employers, mostly represented by unions and employer associations with institutional recognition and political power. In this paper we revisit the Spanish case. Starting from 1984, when the unemployment rate was close to 20%, Spain has become a pioneer in the strategy of reforming the labor market at the margin –i.e., by liberalizing so-called atypical employment contracts–. Since then, after many labor market reforms that have modified the menu of hiring and firing conditions attached to temporary and permanent contracts, the unemployment rate has exhibited a very large volatility, having recently surged from 8% just before the crisis to about 25% nowadays. The experience of the last three decades provides a few interesting insights and very informative evidence on the socioeconomic consequences of and the political economy issues brought forth by dual labor markets. These are worth considering, not only for further labor market reform in Spain, but also for other countries, like France and Italy (See Boeri, 2011), that also followed the same two-tier reform strategy during the 1980s, and now also face the side effects of a dual labor market. Thus, building upon the large body of evidence on labor reforms, we discuss the Spanish labor market performance during the Great Recession (Section 3), highlight the main institutional idiosyncrasies that give rise to an extreme insider-outsider divide in its labor market (Section 3), address some key elements of the political economy of labor market reforms (Section 3), describe and assess (negatively) the first two Spanish labor market reforms undertaken in the midst of the crisis (Section 3), and review a few recent proposals for reform (Section 3). We conclude (Section 3) with some comments on the priority that labor reforms should have in the program of structural reforms that the Spanish economy urgently needs at the current juncture. Since, after writing this paper, another reform has been passed in February 2012, this time by the new conservative Government, we also add at the end of this section a brief discussion of its main features and its pros and cons in the light of the previous proposals.",70
1.0,1.0,IZA Journal of European Labor Studies,29 November 2012,https://link.springer.com/article/10.1186/2193-9012-1-3,The German labor market after the Great Recession: successful reforms and future challenges,December 2012,Marco Caliendo,Jens Hogenacker,,Male,Male,Unknown,Male,"The reaction of the German labor market to the Great Recession 2008/09 was – especially compared to other countries – relatively mild. This “German Miracle” occurred due to various reasons. On the one hand, Germany had to – unlike countries such as Ireland and the United States, which both faced a slump in domestic demand combined with a real estate crisis – deal with a world demand shock that mostly affected economically strong firms (Rinne and Zimmermann 2011; Schneider and Gräf 2010). On the other hand, various flexibility instruments at the firm level, combined with discretionary adjustments of the institutional framework by policy makers (i.e. enhancement of the short-time work schemes), enabled firms to adjust their workforce along the internal rather than the external margin (Möller 2010). In addition, far reaching labor market reforms between 2002 and 2005, initiated to fight the high and persistent unemployment that had evolved since the end of the seventies, had significantly altered the core elements of the labor market, including active and passive labor market policies, the organizational structure of labor offices as well as the pension system. The speed and depth of the reforms were quite remarkable when it is considered that the German welfare state had been typically depicted as the prime example of a “frozen welfare state”, highly resistant to change (see, among others, Esping-Andersen 1990; Manow and Seils 2000; Kemmerling and Bruttel 2005; Konle-Seidl et al. 2010). In summary, the actions taken during the reforms led to higher working incentives and better matching between labor demand and supply in the period before the Great Recession, and were therefore considered as one of the main reasons for the mild reaction (Gartner and Klinger 2010). The reforms also had the general goal of increasing the labor force participation of those with young families. However, irrespective of the mild response to the Great Recession, there are a number of substantial future challenges the German labor market will soon have to face. Since Germany will – like many other Western European countries – further experience a massive demographic change over the next 50 years, the development of labor supply of women and older people will become increasingly important in determining the extent to which the working population will decrease (OECD, 2005). Although the employment rates of both groups have in recent years increased, challenges still remain. The current tax and transfer system has so far favored the sole male bread-winner model and therefore causes the absolute working-time hours of economically active women to lie well below that of other Western European countries. Together with the trend of a persistent low fertility rate, the sustainable economic growth of Germany is in jeopardy in the near future due to a decrease of employment potential (OECD 2012). Moreover – although the employment rate of older people lies well above the EU-27 average and has also significantly increased since 2002 – the actual average retirement age continues to lie well below the statutory retirement age. This means there is some maneuverability for potential improvement. However, since older people are often discriminated against in favor of younger people, which often results from a misperception of their working potential, there is not only a need for further social benefit reform, but also for enhancing prospects of lifelong learning (Eichhorst 2011). Labor demand of firms is expected to decrease less than labor supply over the next decades (Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Entwicklung (SVR), 2011), and due to a persistent skill-biased technological change – inducing a decrease of low-skilled jobs in the industry and a considerable growth in occupations requiring higher skills (Spitz-Oener 2006; OECD 2011a) – firms will find it harder to find employees with adequate skills. Employment opportunities for individuals with low education levels will significantly decrease (European Centre for the Development of Vocational Training, 2010), emphasizing the need for facilitating access to higher education for a larger share of the population. The aim of this paper is threefold. First, it analyzes past reforms of main institutional settings of the labor market which have influenced labor supply in Section 2. We outline the political and economic situation before 2002 and provide a brief description of the first set of labor market reforms in Section 2.1. This is followed by a discussion of the most relevant income support systems: unemployment benefits and social assistance (see Section 2.2); pensions and early retirement (see Section 2.4); and active labor market policies, since the most recent reforms put an emphasis on increasing labor supply incentives as well (see Section 2.3). Wherever possible, we summarize the effects of these reforms in a comprehensive way. Furthermore, the paper outlines why the German labor market reacted in such a mild fashion during the “Great Recession” (Section 3.1), describes current economic trends of the labor market in light of general trends in the European Union, and reveals some of the main challenges associated with these trends in Section 3.2. The challenges for the education system and lifelong learning are discussed in Section 4.1, before an examination of the role of the current tax system in Section 4.2 and a recent initiative to increase labor supply of young families in Section 4.3 are introduced. Based on the status quo of these institutional settings, the paper also provides an overview of strategies to combat the above-mentioned challenges in terms of labor supply and to ensure economic growth in the future.",20
1.0,1.0,IZA Journal of European Labor Studies,09 October 2012,https://link.springer.com/article/10.1186/2193-9012-1-2,The future of retirement and the pension system: How the public’s expectations vary over time and across socio-economic groups,December 2012,Luc Bissonnette,Arthur van Soest,,Male,Male,Unknown,Male,"In models of life cycle behaviour and inter-temporal decision making under uncertainty, expectations play an important role. For example, consumption, saving, and labour supply decisions of individuals and households not only depend on their current tastes and opportunities, but also on their expectations of future prices, their future income, etc. (see, for example, Feldstein, 1974). Future expectations often remain unobserved and traditional macro- or micro-economic models typically make assumptions on how they are formed, e.g. assuming rational expectations. The conclusions from these models may be biased if the assumptions on expectations are not satisfied. To solve the problem that expectations are unobserved, many recent empirical studies aim at measuring expectations directly using survey questions. See, for example, Manski (2004) for an assessment of the validity of this approach and a recent special issue of Journal of Applied Econometrics (Bellemare and Manski, 2011). Other examples are Keane and Runkle (1990) on inflation expectations, Dominitz and Manski (2005) on expectations of equity returns, Dominitz and Manski (1997), Das et al. (1999) and Dominitz (2001) on income expectations, Hurd and McGarry (1995) on length of life expectations, Stephens (2004) on job loss expectations, Benítez-Silva and Dwyer (2005) on retirement expectations, Dominitz and Manski (2006) and Chan and Stevens (2008) on pension expectations, and Delavande and Rohwedder (2008) on expectations of old age social security income. Pension expectations have become particularly relevant since in many industrialized countries, the ageing of the population has led to a debate on the need for pension reforms to keep the pension system sustainable (Lindbeck and Persson, 2003; Zaidi, 2010). Particularly since the economic and financial crisis, high retirement replacement rates can no longer be taken for granted. Recent reforms reduce the generosity of guaranteed retirement income and at the same stimulate additional voluntary pension savings, increasing awareness of pension risks and individual responsibility. In this paper, we analyze expectations of the Dutch population aged 25 and older concerning the future generosity of the two main pillars of the Dutch system of income provision to the elderly – first pillar old age social security benefits (AOW) and second pillar occupational pensions (mandatory for almost all employees). As in many other European countries, sustainability of income provision in old age has become an important issue in public policy discussions due to the ageing of the population (Bovenberg and Gradus, 2008). Generous early retirement benefits are gradually being phased out and replaced by actuarially fair flexible retirement systems. The debate has been reinforced by the financial and economic crisis, leading to additional pressure on old age social security due to government budget concerns and due to pressure on occupational pensions caused by the reduced value of the assets of occupational pension funds that invest part of their clients’ pension savings in equity. The idea of working after the normal retirement age of 65 years has gradually become a real option, although impediments currently remain (Van Solinge and Henkens, 2007), and current plans for reforms imply that sooner or later, the state pension eligibility age and the normal retirement age will shift from age 65 to 67; the main disagreement now seems to be on when this will happen, not whether it will happen or not. This makes it particularly interesting to analyze how different socio-economic groups forecast the future of the Dutch pension system and whether and how these forecasts have changed under the influence of the public discussion and the financial and economic crisis. Subjective beliefs are important for economic modelling, since they make it possible to test assumptions on expectation formation like rational expectations, and, if necessary, replace them by an expectation formation model that is supported by the subjective beliefs data. In our sample, at each given point in time, all respondents are asked to predict the same outcome and in principle have access to the same information. The large heterogeneity in reported expectations in our data reveals that in spite of this, they do not have the same subjective distributions. One of the explanations for this could be that some groups lack the proper cognitive skills or are not willing to invest time to form their beliefs. Moreover, it is of interest to analyze to what extent reported beliefs are explained by observable respondent characteristics or contain additional information at the individual level. Misguided expectations may have a negative impact on future well-being of vulnerable groups in society (see, for example, Rohwedder and van Soest, 2006). In particular, overly optimistic beliefs may lead to under-saving. A recent study (De Grip et al., 2012) even suggests that there is also a direct effect of expectations on well-being (implying that the effect of overly optimistic beliefs on life-time well-being is not unambiguously negative.) It is therefore important to see whether different socio-economic groups have realistic views of the future or not. This is not only useful for economists concerned with the mechanisms behind the formation of beliefs but could also offer policy makers new ways of designing effective solutions to prevent saving inadequacy among specific population groups. Since May 2006, monthly survey data were collected on the expectations of Dutch households concerning occupational pensions, old age social security, and the average retirement age ten or twenty years from the time of the interview. A subset of these data was analyzed by Van der Wiel (2008) who focused on the relation between old age social security expectations and savings decisions and Van der Wiel (2009) who investigated the effect of the number of newspaper articles on the volatility of old age social security expectations. We will not only analyze social security but also occupational pension and average retirement age expectations reported from June 2006 until June 2012. We will investigate how they have changed over time, in particular, since the onset of the financial and economic crisis, and how they vary with socio-economic characteristics. The remainder of this paper is organized as follows. In the next section we describe the sample design and the expectations questions. After that we discuss time trends and age patterns in pension expectations, describing how the answers vary over time and how this relates to the public policy debate in the Netherlands. In the Section titled Empirical models of beliefs, we analyze some empirical models relating pension expectations to background characteristics. The final section concludes.",2
1.0,1.0,IZA Journal of European Labor Studies,09 October 2012,https://link.springer.com/article/10.1186/2193-9012-1-1,Editorial: IZA Journal of European Labor Studies,December 2012,Alan Barrett,Sara de la Rica,Klaus F Zimmermann,Male,Female,Male,Mix,,
2.0,1.0,IZA Journal of European Labor Studies,24 December 2013,https://link.springer.com/article/10.1186/2193-9012-2-24,"Higher education and economic innovation, a comparison of European countries",December 2013,Cecile Hoareau,Jo Ritzen,Gabriele Marconi,Female,,Female,Mix,,
