Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,IZA Journal of Labor & Development,31 December 2012,https://link.springer.com/article/10.1186/2193-9020-1-9,The Ukrainian longitudinal monitoring survey: towards a better understanding of labor markets in transition,December 2012,Hartmut Lehmann,Alexander Muravyev,Klaus F Zimmermann,Male,Male,Male,Male,"The transition from plan to market which we have witnessed in Central and Eastern Europe from the late 1980s has sparked considerable interest among academics. It is now widely agreed that this transformation entailed important lessons and provided valuable contributions to mainstream economics (e.g., Ellman 2012). One of the essential elements of the reform, which drew particular attention, has been the transformation of labor markets in transition countries (Svejnar 1999). Labor economics benefited not only from the broad reform agenda pursued by these countries (e.g., Gorodnichenko et al. 2009; Danzer 2012), but also from the interpretation of the entire transition process in terms of a natural experiment (Christev, Kupets, and Lehmann 2008; Muravyev 2008). The growing interest in labor markets in transition economies initially faced considerable data constraints. Individual and household surveys that were administered during the period of central planning and early transition years were inadequate to the needs of both policy-makers and researchers. As a response, several initiatives to collect data from the region were commenced both within government agencies and by independent research centers. Examples of data collection by independent research centers include the Russian Longitudinal Monitoring Survey (RLMS-HSE) for Russia (see RLMS-HSE 2012 for dataset description and Gibson et al. 2008 for example of analysis), the Rural-Urban Migration in China (RUMiC) panel data for China (see RUMiC 2008 for dataset description and Akay et al. 2012 for example of analysis) and the very recent “Life in Kyrgyzstan” panel survey for the Kyrgyz Republic (see Brück et al. 2012). While data collection projects started in earnest in the early 1990s, mostly in Central Europe, and in some CIS countries 1, Ukraine long remained a virtual terra incognita for students of labor markets. This is surprising in view of at least three facts. First, Ukraine is the second largest transition country having a territory larger than Metropolitan France and a population of 48.5 million (as of 2001 census) and is also bordering the European Union (since 2004). Second, the transition process in Ukraine was characterized by an extremely large initial shock and a fairly slow recovery. The country’s real GDP declined by more than 60% in the 1990s and has not reached the pre-transition level since then. Third, in addition to its large size in terms of territory and population, Ukraine is characterized by considerable regional diversity, including the well-known divide along ethnic and linguistic lines that became particularly pronounced since the 2004 Orange revolution. In order to have a sound data base for the study of labor market issues central to the transition from Communism to a market-oriented social democracy in the second largest transition economy of Central and Eastern Europe, the program area “Labor Markets in Emerging and Transition Economies” of the Institute for the Study of Labor (IZA) spearheaded an effort to establish a panel household survey in Ukraine. In the first phase of this project, leading to the first two waves of the survey in 2003 and 2004, IZA led a scientific consortium with the other members being the William Davidson Institute of the University of Michigan, the Centre for Economic Reform and Transformation (CERT) of Heriot-Watt University, Edinburgh, and the Rheinisch-Westfälisches Institut für Wirtschaftsforschung in Essen (RWI–Essen). Data collection was entrusted to the Kiev International Institute of Sociology (KIIS). The project received the name of Ukrainian Longitudinal Monitoring Survey (ULMS) and was launched in 2003. The sample of the first wave in 2003 consisted of more than 8600 respondents, which is comparable to the initial samples of the American Panel Study of Income Dynamics (PSID), the German Socio-Economic Panel (SOEP), the British Household Panel Studs (BHPS) and the RLMS. Collection of the third wave of the ULMS in 2007 was sponsored by IZA, DIW Berlin and the European Union. Thus, three waves have been collected; in 2003, 2004, and 2007. Currently, the data for the 2012 wave are being collected as a joint effort of IZA and the World Bank. The purpose of this article is two-fold. First, it describes the content and structure of the ULMS with regard to sample design, survey instruments, data access and user support, including essential information about the 2012 wave. Second, it reviews some of the studies which were based on the ULMS data to illustrate the appropriateness and richness of the data to address research and policy issues important not only in the context of Ukraine’s transition, but also more generally. We hope that our paper can inspire many further high quality studies of the Ukrainian transition process. The remainder of the article is organized as follows. Section 2 presents details on sampling, survey instruments, and content of the survey. Section 3 describes the available data. Section 4 provides a selective review of ULMS-based studies. Section 5 concludes.",20
1.0,1.0,IZA Journal of Labor & Development,31 December 2012,https://link.springer.com/article/10.1186/2193-9020-1-8,Remittances and labor supply in post-conflict Tajikistan,December 2012,Patricia Justino,Olga N Shemyakina,,Female,Female,Unknown,Female,"Labor migration has become an important component of household coping strategies in countries affected by armed conflict, either as an ex-ante reaction to the threat of conflict, or an ex-post response to unstable economic and political conditions (Engel and Ibanez
2007, Czaikas and Kis-Katos
2009). The significance of labor migration in conflict-affected countries is reflected in the large increase in remittances to migrant and refugee exporting countries that have experienced recent political crises (Goldring
2002). In this paper, we investigate the impact of remittances on individual labor supply in post-conflict Tajikistan, a country that experienced some of the most significant migration flows in its recent history 1, but remains largely under-researched as a case study. Based on the official data for Tajikistan (Table
1), around eight percent of the population left the country between 1991 and 2005. About 83.8 percent of them left during between 1991 and 1998, which overlaps with the 1992-1998 armed conflict in Tajikistan. By 2005, almost every family in Tajikistan had sent at least one family member abroad as a migrant worker (IMF 2005). In line with the literature on effect of armed conflict on households and individuals, in our analysis we differentiate between the regions by their exposure to the 1992-1998 armed conflict in Tajikistan. We analyze the differences in the impact of remittances on the individual decision to participate in the labor market and on the number of work hours supplied by men and women living in more conflict affected areas, in comparison to individuals in regions less exposed to the war. To study this question, we use individual and household-level data from the 2003 Tajik Living Standards Measurement Study (henceforth, 2003 TLSS) survey. We combine these data with information on violent events during the 1992-1998 civil war in Tajikistan based on two Russian-language newspapers published in Tajikistan, reports by non-governmental organizations, mentions of the conflict in books (e.g. Bliss
2010; Gomart
2003) and daily accounts of the 1992 and 1993 events that rely mostly on government records (Nazriev and Sattorov
2005,
2006). The development literature has long recognized the importance of migration (and resulting remittances) as a mechanism used by households in the times of peace to secure income and improve welfare. There is a large literature that examines the impact of remittances on a number of household-level economic outcomes such as consumption decisions (Adams
2005), production (Damon
2010), schooling (Acosta
2006; Amuedo-Dorantes and Pozo
2010) and labor supply (Acosta
2006; Amuedo-Dorantes and Pozo
2006; Damon
2007; Hanson
2007). Studies on the relationship between remittances and labor supply find that an increase in remittances has a negative effect on labor hours supplied and labor force participation by men and women of working age and that the effect is often greater for women. Authors suggest that remittances are a source of non-labor income. An increase in non-labor income is often associated with a decrease in the opportunity cost of leisure and the relaxation of credit constraints. These effects in turn allow for a greater tolerance of risk and increased participation in self-employment. Some of the studies focus on countries affected by conflict in the past (e.g. El-Salvador (Acosta
2006; Damon
2007), Nicaragua (Funkhouser
1992)), but they do not take directly into account the effect of conflict on the outcome of interest. This approach may lead to potentially significant omitted variable bias since violent conflict may affect the very structure of labor markets, as well as fundamental individual incentives, tastes and preferences, leading households to make decisions in a way that differs from what they would have done in peaceful settings (see reviews by Blattman and Miguel
2010; Justino
2009,
2012). The contribution of this paper is threefold. First, we examine the transfers from private and institutional donors to households by their exposure to the 1992-1998 conflict in Tajikistan. Second, we attempt to advance current understanding of the role of remittances in post-conflict settings by looking at the differentiated ways in which individual labor supply (of men and women aged 16-65) responds to remittance flows, differentiating between communities by their exposure to the 1992-1998 armed conflict. Third, we contribute to the emerging literature on the economic impact of armed conflict by analyzing important labor market effects for civilians (e.g. Fernández et al.
2011; Menon and Rodgers
2011). Similar to previous literature, we find that the amount of remittances received by a given household has an overall negative impact on the labor force participation and hours supplied by men and women. In the full sample, the negative effect of remittances is found to be stronger for men than for women. Such a result is intriguing as previous research on the effects of remittances on labor supply has shown that female labor supply is typically more responsive to changes in remittances (Amuedo-Dorantes and Pozo
2006; Funkhouser
1992; Hanson
2007). The differences between our results and those of the existing literature can be explained by the differences in the samples used, as well as by the differences in the institutional settings. Notably, Tajikistan is a country that is transitioning from the Soviet planned economy into an independent one. The country also experienced a severe civil war that resulted in casualties amounting to between 50,000 and 100,000 people, large population displacement and destruction of industrial and agricultural assets (Bliss
2010; Falkingham 2000). When we differentiate by community’s exposure to the conflict, we find that the labor force participation of women in the communities that suffered from greater physical damage and loss of life during the civil war is negatively associated with the receipt of remittances, suggesting that remittances were used as a coping strategy by the households in these regions. The next section discusses the main hypotheses tested in the paper and the conceptual framework. Section 3 discusses our empirical specification and the main independent variables of interest. Section 4 presents data and preliminary observations. Section 5 describes the main empirical results. The last section concludes the paper.",14
1.0,1.0,IZA Journal of Labor & Development,31 December 2012,https://link.springer.com/article/10.1186/2193-9020-1-7,Gender wage gap dynamics in a changing Ukraine,December 2012,Norberto Pignatti,,,Male,Unknown,Unknown,Male,"Two decades after the dissolution of the Soviet Union and the beginning of transition, Ukraine is still a changing country. The Orange revolution (November 2004-January 2005), marked a big turning point in Ukrainian history. Following it, several reforms were implemented, accelerating Ukraine’s movement out of its transition period and significantly changing the environment in which economic agents operate. A number of acts of the new government concerned labor market legislation, with a particular emphasis on gender equality. This was a sign of change and an important step in defense of one of the most vulnerable and disadvantaged groups of Ukrainian society in line with the international commitments subscribed by previous governments.1
 In their 2005 study of the gender gap in Ukraine, Ganguli and Terrell welcomed this renewed interest towards gender equality and analyzed the evolution of the gender wage gaps from 1986 (with communism) to 2003 in order to evaluate the distance of Ukraine from the European benchmarks of gender equality in the labor markets. They found that the mean gender gap in Ukraine - corrected for differences in the hours of work - was relatively higher than in other countries2 and it was higher especially in the public sector. (Pignatti 2011), analyzing 2003–2004 data, found that patterns of gender wage gaps in the formal and informal sectors of the economy differed, with the gender wage gap remaining largely unexplained in the formal sector and almost fully explained by individual and job characteristics in the informal one. Since 2005 several decrees and laws on gender equality have been passed, adding to the already existing provisions contained in the Constitution and Labor Code of Ukraine.3 The increased efforts to promote gender equality and to address gender based discrimination have coincided with Ukrainian efforts to speed up the process of integration into the global community and the achievement of the Millennium Development Goal on gender equality. In a 2010 document published by ILO, Olga Kupets lists the progress achieved (for example a decreasing trend characterizing the official measures of the gender wage gap) but also stresses the need for their consolidation and for a renewed effort to define a long-term modernization strategy for the labor market incorporating the principles of gender equality. In 2010, however, the Ukrainian political scene saw new significant changes4 which are already affecting – and will increasingly affect – the development of the Ukrainian labor market. Sticking to the area of gender equality, the Ministry for Family, Youth and Sports, previously responsible for the implementation of the State Programme for Ensuring Gender Equality in Ukrainian Society up to 2010, has been transformed into the State Service of Youth and Sports, and no longer deals with gender policy. This move has raised concern among national experts on gender policy and international organizations. The main goal of this paper is to study the evolution of the gender wage gap in the Ukrainian labor market in a period (2003–2007) characterized by the introduction of new regulations and institutions explicitly designed to promote gender equality. The analysis will move along several different dimensions. Starting from the aggregate level and from the identification of the raw wage gap, I will delve deeper into the analysis, looking at determinants of the wage gap across the wage distribution and across different sectors of the economy (private/public, formal/informal). I will ask to what extent the measured wage gaps depend on a different remuneration of characteristics (interpreted as an indication of discrimination) or on different endowments. I will also look for evidence in favor or against the persistence of “glass ceilings” and “sticky floors” for women’s wages in Ukraine and will try to see whether results are common across different sectors of the labor market. This part of the analysis is particularly interesting as the same aggregate outcomes can hide very different underlying dynamics and patterns in different sectors of the economy. As a final step, I will decompose the changes in the wage gap in the period 2003–2007, looking at what is due to a change in the composition of the labor force (considering not only human capital but also job characteristics) and what is instead due to differences in returns for men and women. The paper starts with a brief literature review followed by a short description of the main events and trends characterizing Ukraine’s history in the period 2003–2007. In section 4 I will introduce the dataset used and in section 5 the main methodologies used in this paper. In section 6 I will present the results and proceed to the analysis. Section 7 is the conclusion.",8
1.0,1.0,IZA Journal of Labor & Development,31 December 2012,https://link.springer.com/article/10.1186/2193-9020-1-6,Does more unemployment cause more fear of unemployment?,December 2012,Vladimir Gimpelson,Aleksey Oshchepkov,,Male,Male,Unknown,Male,"Economists are interested not only in actual dynamics, factors, and consequences of unemployment, but in subjective perceptions and expectations of unemployment as well. Fear of unemployment is one such perception and it affects human behavior. Fear of unemployment may decrease wages (Blanchflower,
1991; Aaronson and Sullivan,
1998; Campbell et al.,
2007; Blanchflower and Shadforth,
2007), contain consumption (Stephens,
2004; Benito,
2006), negatively affect health (Burgard et al.,
2009), suppress subjective well-being, and complicate family relations (Burchell,
1994), among other things. The distribution of unemployment fear across the population is also of high importance. First, workers’ subjective perceptions of unemployment (as well as objective data on unemployment rates and durations, firings, job losses, etc.) are traditionally considered as indicators for the efficiency of the existing social and employment protections (e.g., OECD,
1997; Manski and Straub,
2000; Clark and Postel-Vinay,
2009). Second, workers’ fear of unemployment can be a measure of likelihood of future unemployment. As we know, expectations are likely to affect future behaviour. Third, politicians often use various fears as a convenient tool for political manipulation.2 Widespread fear of unemployment can induce politicians to support more rigid employment protection legislation (EPL). In its turn, more rigid EPL is likely to suppress job creation in the formal sector and to expand informal sector employment. These outcomes feed fears, creating a vicious circle that is hard to disrupt (Clark and Postel-Vinay,
2009). Fourthly, the fear may serve various particularistic interests as well. By heightening fears of unemployment among the population and falsifying inflated forecasts to this end, a Labour Ministry responsible for employment programs and support of the unemployed can get additional funds from the state coffers. Large enterprises can exploit this fear in order to lobby for subsidies from the government and pressure workers for wage concessions.3
 These results motivate research in factors that may drive these fears. As multiple studies on this issue show, fear of unemployment varies across social and demographic groups (e.g., Manski and Straub,
2000; Elman and O’Rand,
2002). In general, more competitive workers and employees in better-protected jobs tend to express less fear of unemployment. The quality of institutional environment where firms and workers operate matters as well. However, trends in actual unemployment remain the most natural cause of this fearfulness, and many studies confirm this hypothesis. The fear of unemployment moves in line with actual unemployment, and even small changes in unemployment are translated into significant changes in the level of fear (e.g., Schmidt,
1999; Green et al.,
2000; Campbell et al.,
2007). This paper considers the case of Russia, where the link between actual unemployment and individual fearfulness can be weak or seriously muted. On the one hand, economic development over the last 20 years was extremely bumpy, with large swings in the GDP growth followed by increases (or decreases, correspondingly) in the unemployment rate. On the other hand, as available survey evidence suggests, workers’ subjective perceptions of job instability were highly inertial and showed little reaction to actual trends. The fear of unemployment among Russian workers and its tentative determinants were explored earlier in Gimpelson et al. (
2003) and
Linz and Semykina (2008). Findings from these two papers note some anomalies that mark the Russian labor market in comparison to the labor markets in more advanced economies. For example, in Russia this fear is not gender neutral (women are more fearful in this respect than men are) and it increases over age and tenure (in most countries, job tenure tends to reduce fears). As to the relationship between actual labor market conditions and unemployment fear, the authors of both papers conclude that it did not appear early in the transition but became statistically significant later on. However, these papers did not consider the period after 2004, when fears remained high despite rapid economic growth and further unemployment decline. In this paper, using the Russian Longitudinal Monitoring Survey data, we study the association between actual unemployment and fear of unemployment in the period from 1994 to 2009. This period includes the years of steep transformational recession (1994-1998), the phase of recovery and growth (2000-08), and the recent economic crisis (2008-2009). We employ two alternative measures for this fear. The first measure looks at the fear of losing one’s current job, while the second deals with the fear of not finding relevant re-employment in case of displacement. Our methodology is based on estimating an ordered probit model, where fearfulness is regressed on actual unemployment rates with controls for individual and job characteristics. Besides the standard regional unemployment rates, we use unemployment rates for local peer groups that are based on estimates from the Russian Labour Force Survey. These indicators are better proxies of labor market-related risks for particular workers and have larger variance. The key finding of our study is that unemployment-related fearfulness of workers is weakly linked to the actual unemployment rate. These results are robust to exclusion of potentially endogenous variables; they hold for different periods, subsamples and regardless of variation in levels of jobs security. Even if an association exists, the practical impact of unemployment on perceptions is subtle. As simulations show, drastically large fluctuations in unemployment add practically little to intensity of fears. These results allow suggest that the high level and persistence of fear of unemployment in Russia may be caused by non-economic factors. The next section presents the story of the Russian labor market over the period of 2000-09 and how it is reflected in subjective perceptions. Section 3 explains our research methodology and empirical data. A descriptive analysis of the fear-related variables is provided in Section 4. Sections 5 and 6 discuss findings from the econometric analysis. In the conclusion, we sum up our major findings and outline further research efforts.",4
1.0,1.0,IZA Journal of Labor & Development,28 December 2012,https://link.springer.com/article/10.1186/2193-9020-1-5,Risk attitudes and informal employment in a developing economy,December 2012,John Bennett,Matthew Gould,Matthew D Rablen,Male,Male,Male,Male,"In developing economies the majority of urban employment is informal (OECD [10]), and whether as wage- or self-employment, informality can involve significant risks for the worker. Informal workers have little social protection and relatively volatile earnings, while microfirms have a high rate of failure (Perry et al. [11]; Günther and Launov [7]). An absence of legal protection by the police or courts may leave workers at risk of being cheated (Deshingkar and Akter [5]). Lack of application of health and safety regulations may expose both informal workers and the self employed to significant health risks, and the growth of informality is associated with a greater incidence of depression and stress-related illnesses (World Bank [14]). However, in virtually all of the theoretical literature on labour market informality in developing economies, workers are either assumed to be risk-neutral or risk is disregarded altogether. In the seminal paper by Rauch ([12]), which is an adaptation of the Lucas ([9]) formulation of firm size-distribution to informal labour markets, the focus is on the heterogeneity of agents’ (entrepreneurial) ability, but there is no allowance for risk aversion.1 In the informality literature based on search-and-matching theory the risk of not being able to find a job is a central feature, but workers are assumed risk neutral (see, e.g., Zenou [15]; Albrecht et al. [1]). The present paper contributes to the Lucas-Rauch branch of the literature by introducing risk aversion. We allow for uncertainty of earnings and we assume that workers, who are heterogeneous, are characterized in two dimensions – risk aversion and ability. In our model, a worker can be in one of three labour market states – formal wage employment, informal wage employment or self-employment. We assume that formal wage employment gives a certain income, but the other two states generate uncertain income, with the uncertainty being greater (in a sense that we specify) for self-employment than for informal wage employment.2 The formal wage is assumed to exceed the maximum possible level of the informal wage. Ability is assumed to affect earnings in self-employment, but not in either type of wage employment. We take the demand side of the labour market as given, with downward-sloping demand functions for each type of labour, and we focus on the supply of labour to the three types of work. The great majority of urban self-employment in developing economies can be classified as informal. In Latin America and the Caribbean, for example, according to Perry et al. ([11]), 26.58% of urban workers are self-employed (Perry et al. use the term ‘independent’), of whom 23.64% are ‘informal’ and only 2.94% are ‘professionals’. We may therefore regard all self employment (or at least involuntary self employment) as informal in our model.3 As specified by Rauch ([12]) and much of the ensuing literature on informality, we assume that the wage rate in the formal sector is fixed above the market-clearing level. This might be because of a minimum wage law or union activity; it might be an implicit representation of social security benefit provision; or it might be because formal firms are relatively large, so that monitoring of workers is difficult and employers choose to pay an efficiency wage to deal with moral hazard. The model is formulated in Section 2. Workers may differ with respect to risk aversion and ability, though each has constant relative risk aversion. Each individual worker may, in principle, gain formal wage employment, informal wage employment or self employment. Because the latter two types of employment yield uncertain income, we specify von Neumann-Morgenstern utility. Because the formal wage rate is set above the market-clearing level, there is rationing of formal jobs and so not all workers who prefer formal employment will achieve it. For each worker we specify the first preference among the three employment states as a function of risk attitude and ability. Under our assumptions informal wage work can never be a first preference. However, formal wage jobs are rationed, and so some of the workers whose first preference is formal wage employment are forced to turn to other work. For these workers we specify a second preference, which can only be for self employment or informal wage employment. Again, we specify this choice as a function of risk attitude and ability. Self employment here is defined as ‘involuntary’, whereas self-employment as a first choice is defined as ‘voluntary’.4 Worker preferences across risk attitude and ability characteristics are illustrated diagrammatically. In Section 3, assuming that the informal wage rate is market-clearing, we specify conditions for the existence of equilibrium and we illustrate the equilibrium by reinterpreting the diagram formulated in Section 2. We then derive and discuss the comparative statics of the model, examining the effects on the labour market of several policy changes and of some simple representations of economic development. Section 4 concludes, and proofs are given in an appendix.",1
1.0,1.0,IZA Journal of Labor & Development,27 December 2012,https://link.springer.com/article/10.1186/2193-9020-1-4,Regional earning disparities and the speed of transition: evidence from Poland 1994–1997,December 2012,Fiona Burke,Patrick Paul Walsh,,Female,Male,Unknown,Mix,,
1.0,1.0,IZA Journal of Labor & Development,29 November 2012,https://link.springer.com/article/10.1186/2193-9020-1-3,Preferences and skills of Indian public sector teachers,December 2012,Sonja Fagernäs,Panu Pelkonen,,Female,Male,Unknown,Mix,,
1.0,1.0,IZA Journal of Labor & Development,06 November 2012,https://link.springer.com/article/10.1186/2193-9020-1-2,Industrial decline and labor reallocation in a transforming economy: Romania in early transition,December 2012,John S Earle,,,Male,Unknown,Unknown,Male,"The strong priority on rapid development of the industrial sector in the centrally planned economies gave rise to a counterpart process in the early transition: de-industrialization. Figure
1 shows the decline in the percentage of total employment accounted for by industry (including both mining and manufacturing) from 1989 to 1995 in several East European countries. The drop is large in all cases, but it is by far the largest in Romania. 
Industrial Employment in Seven Transitional Economies, 1989-1995.
 Although the existence of the decline in industrial employment is well-known (if not the fact of Romania’s pre-eminence in at least this dimension of transition), there is little consensus on its meaning. Some observers tend to equate the decline of industry with economic deterioration more generally, and they stress the social costs of job loss in the formerly well-paid industrial sectors. Others emphasize the inherited misallocation of labor and see the decline as a reflection of progress in restructuring. In this paper, I argue that both views may have some validity, but that an evaluation of the fall in industrial employment depends on a number of factors that have heretofore not been measured. The paper employs a unique data set – matched labor force survey files on 22,161 working age Romanians in 1993 and 1995 – to quantify some of the important factors and to improve understanding of the labor reallocation process associated with the industrial decline. After a brief description of the data and the changing characteristics of industrial employment in section 2, the discussion is organized around three sets of results. The first set concerns the measurement of the flows of industrial labor in Romania from 1993 to 1995. Information on the change in total industrial employment obscures the possibility that disaggregated industrial sectors have had heterogeneous experiences of decline, with expansion in some areas and decline in others; if such heterogeneity is significant, it would support the view that significant reallocation of labor is occurring. The change in total industrial employment also masks the possibility that there may be significant inflows as well as outflows from industry. The existence of inflows would again support the reallocation view, in the sense that the composition, if not the numbers employed, of labor would be changing. Is there some dynamism in Romanian industry during this early transition period such that there exists significant turnover of employment and such that sub-sectors display some heterogeneity in their labor market behavior, or is the industrial sector characterized by uniform decline? In section 3, I present evidence on these issues. The second set of results concerns the employment status in 1995 of workers employed in industry in 1993. In addition to remaining employed in the same industrial sector, five possible destinations for those who change status are distinguished: employment in a different industrial sector, employment in services, employment in agriculture, unemployment, and nonparticipation in the labor force. What is the relative importance of each of these destinations? How one evaluates the overall drop in industrial employment depends at least partially on the answer to this question. If most movers end up in unemployment, in labor force withdrawal, or in marginal agricultural activities, then it would appear that the substantial down-sizing is accompanied by relatively little genuine reallocation occurring, at least during the time period under observation. On the other hand, if most movers have new jobs in other industrial sectors or in services then the observed outflows of employment from industrial sectors is merely one side of the process by which labor is reallocated to new uses. Which view is near to the truth? In section 4, I attempt to answer this question by analyzing 1993-95 employment transition matrices for the entire matched labor survey sample (22,161 observations) as well as on a more detailed basis for those employed in industry (5,581) in 1993. The final set of issues concerns the impact of individual and firm characteristics on the process of industrial labor reallocation over the 1993 to 1995 period. What types of industrial workers have tended to move, and which characteristics tend to raise the probability of each of the alternative destinations? In addition to examining gender, age, and urban/rural residence, I focus particularly on the effect of different types of education on the probability that an industrial worker in 1993 moves to unemployment, to nonparticipation in the labor force, and to different types of jobs. Does the amount of human capital (measured by schooling) or the specificity of skills (measured by attendance at more general or more specific educational programs) affect the flexibility of worker response and the quality of labor market outcomes? With respect to characteristics of the industrial employer in 1993, I focus on ownership, motivated by the possibility that differences in corporate governance give rise to different labor market behavior. Is private ownership associated with greater or lower outflows of labor and with any differences in the destination of those workers who leave? In section 5, I investigate these questions using a multinomial logit framework. Section 6 provides some conclusions and suggestions for future research.",3
1.0,1.0,IZA Journal of Labor & Development,09 October 2012,https://link.springer.com/article/10.1186/2193-9020-1-1,Editorial: IZA Journal of Labor and Development,December 2012,David Lam,Hartmut Lehmann,Klaus F Zimmermann,Male,Male,Male,Male,,
2.0,1.0,IZA Journal of Labor & Development,30 December 2013,https://link.springer.com/article/10.1186/2193-9020-2-14,Education and allocation of skills in Tunisia: evidence from an education reform,December 2013,Tuomas Pekkarinen,Miquel Pellicer,,Male,Male,Unknown,Male,"Inefficient allocation of skilled labor across different economic activities is often cited as one the of the primary reasons for the disappointingly weak growth effects of public investments in education in many developing countries. According to this argument, often attributed to Pritchett (2001), education works as a gateway to inefficient activities, such as unproductive public sector employment, rather than boosting productivity in the competitive and open sectors of the economy. Middle Eastern and North African (MENA) countries are usually portrayed as primary examples of countries where expectations related to educational investments have not been fulfilled. Even though these countries invested heavily in education after gaining independence in post WW II period, the economic growth has been disappointing. Indeed, Makdisi et al. (2003) show that the level education has not been a significant determinant of economic growth in MENA countries. The experience of Tunisia is a typical example of this pattern. Investment in education was for a long time larger than in most countries in the developing region. Despite these investments, however, both GDP growth and total factor productivity growth have been very low since the 1980’s. Previous literature on the effects of education investments in MENA countries has focused on the estimation of private returns to education and typically reports estimates that are comparable to the ones obtained in industrialized countries. This pattern of results would suggest that, at least at the private level, educational investment does pay off also in this region. However, previous literature also points to potential inefficiencies. Salehi-Isfahani et al. (2009) report estimates that seem to suggest that returns are convex in the level of education in Egypt and Iran and interpret this as evidence of “sheepskin effects”, that is returns attached to official degrees rather than actual learning. Assaad (1997) and Tansel (2005) provide evidence on the attractiveness of public sector employment for university graduates in Egypt and Turkey, respectively. However, due to lack of suitable instruments, this literature has been unable to address the causality of these estimates. Isolating the causal effect of education is important because the observed patterns could be driven by relevant unobserved factors correlated with educational attainment, such as the capacity to finance education or unobserved productive skills (credit constraints and ability bias, respectively). For instance, convexity of estimated returns to education could be due to the fact that higher levels of education are costly so that credit constrained individuals are left out, and extra return premia are generated for these levels. The attractiveness of the public sector to university graduates could be potentially driven by a successful public sector selection on the basis of ability. None of these explanations would imply that the education is used to access privately rewarding but inefficient activities. This paper is an attempt to assess the extent of inefficient absorption of educated individuals by the public sector in Tunisia by providing evidence on the effect of education on the employment status of Tunisian men in different sectors. Our estimates purge the effect of education from the aforementioned biases by exploiting a policy change that restricted the access to secondary schools for several cohorts in the 1970’s. We use this policy change as an instrument for educational attainment and use Tunisian census and labor force survey data to estimate the effect of educational attainment on occupational outcomes. The education policy change we exploit took place after the rapid expansion of public education in the 1960’s. This growth of public education led to increased budgetary pressures to which the Tunisian government responded by restricting the access to secondary education drastically. The promotion rates to secondary education were decreased by 15 percentage points starting in 1971 and remained at low levels until 1980 when they were increased again approximately back to the level where they were before 1971. These policy changes, both limiting and subsequently loosening of entry to secondary school, generate between cohorts variation in educational attainment and we use this variation as an instrument for educational attainment. The first stage results suggest that the policy change is a strong instrument: individuals that were affected by the reform completed on average one grade less of education1. The compliers of our instrument (i.e. the people affected by the policy change) are likely to have been students at the margin of passing to secondary school and therefore probably academically weak in relative terms. We use micro data from Tunisian 2004 census and 2010 Labor Force Survey to estimate the effect of educational attainment on employment and occupational status of men in different sectors, focusing on the distinctions between the public and the private corporate sector. Descriptive statistics and OLS results suggest no inefficient over-representation of educated workers in the public sector. The public administration does employ more college workers, but this appears to be due to the specific occupational structure of the sector, particularly its abundance of health and education workers. Hence, the descriptive evidence would suggest that educated workers are not allocated inefficiently in the Tunisian labor market and that we would need to look for alternative explanations for the lack of economic growth from educational investment. However, using the changes in the access to secondary education as an instrument for education does deliver results that are consistent with inefficient absorption of educated workers by the public sector. First, IV estimates of the effect of education on working in the public sector exceeds the effect on working in the private sector. This suggests that educational attainment, when purged from the effect of other productive characteristics, works as a gateway to public sector jobs in the Tunisian labor market. The pattern, however, could still be driven by differing occupation structures across sectors. Our second set of results thus focuses on differences across sectors in selected occupations. We find no effect of education on white collar occupations in the multinational sector, with the exception of clerical work, the least skill-intensive of our white collar occupations. In contrast we find a clear effect of education on most white collar occupations in the public sector. The pattern is most striking for managerial occupations: this effect is large in the public sector, considerably weaker in the private Tunisian sector and essentially nonexistent in the multinational sector. The interpretation of these results as inefficient absorption of educated workers by the public sector is strengthened by the fact that our estimates probably apply to relatively academically weak students that should have benefited least from the acquisition of technical skills at school. This is because the policy that we use as our instrument is likely to have shocked the education level of students at the margin of accessing secondary school. Consistent with this idea, we find no effect of education on natural science occupations in any sector even though natural science occupations should be the most skill intensive occupations in our data. We argue that the fact that education increased the chances of presumably “marginal” students to work as managers in the public sector but not in the multinational sector is consistent with the idea that the public administration hires and promotes workers inefficiently, rewarding titles rather than actual skills. Hence, even if our identification strategy does not allow us to formally distinguish the effects of titles from years of education, this pattern of results is consistent with the public sector sheepskins effects discussed in the earlier literature. The rest of the paper is organized as follows. In the following section we present a short history of educational investment in Tunisia and describe the policy reform that we will exploit in our identification strategy. The third section describes the data sets used in the analysis and presents some descriptive statistics on the allocation of educated workers in the Tunisian labor market. We then move on to present the results on the effect of educational attainment on the employment status. We report IV estimates of the effect of education on the probability of working in different sectors on average as well as separately for certain occupations. The fifth section concludes.",4
