Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
53,1,Indian Economic Review,29 March 2019,https://link.springer.com/article/10.1007/s41775-019-00040-x,Editorial note,December 2018,Pami Dua,,,Unknown,Unknown,Unknown,Unknown,,
53,1,Indian Economic Review,14 December 2018,https://link.springer.com/article/10.1007/s41775-018-0030-2,Time-varying spectral analysis: theory and applications,December 2018,D. M. Nachane,,,Unknown,Unknown,Unknown,Unknown,,
53,1,Indian Economic Review,03 January 2019,https://link.springer.com/article/10.1007/s41775-018-0032-0,Public–private partnerships vs. traditional contracts for highways,December 2018,Ram Singh,,,Male,Unknown,Unknown,Male,"During the last 2 decades, many governments across the world have used private funding to develop infrastructure.Footnote 1 India is no exception. The successive governments at the centre have attempted to tap private funding to develop and extend networks of roads, ports, and airports.Footnote 2 Private funding has also become a mainstay of plans of the state governments towards infrastructure development. The private funding is tapped through what are called the public–private partnerships (PPPs or P3). In a typical PPP/P3 for infrastructure, the government provides land and is responsible for regulatory clearances for the project. The private partners take responsibility to build the project assets such as roads. Generally, the private partners are required to fund the project upfront, but the government retains the ownership of the assets developed through PPP. Moreover, the private partners are responsible for the upkeeping of the assets during operation-and-maintenance phase of the project. In other words, the tasks of construction and maintenance are bundled together and assigned to one and the same contractor firm. This also means that the control and management rights over the project assets are assigned to the private partner during the terms of the contract. Many a times the private partners are also granted ‘concessions’ (rights) to charge user-fees. At the end of the contract period, the government reclaims all the rights granted to the contractor. In contrast, under a traditional contract used for infrastructure, the contractor is required only to construct the project facilities; he is not responsible for maintaining it. That is, there is no bundling of the tasks of project construction and its maintenance. The government is responsible for the funding of the project. Maintenance of assets during maintenance is done either by the government or another contractor hired for this specific purpose. In other words, under a traditional contract the government retains all the control and ownership rights over the entire life cycle of the project. Therefore, the PPP contracts are fundamentally different from the traditional (non-PPP) contracts, in terms of the responsibility and rights of the private sector towards financing, building, and maintaining of the infrastructure assets. In this paper, we present a model of project life-cycle. The model is used to make predictions about the outcomes under the different types of contracts. As to the nomenclature, we consider three types of PPPs; namely, Toll-PPPs, Annuity-PPPs and the SPVs. These forms differ mainly in terms of the decision and control rights delegated to the private investors during the contract period. The official case for the use of PPPs depends on their perceived economic superiority over the traditional approach, that is, the belief that the PPPs can deliver public goods at relatively low life-cycle costs. The policymakers seem to believe that private sector participation through the PPPs will ensure a speedier delivery of infrastructure as it will reduce the life-cycle project costs. Moreover, it is believed that the PPPs have the potential to incentivize the private sector to deliver a superior quality infrastructure services. At least officially, these beliefs seem to have been the driving force behind the advent and expansion of the PPP programme. For example, the draft of the National Public Private Partnership Policy (NPPPP) clearly states two of these objectives as: “Harness private sector efficiencies in asset creation, maintenance and service delivery; Provide focus on life-cycle approach for development of a project, involving asset creation and maintenance over its life cycle;...”Footnote 3 As to the economic analysis of PPPs, following Hart et al. (1997) and Hart (2003), a large theoretical literature has come up on the subject. It shows that the partnership contracts have some merits vis-a-vis the traditional contracts. However, some features of PPPs can make the outcome under them worse than the outcome under the traditional contracts. In sum, depending on the context, either type of contract can be more desirable than the other.Footnote 4 Therefore, the following question arises: is the belief in the superiority of the PPPs justified? There seems to be no empirical study to answer this question. In this paper, we address this question and the related issues. In Sect. 2 we develop a model of project costs, quality and benefits. In Sect. 3, we examine the potential sources of efficiency of PPP contracts vis-a-vis the traditional contracts. The focus is on comparison of the incentive structure for the contractor under the PPPs vis-a-vis the traditional procurement contracts. In Sect. 4 we predict costs and quality under different contracts. Our empirical analysis is based on a data set of highways projects in India. The PPPs for national highways projects have been implemented by a single agency, namely the National Highways Authority of India (NHAI). In fact, the NHAI accounts for the largest number of PPPs executed by any one agency in the country. So, to compare the comparables, the PPP and the non-PPP road projects implemented by the NHAI are a plausible choice for empirical analysis. We use a data set of 313 national highway projects to compare performance of the PPPs with the traditionally procured highway projects. The comparison is made in terms of the project costs and quality of roads. Besides, we compare performance of the toll-PPPs with the non-toll-PPPs. The 2005 PPP policy is used as an Instrument for the empirical analysis on project costs. Bidding and contracting processes and the 2005 PPP policy are described in Sect. 5. In Sect. 6 we empirically examine the outcomes under PPPs and the traditional contracts, in terms of the construction costs and quality of roads. Section 7 presents concluding remarks on various possible reasons behind the relatively high construction costs for PPPs. It also discusses the existing empirical literature on the subject.",7
53,1,Indian Economic Review,03 July 2018,https://link.springer.com/article/10.1007/s41775-018-0017-z,Food inflation and volatility in India: trends and determinants,December 2018,C. S. C. Sekhar,Devesh Roy,Yogesh Bhatt,Unknown,Male,Male,Male,"Food prices and its underlying factors have important macroeconomic implications for inflation and growth. Food inflation strongly impacts welfare, particularly of the poor. If transmission of food prices into nonfood prices is strong, as it is in many low-income countries, the impact on core inflation can also be substantial (Walsh 2011; Anand et al. 2014). Walsh (2011) finds that food inflation is generally higher and more persistent than nonfood inflation in many countries. In India, food inflation has been continually high over the past several years, particularly after the drought in 2009.Footnote 1 Initially, this was attributed to poor agricultural performance because of drought, as well as inadequate trade policy (Chand 2010; Nair and Eapen 2012; Nair 2013). However, the problem persisted even after improvements in food production, a tightening of grain exports, and liberalization of imports. Most studies on food inflation in India have been based on one or two episodes of inflation. Years of low inflation were not factored into these analyses. The present study attempts to fill this gap through a systematic analysis of food inflation and its determinants over a longer horizon at the disaggregated commodity level. We identify the major contributors to food inflation through a decomposition exercise. We also analyzed the patterns in short-term price volatility. We specifically include the period post 2008 until 2015 to capture the situation post global food price crisis. Employing dynamic panel regression framework we estimate the possible causal effect on food prices. The study is organized as follows. A detailed review of the relevant literature is presented in Sect. 2. Section 3 contains a description of the methodology followed. Results of the study are presented in Sect. 4. Section 5 summarizes the results of the study and its important policy implications.",6
53,1,Indian Economic Review,23 July 2018,https://link.springer.com/article/10.1007/s41775-018-0018-y,Debt sustainability of states in India: An assessment,December 2018,Balbir Kaur,Atri Mukherjee,Anand Prakash Ekka,Male,Unknown,Male,Male,"In line with an overall decentralizing trend, the sub-national governments worldwide have been entrusted with increasing responsibilities towards delivery of public goods and services, and investment in physical and social infrastructure. As the concomitant expenditure requirements generally fall short of own revenue receipts and inter-governmental transfers from the national authorities, the sub-national governments have to depend on borrowed resources to finance such expenditure. However, the borrowing limits of sub-national governments in various countries are subject to either regulatory restrictions or self-imposed fiscal discipline, given the underlying requirement to ensure debt sustainability at the sub-national level. In India, the state governments have been playing an important role in discharging various functions assigned to them under the Constitution. As the non-debt receipts of states are often not sufficient to provide the requisite financial resources, they resort to borrowings to meet various development needs. It is often said that borrowing per se is not bad provided it is used for productive purposes. While this may be a desirable goal, the actual utilisation of borrowed resources may not necessarily be only for productive purposes due to various reasons. However, the accumulation of debt liabilities, if left uncontrolled, could cause macroeconomic and financial stability issues. The evolution of debt position of state governments in India has seen several phases: a comfortable position prior to 1997–1998 to a phase of sharp deterioration and fiscal stress during 1997–1998 to 2003–2004 and then to a phase of significant improvement since 2004–2005. While the debt liabilities of states increased sharply during 1997–1998 to 2003–2004, the subsequent period has been a phase of consolidation, attributable, among others, to the implementation of fiscal rules through the enactment of Fiscal Responsibility and Budget Management (FRBM) Acts/Fiscal Responsibility Legislations (FRLs) at the state level in early 2000s. These fiscal consolidation initiatives were complemented by debt and interest relief measures of the central government, and also supported by a favourable macroeconomic environment following the high growth phase and a reversal of the interest rate cycle in the mid-2000s. Majority of the states adhered to the debt targets set for them by the Thirteenth Finance Commission (FC-XIII) for the period 2010–2014, even as some of them breached their respective debt targets and continued to have unsustainable debt positions. In the recent period, the signs of fiscal stress have re-emerged on the back of poor performance of state public sector enterprises. With several states assuming additional debt liabilities as part of financial and operational restructuring of state power distribution companies, there is an inherent risk in terms of debt servicing capacity and soundness of fiscal performance parameters of states. In addition, the adoption of farm loan waivers by different state governments, viz, Uttar Pradesh, Punjab, Rajasthan, Maharashtra and Karnataka is likely to further enhance their fiscal burden. It is against the above backdrop that this paper assesses the issue of debt sustainability of states in India. The issue has become all the more relevant after the release of the report of the FRBM Review Committee (Chairperson: N. K. Singh), 2017, which suggests using debt as the primary target for fiscal policy. The debt sustainability analysis carried out in this paper is based on three approaches: indicator-based analysis, estimation of both inter-temporal budget constraint and fiscal policy response function (to deterioration in debt position) at the state level. While the debt sustainability analysis per se is in respect of debt stock or outstanding liabilities of the state governments, this has been extended to highlight the fiscal implications of off-budget items, viz, contingent liabilities of states, guarantees extended by them to state power utilities and finally the take-over of debt liabilities of these utilities by the state governments that have decided to participate in the restructuring scheme implemented by the central government. The paper is organised as follows. Section 2 defines debt sustainability. Section 3 presents a brief overview of various studies that have examined debt sustainability at the state level in the Indian context. An analytical presentation of the theoretical basis underlying fiscal/debt sustainability analysis is provided in Sect. 4. Some stylised facts relating to the evolution of state government debt in India are presented in Sect. 5. Section 6 presents an empirical assessment of debt sustainability at the state level based on different approaches. The rationale for extending the conventional debt sustainability analysis to include off-budget fiscal position of states in the context of additional debt liabilities which have arisen on account of take-over of debt of state power utilities is explained in Sect. 7. The concluding observations are covered in Sect. 8.",12
53,1,Indian Economic Review,16 October 2018,https://link.springer.com/article/10.1007/s41775-018-0025-z,"Foreign direct investment, welfare and wage inequality in a small open economy: theory and empirics",December 2018,Sugandha Huria,Manoj Pant,,Unknown,Male,Unknown,Male,"The literature abounds with studies on various issues related to foreign direct investment (FDI). Amongst all, the forerunner relates to its definition, determinants and existence. Being considered as equivalent to international mobility of capital until 1950s, with the pioneer studies of Hymer (1960), Caves (1971, 1982), Dunning (1973) and others, it was realised that FDI, as distinct from Foreign Portfolio Investment, is rather associated with some firm-specific factor and that an international difference in expected return to capital is not sufficient to induce an investor to undertake direct investment. Of further importance was the question regarding the incorporation of multinational (MN) activities in models of trade theory (Pant and Srivastava 2015). Not surprisingly, gradually with the increase in FDI flows, the subject related to its role in driving economic growth and development also became a contested one. Beginning with Behrman (1960) and MacDougall (1960), etc., up until today, a large number of both theoretical and empirical studies have been undertaken in this regard: while some argue that FDI leads to an increase in productivity and hence positively affects the host economy’s growth and development, the focal point of others rests on its negative impact such as extraction of natural resources and destruction of local capabilities. Apart from this, several other FDI-specific issues have also been dealt with in the past, for example, testing of traditional trade theorems by Batra and Ramachandran (1980) in the presence of MN activities, employment-related effects of FDI by Batra (1986) and others, interlinkage between trade and FDI (like Buckley and Casson 1981), FDI as a channel of knowledge spill over (Crespo and Fontoura 2007, amongst others), etc. More recently, the focus has been on the global rise in skilled–unskilled wage gap or what is commonly referred to as wage inequality. A lot of theoretical reformulations of the standard trade models have been done to reconcile this empirical finding with that of the Hecksher–Ohlin–Samuelson (H–O–S) conclusion.Footnote 1 By and large, the issue has been studied in general equilibrium models of trade without FDI (see, for example, Barua and Pant 2014). However, it is clear from the literature on FDI that incorporation of MN activities in the trade models leads to dramatic changes in standard trade theory results (Batra and Ramachandran 1980). Thus, in this paper, we have tried to set-up a model of trade with FDI to see how this impacts the wage inequality debate. Since MNs are assumed to be carriers of superior technology, that is more complementary to skilled than to unskilled labour, it is generally believed that their activities necessarily worsen wage inequality in the host economies. The concern is even more grounded in the developing countries or the south, the majority of whose GDP depends on the activities of the large unorganised sector that employs unskilled labour intensively. One of the earliest works in this regard was undertaken by Feenstra and Hanson (1995), who modelled FDI as a channel through which fragmentation of production can take place. Their structure was similar to the standard HO model with continuum of goods, except that all activities now occur within a single manufacturing industry. Their results show that outsourcing of basic stages of production through movement of capital from the capital-abundant north to the capital-scarce south increases wage inequality in both these types of countries. This is because, in the latter, the basic stages are relatively skill intensive and hence, the transfer of capital raises the relative demand for skilled labour, and so does its return. More recently, Oladi et al. (2011) also analysed this issue by introducing non-traded goods in a three-sector general equilibrium model. Considering that the foreign capital is specific to the export sector, the results show that the net distributional impact of FDI depends crucially on the intensities with which different factors are employed in different sectors within an economy. A similar kind of conclusion was also reached by Chaudhuri and Yabuuchi (2008). In yet another set of studies, the authors have departed from the perfectly competitive models. Markusen and Venables (1996, 1997), for instance, have related MN activities to wage inequality by developing a firm-based trade model. After characterising the equilibrium regime as a function of characteristics of the two countries and their trade costs, the results of their study suggest that higher FDI leads to a rise in the wage gap in both the skilled and unskilled labour-abundant host countries because these firms are more skill intensive than their national counterparts. Further, assuming a two-stage game, where in the first stage, the MN firms in the differentiated sector choose a quality, and then a competitive price under free entry and exit, Wu (2001) has also developed a small open economy model incorporating the element of vertical direct investment. His observations show that the impact on the wage gap depends on whether the FDI-induced technology transfer from the developed countries is skilled or unskilled labour biased, regardless of which sector receives the FDI. In a similar kind of basic set-up but excluding the product-quality choice, Das (2002) has shown that in the absence of trade, a rise in the number of foreign firms in the skill-intensive sector affects relative wages through three different ways—the direct impact, that widens the wage differential; the technology gap between the domestic and the foreign firms which tend to lower the wage gap and finally, the transfer effect that occurs due to changes in foreign profits to be repatriated to the source economy. Thus, the effect of FDI on the skilled–unskilled wage gap has been relatively under-studied theoretically. Some of the models, however, assert that under certain conditions, FDI could be considered as a reason to explain why the unskilled-abundant developing economies are witnessing higher wage inequality today but none of them focusses on the co-existence of trade and FDI in explaining that link. As regards the empirical literature, on the other hand, there are certain studies that stress on the positive role of FDI in improving the productivity and wage disparity between the skilled and unskilled work forces (Figini and Görg 1999, among others), while the focal point of others rests on its negative impacts through a transfer of skill-biased technology or investment in skilled labour-intensive sector (Taylor and Driffield 2005; Ghosh 2008; Chen et al. 2011; Lee and Wie 2015, among others). These findings are more or less country specific and sector specific, and do not generate any concrete conclusion even on the basis of whether an economy is developing or developed. It, thus, seems necessary to theoretically derive the conditions under which higher FDI distorts wage distribution within an economy, taking into account the fact that FDI is just another form of doing trade. Given that the MNs have access to specific advantages, the literature suggests that one needs to depart from the standard general equilibrium HOS framework to incorporate their behaviour. However, in this paper, we have made an attempt to formulate two different models to analyse the distributional role of higher FDI inflows in the developing economies within the modified HOS framework only, using the Ricardo–Viner Model. The advantage is that this model tackles the specificity of technology or some factor, which is considered to be one of the most important characteristics of an MNC. The assumptions of neo-classical structure and perfect competition have been retained because, in most of the cases, it is the only way in which a general equilibrium analysis can be carried out. In the first model, we assume that FDI occurs through transfer of both specific knowledge and MN capital from the source into the host economy, while in the second, the MNs are assumed to finance most of their capital requirement through local sources available in the host economy. The analysis of the former shows that irrespective of the nature of the technical progress, the impact of FDI on wage disparity in the host economy depends on the sector in which it occurs, while the second shows how factor intensities and their cross-complementarities play a major role in determining the ultimate impact of liberalisation policies, viz. trade and FDI. Thus, we are able to show that domestic factors also play a crucial role in determining the distribution of income within a country, and not just trade or FDI per se. Even more, the second model also highlights why it is important for the developing countries to insist on maximum capital transfers by the MNCs. We also discuss a ‘welfare–wage inequality’ trade-off that a host developing economy faces while allowing for higher inward FDI. Finally, taking the predictions of our models, we subject them to a limited empirical testing using the panel dataset of Indian organised manufacturing industries. The rest of the paper is structured as follows. In the next two sections, we develop the two theory models and present results from our analyses. The following Sect. 4 presents results from a quick empirical testing. The conclusion and policy recommendations are given in Sect. 5.",2
53,1,Indian Economic Review,15 August 2018,https://link.springer.com/article/10.1007/s41775-018-0020-4,Regime-shifts in India’s monetary policy response function,December 2018,Lokendra Kumawat,N. R. Bhanumurthy,,Unknown,Unknown,Unknown,Unknown,,
53,1,Indian Economic Review,18 December 2018,https://link.springer.com/article/10.1007/s41775-018-0031-1,Capital flows and exchange rate volatility: experience of emerging economies,December 2018,O. P. C. Muhammed Rafi,M. Ramachandran,,Unknown,Unknown,Unknown,Unknown,,
53,1,Indian Economic Review,11 February 2019,https://link.springer.com/article/10.1007/s41775-018-0033-z,Fiscal rules and procyclicality: an empirical analysis,December 2018,Sangita Misra,Rajiv Ranjan,,Female,Male,Unknown,Mix,,
53,1,Indian Economic Review,28 August 2018,https://link.springer.com/article/10.1007/s41775-018-0021-3,Evidence on the determinants of investment-cash flow sensitivity,December 2018,Vikash Gautam,Rajendra R. Vaidya,,Unknown,Male,Unknown,Male,"Lack of adequate finance on competitive terms poses a key constraint on firm investment.Footnote 1 It is argued that if a firm is unable to obtain finance at a competitive rate, i.e., if it is financially constrained, then its ability to invest is contingent on its ability to generate internal liquidity. Financially unconstrained firms, in contrast, do not display a systematic propensity to invest out of internal liquidity as the cost of funds, relative to its opportunity cost, is likely to be small for them. In such investigations, internal liquidity is commonly represented by cash flows whereas ‘investment-cash flow sensitivity (ICFS)’ is considered as the metric representing finance constraints.Footnote 2 So, for a sample of firms, after sorting them into groups based on the likelihood of being financially constrained using variables, the group with positive ICFS is considered financially constrained whereas the group with insignificant ICFS is considered financially unconstrained. Although it is intuitively appealing to conclude that a higher ICFS is representative of finance constraints, there are considerable disputes on the empirical evidences. Several issues are noteworthy. First, since cash flows endow managers with more control than external funds, higher ICFS may signal preference of firms for internal funds over the external funds, even though the risk adjusted cost of external funds is close to the cost of internal cash flows (Kaplan and Zingales 1997; Cleary 1999). Second, if positive ICFS firms are to be interpreted as financially constrained and insignificant ICFS firms as financially unconstrained, it is implicitly assumed that ICFS monotonically increases with the severity of finance constraints. Such an assumption may be restrictive and ensue into erroneous inferences. Cleary et al. (2007) and Guariglia (2008) show that investments made by firms exhibit an inverted U-shaped relationship with their borrowing capacity. Third, innovation in cash flows may induce firms to revise their expected profitability. In such a case, cash flows, besides signaling information on internal liquidity, also signal information on growth opportunities of firms even when they are financially unconstrained (Gilchrist and Himmelberg 1995; Hovakimian and Titman 2006). Finally, the ex-ante sorting of firms based on the likelihood of finance constraints is critically dependent on the choice of the sample splitting criterion. This splitting procedure is valid only if the sample splitting scheme unequivocally distinguishes between constrained and unconstrained firms (Kaplan and Zingales 1997; D’Espallier et al. 2008). In the wake of the aforementioned arguments, the paper presents a direct evaluation of the ICFS at firm level, rather than relying on the ad-hoc nature of ex ante classification. We also include in our purview a third group of negative ICFS firms. Such firms, though much less researched than the other two groups, represent financially distressed firms (Allayannis and Mozumdar 2004; Bhagat et al. 2005). It is argued that on start-up, negative ICFS firms have low internal funds and they are mainly financed by external sources. As they mature, their cash flows rise but their debt obligations also get bigger because of the previously taken loans. Therefore, their probability of default in case of an adverse shock is high. In our empirical exercise, we analyze the determinants of firm-level ICFS using an unbalanced panel of 3680 Indian manufacturing firms over the period 1994–2015. Specifically, we investigate distinct firm characteristics associated with negative, insignificant and positive ICFS firms without imposing any ex ante restriction on them. We expect that if the commonly used interpretations with each of the three groups (i.e., financially distressed, unconstrained and constrained, respectively) are justified, then the same must be reflected in the firm characteristics associated with them. The considered period for the Indian manufacturing sector is noteworthy because it witnessed an adverse shift in the domestic investment financing policy. The focus of the policy makers, however, was not to restrict investment but to restrict non-performing assets (Gautam and Vaibhav 2017). Athey and Reeser (2000) also suggest that the policy issues are a major bottleneck in financing investment in India. They focus mainly on the targeted credit program of the government that adversely affected investments of those firms that are excluded from the program. The presence of finance constraints in Indian firms is also widely established in some of the recent works (Athey and Laumas 1994; Ganesh-Kumar et al. 2001; Lensink et al. 2003; Bhaduri 2005, 2008; Gautam and Vaidya 2013). To the best of our knowledge, D’Espallier et al. (2008) and Hovakimian (2009) are the only other works that have attempted to evaluate firm-level ICFS as the measure of finance constraints. D’Espallier et al. (2008) construct firm-specific ICFS metric using generalized maximum-entropy method to avoid ex-ante sample sorting criteria. Essentially, the estimation problem is transformed into a constrained maximization problem, where the objective function consists of the entropy-information criterion. Maximizing the entropy amounts to choosing a probability vector for each parameter that is consistent with the available data and the relevant constraints. Although the choice of generalized maximum-entropy method is decorous in principle, it would give unbiased results only when the signal to noise ratio is very small (Adkins 1997). Given that D’Espallier et al. (2008) largely ignore the concern that cash flows apart from capturing information on financials also capture information on the growth opportunities of the firms, one needs to be cautious while interpreting their results. Hovakimian (2009), in an alternative arrangement, regresses investment on all relevant variables except the cash flows and uses the error term to construct firm-level estimates of ICFS. She, thereby, implicitly assumes that the information contained in the error term is mainly because of the cash flows. This is a restrictive assumption if the dataset lacks information on some of the variables which are important for investment decisions. In fact, we show that nearly 14% of observations cannot be inferred as reasonable using the method as suggested by Hovakimian (2009). The empirical strategy in this paper allows to construct firm-level ICFS estimates from the investment regression itself by allowing cash flow to have variable slope across firms. We show that the variable slope method finds a better support from the data. We use clusters of firm-level ICFS scores to construct negative, insignificant and positive ICFS groups. ICFS across these groups reveals a non-monotonic relationship with the variables perceived to be correlated with finance constraints. We also show that our dataset does not yield three groups—negative, insignificant and positive ICFS firms, which can be unambiguously interpreted as distressed, financially unconstrained and constrained, respectively, based on firm characteristics. These results hold for both unlisted and listed firms. The approach in this paper has a wide scope for application in both developed and developing country contexts, especially when data on some on some of the control variables is not available or/and when a fraction of firms is not listed in the stock exchange. It serves as a pragmatic wedge to elucidate the importance of ICFS in representing finance constraints. It can easily be made the vehicle for further endeavours. The rest of the paper is organized as follows. Section 2 discusses the sample and the variables. Section 3 outlines the methods for measuring firm-level ICFS. Section 4 presents the characteristics of firms into negative, insignificant and positive ICFS groups followed by a discussion of the determinants of ICFS in Sect. 5. Finally, Sect. 6 concludes.",2
