Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922745,The Nonsense of Antidumping,January 1966,Ernst Niemeier,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922746,A Practical View of the German Export Situation,January 1966,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922747,Development through export diversification: Some suggestions,January 1966,Christian Wilhelms,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922748,Economic aspects of the current EEC crisis,January 1966,Erhard Kantzenbach,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922749,World Business Trends,January 1966,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922776,Neither victory nor defeat,February 1966,Christian Franck,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922777,“Rapprochement” of the economic systems in eastern and western europe?,February 1966,Ota Šik,,,,Unknown,Unknown,Mix,,
1.0,2.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922778,Effects on development of the population explosion in Latin America,February 1966,Jürgen Westphalen,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922779,Latin America’s export structure needing reform,February 1966,Werner K. Tillmann,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922780,World business trends,February 1966,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Intereconomics,,https://link.springer.com/article/10.1007/BF02922791,Is famine the world’s fate?,March 1966,Christian Uhlig,,,Male,Unknown,Unknown,Male,,
