Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295845,DFI components: Relationships to exchange rate changes,February 1995,Nell S. Gullett,Bob G. Figgins,,Female,Male,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295846,Spectral analysis of secondary market mexican external debt prices,February 1995,Thomas J. Webster,Michael Szenberg,,Male,Male,Unknown,Male,,1
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295847,Testing for induced financial innovation in Canada,February 1995,Indra Hardeen,Robert W. Dimand,,Female,Male,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295848,Long-run equilibrium between budget deficits and long-term interest rates,February 1995,Harjit K. Arora,Pami Dua,,,Unknown,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295849,"Spatial competition with asymmetric, non-uniform distributions of consumers",February 1995,Ma Aurora Garcia Gallego,Nikolaos Georgantzis,Vicente Orts Rios,,Male,Male,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295850,Consumers and the dairy growth hormone: Opportunity and controversy,February 1995,Marshall Martin,Jean Riepe,Richard Widdows,Male,Male,Male,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295851,An examination of financial impacts of SFAS No. 106,February 1995,Zabihollah Rezaee,Robert D. Hayes,,Unknown,Male,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295852,"Time allocation during higher education: A study of Brazilian, French, and Spanish students",February 1995,Gerard Lassibille,Lucia Navarro Gomez,Jean-Jacques Paul,Male,Female,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295853,The economics term paper as an effective teaching tool: Another approach,February 1995,William J. Zahka,,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295854,"Teaching accountants to learn and ""building blocks"" for accounting education",February 1995,G. Richard French,Manuel A. Tipgos,,Unknown,Male,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295855,Teaching issues in economics and the environment,February 1995,David V. Ward,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295856,Consumers and the dairy growth hormone: Opportunity and controversy,February 1995,Marshall A. Martin,Jean Rosscup Riepe,Richard Widdows,Male,Male,Male,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295857,Will the philadelphia charter proposals improve economic performance?,February 1995,Thomas Orwell Armstrong,,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295858,Fiscal transfers and revenue-expenditure efforts of urban local governments in Bangladesh,February 1995,Mary Uddin,,,,Unknown,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295859,Adoption of FASB 106 and stock prices,February 1995,Saul Z. Barr,Arnold L. Redman,Arnold Cowan,Male,Male,Male,Male,,1
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295860,DFI components: Relationships to exchange rate changes,February 1995,Nell S. Gullett,Bob G. Figgins,,Female,Male,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295861,European union and central european countries reducing barriers or not?,February 1995,Višnja Samardžija,,,Female,Unknown,Unknown,Female,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295862,"Domestic market structure, the transnational industry cycle, and the merits of free trade",February 1995,Romie Tribble Jr,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295863,The brain drain from developing countries to developed countries,February 1995,Taghi Ramin,,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295864,The cultural invasions of ireland: Their effects on economic development,February 1995,Alden Peterson,J. E. Weaver,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295865,Interest rate derivatives and asset-liability management by commercial banks,February 1995,Katerina Simons,,,Female,Unknown,Unknown,Female,,7
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295866,Predicting mutual fund performance: An application of modern portfolio theory,February 1995,Hubert Roosma,,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295867,Universal banking and the U.S. banking system,February 1995,Colleen W. Cameron,,,Female,Unknown,Unknown,Female,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295868,Demographic shifts in the Balkans: Economic and political implications,February 1995,Milica Z. Bookman,,,Female,Unknown,Unknown,Female,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295869,Economic contribution of volunteerism toward the value of our cultural inventory,February 1995,Carl M. Colonna,John E. Anderson,,Male,Male,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295870,Gas production and distribution in the U.S.,February 1995,Eleanor T. von Ende,Klaus G. Becker,,Female,Male,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295871,Long-run equilibrium between budget deficits and long-term interest rate: An empirical note,February 1995,Harjit K. Arora,Pami Dua,Mehdi Haririan,,Unknown,Male,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295872,Industry woes for Air Canada: A partial explanation,February 1995,Alan Hochstein,,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295873,The effects of the airline deregulation on shareholders' wealth,February 1995,Samir M. El-Gazzar,Alexander J. Sannella,,Male,Male,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295874,"Entrepreneurship, education, and the creation of entrepreneurial attitudes",February 1995,Marshall Friedman,Sami Abbassi,Jon C. Stuart,Male,Male,Male,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295875,"Accounting practices, earnings volatility, and earnings forecast: The case of the oil and gas producing companies",February 1995,Samir M. El-Gazzar,Afaf A. Shalaby,,Male,Female,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295876,Focus on NAFTA: The accounting environment in Mexico,February 1995,Gouranga Ganguli,Carol Collinsworth,,Unknown,,Unknown,Mix,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295877,An empirical evaluation of the association between audit technology and audit fees,February 1995,Hema Rao,K. F. Gheyana,,Female,Unknown,Unknown,Female,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295878,Foreign direct investment and domestic capital formation: A comparative analysis,February 1995,Gladson I. Nwanna,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295879,The cultural invasions of Ireland: Their effects on economic development,February 1995,Alden Peterson,Gladson I. Nwanna,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295880,A regional analysis of teen birth rates and related problems,February 1995,Walter E. Mullendore,Vikram Dhawan,,Male,Male,Unknown,Male,,
1.0,1.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295881,A comparative analysis of the output measures of local public services,February 1995,Simin B. Mozayeni,,,Female,Unknown,Unknown,Female,,
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295963,"Domestic market power, the transnational industry cycle, and the merits of free versus fair trade",May 1995,Romie Tribble Jr.,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295964,"Government regulation, productivity, and farm size in Japan's rice market",May 1995,Bienvenido S. Cortes,,,Male,Unknown,Unknown,Male,,
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295965,The North American free trade agreement: International competitiveness for vegetables,May 1995,Mary A. Marchant,Mwana N. Mawampanga,Ravichandran Munirathinam,,Unknown,Male,Mix,,
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295966,A methodologist's econometric model selection,May 1995,Brigitte H. Bechtold,,,Female,Unknown,Unknown,Female,,
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295967,Measuring capital replacement requirements using a multivariate cost function,May 1995,Ralph A. Terregrossa,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295968,Are interest rate spreads viable policy targets?,May 1995,William G. Gissy,,,Male,Unknown,Unknown,Male,,2
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295969,"Recent trends in concentration, mobility, and turnover among the top U.S. companies",May 1995,John Kaminarides,Kamvar Farahbod,,Male,Unknown,Unknown,Male,,1
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295970,Trends in management accounting in the Asian pacific region,May 1995,Zabihollah Rezaee,Joseph Z. Szendi,Robert C. Elmore,Unknown,Male,Male,Male,,5
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295971,Adoption of FASB 106 and stock prices,May 1995,Mahmoud M. Haddad,Saul Z. Barr,Arnold Cowan,Male,Male,Male,Male,,1
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295972,AICPA rules of conduct and practitioner knowledge,May 1995,Brian B. Stanko,James A. Knoblett,,Male,Male,Unknown,Male,,
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295973,A comparative analysis of the output measures of local public services,May 1995,Simin B. Mozayeni,,,Female,Unknown,Unknown,Female,,3
1.0,2.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295974,Teaching issues in economics and the environment,May 1995,David V. Ward,,,Male,Unknown,Unknown,Male,,
1.0,3.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295650,Migrants' performance in the labor market: The later the better,August 1995,Tikva Lecker,,,Female,Unknown,Unknown,Female,,1
1.0,3.0,International Advances in Economic Research,,https://link.springer.com/article/10.1007/BF02295651,Can government's choice of a high inflation policy be rational?,August 1995,Antonin Rusek,,,Male,Unknown,Unknown,Male,,
