Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-003-0002-5,Editorial,March 2004,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-004-0010-0,Changing the Stability and Growth Pact in the EU?,March 2004,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-003-0006-1,With what should the present rules of the Stability Pact be replaced?,March 2004,Patrick Artus,,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-003-0005-2,The Stability and Growth Pact: The appropriate fiscal framework for EMU,March 2004,Otmar Issing,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-004-0009-6,The end of the Stability and Growth Pact?,March 2004,Stefan Collignon,,,Male,Unknown,Unknown,Male,,10
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-003-0004-3,Does globalization hurt the poor?,March 2004,Pierre-Richard Agénor,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-003-0007-0,Tu Felix Austria: Evidence for a de-celerator in financial reform,March 2004,Benedikt Braumann,,,Male,Unknown,Unknown,Male,,9
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-003-0001-6,"Currency substitution and the stability of the Italian demand for money before the entry into the monetary union, 1972–1998",March 2004,Hannah Nielsen,Giuseppe Tullio,Jürgen Wolters,Female,Male,Male,Mix,,
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-003-0003-4,Do export processing zones attract FDI and its benefits,March 2004,Edward M. Graham,,,Male,Unknown,Unknown,Male,,18
1.0,1.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-004-0008-7,"The European Union: Economic prospects, structural reforms and enlargement",March 2004,Pedro Solbes,,,Male,Unknown,Unknown,Male,,2
1.0,2.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-004-0022-9,"Economic integration, innovation dynamics and growth",December 2004,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,International Economics and Economic Policy,,https://link.springer.com/article/10.1007/s10368-004-0015-8,The dynamics of economic integration: Theory and policy,December 2004,Lucas Bretschger,Thomas M. Steger,,Male,Male,Unknown,Male,,9
