Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,International Journal of Economic Policy Studies,01 October 2006,https://link.springer.com/article/10.1007/BF03405688,Empirical Analysis on General Equilibrium Performance of Agricultural Trade of Sri Lanka Under Adjustment Policy Reform,October 2006,Mitoshi Yamaguchi,M. S. SriGowri Sanker,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,International Journal of Economic Policy Studies,01 October 2006,https://link.springer.com/article/10.1007/BF03405689,Local Content Policy in the Australian Television Industry,October 2006,Elizabeth Manning,,,Female,Unknown,Unknown,Female,,
1.0,1.0,International Journal of Economic Policy Studies,01 October 2006,https://link.springer.com/article/10.1007/BF03405690,Technological Change and older Workers’ Training,October 2006,Elisabetta Magnani,,,Female,Unknown,Unknown,Female,,2
1.0,1.0,International Journal of Economic Policy Studies,01 October 2006,https://link.springer.com/article/10.1007/BF03405691,Competition and Export Performance in Japan,October 2006,Bienvenido S. Cortes,,,Male,Unknown,Unknown,Male,,
1.0,1.0,International Journal of Economic Policy Studies,01 October 2006,https://link.springer.com/article/10.1007/BF03405692,"Trade, Foreign Direct Investment and Spillover Effect: An Empirical Analysis on FDI and Import from G7 to China",October 2006,Mei Ji,,,,Unknown,Unknown,Mix,,
1.0,1.0,International Journal of Economic Policy Studies,01 October 2006,https://link.springer.com/article/10.1007/BF03405693,"Liberalization, the wage Differential, and Capital-Skill Complementarity: A CGE Analysis",October 2006,Hikari Ban,,,Female,Unknown,Unknown,Female,,
1.0,1.0,International Journal of Economic Policy Studies,01 October 2006,https://link.springer.com/article/10.1007/BF03405694,Energy Efficiency for Sustainable Development of small Industry Clusters: What Factors Influence it?,October 2006,N. Nagesha,M. H. Bala Subrahmanya,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,International Journal of Economic Policy Studies,01 January 2007,https://link.springer.com/article/10.1007/BF03405695,The Evolutionary Process of East Asia’s Monetary Integration,January 2007,Inchul Kim,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,International Journal of Economic Policy Studies,01 January 2007,https://link.springer.com/article/10.1007/BF03405696,Regional Effects of Chinese Monetary Policy,January 2007,Bienvenido S. Cortes,Danfeng Kong,,Male,Unknown,Unknown,Male,,8
2.0,1.0,International Journal of Economic Policy Studies,01 January 2007,https://link.springer.com/article/10.1007/BF03405697,Regional Economic Integration and Convergence in Asia,January 2007,Madhusudan Ghosh,,,Unknown,Unknown,Unknown,Unknown,,
