Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0003-8,Classical economists and public debt,March 2007,Lefteris Tsoulfidis,,,Unknown,Unknown,Unknown,Unknown,,
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0004-7,Towards a synthesis of theories of State failure,March 2007,Panagiotis Evangelopoulos,,,Male,Unknown,Unknown,Male,,1
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0005-6,Wage bargaining and vertical differentiation,March 2007,Emanuele Bacchiega,,,Male,Unknown,Unknown,Male,,9
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0007-4,Stability and bifurcations in IS-LM economic models,March 2007,Umberto Neri,Beatrice Venturi,,Male,Female,Unknown,Mix,,
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0006-5,"First-best tax policy, congestion, and imperfect competition",March 2007,Hsiao-wen Hung,,,Unknown,Unknown,Unknown,Unknown,,
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0001-x,Poverty and the Atkinson BI/FRT model: A note,March 2007,Diego Lanzi,Flavio Delbono,,Male,Male,Unknown,Male,,
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0002-9,"Change vs. decline: A comparative analysis of the evolution of TFP in Italian regions, with a particular attention to the case of Turin",March 2007,Francesco Quatraro,,,Male,Unknown,Unknown,Male,,5
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0010-9,"Specialisation, localisation, and trade value in the wake of cross-border production sharing. The Central Eastern European Countries' case",March 2007,Gianfranco De Simone,,,Male,Unknown,Unknown,Male,,
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0011-8,"Growth determinants, intra-distribution mobility, and convergence of state-level agricultural productivity in the USA",March 2007,Panos Fousekis,,,Male,Unknown,Unknown,Male,,2
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0008-3,Effects of trade liberalization on domestic prices: Some evidence from Tunisian manufacturing,March 2007,Ali Saggay,Almas Heshmati,Mohamed Adel Dhif,Male,Male,Male,Male,,2
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0009-2,Corporate governance in family-controlled firms in Taiwan,March 2007,Jenifer Piesse,Igor Filatotchev,Yung-Chih Lien,Female,Male,Unknown,Mix,,
54,1,International Review of Economics,16 August 2007,https://link.springer.com/article/10.1007/s12232-007-0012-7,Errata corrige,March 2007,,,,Unknown,Unknown,Unknown,Unknown,,
54,2,International Review of Economics,17 August 2007,https://link.springer.com/article/10.1007/s12232-007-0014-5,The origin of money: A survey of the contemporary literature,June 2007,Giuseppe Mastromatteo,Luigi Ventura,,Male,Male,Unknown,Male,,
54,2,International Review of Economics,17 August 2007,https://link.springer.com/article/10.1007/s12232-007-0013-6,Anonymity in nonatomic games,June 2007,Lorenzo Rocco,,,Male,Unknown,Unknown,Male,,
54,2,International Review of Economics,17 August 2007,https://link.springer.com/article/10.1007/s12232-007-0016-3,Can PIGLOG preferences identify equivalence scales?,June 2007,Federico Perali,,,Male,Unknown,Unknown,Male,,1
54,2,International Review of Economics,17 August 2007,https://link.springer.com/article/10.1007/s12232-007-0017-2,"Deregulation, consolidation and banks efficiency in Singapore: Evidence from event study window approach and Tobit analysis",June 2007,Fadzlan Sufian,Muhamed-Zulkhibri Abdul Majid,,Unknown,Unknown,Unknown,Unknown,,
54,2,International Review of Economics,17 August 2007,https://link.springer.com/article/10.1007/s12232-007-0015-4,Yield management and perceptions of fairness in the hotel business,June 2007,Aurelio G. Mauri,,,Male,Unknown,Unknown,Male,,37
54,3,International Review of Economics,18 September 2007,https://link.springer.com/article/10.1007/s12232-007-0019-0,Dynamics of technology sharing cartels and industrial structure under a rule of thumb,September 2007,Ahmad Naimzada,Emanuela Randon,,Male,Female,Unknown,Mix,,
54,3,International Review of Economics,05 September 2007,https://link.springer.com/article/10.1007/s12232-007-0018-1,A way to foster innovation: a venture capital district from Silicon Valley and route 128 to Waterloo Region,September 2007,Cinzia Colapinto,,,Female,Unknown,Unknown,Female,"This article presents a case study of close links between universities, firms and government agencies ranging from joint research centres to contract research funded by industry or consultancies. Knowledge and technological change or innovation have become key drivers of economic growth in the knowledge-based economy (KBEFootnote 1): nowadays the national innovative capacity is the ability of a country to produce and commercialize pioneering technology in the long term. The role of innovation and diffusion of new technologies as engines of growth is empirically well established by firm and industry level studies (Nadiri 1993). As a KBE, the US economy is considered a model to imitate, but close linkages among firms, research communities, the financial community and government are also operating in other countries. In Canada, for example, several important regional systems of innovation (RSIs) are used in large cities such as Toronto, Montreal, Vancouver and OttawaFootnote 2 (similar to those in the US). From these we focus on Toronto (Ontario), because it leads the Canadian software industry, and is ranked second in telecommunications and semiconductors (after Ottawa) and in aerospace and biotechnology (after Montreal).  If the European Union (EU) has set the Lisbon 2010 targets,Footnote 3 Canada has set the goal of becoming the fifth highest R&D intensive country by 2010, up from its current position of 15th out of OECD and non-OECD countriesFootnote 4 (Achieving Excellence, Govt. of Canada 2001). Mansfield (1995) linked universities to national innovation performance and found that even if academic researchers do not provide the invention itself, they provide theoretical and empirical findings and new instrumentation essential to new product/process development. For this reason, this paper devotes particular attention to academic research and the university–industry relationship.  This paper has three aims. First, it draws a comparison between Silicon ValleyFootnote 5 and Route 128 and the Region of Waterloo, underlying the theme of intellectual property rights (IPRs). Second, it focuses on the linkage between Venture Capital (VC) and Canadian universities in the Waterloo Region. Third, it discusses some successful examples at the University of Waterloo (UW). We demonstrate that innovation is strongly dependent on exchange and integration of knowledge originating from all the relevant players within a country: firms, scientific communities, the financial community, and government.  In the KBE, development is a critical factor involving the systematic use of knowledge or understanding gained from research to produce useful materials, devices, systems, or methods, including the design and development of prototypes and processes. Innovation is a broader concept than research and development (R&D), although the latter is the starting point for innovation and R&D productivity is a central element of science and technology policies in advanced economies. Theoretically, several new approaches to understanding innovation have emerged including ideas-driven endogenous growth theory (Romer 1990), cluster-based models of national competitive advantage (Porter 1990), and models on national innovation systems (Nelson 1993). Alfred Marshall (1890) noted that the concentration of firms in cities fostered economic growth by facilitating the diffusion of knowledge (knowledge spillover). Porter defines clusters as concentrations of highly specialized skills and knowledge, institutions, competitors, and related businesses in a particular region, and says that “Clusters are a driving force in increasing exports and are magnets for attracting foreign investment”Footnote 6. The reason lies in the fact that in a cluster the whole is greater than the sum of the parts. Breschi and Malerba (2001) argue that a successful factor for high-tech clusters is the extent to which local firms are embedded in a very thick network of knowledge sharing supported by close social interactions. Research funding must be included in any consideration of drivers of successful innovation. In addition to traditional government and in-house corporate funding, VC has become an important source of funds for R&D as well as an important component of the financial system, both in the US and globally (Gompers and Lerner 1999; Lerner and Schoar 2004; Megginson 2004). Its importance to the funding of new high-tech and/or high-growth potential firms is widely acknowledged. The establishment of more than 30 national venture capital associationsFootnote 7 in the past two decades indicates that VC financing has become an important feature of the financial system of many countries. VC represents an alternative to raising funds via public equity or debt markets, especially if uncertainty or simply a long time horizon associated with the investment deter debt providers from funding these endeavours. These occur in high-technology environments, where the commercial potential of innovations is difficult to estimate. Venture capitalists (VCs) become co-owners of the start-up companies and share both risk and returns. The reward to the VC directly depends on the growth and profitability of the start-up firm. Successful investments are mainly executed through trade sales or Initial Public Offerings (IPOs) on the stock market. Frequently in the seed stage, VCs are preceded by business angels,Footnote 8 which organize themselves into angel networks to share research and pool their own investment capital: the Angel Capital Electronic Network (ACE-Net) was developed by the US Small Business Administration Office in 1995; European Business Angels Network (EBAN), a non-profit association, was established with the support of the European Commission in 1999; in Canada the National Angels Organization (NAO), an incorporated not-for-profit organization, was created in 2002, as the point of match of local association with the Angel Forum-Vancouver started in 1997. Many important firms of the last three decades such as 3Com, Compaq, Cisco, Federal Express, Genentech, Intel, Oracle, and Sun Microsystems were first funded by VCs. Venture Capital supports some of the most innovative, dynamic firm clusters in the world: Silicon Valley and Route 128 in the US, Silicon Wadi in Israel,Footnote 9 Cambridge Cluster in UK, Sophia Antipolis (Telecom Valley) and Grenoble (high-tech hub for micro nanotechnologies) in France, Hsinchu Region in Taiwan, Bangalore in India, Tsukuba in Japan. The common model (except for Taiwan where universities focus primarily on teaching rather than research) is based on the presence of universities and linkages among firms and academic centres (see Table 1): local universities with strong competencies in one or more technical areas are often starting points for such clusters. The main academic contribution to the industry is through technology transfer largely through commercialization of research findings and technologies developed by university researchers. Since the 1990s many countries (US, Australia, Canada,...) have implemented policies to facilitate knowledge transfer from university to industry: legal framework, universities’ technology transfer offices, and collaborative R&D. University research laboratories are a source of new technology, entrepreneurial talent and, in the early stages of the life-cycle, ‘untraded interdependencies’ (Storper 1995). In this paper we highlight the positive role of university spin-offs, which are start-up companies whose formation were dependent on the intellectual property rights of the university and in which the university holds an equity stake (Tang et al. 2004).
 The recent Korean project, Jeju Free International City Development Center (JDC) also lends supports to the efficacy of this models. This new self-governing province in Korea will create a High-tech Science and Technology Complex located near Jeju National University to enable companies to secure quality research facilities through industrial and academic cooperation. Additionally, this facility will be enriched by the presence of a well-developed high-tech industry as well as a clean natural environment. By 2011, when the complex is due to be completed, Jeju is expected to become a high-tech and biotech focal point.Footnote 10
",9
54,3,International Review of Economics,18 September 2007,https://link.springer.com/article/10.1007/s12232-007-0022-5,Competitive balance in football leagues when teams have different goals,September 2007,Nicola Giocoli,,,Female,Unknown,Unknown,Female,"The paper presents a simple extension of the basic two- and three-team model of a professional sports league with the aim of capturing a peculiarity of European team sports in general, and of Italian football in particular, which has so far been neglected in the literature. The canonical model, as envisaged, for example by Fort and Quirk (1995) and Szymanski (2003), suggests two possible behavioral assumptions about professional teams: clubs are supposed to maximize either their profits (profit-maximizing, PM, behavior) or the number of seasonal wins (win-maximizing, WM, behavior). What matters most, behavior is assumed to be homogeneous, so that teams are either all PM or all WM: the former being predicated to mirror the reality of US professional leagues, the latter being viewed as better capturing the situation of European team sports. If we define the league’s competitive balance as the deviation from the ideal case where all teams win exactly the same proportion of matches during the season and if we accept the traditional assumption of sports economics literature that each team’s revenues are concave with respect to the team’s win percentage on account of the fans’ diminishing interest, and willingness to pay, for events whose outcome can be easily predicted (so-called uncertainty of outcome hypothesis), the well-known result is that a league’s competitive balance is higher under the all-PM case than under the all-WM one.
Footnote 1 This because rational, profit-oriented teams internalize the negative effect on their revenues of an “excessive” number of wins and thus never fully exploit any technical or athletic advantage that might stem from their financial strength vis-à-vis their weaker opponents; on the contrary, rich WM teams simply try to extract as many wins as possible from such an advantage, eventually winning almost all matches and thus earning so little revenues that they barely manage to break even or, worse, incur in (possibly huge) economic losses that owners are called to stand at the end of each season. What is suggested in the paper is that a more realistic characterization of European professional leagues is that of “mixed” leagues, namely, of an environment where, while some teams still pursue the traditional win-maximizing goal, some others have modified their behavior in the direction of straightforward profit-maximization (so-called Americanization of European sports: see Hoehn and Szymanski 1999). In particular, it is argued that this characterization may capture the recent development in the main Italian football league: the Serie A: where, in the face of the dramatic financial imbalances caused to WM teams by the rising cost of the players’ talent, a few clubs seem to have shifted to a profit-oriented pattern of behavior. Hence, we propose a modified version of the standard model, where one team is PM, while the other(s) is (are) WM. The peculiarity of our simple comparative statics exercise is that the team that is assumed to embrace a profit goal is either the small (in the 2-team setup) or the medium (in the 3-team case) one in terms of revenue potential and market size (which in turn depends on, say, the team’s urban area of reference, the number of its fans, the latter’s ability and willingness to pay, the team’s skills in exploiting its merchandising possibilities, etc.). The rationale is straightforward: starting from an all-WM situation, where the equilibrium competitive balance entails a larger win-percentage for the big team because of its higher capacity to purchase technical–athletic talent, the small or medium team’s owner may reasonably ask herself what is the point of pursuing a sporting goal (say, winning the league’s title) she would never achieve, while at the same time forfeiting the possibility to earn some profits. Hence, there is a strong incentive for the small or medium team to shift to a PM behavior, at the only price of a further—but possibly irrelevant from the end-of-season outcome’s viewpoint—reduction in its win percentage. This, again, seems to capture a feature of the Italian Serie A (Baroncelli and Lago 2006). On one side, we have big teams’ owners who stick to a WM behavior, sometimes in the eventual pursuit of other, non-sporting goals (such as personal prestige and a positive spillover on their other business, or non-business, activities), and thus go on spending large amounts of money in the effort to secure wins, caring not too much about end-of-season financial losses which they are always willing to foot.
Footnote 2 On the other side, we have some medium and small teams’ owners who are well aware that they cannot really compete against the big clubs and who, above all, consider the management of a football club their main, and sometimes exclusive, business: these owners are led to adopt a PM behavior with the only constraint (not modeled here, but see Giocoli 2006) of not incurring in so many losses that their team risks being relegated in the league’s lower division. The outcome of our “mixed” model is a change in the league’s competitive balance with respect to both the “pure” (WM and PM) cases. In short, starting from an all-WM league and having the small or the medium team shifting to PM behavior should produce an increase in the win percentage of all the other teams on account of the reduction in the number of wins of the changing one. In the 2-team case this leads to an obvious worsening of the league’s CB, while in the 3-team setup, provided the behavioral shift is made by the medium club, we witness a softening of the competition for the top places and a hardening of the struggle to avoid the bottom positions. In the case of the Italian Serie A, these outcomes seem indeed to capture what emerges from casual observations (such as, say, the high frequency with which a few teams occupy the league’s top spots to the almost complete exclusion of the others) as well as from more systematic ones (such as the time pattern of the commonest measure of competitive balance, the standard deviation of seasonal wins).
Footnote 3
 If this is so, what may be done to restore more balanced conditions on the playing field? The paper suggests three policy measures that may lead to this result: (1) market-size-based revenue sharing, (2) general salary cap, (3) team-specific salary cap. Remarkably, all are shown to be potentially effective in promoting conditions of more competitive balance in our “mixed” league. This goes against the traditional wisdom that, with the only exception of a general salary cap, no such measure may be capable of doing so (so-called invariance proposition, a cornerstone of team sports economics since Rottenberg 1956). Hence, the paper offers a normative, though idiosyncratic, justification for a change in the “rules of the game” of the top Italian football league. Moreover, it is suggested that, though all effective, the three measures may nonetheless be ranked in terms of either their actual enforceability or their conformity to the main principle of asymmetric paternalism (Camerer et al. 2003). The content of the paper is as follows. In the next section, we review the basic ingredients of the standard team sports economics model. The so-called invariance proposition, the traditional benchmark for any policy evaluation is introduced in Sect. 3. The 2-team model in its two “pure” versions, namely, when teams are either both WM or both PM, is analyzed in Sect. 4. The fifth section presents the “mixed” model, where one of the teams—specifically, the small one—changes its behavior from WM to PM. In Sect. 6, we extend the analysis of the “mixed” case to the 3-team setup, this time assuming that the behavioral shift is made by the medium club. The seventh section offers our policy exercises in the 2-team case, as well as a ranking of the proposed measures. Section 8 concludes.",1
