Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00874086,When are origin and destination regimes equivalent?,February 1994,Ben Lockwood,David De Meza,Gareth D. Myles,Male,Male,Male,Male,,37
1.0,1.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00874087,Analyzing the standard deduction as a presumptive tax,February 1994,Joel Slemrod,Shlomo Yitzhaki,,Male,Male,Unknown,Male,,10
1.0,1.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00874088,Efficiency and equity consequences of decentralized government: An application to Spain,February 1994,Timothy J. Goodspeed,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00874089,From the global income tax to the dual income tax: Recent tax reforms in the Nordic countries,February 1994,Peter Birch Sørensen,,,Male,Unknown,Unknown,Male,,106
1.0,1.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00874090,The incentive to locate a multinational firm: The effect of tax reforms in the United Kingdom,February 1994,Chris Higson,Jamie Elliott,,,,Unknown,Mix,,
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872491,Time inconsistency as a rationale for public unemployment insurance,October 1994,Robin Boadway,Nicolas Marceau,,,Male,Unknown,Mix,,
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872492,Capital taxation and accumulation in a growing world economy with deficit finance,October 1994,Shuanglin Lin,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872493,Reforming public finances in economies in transition,October 1994,Vito Tanzi,,,Male,Unknown,Unknown,Male,,2
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872494,Introduction,October 1994,Richard M. Bird,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872495,The current state and future directions of public finance,October 1994,Pierre Pestieau,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872496,The longer view,October 1994,Richard A. Musgrave,,,Male,Unknown,Unknown,Male,,
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872497,Public economics: Where are we now?,October 1994,Geoffrey Brennan,,,Male,Unknown,Unknown,Male,,
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872498,Three challenges for public finance,October 1994,Joel Slemrod,,,Male,Unknown,Unknown,Male,,
1.0,2.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00872499,Three approaches to public economics,October 1994,Timothy Besley,,,Male,Unknown,Unknown,Male,,
1.0,3.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00873838,Taxation of foreign multinationals: A sequential bargaining approach to tax holidays,October 1994,Chris Doyle,Sweder Van Wijnbergen,,,Male,Unknown,Mix,,
1.0,3.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00873839,Taxes and production: The case of Pakistan,October 1994,Jeffrey I. Bernstein,Anwar Shah,,Male,Male,Unknown,Male,,2
1.0,3.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00873840,Destination- and origin-based taxation under international capital mobility,October 1994,A. Lans Bovenberg,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00873841,International interest withholding taxation: Prospects for a common European policy,October 1994,Harry Huizinga,,,Male,Unknown,Unknown,Male,,10
2.0,1.0,International Tax and Public Finance,,https://link.springer.com/article/10.1007/BF00873104,Introduction,February 1995,Michael Keen,,,Male,Unknown,Unknown,Male,,
