Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010099821123,The emerging discipline of bioeconomics: aims and scope of the Journal of Bioeconomics,January 1999,Janet Tai Landa,Michael T. Ghiselin,,Female,Male,Unknown,Mix,,
1.0,1.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010001905194,Some personal reflections on the history of Bioeconomics,January 1999,Gordon Tullock,,,Male,Unknown,Unknown,Male,,8
1.0,1.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010054006102,Bioeconomics as economics from a Darwinian perspective,January 1999,Ulrich Witt,,,Male,Unknown,Unknown,Male,,54
1.0,1.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010058122941,Progress and the economy of nature,January 1999,Michael T. Ghiselin,,,Male,Unknown,Unknown,Male,,11
1.0,1.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010010223849,Does mother nature punish rotten kids?,January 1999,Carl T. Bergstrom,Theodore C. Bergstrom,,Male,Male,Unknown,Male,,14
1.0,1.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010014324758,There are many evolutionary pathways to cooperation,January 1999,Jack Hirshleifer,,,Male,Unknown,Unknown,Male,,30
1.0,1.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010018409737,Bioeconomics of some nonhuman and human societies: new institutional economics approach,January 1999,Janet T. Landa,,,Female,Unknown,Unknown,Female,,10
1.0,1.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010074526575,"Book review: Elliott Sober & David Sloan Wilson. 1998. Unto others: The evolution and psychology of unselfish behavior. Harvard University Press, Cambridge, 1998. x+394 pp., $29.95",January 1999,Paul H. Rubin,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010026613577,Being and Time: On the Nature and the Evolution of Institutions,November 1999,Adam Gifford Jr.,,,Male,Unknown,Unknown,Male,,12
1.0,2.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010034830415,"Biology, Diseases, and Economics: An Epidemiological History of Slavery in the American South",November 1999,Philip R.P. Coelho,Robert A. McGuire,,Male,Male,Unknown,Male,,8
1.0,2.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010086814485,Knowledge-independent Invariance Rules for Copula Duration in Dungflies,November 1999,Eric L. Charnov,Geoffrey A. Parker,,Male,Male,Unknown,Male,,2
1.0,2.0,Journal of Bioeconomics,,https://link.springer.com/article/10.1023/A:1010039031324,The Bioeconomics of Marine Sanctuaries,November 1999,Jon M. Conrad,,,Male,Unknown,Unknown,Male,,70
