Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
13,1,Journal of Business Cycle Research,10 March 2017,https://link.springer.com/article/10.1007/s41549-017-0012-y,"Interregional Trade, Specialization, and the Business Cycle: Policy Implications for the EMU",May 2017,Carlo Gianelle,Letizia Montinari,Simone Salotti,Male,Female,Female,Mix,,
13,1,Journal of Business Cycle Research,20 April 2017,https://link.springer.com/article/10.1007/s41549-017-0013-x,Are Microstates Necessarily Led by Their Bigger Neighbors’ Business Cycle? The Case of Liechtenstein and Switzerland,May 2017,Andreas Brunhart,,,Male,Unknown,Unknown,Male,"Liechtenstein with its 38,000 inhabitants represents a truly special case, especially when it comes to growth and business cycle issues, not only because of its remarkable economic growth history but also due to many special characteristics: It is a microstate with a very small open economy and not only with an important financial sector, but also with a large industrial sector accounting for about 40% of the total economy’s gross value added and employment. Additionally, as a very small nation, it exhibits a considerably high degree of international trade. From ex-ante considerations, the microstate Liechtenstein is not expected to have a business cycle lead to its neighboring countries, since small states are regarded as “importers” of the business cycles from bigger neighboring countries. But, if one considers the stylized facts that small countries are more volatile and feature a higher responsiveness to international economic fluctuations than bigger nations (e.g. Easterly and Kraay 2000; Thorhallsson 2010, p. 200; Brunhart 2013, pp. 16–17 and 23–24), then it could also be the case that they not only react more sensitively but also earlier.Footnote 1 This could imply a business cycle lead of the microstate Liechtenstein to its bigger neighbor Switzerland, with which it shares the strongest economic connections.Footnote 2 To examine (for the first timeFootnote 3) whether Liechtenstein’s business cycle features a different timing—namely if there is a potential time lag or lead in comparison to international fluctuations –, this paper includes the surrounding countries Switzerland, Austria, and Germany and other important trade partners such as Italy, France, and the US. Doing so, the timing of their business cycles, measured by both real GDP growth and output gap (annual data from 1972 onwards), are explored and potential statistically significant lags or leads between them targeted. Indeed, a statistically robust one year lead of Liechtenstein to Switzerland can be identified. This result provides an opposite understanding of the business cycle link between microstates and their “patron” nations, altering the traditional conception of small countries as business cycle takers and big nations as business cycle givers in terms of causal links (Graff 2006, p. 386). There is a huge body of international literature on the development of synchronicity of business cycles between countries over time and the respective determinants, such as globalization, economic and financial integration (e.g. Berge 2012; Tondl and Traistaru-Siedschlag 2006) or the introduction of the Euro (e.g. Gogas 2013).Footnote 4 Also, a lot of contributions on size and volatility of nations exist and even more are devoted to detecting variables or composite indexes that can be utilized as leading indicators for the same economy’s business cycle. In this paper, not the change of business cycles’ synchronicity over time or its determinants are analyzed, but the entire focus lies on the timing of the cycles’ phases instead, namely if there is a lag or a lead in the synchronous movement. Especially relevant for the analysis here is the Swiss business cycle. Graff (2006) explores the business cycle synchronicity as well as leads and lags between 26 countries using annual data on the capacity utilization from 1970 to 2000. He concludes that Switzerland exhibits rather lagging tendencies. As outlined in Graff (2011), Switzerland features a lagging pattern compared to at least some of the countries when cross correlations of the quarterly output gaps in an unbalanced panel of 40 countries from 1960 to 2011 are inspected. But according to the author, the evidence seems to be rather weak, also when economic interpretation is considered. Also Layton et al. (2015) find a Swiss lag (of three months) to the world business cycle. Indergand et al. (2013), applying a SUR-VAR model and quarterly data from 1992 to 2013, conclude that the Swiss economy fluctuates in unison with the international cycle and does not lag the international economy. Müller and Woitek (2012, pp. 130–174) examine the Swiss business cycle’s international connection on the base of annual GDP data from 1960 to 2000, but do not investigate the possibility of time differences in the countries’ phases. All the studies on the Swiss business cycle’s international relations mentioned in this paragraph do not include Liechtenstein into their data set, which is now done in this paper. Related studies on the other countries examined in this paper are manifold. Especially the business cycle connection between Germany and Austria has attracted scientific attention.Footnote 5 Prettner and Kunst (2012) reveal large effects on Austria caused by shocks to the German economy, while the transmission is weak for the other direction. Cheung and Westermann (1999) find that Germany’s monthly industrial production is leading Austria’s. Fenz and Schneider (2006) on the other hand argue that Germany’s economy was leading Austria’s in the 1970s by one quarter, but Austria has been leading by one quarter more recently.Footnote 6
 The structure of the paper is as follows: Sect. 2 deals with descriptive statistics (especially cross correlations) and explorative visual impressions. Section 3 covers the explanation of the methodology and the regression results and their interpretation with a special focus on Liechtenstein’s lead to Switzerland, while possible reasons for this lead are discussed in Sect. 4. Section 5 consists of conclusions, additional methodological remarks and future research questions arising from this paper.",
13,1,Journal of Business Cycle Research,08 April 2017,https://link.springer.com/article/10.1007/s41549-017-0014-9,Dating Cyclical Turning Points for Russia: Formal Methods and Informal Choices,May 2017,Sergey V. Smirnov,Nikolay V. Kondrashov,Anna V. Petronevich,Male,Male,Female,Mix,,
13,1,Journal of Business Cycle Research,11 April 2017,https://link.springer.com/article/10.1007/s41549-017-0015-8,The Predictive Content of Business Survey Indicators: Evidence from SIGE,May 2017,Tatiana Cesaroni,Stefano Iezzi,,Female,Male,Unknown,Mix,,
13,1,Journal of Business Cycle Research,18 May 2017,https://link.springer.com/article/10.1007/s41549-017-0016-7,Quasi-Real-Time Data of the Economic Tendency Survey,May 2017,Maria Billstam,Kristina Frändén,Pär Österholm,Female,Female,Male,Mix,,
13,2,Journal of Business Cycle Research,05 September 2017,https://link.springer.com/article/10.1007/s41549-017-0017-6,How Informative are Aggregated Inflation Expectations? Evidence from the ECB Survey of Professional Forecasters,November 2017,Sami Oinonen,Maritta Paloviita,,Male,Female,Unknown,Mix,,
13,2,Journal of Business Cycle Research,01 November 2017,https://link.springer.com/article/10.1007/s41549-017-0018-5,"Stylized Facts of the Business Cycle: Universal Phenomenon, or Institutionally Determined?",November 2017,Vadim Kufenko,Niels Geiger,,Male,Male,Unknown,Male,"Research on business cycles has a long and eclectic history concerning both theory and empirical work. If any consensus on the subject is to be pointed out, it is in the conclusion that the business cycle is a phenomenon related to, and appearing in association with, a multitude of movements in various economic variables. Nonetheless, there are apparent regularities which are noted in empirical work: Similar to Kaldor’s (1957) famous “stylized facts” of growth, i.e. the long-term trend movement of an economy, there are several “stylized facts” of “movements about trend in gross national product” (Lucas 1977, p. 9). These observations build on a long tradition in empirical business cycle research, often dating back to the seminal work of Wesley C. Mitchell and others. Much of the empirical work was originally focused on a few economies, particularly the United States, and even today still frequently revolves around U.S. trends. However, research on cross-country comparisons highlights important differences in the particular macroeconomic relations. Given the evidence of such differences, the question of what determines the precise shapes of business cycles arises. This paper investigates the universality of business cycle characteristics in a sample of OECD countries for the 1960–2016 period and attempts to provide a statistical and theoretical explanation of international differences by referring to institutional factors. Section 2 provides some theoretical background and puts the present research in context of related literature. Section 3 then presents both a descriptive overview and a more extensive statistical analysis of business cycle characteristics among the country sample. In a next step, observed international differences are associated with measures of countries’ institutional setups. The results are then discussed theoretically in Sect. 4, before the last section concludes with a summary of the results and an outlook pointing at further research.",1
13,2,Journal of Business Cycle Research,04 November 2017,https://link.springer.com/article/10.1007/s41549-017-0019-4,Q-Targeting in New Keynesian Models,November 2017,Burkhard Heer,Alfred Maußner,Halvor Ruf,Male,Male,Male,Male,"The financial crisis of 2007 has triggered renewed interest into a debate which started in the late 1990s: should central banks target asset prices? Bernanke and Gertler (1999, 2001) were among the first to ask how central bankers should react to asset price volatility. They argue that there is no need for concern, if asset price movements reflect changes in economic fundamentals. However, if asset prices were driven by non-fundamental factors, their influence could be destabilizing. They consider a bursting asset price bubble in a version of the model developed in Bernanke et al. (1999) and show that asset price targeting may even destabilize the economy. The more recent literature has contributed additional arguments in favor of or against asset price targeting. Gilchrist and Saito (2008) introduce imperfect information about the nature of technology shocks into the model of Bernanke et al. (1999) and employ a loss function with the variance of inflation and the variance of the output gap as arguments to assess monetary policy. A temporary positive shock to total factor productivity being partly considered as longer-lived impacts on inflation and the output gap via two distortions: the mark-up of prices on marginal costs and the financial accelerator. If the central bank reacts to inflation only, its impact on the fluctuations of output is limited as compared to a rule that changes the nominal interest rate also in response to the deviation of asset prices from their level in the frictionless economy. Christiano et al. (2010) study news driven cycles in a medium scale New Keynesian model with price and wage stickiness and the financial accelerator of Bernanke et al. (1999). News about a future improvement of factor productivity lowers expected marginal costs and reduces inflation. If the central bank responds by lowering the nominal interest it fuels an unwarranted boom. In order to moderate the effects of this kind of shock, the central bank should respond to the increased credit demand of borrowers and raise the nominal interest rate. Carlstrom and Fuerst (2007) argue that asset price targeting may increase the parameter region within which the rational expectations equilibrium is not unique so that sunspot equilibria arise. Machado (2012) considers learning in the model of Carlstrom and Fuerst (2007) and shows that asset price targeting may hamper the convergence to the rational expectations equilibrium. While these papers focus on particular effects of asset price targeting, Faia and Monacelli (2007) adopt a welfare economics approach. They rank different Taylor rules with and without an indicator of asset price movements according to the associated expected life-time utility of the representative agent. Their framework is the financial accelerator model of Carlstrom and Fuerst (1997) amended with quadratic costs of price adjustment. The interaction between the nominal friction and the financial friction requires a negative response of the nominal interest rate set by the central bank and the relative price of capital. Moreover, the welfare gains of targeting the price of capital in addition to inflation are very small as compared to a strict anti-inflation policy. In this paper, we also consider the desirability of asset price targeting with respect to its effect on the welfare of the representative household. Our study is most closely related to Faia and Monacelli (2007). With regard to the methodology, we employ the approach pioneered by Schmitt-Grohé and Uribe (2005, 2007) and compute the welfare effects of an extended Taylor rule relative to a simple Taylor rule that just reacts to the deviation of inflation from the central bank’s target. As Schmitt-Grohé and Uribe (2005, 2007) we disregard rules that i) lead to indeterminacy and ii) may hurt the zero lower bound. As Faia and Monacelli (2007) we consider Taylor rules with four arguments: the one period lagged nominal interest rate, the deviation of inflation from target inflation, the deviation of output from its steady state level, and the relative price of capital goods as an indicator of asset prices. In the parlance of Schmitt-Grohé and Uribe (2005, 2007) this rule is implementable, since the central bank reacts to observable variables only. Different from Faia and Monacelli (2007), we consider i) both additively separable and non-separable preferences and ii) a richer structure of shocks as a reduced form of capturing market incompleteness and saving behavior in presence of possible severe economic downturns as described in the Gourio (2012) disaster framework. In addition, iii) we merge adjustment costs of capital and financial frictions so that our model is closer in spirit to Bernanke et al. (1999). The financial friction which we consider follows Carlstrom and Fuerst (1998). They assume that the producers of goods must pay their factors of production in advance. The credit contract imposes liquidation costs that the producers pass on to the suppliers of factor services via an (inverse) mark-up on factor costs. The credit costs decrease with increasing net wealth of the producers. The net wealth, in turn, raises with the price of capital, i.e., Tobin’s q. Therefore, the inclusion of asset prices in the central bank’s decision rule has the potential to improve monetary policy.Footnote 1
 The paper is structured as follows. In the next section, we introduce a first model with the usual shock to total factor productivity and a government spending shock. The model features two nominal frictions (price and wage staggering as in Calvo (1983)) and a financial friction in the production of primary goods as proposed by Carlstrom and Fuerst (1998). Section 3 presents the calibration of the model. In Sect. 4, we present our results. Section 5 studies the robustness of these results with respect to the specification of the household’s preferences and with respect to the interaction of supply and demand shocks. The main conclusion of Faia and Monacelli (2007) remains intact in all our setups: the welfare gain of targeting the relative price of capital are negligible. Section 6 concludes.",2
13,2,Journal of Business Cycle Research,01 November 2017,https://link.springer.com/article/10.1007/s41549-017-0020-y,Sentiment and Uncertainty Fluctuations and Their Effects on the Euro Area Business Cycle,November 2017,Bas van Aarle,Cindy Moons,,Male,Female,Unknown,Mix,,
14,1,Journal of Business Cycle Research,29 January 2018,https://link.springer.com/article/10.1007/s41549-017-0022-9,Nowcasting Real Economic Activity in the Euro Area: Assessing the Impact of Qualitative Surveys,April 2018,Raïsa Basselier,David de Antonio Liedo,Geert Langenus,Unknown,Male,Male,Male,"In the field of economics, the term nowcasting generally refers to methods for monitoring the current state of the economy and developments in the short term, and it has become increasingly popular since the work by Evans (2005) and Giannone et al. (2008). Real-time estimates of economic growth are particularly relevant for both policy makers and market participants, as official national accounts data only come with a substantial delay. For instance, Eurostat releases the gross domestic product (GDP) ‘flash’ figure for the aggregate euro area only with an approximate delay of 45 days.Footnote 1 Also for individual euro area countries, flash estimates for GDP growth are published with a lag of at least one month. However, there is a wide range of higher-frequency variables containing either ‘hard’ or ‘soft’ information, that is being released at an earlier stage and journalists, analysts and financial market participants can already form their expectations on the basis of this dataflow. In this context, market participants and observers will continuously react to data releases in function of whether those are above or below their expectations, also depending on the perceived quality of the underlying data. The approach presented in this paper to formalise this behaviour will enable conclusions to be drawn about the relevance of every data release. As stressed by Bańbura and Rünstler (2011), the practice of nowcasting goes beyond the simple production of an early estimate and also requires an assessment of the impact of new data on forecasting updates over the time horizon. This paper aims to do so by converting the heterogeneous dataflow that enters the forecaster’s information set into a newsflow that can 
be interpreted and, most importantly, quantified. The news is defined as the difference between the released values and the predictions of a mixed-frequencies dynamic factor model (DFM). Models of this sort are successful at capturing the business cycle comovements in terms of few underlying factors and have been applied for many countries.Footnote 2 The analysis of contributions will be obtained in function of the Kalman filter gain, which translates news into forecasting updates. From a methodological point of view, however, our proposal is not restricted to DFMs, but it simply requires a fully specified dynamic system that can be written in state-space form. Hence, linking news and forecasting updates is impossible in the context of partial models such as bridge equations, MIDAS regressions and univariate models in general, which remain widely used in nowcasting applications. The incremental contributions of the news resulting from our empirical results then allow us to create a ranking for the multiple press releases. Such a ranking, which is determined by both the model parameters and the schedule for data releases, could provide a powerful tool for analysts and observers that are keeping track of the newsflow on a regular basis. The ranking would allow them to filter the huge amount of incoming information and mainly focus on the most important indicators. From a more formal point of view, we will investigate whether such a ranking could be used as a variable selection criterion. Modelling news and calculating the impact on forecasting revisions requires dealing with two key characteristics of real-time data. First, the dataset typically has a ragged edge, as potential predictors are released with different lags. Hence, any assessment of the contribution of a given predictor to GDP nowcasts will have to take into account the real-time data availability, as determined by the actual data release schedule. Second, data series are often revised: the current value may deviate from the first release, while the latter is used for nowcasts in real time. Hence, those first-release data should be taken into account when evaluating the importance of a given predictor. While addressing the first issue has become standard practice in nowcasting applications—e.g. in Giannone et al. (2008), Angelini et al. (2011) and Gayer et al. (2015)—, the presence of data revisions is often ignored and current values are used for the analysis. This is usually referred to as a pseudo real-time approach. To the best of our knowledge, we are the first to exploit information from a genuine real-time dataset of time series covering 15 years, constructed on the basis of original press releases. The use of first-release data is in our view necessary to quantify the precise impact of the various indicators in an actual nowcasting context. Our investigation of the role of qualitative surveys data when forecasting macroeconomic variables provides specific weights to all indicators included in the analysis. Thus, our work is connected to the results by Abberger (2007), Claveria et al. (2007), Giannone et al. (2009), Lui et al. (2011), Martinsen et al. (2014), Piette and Langenus (2014), de Antonio Liedo (2015) and Gayer et al. (2015), to name a few. However, we are the first ones to quantify a direct measure of surveys’ informative content. Gayer et al. (2015), for example, provide an indirect assessment of the usefulness of a whole block of survey data by quantifying the forecasting accuracy losses resulting from a model without this block. In turn, we use a unique model to determine the exact contribution of each individual predictor in the forecasts. Going beyond the precise quantification of each indicator’s contribution on the forecast, this paper also explores whether the incremental impacts defining our ranking could be used as a variable selection criterion, as Rünstler (2016) proposes in his alternative analysis of contributions. Interestingly, we find that the dynamic factor model containing only the highest-ranked indicators produces less accurate forecasts than the benchmark model. Hence, we argue that relying on a limited set of indicators may prove to be somewhat less beneficial in the real-time environment, as opposed to the conclusion reached by Rünstler (2016), who exploits the bridging with factors framework popularised by Giannone et al. (2008). Finally, we show that our workhorse dynamic factor model based on both hard and soft data produces euro area growth nowcasts that improve over time in function of the news distilled by the model. Those forecasting updates are not significantly different from the ones produced by the market. This implies that the parametric assumptions incorporated in our news-reading machinery are not at odds with reality, and our results can indeed be used as a measure of the relative importance of the various indicators. The paper is structured as follows. Section 2 describes in detail the real-time dataflow that is relevant for monitoring the business cycle in the euro area, and defines the standard impact concept that will be used to rank the different indicators. Section 3 presents the model, i.e. a dynamic factor model that is flexible enough to account for a substantial proportion of the dynamic interactions between all indicators. It is shown that the nowcasts provided by this model perform well in terms of forecasting accuracy, also relative to well-known benchmarks in the field. Section 4 discusses the standard impact on the euro area GDP nowcasts that result from this model. Those results allow us to construct our ranking for the data releases. Section 4 also shows the outcome of different counterfactual scenarios. These counterfactual exercises make it possible to disentangle the part of the impact that comes from the timeliness of the indicator, from the part that is driven by its quality. Section 5 investigates whether our ranking can serve as a tool for selecting variables, as suggested by Rünstler’s (2016) analysis. The last section concludes. The results presented in this paper can be easily reproduced and extended by installing a nowcasting plug-in into the JDemetra+ software, which was developed at the National Bank of Belgium.Footnote 3",8
