Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479720,A comment,June 1977,Bill Hendon,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479721,"Notes on goods, services, and cultural economics",June 1977,Kenneth E. Boulding,,,Male,Unknown,Unknown,Male,,6
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479722,Consumption efficiency and spectator attendance,June 1977,Steven Globerman,Sam H. Book,,Male,,Unknown,Mix,,
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479723,The florentine and sienese renaissance: A monopsonistic explanation,June 1977,Virginia Lee Owen,,,Female,Unknown,Unknown,Female,,4
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479724,Comment on “the florentine and sienese renaissance: A monopsony explanation”,June 1977,Roger A. McCain,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479725,Art museums and the distribution of income semi—empirical foundations for impact analysis,June 1977,C. Richard Waits,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479726,The economic exploitation of the visual artist,June 1977,Jack W. Nickson Jr.,Carl M. Colonna,,Male,Male,Unknown,Male,,6
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479727,Some economic effects of artist's follow-up rights,June 1977,John Picard Stein,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479728,The use of subsidies in the production of cultural services,June 1977,Roger J. Vaughan,,,Male,Unknown,Unknown,Male,,2
1.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02427545,Can changing consumer's tastes save resources?,December 1977,Tibor Scitovsky,,,Male,Unknown,Unknown,Male,,6
1.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02427546,Social and cultural issues in poverty models,December 1977,Arthur M. Ford,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02427547,"An exploration of some of the causes of a developing painters' colony in Fort Worth, Texas",December 1977,Floyd Durham,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02427548,Traditional Japanese religion and the notion of economic man,December 1977,Tetsunori Koizumi,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02427549,The artist as a source of economic understanding,December 1977,Douglas L. Heerema,,,Male,Unknown,Unknown,Male,,2
2.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479729,Why are covent garden seat prices so high?,June 1978,Mark Blaug,,,Male,Unknown,Unknown,Male,,7
2.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479730,Microeconomics of the art market,June 1978,Leslie Singer,,,,Unknown,Unknown,Mix,,
2.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479731,The economics of the creative arts: The case of the composer,June 1978,Marianne Victorius Felton,,,Female,Unknown,Unknown,Female,,15
2.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479732,The income of visual artists in New Orleans,June 1978,James J. McLain,,,Male,Unknown,Unknown,Male,,4
2.0,1.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF02479733,The subsidized muse: Public support for the arts in the United states,June 1978,James L. Shanahan,,,Male,Unknown,Unknown,Male,,
2.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF00247850,Preserving the past: An international economic dilemma,December 1978,Alan Peacock,,,Male,Unknown,Unknown,Male,,18
2.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF00247851,The consumption of music: Integrating aesthetics and economics,December 1978,James L. Shanahan,,,Male,Unknown,Unknown,Male,,8
2.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF00247852,Price awareness in the performing arts,December 1978,Steven Globerman,,,Male,Unknown,Unknown,Male,,5
2.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF00247853,Economic aspects of historic preservation,December 1978,Rosemary D. Hale,,,Female,Unknown,Unknown,Female,,4
2.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF00247854,McCain on Florentine vs. Sienese renaissance: A response,December 1978,Virginia Lee Owen,,,Female,Unknown,Unknown,Female,,
2.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF00247855,Museums — The heart of the town — Aesthetic pulse of the people of epitome of economic inefficiency?,December 1978,Henry Marshall Booker,,,Male,Unknown,Unknown,Male,,
2.0,2.0,Journal of Cultural Economics,,https://link.springer.com/article/10.1007/BF00247856,The “Opera de Paris” and technical progress,December 1978,Dominique LeRoy,,,,Unknown,Unknown,Mix,,
