Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Economic Structures,12 December 2012,https://link.springer.com/article/10.1186/2193-2409-1-9,Accounting for Changes in Automobile Gasoline Consumption in Japan: 2000–2007,December 2012,Shigemi Kagawa,Yuriko Goto,Yuki Kudoh,,Female,,Mix,,
1.0,1.0,Journal of Economic Structures,03 December 2012,https://link.springer.com/article/10.1186/2193-2409-1-8,Observing evidence of insider trading in the Athens Stock Exchange,December 2012,Eleftherios Thalassinos,Dimitrios Maditinos,Athanasios Paschalidis,Male,Male,Male,Male,"Information about publicly traded securities which is not publicly available and has a substantial impact on the value of traded securities is referred to as ‘inside information.’ People having access to such privileged information are referred to as ‘insiders.’ Executives, managers, lawyers, accountants andemployees usually fall into this category of ‘primary insiders’ (IOSCO [2003], p. 7). Additionally, ‘secondary insiders’ (IOSCO [2003], p. 9) who acquire access to such privileged information accidentally or involuntarily may also fall into this category (Minenna [2003], p. 65). Transactions performed by insiders taking advantage of privileged inside information are referred to as ‘insider trading’ (Jaffe [1974]). In Greece, Law 3340/2005, which was established in compliance with the EU Directive 2003/6/EC, provides the legal framework against ‘market abuse’ caused by exploitation of ‘privileged information.’ Additionally, Ruling No. 3/347/12.7.2005 of the Hellenic Capital Market Commission dictates disclosure requirements of privileged information, lists of persons having access to privileged information and transaction details disclosure requirements. Such transactions should not be related to privileged information. However, the broad literature reveals that the potential profit from exploiting privileged information is far too great temptation to be measured easily with laws and regulations. During the 1980s, an increased effort was undertaken by the US authorities to restrict insider trading. Seyhun ([1992]) demonstrated that the enforcement of regulations did not have any impact on insider trading, not even momentarily when a new regulation was imposed (p. 171). Consistently with these results, Seyhun and Bradley ([1997], p. 211) find that insider trading takes places even after a company files for bankruptcy when someone would expect that such transactions would be scrutinized. However, there was a decrease in insider trading observed, just before earnings announcements and takeover announcements, presumably because both of these announcements had been at the epicenter of numerous court cases (Seyhun [1992], pp. 171–175). Legislators, regulators and market participants have set the conceptual boundaries of insider trading. However, when it comes to enforcing laws and regulations, the boundaries are often blurred. For instance, when a member of the board performs a transaction, declares it to the stock market authorities and after some time realizes profits based on privileged information, it is often very hard to prove intentional exploitation of inside information. Insiders often disguise their transactions by trading at apparently unrelated moments or even through proxies. In effect, most studies documenting the various aspects of insider trading are based on officially reported transactions. Moreover, reported transactions are analyzed in regard to some standard sets of information, like earnings announcements, changes in dividends, mergers, acquisitions or even fraud (e.g. Ke et al. [2003]; Seyhun and Bradley [1997]). There are though important pieces of information that may well have an impact on the value of a firm, like the hiring of a key employee, for instance, or a business agreement, but pass unnoticed. While it is evident that insiders can be all those who perform their transactions based on privileged information, research is mainly based on reported transactions. Insider trading is first of all a company-specific activity that eventually, through its extensive presence, turns into a market-wide phenomenon. So, this study aims at proposing a process and an environment suitable for observing severally stock performance that might be attributed to insider trading. The research approach that has been followed so far, to the extent it was able to be reviewed, is the selection of a specific type of event, like an increased dividends announcement or a merger announcement. Such an approach may be suitable when the effects of insider trading are studied on an aggregate basis. In a firm-specific examination, though, such an approach would probably narrow the scope of research by limiting the examined cases and by completely disregarding unannounced events or firm-specific events. As a result, this study’s objective is to construct the proposed environment around a process that can identify informationally significant events which thereafter may be used as the focal points for insider trading activity examination. The ground for the present study is the Athens Stock Exchange (ASE) while it is carried out by utilizing previous research, publicly available sources of information and information technology.",1
1.0,1.0,Journal of Economic Structures,05 September 2012,https://link.springer.com/article/10.1186/2193-2409-1-7,Recycling of waste and downgrading of secondary resources in a classical type of production model,December 2012,Eiji B Hosoda,,,Male,Unknown,Unknown,Male,"Piero Sraffa’s Production of Commodities by Means of Commodities ([1960]) gives us a powerful analytical tool to explore the reproducible nature of a capitalist economy. Thanks to his contribution, complicated phenomena such as capital reversal, re-switching of production technique and so on are illuminated. His method has a wide range of applicability, and environmental issues are no exception to the analytical target, although it has not been pursued at length in the Sraffian framework. The purpose of this paper is to apply the method to the analysis of a waste management and recycling problem, which is one of the most important environmental issues. I demonstrate how the choice of technique between waste disposal and recycling affects the natural price formation of an economy, and how waste and secondary material become commodities (goods) or discommodities (bads) depending upon circumstances. I also show that the choice of technique in a market economy leads to the maximisation of per capita consumption as in the conventional model of a growing economy, if the profit rate equals the growth rate. Thus, it is shown that the golden rule of accumulation holds in this extended model. Furthermore, it is demonstrated that per capita consumption does not necessarily decrease as the growth rate increases. This is an anomaly which cannot be found in the economy where discommodities (bads) are not considered. Although I have mentioned that the Sraffian method is not utilised sufficiently for studying environmental problems, I do not necessarily mean that there has been no contribution made by the method to the field of environmental analysis. On the contrary, quite a few researchers have contributed to this field insofar as a pure theoretical feature is concerned. Let us briefly refer to some of their works which are directly related to the present paper. To the best of my knowledge, Franke ([1986]) is one of the first researchers who applied a Sraffian type of model to an environmental problem, although his model is so abstract that his work may not be regarded as being located in the stream of environmental economics. Yet, he abandons the free-disposal assumption and introduces a costly-disposal process in his paper. Apparently, this means that economic residuals, whether they be waste water, harmful gases, garbage or whatever, must be treated by a disposal process, and thus that he handles an environmental problem at an abstract level. England ([1986]) also extends a Sraffian type of model on a rather earlier stage of the research history in order to present a basic model for analysing environmental problems such as air pollution, waste discharge and so on, although his treatment of the problems is very abstract, too. Using a very simple model, he shows how regulation on the emission of economic residuals affects the distribution of income, and how this type of model can be widely applicable to environmental problems. Lager ([2001]) also tackles the costly-disposal problem in a more general framework. Elegantly using a linear complementarity theory, he shows that there exists a long-run equilibrium in a classical economics sense even if free disposal is restricted. A quite interesting aspect of his paper is that a distinction between commodities (goods) and discommodities (bads) is determined endogenously, so that materials become commodities (goods) or discommodities (bads) depending upon economic circumstances. Kurz ([2006]) tackles a similar issue from a different angle. He surveys the traditional theory of joint production, finding that the costly-disposal problem can be handled in economics of the classical tradition. He also emphasises that there is no a priori distinction between commodities (goods) and discommodities (bads). Hosoda ([2010c]) analyses the same problem as Lager ([2001]) in a slightly different framework. Though Lager is more loyal to the original Sraffa system in adopting the assumption that the requirements for use are given, Hosoda inclines more to the analytical style of the Sraffa-Leontief-von Neumann framework. Hence, consumption demand is supposed to be dependent upon prices. As do other researchers, he demonstrates that the nature of a commodity (goods)/discommodity (bads) is determined endogenously in the model. All the works mentioned above are more or less theoretical studies. Whereas they have some important conclusions for understanding the relationship between an economy and an environment, it is not so easy to deduce a concrete policy implication from those works. Being based upon the basic Sraffian framework, Gehrke and Lager ([1995]) and Lager ([1999]) deduce quite an interesting result on environmental policy: they show that energy taxation may cause an increase in energy consumption. Although one might guess that such a perversity could happen in the economy where commodities are produced by means of commodities, they are the first to show rigorously that the perversity happens on certain conditions. Hosoda ([2010a]) also applies the Sraffian framework to a more concrete environmental issue, namely the problem of waste management and recycling. He demonstrates why an upstream policy such as extended producer responsibility should be adopted to reduce household waste. He fully utilises Sraffa’s idea on the distinction between basic and non-basic commodities and explains that such a policy is required only for household waste but not for industrial waste. Since this result shows the strength of the Sraffian analysis, let me briefly explain the essence of the argument. Household-waste treatment service corresponds to a non-basic commodity in the Sraffa’s sense, so that the technical condition of the service (which may be called a non-basic service), i.e. the waste treatment cost, does not affect the wage-profit frontier. Notice that the choice of technique is made depending upon the frontier in a long-run equilibrium. Thus, unless an upstream policy such as extended producer responsibility is introduced, a production process which creates more waste is adopted, since it never affects the frontier even if it is more costly. Once the policy is introduced, waste-disposal costs are counted as production costs by producers, and the treatment service turns to be a basic-commodity (basic-service), so that the wage-profit frontier reflects the technical condition of the service. If a production process which creates more waste on the post-consumption stage is more costly, it is never chosen in an equilibrium. The costs of industrial waste are, however, counted as part of production costs by producers, so that the waste treatment service of industrial waste is nothing but a basic-commodity (basic service), and affects the wage-profit frontier, insofar as the relevant commodity is basic. Thus, if a production process which creates more waste at the end of production is considered more costly by producers, it is never chosen in a long-run equilibrium. Hence, no upstream policy is required. The present study follows the spirit of the above study, applying a Sraffian type of model to a very realistic feature of a recycling society where waste is recycled and recycled materials (secondary resources) are used as downgraded resources. Insofar as I know, how downgrade recycling affects price formation and per capita consumption has not been explored in a growing economy so far. I believe that this is the very issue to which the analysis based upon the classical tradition could be applied. In the next section, the basic settings and assumptions are specified. In Section 3, the main results are presented. It is shown how waste and a secondary material become commodities (goods) or discommodities (bads) depending upon technological conditions and income distribution. It is also demonstrated that per capita consumption may not be a decreasing function of a growth rate when the rate is sufficiently small. The concluding remarks are given in the final section. Although I use a classical type of production model represented by a Sraffian model, I restrict our analytical framework to a more technologically specific one in order to make model building easier and clearer: a constant coefficient production model is adopted, and duality between price and quantity systems is emphasised. One more important feature of the present study is that most of the results are demonstrated by means of examples. Hence, mathematical deductions are relegated to the appendices.",
1.0,1.0,Journal of Economic Structures,05 September 2012,https://link.springer.com/article/10.1186/2193-2409-1-6,Constructing enterprise input-output tables - a case study of New Zealand dairy products,December 2012,Manfred Lenzen,Sven Lundie,,Male,Male,Unknown,Male,"Perhaps one of the unconventional uses of input-output analysis is its application to processes and networks within firms. Nevertheless, so-called enterprise models have been constructed for more than 40 years (Farag [1967]). A true enterprise model is different from single-region input-output models where the inputs and outputs of a firm augment the table by one sector (Tiebout [1967]; Billings and Katz [1982]; Joshi [2001]). Rather, the firm is appraised as a system in its own right, and represented as a table distinguishing functional units of the firm as row and column sectors (Grubbstrom and Tang [2000]; Lave [2006]). Perhaps the most comprehensive and at the same time pioneering work is that of Polenske ([1997]), who demonstrated the usefulness of an enterprise input-output model that is embedded in the nested system of regional and national input-output tables. Since then, a number of interesting enterprise input-output models and their applications have been published worldwide (Correa and Craft [1999]; Marangoni and Fezzi [2002]; Li et al.[2008]; Lenzen et al.[2010a]), notably by Albino and colleagues (Albino et al.[2003]; Albino and Kühtz [2004]). Polenske’s basic idea was taken up again in recent input-output-based hybrid life-cycle approaches, where a so-called foreground system containing interdependent production processes is embedded in a national input-output table (Heijungs and Suh [2002]; Suh [2004]). Our work is about employing an enterprise model of the dairy industry in an assessment of life-cycle input coefficients of dairy products. Our approach is motivated by the fact that, given a growing population and demand for food and at the same time limited land resources for cultivation, the food sector - including the dairy industry - faces increasing pressure to move toward more resource-efficient production as measured in the context of life-cycle systems (Flysjö [2011]). Therefore, standards and guidelines have been developed (for example, ISO 14044 [2006]; IDF [2010]), and efforts have been made to quantify the resource and environmental impacts of the dairy industry (Berlin [2002]; Lundie et al.[2002]; de Vries and de Boer [2010]; Nilsson et al.[2010]). More recently, the industry and retailers have started to systematically quantify and publish the environmental impacts of their products. These industry activities have so far concentrated on carbon accounting, that is, carbon footprinting and carbon labeling (Carbon Disclosure Project [2011]). These carbon-related reporting and labeling activities are predominantly based on the methodology of life-cycle assessment (ISO 14044 [2006]). In particular, we investigate whether enterprise input-output approaches can be employed to deal with the multi-functionality issue in environmental Life-Cycle Assessment, which has been identified as a significant methodological problem (ISO 14044 [2006], Ciroth et al.[2008]). When assessing the environmental performance of products, the general situation is that most processes that constitute part of a production system are multi-functional: (1) they may produce more than one product (co-production), or (2) they may treat two or more waste inputs (combined waste treatment), or (3) they may treat one waste input and produce one valuable output. Combinations of these main types, involving three or more of the above basic functions on both the input and output side may also occur (Heijungs and Suh [2002]). Multi-functionality is especially present in dairy manufacturing systems. For example, the input of raw milk on a whole-of-plant basis needs to be allocated to the final products: skim milk powder, butter and buttermilk powder. ISO 14044 ([2006], Section 4.3.4) states that in all such cases the materials and energy flows as well as associated environmental releases shall be allocated to the different products according to clearly stated procedures. Several approaches for dealing with the multi-functionality problem have been developed, for example, through system boundary expansion and by allocation (or partitioning) using physicochemical, economic, mass and energy approaches (see, for example, Cederberg and Stadig [2003]; IDF [2010]; Feitz et al.[2007]; Weidema [2003, 2004]).",8
1.0,1.0,Journal of Economic Structures,10 July 2012,https://link.springer.com/article/10.1186/2193-2409-1-5,Nonmyopia and incentives in the piecewise linearized MDP procedures with variable step-sizes,December 2012,Kimitoshi Sato,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Economic Structures,27 April 2012,https://link.springer.com/article/10.1186/2193-2409-1-4,Input-output impact analysis in current or constant prices: does it matter?,December 2012,Erik Dietzenbacher,Umed Temurshoev,,Male,Unknown,Unknown,Male,"Since the 1990s, physical input-output tables (PIOTs) that measure the deliveries of an industry in a single unit of mass have been compiled. In terms of appropriation of resources (e.g. water, energy, land) for final demand categories, the models based on PIOTs are an alternative to the models based on ordinary monetary input-output tables (MIOTs). Hubacek and Giljum ([2003]) were the first to compare the results for the two models. When calculating land appropriation for exports, they found substantial differences and claimed that the use of PIOTs was more appropriate. This triggered a lively discussion along two different lines. The first focused on the treatment of waste in the model based on PIOTs and was able to explain a part of the differences (see Giljum and Hubacek [2004]; Giljum et al. [2004]; Suh [2004]; Dietzenbacher [2005]; and Dietzenbacher et al. [2009]). Still, the differences remained quite substantial. Using a highly aggregated 3-sector PIOT (in million tons) and MIOT (in billion DM) for Germany in 1990 (see Hubacek and Giljum [2003]), the land use (in 1,000 hectares) as embodied in exports was calculated. The percentage difference for the total land appropriation amounts to 6.4% (7,281.3 thousand hectares when the MIOT based model is used versus 6,845.8 when the PIOT based model is used). For the three underlying sectors, however, the results are quite dramatic. The percentage difference is 8.9% for the primary sector (MIOT: 6,339.3; PIOT: 5,822.4), 68.5% for the secondary sector (MIOT: 807.1; PIOT: 478.9) and −75.2% for the tertiary sector (MIOT: 134.9; PIOT: 544.5). The second perspective was put forward in Weisz and Duchin ([2006]). They convincingly argue that the differences are caused by the fact that the two types of input-output (IO) tables cannot be ‘translated’ into each other by using a single price for all the deliveries of a given sector (or industry). Instead, deliveries from sector i to sector j have a different price than deliveries from sector i to sector k or to the final demand categories. They calculate that the implicit prices of commodity outputs (in DM per ton) range from 0.02 to 0.27 for the primary sector, from 0.67 to 3.80 for the secondary sector, and from 5.31 to 163.09 for the tertiary sector. The same applies to IO tables in current and in constant prices. That is, sectors do not have a single price deflator that holds uniformly within a corresponding row of the IO table; rather, the intermediate deliveries require cell-specific deflators. This raises the question to what extent the results differ between using the model based on an IO table in current prices and the model based on an IO table in constant prices. The present paper addresses this question. In the next section, we will present the methods, one of which is novel. Section 3 discusses the results of an application using Denmark’s IO tables and Section 4 concludes.",19
1.0,1.0,Journal of Economic Structures,17 April 2012,https://link.springer.com/article/10.1186/2193-2409-1-3,The rectangular sector-by-technology model: not every economy produces every product and some products may rely on several technologies simultaneously,December 2012,Faye Duchin,Stephen H Levine,,Female,Male,Unknown,Mix,,
1.0,1.0,Journal of Economic Structures,17 April 2012,https://link.springer.com/article/10.1186/2193-2409-1-2,Performance measurement in an input-output framework,December 2012,Thijs ten Raa,,,Male,Unknown,Unknown,Male,"In this paper I bring to fruition the neoclassical measurement of performance change in an input-output framework. Some pitfalls are avoided. First, market prices need not be perfectly competitive and, more generally, the observed allocation of resources may be inefficient. Solow’s ascription of TFP-growth to technical change holds in an idyllic neoclassical world where resources are rewarded according to their marginal productivities, but not beyond. Market power, managerial slacks and other sources of inefficiency abound and we must factor in their variations to properly account for performance changes. Since these conditions differ between industries, an input-output framework seems promising. The strategy of this paper is the following. I find it reasonable to assume that households are price takers. This point of departure is quite powerful, because the first order condition of the problem of the consumer, which equates the marginal rates of substitution to the price ratios, reveal that prices measure marginal utilities (up to an uninteresting multiplicative constant, the marginal utility of money) even when those prices are distorted. So I measure changes in the level of well-being of consumers by tracking final consumption. Then I use input-output analysis to decompose that bill of final goods and services. It may increase due to reductions in input coefficients, Solow’s technical change, but obviously for other reasons as well. This paper sorts it out.",1
1.0,1.0,Journal of Economic Structures,30 March 2012,https://link.springer.com/article/10.1186/2193-2409-1-1,Editorial,December 2012,Shigemi Kagawa,Kazuhiko Nishimura,,,Male,Unknown,Mix,,
2.0,1.0,Journal of Economic Structures,17 October 2013,https://link.springer.com/article/10.1186/2193-2409-2-8,Impacts of Growth of a Service Economy on CO2 Emissions: Japan’s Case,December 2013,Shunsuke Okamoto,,,Male,Unknown,Unknown,Male,"Increased environmental loads can be understood as arising from a variety of economic factors. For example, the environmental Kuznets curve describes an inverted-U relationship between economic growth (including structural changes) and environmental pollution (Grossman and Krueger [1991, 1995, 1996]; Carson [2010] for a literature overview). In particular, this article sheds light on the relationship between structural changes and environmental load in a specific country. As in Levinson ([2009]), I will focus on influences on CO2 emissions. In this study, I consider not only the economic scale, but also another factor that exhibits significant influence: changes in industrial composition. In Japan, the percentage of domestic Japanese production attributable to secondary industries (manufacturing), which exhibit high rates of CO2 emissions per unit production (i.e., large direct emissions coefficients), fell drastically, from 49 % in 1990 to just 39 % in 2005. In contrast, the percentage of domestic Japanese production attributable to tertiary industries (service industries), which exhibit low coefficients of direct CO2 emissions, rose significantly, from 48 % in 1990 to 60 % in 2005.Footnote 1 This also implies that Japan’s transition toward a service-oriented economy has contributed in reducing CO2 emissions, but the extent to which this has slowed the pace of global warming remains unclear. Important studies on the relationship between the transition to a service economy and CO2 emissions include those of Suh ([2006]) and Nansai et al. ([2009]). Suh ([2006]) demonstrated that household consumption of services, excluding electric utilities and transportation services, accounts for 37.6 % of total industrial GHG emissions in the United States. Nansai et al. ([2009]) analyzed the factors governing life-cycle CO2 emissions in Japanese service industries between the years 1990 and 2000 and concluded that increased inputs of energy and resources (including materials and components) led to significantly increased CO2 emissions. However, the studies of Suh ([2006]) and Nansai et al. ([2009]) did not quantify the transition to a service economy in terms of the increasing industrial composition attributable to service industries and also did not analyze the impact of the transition to a service economy on production-based CO2 emissions.Footnote 2 In addition, their studies did not argue that the transition to a service economy spurs an increase in imports of CO2-intensive commodities and that consequently this structural change contributes to global warming. Therefore, in the present study, I apply the Shapley–Sun additive decomposition method (Shapley [1953]; Sun [1998]) and decompose the change in production-based CO2 emissions from domestic industries into five components: that due to changes in the overall scale of the economy, that due to changes in the industrial composition of the various economic sectors, that due to energy intensity (i.e., technical) changes, which measures CO2 emissions per unit of domestic production, that due to changes in the import composition of the various commodities, and that due to changes in the import scale. Using this index decomposition method, I will analyze the impact of Japan’s transition to a service economy on Japanese CO2 emissions between 1990 and 2005, and finally argue the environmental benefits of its structural transition. The rest of this paper is organized as follows: Sect. 2 presents the decomposition method, Sect. 3 describes the data source, Sect. 4 presents a case study of Japan, and Sect. 5 concludes the paper.",17
