Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,"Journal of Economics, Race, and Policy",18 June 2018,https://link.springer.com/article/10.1007/s41996-018-0003-y,"Journal of Economics, Race, and Policy",July 2018,William Darity Jr,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,"Journal of Economics, Race, and Policy",18 June 2018,https://link.springer.com/article/10.1007/s41996-018-0006-8,Introduction by the Editor-in-Chief,July 2018,Gary A. Hoover,,,Male,Unknown,Unknown,Male,,
1.0,1.0,"Journal of Economics, Race, and Policy",23 May 2018,https://link.springer.com/article/10.1007/s41996-018-0002-z,Empirically Examining the Individual-Level Determinants of Job Searching Outcomes: a Non-linear Analysis under the Case of Chile,July 2018,Ruohan Wu,Yuexing Lan,Xueyu Cheng,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,"Journal of Economics, Race, and Policy",02 July 2018,https://link.springer.com/article/10.1007/s41996-018-0007-7,Racial Earnings Disparities with Endogenous Labor Market Participation,July 2018,Bidisha Lahiri,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,"Journal of Economics, Race, and Policy",18 July 2018,https://link.springer.com/article/10.1007/s41996-018-0005-9,"Identity, Patronage, and Redistribution: Economic Inequality in Bolivia under Evo Morales",July 2018,Daniel L. Hicks,Beatriz Maldonado,Alejandra Goytia Rios,Male,Female,Female,Mix,,
1.0,1.0,"Journal of Economics, Race, and Policy",01 June 2018,https://link.springer.com/article/10.1007/s41996-018-0001-0,Dousing the Burning House,July 2018,Denzel Caldwell,,,Male,Unknown,Unknown,Male,,
1.0,2.0,"Journal of Economics, Race, and Policy",08 August 2018,https://link.springer.com/article/10.1007/s41996-018-0013-9,Introduction to the Special Issue: The Effects of the 2007-2009 Financial Crisis and Great Recession Across Racial and Ethnic Groups,September 2018,Daniel C. Giedeman,,,Male,Unknown,Unknown,Male,,
1.0,2.0,"Journal of Economics, Race, and Policy",18 September 2018,https://link.springer.com/article/10.1007/s41996-018-0018-4,"Racial Disparities, Homeownership, and Mortgage Lending in the Post-Great Recession Period: the Case of the Minneapolis-St. Paul Metropolitan Area",September 2018,Samuel L. Myers Jr,Won Fy Lee,,Male,,Unknown,Mix,,
1.0,2.0,"Journal of Economics, Race, and Policy",06 August 2018,https://link.springer.com/article/10.1007/s41996-018-0008-6,Return to the Homeland? The Impact of the Great Recession on Employment Outcomes and Labor Mobility for Native Americans,September 2018,Donna Feir,Rob Gillezeau,,Female,Male,Unknown,Mix,,
1.0,2.0,"Journal of Economics, Race, and Policy",07 August 2018,https://link.springer.com/article/10.1007/s41996-018-0012-x,"Race, Unemployment, and Mental Health in the USA: What Can We Infer About the Psychological Cost of the Great Recession Across Racial Groups?",September 2018,Timothy M. Diette,Arthur H. Goldsmith,William Darity Jr,Male,Male,Male,Male,"A persistent feature of the US labor market is the significantly higher rate of unemployment for blacks relative to whites. In the USA, the unemployment rate for black persons is consistently about twice the rate for whites. During the Great Recession, which ran from December 2007–June 2009, the rate of unemployment for blacks and whites soared in the USA. The unemployment rate for blacks during the Great Recession reached 15.9% while the white unemployment rate reached its zenith at 8%, lower than the pre-recession unemployment rate for blacks of 8.3%. The disproportionate adverse economic consequences of the Great Recession on blacks in the USA are well-documented. During the course of the downturn, the racial wealth gap widened (Hamilton et al. 2015), and between 2007 and 2010, the median black household’s income fell 10.1%, compared with a 5.4% decline for white households. However, an unexplored question is whether the adverse emotional consequences of unemployment are more sever for black individuals than white persons in the USA during any US recession, including the Great Recession. It is unclear whether the Great Recession generated relatively more intense psychological distress among blacks who experienced unemployment. There is compelling evidence that blacks face discrimination in the labor market from audit (Darity Jr. and Mason 1998; Hamilton 2000), experimental (Bertrand and Mullainathan 2004), and survey-based studies (Goldsmith et al. 2007). This situation could result in unemployment generating even greater anxiety for blacks due to an expectation of a comparatively longer duration of unemployment. On the other hand, in an unfortunate, ironic twist of fate, blacks may be more resilient than whites in coping with the trauma of unemployment due to greater prior experience with such hardships as a result of racial discrimination.Footnote 1 Thus, a priori, it is unclear if experiencing a bout of unemployment damages the psychological well-being of a black individual more or less than a white individual. We are unaware of any data sets that provide information on both the labor force and mental health status of individuals—based on a fully structured, lay-administered, diagnostic interview that generates diagnoses, rather than self-reports—during the midst of the Great Recession.Footnote 2 However, such information is available in the National Comorbidity Survey-Replication (NCS-R)—which surveyed respondents once during the period from 2001 to 2003—when the US economy was in a less pronounced recession. Thus, if there is a stable racial gap in the relation between perceived prospects for reemployment by the unemployed and their mental health, then the estimates we report would be lower bound estimates of the link between unemployment and mental health during the Great Recession. The purpose of this paper is twofold. First, to more accurately estimate the link between experiencing unemployment during the most recent year and the likelihood of suffering from poor mental health during the past year for blacks and whites using data drawn from the National Comorbidity Survey-Replication (NCS-R). Second, using these results we infer the emotional consequences of the Great Recession within and across racial groups in the USA and discuss the policy implications of our findings. Our findings reveal that for resilient persons—those without histories of poor mental health—the group for which we believe estimates of the unemployment mental health link can be considered plausibly more causal and accurate, the effect of short-term unemployment on psychological distress is significantly greater for blacks.",10
1.0,2.0,"Journal of Economics, Race, and Policy",08 August 2018,https://link.springer.com/article/10.1007/s41996-018-0014-8,The Short-Run Effects of the Great Recession on Crime,September 2018,Pallab Kumar Ghosh,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,"Journal of Economics, Race, and Policy",07 August 2018,https://link.springer.com/article/10.1007/s41996-018-0016-6,Great Recession and Income Inequality: a State-level Analysis,September 2018,Mehmet E. Yaya,,,Male,Unknown,Unknown,Male,"The US economy, infamous for its high income inequality among the developed economies, was rocked with a deep recession in the late 2000s, known as the Great Recession. The recession started in the housing market with sharp declines in housing prices; then, it spilled into the financial sector with the collapse of the Lehman Brothers in late 2008 due to declines in the values of mortgage-backed securities. Eventually, the effects of the recession were felt in the entire economy including the labor markets, industrial production, and international trade. The National Bureau of Economic Research (NBER) announced the official beginning of the recession as December 2008 after three-quarters of negative GDP growth. During the Great Recession, the unemployment rate rapidly increased from 5 to 10%. Furthermore, more than 5 million Americans lost their health insurance due to declining incomes and employment Holahan (2011) , and a quarter of the families lost three-quarters of their wealth during the Great Recession. These losses disproportionally affected the lower-income, less-educated, and minority families Pfeffer et al. (2013). The Great Recession finally concluded at the end of 2009. Some recently published articles have analyzed the consequences of recessions (see Pfeffer et al. 2013; Meyer and Sullivan 2013; Hellebrandt 2014; Piketty and Saez 2013; Salgado et al. 2014). From the labor market impact to the mental health, these papers showed the adverse effects of recessions. However, only a few published articles discussed the impact of economic downturns on income inequality. One possible reason for the lack of extensive research on the true impact of recessions on inequality might be the complex nature of income inequality. More specifically, the changes in inequality are multifaceted, and inequality is a persistent process. Furthermore, no single factor can solely explain the majority of the changes in income inequality, especially in the short run. However, it is natural to think that inequality, social problems, and demographical changes such as discrimination, segregation, poverty, immigration, and access to education and health are closely related to each other. This is especially true when a recession has non-uniform effects on vulnerable populations such as different racial and ethnic groups in the economy. In addition to the issues pertaining to the Great Recession, the US economy has been facing challenges associated with race and ethnicity, including but not limited to these minorities’ earnings, education, health, and income inequalities. It should be noted that the US population is very heterogeneous, with blacks and Asians as the largest two minorities in the US population at approximately 12.6 and 4.8% of the US population, respectively, according to the 2010 US Census. Furthermore, Hispanics, the largest ethnic minority, constitute approximately 16.3% of the US population. These racial and ethnic groups in the USA have varying levels of earnings, poverty rates, educational attainments, health, and income inequality characteristics. Asians are repeatedly shown to earn the most (family income of Asians was $77,900 in 2014), while non-white Hispanics and blacks earn the least (both groups earn approximately $43,000). Furthermore, Asians have the lowest poverty rate, highest educational attainment (53% of Asians completed a college degree), and highest income inequality compared to blacks and Hispanics. In comparison, blacks tend to have highest poverty rates (26% of blacks live in poverty) while Hispanics have the lowest educational attainment (only 15% of Hispanics complete a college degree).Footnote 1 Furthermore, inequality in the USA has been increasing since the 1970s. Orrenius and Zavodny (2013) argued that Hispanics face higher inequality than non-Hispanic whites but lower income inequality than non-Hispanic blacks, based on the 2010 Current Population Survey. Their findings suggest that, with their relatively high poverty rate, Hispanics are at the bottom of the income distribution. Hoover and Yaya (2010, 2011) showed substantial differences in inequality among the racial and ethnic groups in the USA. Their results suggest that inequality is the lowest among Hispanics, followed by blacks and whites.Footnote 2 As important as the distribution of income and income inequality, the literature truly lacks a comprehensive analysis of the impact of the Great Recession on these issues. The needed comprehensive analysis would provide a better understanding of the impact of the Great Recession, facilitating a path to a public policy discussion regarding how to alleviate the adverse effects of recessions, especially in the context of within- and between-group income inequalities among the racial and ethnic groups. Income inequality is an indisputable measure of social mobility and available economic opportunities to individuals in a society; hence, the discussion of public policies toward understanding and alleviating income inequality has utmost importance. Furthermore, a comprehensive analysis of income inequality should incorporate the vulnerable populations who have not been fully examined in the literature. More specifically, females, immigrants, young adults, less-educated individuals, and racial and ethnic groups are some examples of populations that need to be studied for a complete understanding of these social issues. Unfortunately, few studies have examined the impact of recessions on overall income inequality, and almost none of them has focused on vulnerable populations. Furthermore, most of the earlier studies used overall income inequality. In the context of vulnerable populations, specifically racial and ethnic groups, it is possible to decompose the income inequality into within- and between-group inequalities, which demonstrate the share of inequality that can be attributed to the income inequality within each group as well as between one group and the rest of the population. Again, the decomposition of income inequality within and between vulnerable populations has not been explored in the literature, particularly during and after economic downturns, business cycles, and recessions. This paper fills the gap in the literature with the impact of the Great Recession on income inequalities of one of the vulnerable populations, i.e., racial and ethnic groups. More specifically, this paper analyzes the impact of the Great Recession on within- and between-group inequalities based on the Gini Coefficient and state-level average personal incomes. Income inequalities within- and between-groups at the state level over a 12-year span are analyzed before and after the Great Recession using the pooled regression approach with robust standard errors. The research questions that are being analyzed are fourfold: (1) Has the Great Recession increased the overall income inequality in the USA? (2) Is the impact of the Great Recession on income inequality uniform among the racial and ethnic groups? (3) Has the Great Recession changed the within- and between-group inequalities among whites, blacks, Asians, and Hispanics? and (4) Is the impact of the Great Recession on income inequality short-lived, or is there a permanent effect of the Great Recession on income inequality in the USA? The rest of the paper is organized as follows: the “Literature review” section presents a brief literature review. The “Data” section presents the data and the descriptive statistics of the variables. The “Methodology” section introduces the econometric model, which estimates the effect of the Great Recession on overall and within- and between-group income inequalities among racial and ethnic groups across 50 states and the District of Columbia over a period of 12 years. The “Results” section presents the results from the econometric models. The “Conclusion” section concludes.",3
1.0,2.0,"Journal of Economics, Race, and Policy",10 August 2018,https://link.springer.com/article/10.1007/s41996-018-0015-7,Racial Differentials in the Wealth Effects of the Financial Crisis and Great Recession,September 2018,Ryan Compton,Daniel Giedeman,Leslie Muller,,Male,,Mix,,
1.0,2.0,"Journal of Economics, Race, and Policy",06 July 2018,https://link.springer.com/article/10.1007/s41996-018-0004-x,"Business Cycles, Race, and Investment in Graduate Education",September 2018,Vicki L. Bogan,Di Wu,,Female,Female,Unknown,Female,"“When America catches acold, minorities catch pneumonia”- Unknown During times of economic difficulty, there is evidence to suggest that certain ethnic households in the USA disproportionately suffer economic hardships such as higher unemployment, bankruptcy, and home foreclosure rates. For example, during an expansionary time in 2005, unemployment for college-educated whites was 2.1% while it was 3.5% for college-educated African Americans and 2.9% for college-educated Latinos. In the less robust economy of 2010, the college-educated unemployment rate was 4.3% for whites, 7.9% for African Americans, and 6.0% for Latinos.Footnote 1 If the business cycle differentially affects ethnic groups, then responses to the business cycle also may be different by racial group. There has been considerable literature devoted to investigating how the business cycle affects human capital investment decisions. Generally, the literature focuses on primary, secondary, and undergraduate education forms of human capital investment (see for example, Herman 2010; Dellas and Koubi 2003; Dellas and Sakellaris 2003; Boffy-Ramirez et al. 2010; Betts and McFarland 1995; Higa 2010; Heylen and Pozzi 2007; Blackburn and Varvarigos 2008). However, the opportunity cost (due to lost wages) to pursue an advanced degree is considerably larger than that related to pursuing a high school, associate, or bachelor’s degree. Hence, business cycle fluctuations are more likely to affect graduate and professional school enrollment than primary, secondary, or undergraduate enrollment. Nonetheless, the literature examining the effect of the business cycle on graduate school and professional school enrollment is more limited (Bedard and Herman 2008; Wei 2004; Goh 2009). Bedard and Herman (2008) find specific differences for higher levels of education. They find male Ph.D. enrollment is counter-cyclical, male master’s degree enrollment is procyclical, and female enrollment is acyclical among various advanced degree categories. While business cycle effects on enrollment and demographic characteristic effects on enrollment have been separately studied, to our knowledge, the work of Bedard and Herman (2008), using cross-section data, was first to analyze advance degree enrollment patterns across the business cycle by individual characteristics (undergraduate major, undergraduate GPA, gender). Using a panel data set, we build on the work of Bedard and Herman (2008) and expand the literature by providing evidence suggestive of a causal relationship between the business cycle and graduate school enrollment. Moreover, using an over-sample of under-represented minority respondents, we analyze the relationship between the business cycle, graduate enrollment, and another salient individual characteristic that has been shown to influence educational choice—race. Consistent with previous literature, we find that poorer economic conditions drive more people to enroll in graduate school programs and that the magnitude of the relationship between the business cycle and the specific type of graduate school programs varies. More importantly, we find large differential racial effects of the business cycle on graduate school enrollment. Given theory indicates that graduate school enrollment is driven by the opportunity costs to pursue a graduate degree, this evidence suggests lower opportunity costs for minorities. While there are a number of potential explanations for lower minority opportunity costs, this finding is consistent with the presence of a greater degree of wage discrimination. The rest of the paper is organized as follows. “Data” presents the data used. “Theoretical Framework” discusses the theoretical framework. “Econometric Analysis” and “Robustness Checks” presents the econometric analysis and results. Finally, the last section summarizes key findings and provides concluding remarks.",
