Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322708,Zur Einführung,February 1930,Hans Mayer,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322709,Psychologische Ökonomie in Frankreich,February 1930,M. Roche-Agussol,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322710,Wirtschaft als Leben Kritische Bemerkungen zu Gottls methodologischen Schriften,February 1930,Gottfried Haberler,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322711,Die Elastizität der Nachfrage nach Ersatzgütern,February 1930,Marco Fanno,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322712,Das Geldertragsstreben als Organisationsprinzip des Tauschverkehrs,February 1930,Robert Liefmann,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322713,Kalkulationen und Preisberechnungsmethoden,February 1930,L. V. Birck,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322714,Irving Fishers statistische Methode für die Bemessung des Grenznutzens,February 1930,Alexander Bilimoviě,,,Male,Unknown,Unknown,Male,,4
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322715,Das Zeitmoment in der mathematischen Theorie des wirtschaftlichen Gleichgewichtes,February 1930,P. N. Rosenstein-Rodan,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322716,Allyn Abbott Young,February 1930,Oskar Morgenstern,,,Male,Unknown,Unknown,Male,,8
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322717,Neuere Literatur über amerikanisches Bankwesen,February 1930,F. A. Hayek,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322718,Einzelbesprechungen,February 1930,F. A. Hayek,R. Strigl,Cornelie Weiss,Unknown,Unknown,Male,Male,,
1.0,1.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01322719,Résumés des Articles,February 1930,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319066,Rückwirkungen der Börsenspekulation auf den Kreditmarkt,April 1930,Richard Reisch,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319067,Das Sparen in der Individualwirtschaft,April 1930,Umberto Ricci,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319068,Zur Problematik des Begriffes der Produktivität,April 1930,Adam Heydel,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319069,Behaviorismus und die psychologischen Grundlagen der österreichischen Schule,April 1930,Hans Bayer,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319070,Die jüngste Geschichte des Wechselkurses in Frankreich und die psychologische Wechselkurstheorie,April 1930,A. Aftalion,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319071,Volkswirtschaft und Volkswirt,April 1930,Ferdinand Graf Degenfeld-Schonburg,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319072,Soziale Kollektiva,April 1930,Felix Kaufmann,,,Male,Unknown,Unknown,Male,,15
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319073,Volkswirtschaftslehre als Wirtschaftslehre,April 1930,Wilhelm Vleugels,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319074,Einzelbesprechungen,April 1930,F. A. Hayek,A. Mahr,L. Sommer,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01319075,Résumés des Articles,April 1930,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311535,Ein Nachruf auf Emil Sax (gest. am 25. März 1927),June 1930,Erwin von Beckerath,,,Male,Unknown,Unknown,Male,,3
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311536,"Bedürfnis, Wert und Vorzug",June 1930,Emil Sax,,,Male,Unknown,Unknown,Male,,
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311537,Grenzkosten und Preis,June 1930,Alexander Bilimovič,,,Male,Unknown,Unknown,Male,,1
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311538,Gibt es einen „Widersinn des Sparens“?,June 1930,Friedrich A. Hayek,,,Male,Unknown,Unknown,Male,,6
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311539,Verstaatlichung des Kredits?,June 1930,Ludwig Mises,,,Male,Unknown,Unknown,Male,,1
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311540,Zur Frage der Messung der Intensität der Landwirtschaft,June 1930,N. W. Dolinski,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311541,Strukturwandlungen der deutschen Volkswirtschaft,June 1930,Hans Bayer,,,Male,Unknown,Unknown,Male,,
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311542,Zur Geschichte der Finanzwirtschaft Wiens,June 1930,Friedrich Engel-Jánosi,,,Male,Unknown,Unknown,Male,,
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311543,Einzelbesprechungen,June 1930,F. A. Hayek,O. Morgenstern,J. Tinbergen,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311544,Résumés des Articles,June 1930,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311507,Die „Deposit“-Legende in der Banktheorie,August 1930,Richard Reisch,,,Male,Unknown,Unknown,Male,,
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311508,Der Satz vom Grenznutzenniveau und Liefmanns Gesetz vom Ausgleich der Konsum-Grenzerträge,August 1930,Wilhelm Kromphardt,,,Male,Unknown,Unknown,Male,,
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311509,Transfer und Preisbewegung,August 1930,Gottfried Haberler,,,Male,Unknown,Unknown,Male,,3
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311510,Transfer und Preisbewegung,August 1930,Fritz Machlup,,,Male,Unknown,Unknown,Male,,1
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311511,Die Getreidemonopolwirtschaft in der Schweiz 1914 bis 1928,August 1930,Julius Landmann,,,Male,Unknown,Unknown,Male,,
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311512,"Die psychologische Ökonomie in Frankreich, II. Teil",August 1930,M. Roche-Agussol,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311513,Bevölkerungspolitische Forderungen an die österreichische Volkszählung von 1930,August 1930,Wilhelm Winkler,,,Male,Unknown,Unknown,Male,,1
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311514,Geldtheorie und Konjunkturtheorie,August 1930,Georg Halm,,,Male,Unknown,Unknown,Male,,
1.0,4.0,Journal of Economics,,https://link.springer.com/article/10.1007/BF01311515,Bemerkungen zum Unternehmerbegriff,August 1930,Gerhard Otte,,,Male,Unknown,Unknown,Male,,
