Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202332,Editorial,March 1991,Horst Hanusch,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202333,"Some thoughts on the promises, challenges and dangers of an “evolutionary perspective” in economics",March 1991,G. Dosi,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202334,What is evolutionary economics?,March 1991,K. E. Boulding,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202335,Towards a disequilibrium theory of long-run profits,March 1991,K. Iwai,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202336,From market dynamics to evolutionary economics,March 1991,J. Lesourne,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202337,"Schumpeter, Keynes and the theory of economic evolution",March 1991,R. M. Goodwin,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202338,"Deregulation, innovative entry and structural diversity as a source of stable and rapid economic growth",March 1991,G. Eliasson,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202339,Agenda-diffusion and innovation,March 1991,H. Schnabl,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01202340,Book reviews,March 1991,M. Perlman,P. Welzel,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01224915,"On the nature, function and composition of technological systems",June 1991,B. Carlsson,R. Stankiewicz,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01224916,Techno-economic paradigms as typical interfaces between producers and users,June 1991,E. S. Andersen,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01224917,Substantive and procedural uncertainty,June 1991,G. Dosi,M. Egidi,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01224918,New explorations in the economics of technological change,June 1991,Uwe Cantner,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01224919,Announcement,June 1991,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Journal of Evolutionary Economics,,https://link.springer.com/article/10.1007/BF01237908,The role of positive-sum games in economic growth,September 1991,B. H. Klein,,,Unknown,Unknown,Unknown,Unknown,,
