Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050001,Computational intelligence techniques in geography. An introduction,March 1999,Tavi Murray,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050002,Improving neural network performance on the classification of complex geographic datasets,March 1999,Mark Gahegan,Gordon German,Geoff West,Male,Male,Male,Male,,15
1.0,1.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050003,Fuzzy mapping of tropical land cover along an environmental gradient from remotely sensed data with an artificial neural network,March 1999,Giles M. Foody,Doreen S. Boyd,,Male,Female,Unknown,Mix,,
1.0,1.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050004,Using computational intelligence techniques to model subglacial water systems,March 1999,Simon Corne,Tavi Murray,Ian Turton,Male,Unknown,Male,Male,,16
1.0,1.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050005,Parallel processing for geographical applications: A layered approach,March 1999,Michael J. Mineter,Steve Dowers,,Male,Male,Unknown,Male,,17
1.0,1.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050006,Logics for geographic information,March 1999,Oliver Lemon,Ian Pratt,,Male,Male,Unknown,Male,,
1.0,2.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050007,The econometric estimation and testing of DARP models,July 1999,Emilio Casetti,Ayse Can,,Male,Unknown,Unknown,Male,,11
1.0,2.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050008,Statistical methods for analyzing the distribution of spatial objects in relation to a surface,July 1999,Yukio Sadahiro,,,Male,Unknown,Unknown,Male,,6
1.0,2.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050009,Coupling land use allocation models with raster GIS,July 1999,Robert G. Cromley,Dean M. Hanink,,Male,Male,Unknown,Male,,54
1.0,2.0,Journal of Geographical Systems,,https://link.springer.com/article/10.1007/s101090050010,LAND USE SCANNER: An integrated GIS based model for long term projections of land use in urban and rural areas,July 1999,Maarten Hilferink,Piet Rietveld,,Male,,Unknown,Mix,,
