Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
43,1,Journal of Industrial and Business Economics,25 January 2016,https://link.springer.com/article/10.1007/s40812-016-0026-9,"Resources (mis)allocation, innovation and the competitiveness of Europe",March 2016,Chiara Criscuolo,Angelo Secchi,,Female,Male,Unknown,Mix,,
43,1,Journal of Industrial and Business Economics,13 January 2016,https://link.springer.com/article/10.1007/s40812-015-0024-3,R&D as an investment in knowledge based capital,March 2016,Albert N. Link,Christopher A. Swann,,Male,Male,Unknown,Male,"A recent report issued by the OECD (2013b) documents clearly the importance of knowledge based capital (KBC) as a driver of economic growth and development. According to OECD (p. 22): Knowledge-based capital comprises a variety of assets. These assets create future benefits for firms but, unlike machines, equipment, vehicles and structures, they are not physical. This non-tangible form of capital is, increasingly, the largest form of business investment and a key contributor to growth in advanced economies. The OECD report also acknowledges (p. 17) that firm investments in KBC help boost growth and productivity and transform the resources used to make firms competitive. Countries that invest more in KBC are more effective in reallocating resources to innovative activities, and that reallocation brings about an increase in their market value. Corrado et al. (2005) emphasized that knowledge acquired through scientific research and development (R&D) and subsequent creative activities are important components of KBC. There is significant evidence that private sector investments in R&D are an important driver of economic growth and development, and R&D is one element of KBC that can be enhanced through public policy.Footnote 1 Corrado et al. (2005) define three categories of assets that make up KBC and create future benefits for firms. They are computerized information (e.g., software, databases); innovative property (e.g., R&D, patents); and economic competencies (e.g., firms-specific human capital, networks).Footnote 2
 In this paper we examine one dimension of KBC, namely investments in in-house R&D. More specifically, we examine the importance of investments in in-house R&D for exploring new business opportunities. Our approach to understanding the R&D component of KBC begins at the entrepreneurial level; our approach to formulating policy recommendations for enhancing that component begins with a theoretical and empirical analysis of covariates with R&D. Identifying and understanding these covariates might identify potentially relevant policy target variables, and those target variables might engender relevant policy recommendations. We view reliance on R&D as an indicator of entrepreneurial action; investments in R&D are a purposeful activity by firms to enhance the creative dimensions of their economic growth strategy.Footnote 3 And, following the theoretical arguments of Lazear (2005) and Leyden and Link (2015), it is the human capital within a firm that is a critical determinant of its effort to pursue such action. From a methodological perspective, we rely on a rich and unique database related to knowledge intensive entrepreneurial firms to examine empirically the relationship between human capital and the importance of investments in R&D activity for exploring new business opportunities. We are aware that investments in R&D are not the only component of KBC and that the results from such investments are multifaceted in the sense that technical knowledge is not only a basis for new business opportunities, but also it leverages a firm’s ability to be competitive. That said, the empirical evidence nevertheless shows a strong positive cross-country relationship between annual changes in multi-factor productive and R&D investments as a percentage of GDP (OECD 2013a). However, there is a conspicuous void of empirical evidence on covariates with cross-country investments in R&D, and we argue that such evidence is needed to begin to promulgate meaningful growth policies. We attempt to begin to fill this void by identifying systematically across European countries and industrial sectors covariates with investments in R&D for the purpose of making policy recommendations for economic growth and development. In Sect. 2 we describe the AEGIS database, which is the basis for our empirical analysis. That database contains information about the importance of a firm’s in-house R&D activities for their pursuit of new business opportunities, information about the human capital embodied within each firm, and other firm characteristics. In Sect. 3 we present our analytic framework and discuss the relevant variables of interest to explain cross-firm differences in the importance of R&D activity. Descriptive information on all variables, as well as our econometric findings, are presented. We find that, among other things, human capital, measured in terms of the educational background of the firm’s founders, is a positive and statistically significant covariate with the importance of R&D. The paper concludes in Sect. 4 with a brief summary and discussion about potential policy to enhance in-house investments in R&D by enriching the human capital embodied in the firm. In particular, we build on the U.S. experience of creating and operationalizing the manufacturing extension program (MEP) to transfer public-sector knowledge to small- and medium-sized firms to help them identify, adopt, and adapt new technologies to enhance their competitiveness. Building on the MEP concept we suggest, based on our empirical findings, that European nations create infrastructures to similarly enhance the human capital of each entrepreneur and thus build his/her firm’s KBC.",11
43,1,Journal of Industrial and Business Economics,05 February 2016,https://link.springer.com/article/10.1007/s40812-015-0022-5,FDI and heterogeneous performance of European enterprises,March 2016,Valeria Gattai,Giorgia Sali,,Female,Female,Unknown,Female,"The last several decades have documented a notable increase in firms’ commitment to foreign markets, drawing researchers’ attention to the characteristics of international versus domestic enterprises. The seminal paper of Bernard and Jensen (1995) started a literature on the link between internationalization and performance at the firm-level. Contributors to this literature generally suggest that globally engaged enterprises are a minority but they outperform purely domestic players. Interestingly, this evidence holds irrespective of the year and the country of the analysis and it is robust to several measures of internationalization and performance (for a survey, see: Greenaway and Kneller 2007; Hayakawa et al. 2012; Lopez 2005; Singh 2010; Wagner 2007, 2012). While the first contributions mostly drew on US data, large longitudinal datasets have recently become available in Europe as well, triggering new academic research on the topic. Vogel and Wagner (2010), Muuls and Pisu (2009), Eaton et al. (2004), Castellani et al. (2010), Ruane and Sutherland (2005), Damijan et al. (2007), Esteve-Perez et al. (2013), Andersson et al. (2008), Breinlich and Criscuolo (2011) and Bekes et al. (2011) are just a few examples of recent papers dealing with the internationalization-performance nexus of European enterprises. Despite the large body of evidence that has accumulated over time, we believe a couple of gaps still wait to be filled. For instance, even though single country analyses are quite numerous, only a few papers take a cross-country perspective; still, they consider only a small subset of European countries (see, for instance: Barba Navaretti et al. 2011, 2012; Haller et al. 2014; ISGEP 2008; Mayer and Ottaviano 2008; Temouri et al. 2013). Moreover, performance measures rarely include economic, innovation and financial variables, adding to productivity. Lastly, the definition of internationalization tends to be quite narrow: while there are dozens of papers on trade, evidence on Foreign Direct Investment (FDI) in Europe is rather scant. In light of the above discussion, this paper empirically investigates the link between FDI and performance of European enterprises. Our data, downloaded in 2014, rely on the global company database Orbis and include 12,465 firms overall. We are not aware of any previous study on the topic drawing on the same data. To address the above-mentioned gaps, we hazard three main departures from the existing studies. First, we consider Europe as a whole, to exploit country- adding to industry- and firm-level heterogeneity. Second, we do not restrict attention to productivity, but rather measure performance through a wide array of economic, innovation and financial variables. Third, and most importantly, we focus on FDI, rather than trade, and we introduce a sophisticated taxonomy of foreign direct investment that accounts for both the FDI direction—inward versus outward—and the number of FDI. Although inward FDI and outward FDI have been previously studied in the internationalization-performance literature, we are not aware of any single study integrating them in a unified empirical framework. Our descriptive statistics document that the FDI experience is quite notable throughout Europe, involving the majority of the sampled firms. Our estimates further suggest that there are systematic performance differences among firms with heterogeneous FDI involvement. Interestingly, firms experiencing some FDI enjoy a superior performance compared with purely domestic enterprises. Moreover, within the FDI class, the deeper the firm’s involvement in FDI, the larger the performance difference with purely domestic enterprises. These results are consistent through several econometric models, performance measures and definitions of FDI; moreover, they are robust to many alternative specifications including firm, industry and country controls. The remainder of the paper is structured as follows. Section 2 provides a brief literature review. Section 3 is devoted to the data description. Section 4 introduces our taxonomy of FDI and provides some descriptive statistics. Section 5 describes the econometric analysis. Section 6 concludes and sets forth future lines of research.",3
43,1,Journal of Industrial and Business Economics,15 January 2016,https://link.springer.com/article/10.1007/s40812-015-0021-6,"Ownership, productivity and firm survival in China",March 2016,David Audretsch,Xiaodan Guo,Xingzhi Xiao,Male,Unknown,Unknown,Male,"Firm survival has been discussed for more than 30 years in the field of industrial organization, and much research concerns the entry and exit of firms (Geroski 1995). When some important stylized facts and rules are applied, the econometric methods used in this field have become more sophisticated (Manjon-Antolin and Arauzo-Carod 2008), and the results have become more consistent (Audretsch et al. 2000). However, several important issues remain unresolved by the literature. In particular, previous studies in the literature remain ambiguous whether the extant findings concerning firm survival are dependent upon the institutions specific to a particular country. Since most research on survival pertains to either developed countries or developing countries with established market economies, the results are consistent across samples, areas, and periods. However, virtually nothing is known about firm survival in the context of a non-market economy or in the institutional context of a communist political system. The purpose of this paper is to provide the first study analyzing firm survival in the context of a non-market economy—China. In transitional countries, such as those in East Asia as well as Central and Eastern Europe, the factors, patterns and path of development are evolving from a planned economy to a market economy, and have complex dual characteristics. In the period of economic transition, private ownership, public ownership, and market economy coexist. This is contradictory to the traditional context of a market economy, which is based on private ownership. In the case of this kind of coexistence, ownership has different meanings and implications. There are state-owned (or state-controlled), private-owned (including stock company), and foreign-owned variations. Ownership in a market economy usually refers to the single-establishment and multi-establishment firms, or the domestic and foreign firms. This is the major difference in research analyzing the role of ownership and survival issues in transitional economies. In a market economy, only inputs and outputs of private production are discussed, but in a transitional economy the influence of political factors cannot be ignored. The relationship between public resources and private goods should also be taken into consideration. Using private-owned firms as reference, we want to discover the special characteristics of state-owned and foreign-owned firms. We also focus on whether market selection works under government control in China and, if so, how efficient those firms are in both the short-term and long-term. It should be considered that if the influence of market selection becomes stronger, then the transitional process will be successful to some extent. At the same time, certain firm and industry characteristics, such as size, innovation, exports, industry growth and so on, could exert different influences in a transitional economy. This paper offers two important contributions to the literature. The first is to analyze if those factors that have been found in a plethora of studies influencing firm survival in the context of a market economy still hold under a very different institutional context of communism. The second contribution of this paper is to explicitly link the relationship between government ownership of firms to survival, which enables us to identify how government ownership of firms influences the likelihood of firm survival. The organization of the paper is as follows. Section 2 briefly reviews the literature on ownership, productivity and firm survival. Section 3 describes the data and method we employed. Section 4 presents the findings of the paper and provides discussion. Section 5 concludes.",17
43,1,Journal of Industrial and Business Economics,08 February 2016,https://link.springer.com/article/10.1007/s40812-015-0023-4,The impact of patenting on the size of high-tech firms: the role of venture capital and product market regulation,March 2016,Massimo G. Colombo,Kourosh Shafi,,Male,Male,Unknown,Male,"The innovation economics literature suggests that returns to innovation depend on the ability of innovating firms to attract the complementary resources they need to exploit commercially their innovative knowledge (Teece 1986). Hence, the ease with which these resources are accessible to innovative firms is extremely important and is partly a function of the public policy and the regulatory environment (Restuccia and Rogerson 2008; Arnold et al. 2011; Bartelsman et al. 2013). This is so because research indicates that flows of labor and capital resources to patenting firms across countries depend on regulations governing product and labor markets (Andrews et al. 2014). Given the potential role of public policy to influence the ability of national economies to reallocate resources towards innovative firms over time and to facilitate commercialization of new ideas, this paper builds on prior work of Andrews et al. (2014) and investigate the extent to which product market regulations (PMR) influence the ability of young firms to grow in size in proportion to their patenting activity. Patenting firms grow in size (Balasubramanian and Sivadasan 2011), but they are less able to do so in a policy unfriendly environment (Andrews et al. 2014). The unresolved question remains whether young and innovative firms can devise strategies to overcome regulations that make competition more difficult and impede their innovation-driven growth. This question deserves attention because young firms are more sensitive to these regulatory burdens compared to old firms (Andrews et al. 2014) and are viewed as an important contributor to job creation and economic growth (Haltiwanger et al. 2013; Criscuolo et al. 2014). In this paper, we ask whether obtaining resources from venture capital (VC) investors offers a counter-force and thus, a possible strategic solution to innovative firms to overcome growth-related impediments from PMR. VC investors not only provide substantial financial resources to their portfolio firms; but they also coach portfolio firms in areas where these firms lack expertise (e.g., Gorman and Sahlman 1989), and provide quality signals (Megginson and Weiss 1991) and business contacts to portfolio firms, making it easier for them to obtain additional resources. Whereas research indicates that VC-backing has a positive effect on firms’ performance in terms of innovation (Kortum and Lerner 2000), growth (Puri and Zarutskie 2012), productivity (Chemmanur et al. 2011; Croce et al. 2013), and the likelihood of going public (Chemmanur et al. 2010; Puri and Zarutskie 2012; Cumming et al. 2014), it is to the best of our knowledge unexplored whether VC-backed firms are less affected compared to non-VC-backed firms by PMR. Whether VC-backed firms are better able to cope with regulatory burdens of PMR in attracting resources to grow in proportion to their innovation activity is not as straightforward as one might assume. As noted above, the support provided by VC investors to portfolio firms in attracting valuable resources may also help them overcome policy and regulatory constraints. However, VC-backed firms have also the greatest growth potential and therefore they might suffer disproportionately from these constraints. Indirect evidence in line with this latter argument comes from studies inspired by institutional theory according to which related differences across countries in the functioning of the VC market is tied to the existence of an unfavorable policy and regulatory environment (e.g., Bruton et al. 2005; Armour and Cumming 2006). In line with our research question, we explore the moderating role of PMR in the realization of returns to innovation for VC-backed firms. We focus on the country-level regulations of product market because stringent PMR raise the costs of inputs and/or lower the quality of these inputs for firms (Arnold et al. 2011). These regulations also are likely to increase the failure costs associated with experimentation of new technologies by young high-tech firms, and reduce the returns to innovation. In turn, these higher costs influence the propensity of young high-tech firms to invest in the development of high risk, radical innovations and put constraints on their ability to exploit the business opportunities potentially created by their innovation activity. There are a few noteworthy remarks with respect to our operationalization of this research question. First, we analyze the sensitivity of firm size to the patent stock as moderated by PMR, and firm size represents total assets or sales. Second, we compare a sample of VC-backed firms with a matched sample composed of twin non-VC-backed firms. Third, we also perform a fine-grained analysis of indicators of PMR, distinguishing the effects of restriction to competition through barriers to trade and international investment (hereafter, BTI), barriers to entrepreneurship (hereafter, BTE), and the extent of state control of enterprises (STC). Data for this analysis are obtained from the VICO database, a large-scale longitudinal dataset on young high-tech firms located in seven European countries that was created by the 7th FP VICO project (http://www.vicoproject.org/). Results of our econometric estimates show that both VC-backed and non-VC-backed young high-tech firms suffer from a regulatory environment that hinders competition. There is a decrease of the sensitivity of sales and total assets to the patent stock with increasing product market regulatory burdens for both set of firms; the magnitude of this negative effect is stronger for VC-backed firms relative to the control sample of non-VC-backed firms. More specifically, we show that stringent regulations are more disruptive for VC-backed firms’ growth in sales and total assets in all dimensions of PMR except BTI. Our results confirm that PMR policies can disproportionally affect those firms with the highest potential for growth. Therefore, we recommend lenient PMR policies, as regards notably BTE and STC.",3
43,2,Journal of Industrial and Business Economics,20 February 2016,https://link.springer.com/article/10.1007/s40812-016-0030-0,Public engagement in electricity network development: the case of the Beauly–Denny project in Scotland,June 2016,Wenche Tobiasson,Christina Beestermöller,Tooraj Jamasb,Female,Female,Unknown,Female,"The future of energy networks holds important technical, economic, and social challenges. Across Europe, the electricity grids are in need of modernisation to support the ongoing development of low carbon energy systems. In order to connect the large number of emerging renewable energy plants and integration of energy markets the networks need to expand. This holds across both distribution and transmission networks.Footnote 1 Meanwhile, larger development projects such as expansion of transmission networks tend to dominate the public debate, much due to their greater impact in terms of national importance, economic costs, environmental impacts, as well as their negative effect on neighbouring communities. Network developers face a number of constraints which may extend the planning process and delay a project—considering alternative project designs, negotiations with the regulator to justify the need case and cost efficiency, environmental constraints which will have to be considered, or a change in government policy—are a few of the potential issues. The focus of the present paper is on public and community opposition and, although not a new issue, it is proving to be an increasingly important aspect in planning and development of grid projects. Objections to large projects often relate to environmental, visual and health aspects (Soini et al. 2011), particularly from communities in close proximity to a planned development. Failure to agree between stakeholders leads to costly delays or even causes projects to be abandoned altogether. As a result, the potential for reaching the targets set for reducing carbon emissions and climate change, thus a green energy future, is in jeopardy (European Commission 2008). Grid development projects tend to affect a number of stakeholders—from state and local communities to NGOs, landowners and corporations—each with different objectives and perceptions of the project and surrounding matters. The existing decision-making processes and institutions have proven ineffective at resettling conflicts that appear between stakeholders, causing uncertainty and delays. Increased information provision and public engagement in transmission grid planning can increase public trust in network companies, public acceptance and therefore accelerate the realisation of new grid developments (RGI 2012; Newig and Kvarda 2012; Cotton and Devine-Wright 2010). The Aarhus Convention (European Community signed and implemented in 1998 and 2003 respectively) advocates early and effective public participation to increase the transparency of the planning and decision-making process. Public engagement implies the involvement of members of the public in policy-forming and policy development. The concept is not new but is becoming increasingly important in infrastructural developments. For example, a recent United Nations legal tribunal found that the UK government had failed to provide sufficient information and decision-making powers to the public regarding two major wind developments (UN 2014). However, despite the pressure through the Aarhus Convention there are no established guidelines, rules or frameworks defining how public participation ought to be formalised. Recent high-profile projects, such as the Norwegian Hardanger line and the Scottish Beauly–Denny line,Footnote 2 show that transmission projects increasingly involve vested social, economic and political interests. Noticeably, there is a need for new approaches for defining and organising the role and tasks of the actors, including the public and affected communities. Exploring project characteristics and stakeholder relations using an economic approach is previously untested but it can potentially generate several efficiency improvements. Based on the seminal works by Coase (1937) and Williamson (1979) on the role of institutions, rules, and norms, this paper analyses economic characteristics of transmission projects following an Institutional Economics approach. Additionally, using the contentious Beauly–Denny High Voltage Transmission Line project and input from previous literature, this paper outlines how public engagement may be approached to allow for a more efficient planning process. The paper is outlined as follows: Sect. 2 outlines the analytical framework and the economic characteristics of transmission developments and public engagement. Section 3 presents and discusses the case of the development of the Beauly–Denny transmission line. Section 4 concludes.",5
43,2,Journal of Industrial and Business Economics,25 January 2016,https://link.springer.com/article/10.1007/s40812-016-0028-7,CEO incentives in European energy utilities: evidence from regulated versus unregulated firms,June 2016,Carlo Cambini,Sara De Masi,Laura Rondi,Male,Female,Female,Mix,,
43,2,Journal of Industrial and Business Economics,23 April 2016,https://link.springer.com/article/10.1007/s40812-016-0032-y,Regulatory biases under local partial privatization,June 2016,Margherita Boggio,,,Female,Unknown,Unknown,Female,"Starting from the UK in the 1980s, countries all over the world (Bortolotti and Milella 2006) began privatizing many local services in the name of rationalizing and reducing public debt and expenditure (Vickers
and Yarrow 1991; Bortolotti et al. 2003), as well as increasing efficiency. However, governments still control -through voting rights and/or golden shares- a large portion of these privatized firms, particularly in strategic sectors such as utilities and transportation (Boubakri et al. 2009) which are characterized by bigger and more valuable companies. Bortolotti and Faccio (2009) show that not only have governmental shares not changed over time, but also that this phenomenon—defined as reluctant privatization—does not seem to have decreased the firms’ market value nor their performance. Different levels of government are involved: national governments, governmental agencies, and also local authorities. This is particularly true at the municipal level, with the local authority acting as the main shareholder in the majority of cases (Boubakri et al.2005). This could be due to the fact that the firms operating in some of these sectors (i.e. gas, electricity) are highly profitable; hence, local administrators can use them to counterbalance the negative results of firms operating in other (costly) sectors, or to increase their revenues through dividends, using them for other purposes, helping the local government to somehow elude budget constraints imposed by the central governmentFootnote 1. A recent research on the firms participated by the most important Italian local governments (Mediobanca 2014) highlights that in the 2003–2012 period local governments, as shareholders, have benefited from 2368 millions of euro from dividends, net of placement revenues, from the listed firms. The dividend yield is generally higher than that of a Government Bond. The capitalization of these firms at the beginning 2014 was nearly 9.3 billions of euro, representing around 3 % of the total value of listed industrial companies. Nonetheless, given that one of the key objectives of privatization is to make profit maximization the sole objective of the firm while also eliminating the political ones that typically characterize State Owned Enterprises (Shleifer and Vishny 1994; Boycko et al. 1996), the presence of this residual governmental control can create contrasting objectives. Parallel to the privatization wave, the European Commission started to promote independent regulation for public utilities, once again to improve their efficiency, and to increase quality and investments. Regulation has been gradually transferred from governmental branches to independent regulatory agencies, with varying degrees depending on sectors and industries. Liberalization for the telecommunication sector started with Directive 90/388, while Directive 96/92 and Directive 98/30 aimed at the electricity and gas market, respectively. In sectors such as water and local transport, liberalization is facing more resistance. In Italy, even if an independent regulatory agency has been set up for each of those sectors, local agencies still decide upon many regulatory issues. In local public transport, prices and quality are still a local matter. This gives rise to a twofold issue. The fact that municipal governments still retain high shares in the firms they should have privatized and that they in many cases still regulate, decreases not only the transparency of their relation with the firm’s manager (since they can distribute rents across players and also have better access to the manager’s information), but also the transparency to their electorate, since the local government’s political orientation can change the effect on outcomes, depending whether the political agenda is aligned or not with its objectives as a shareholder. The aim of this paper is to analyze how ownership structure and the level of regulatory decentralization interact when a local government is a member of the shareholders board in the regulated firm. For this purpose, we will approach a very common problem in regulation: the choice of the cost reimbursement rule under incomplete information regarding the efficiency of the firm. Our main results can be summarized as follows. Under asymmetric information, an important role is played by the social costs of public funds and by the multiprincipal problem. However, when regulation is decentralized, the double role of the local government generates a positive externality, mitigating the distortions generated by the incentive scheme. The rest of the paper is organized as follows. Section 2 gives an overview of the literature. In Sect. 3, the basic model is presented. In Sect. 4, the model will be extended allowing for a non-benevolent government. Section 5 draws the conclusions.",
43,2,Journal of Industrial and Business Economics,10 March 2016,https://link.springer.com/article/10.1007/s40812-016-0031-z,Multi-unit franchising strategies: a real options logic,June 2016,Francesco Baldi,,,Male,Unknown,Unknown,Male,"Franchising is an organizational form based on a contractual arrangement between two legally independent firms in which one party (franchisor) grants the other (franchisee) the right to sell a product or service developed and owned by the former using her business format (e.g., brand name, process) in a given location for a specified period of time in return for a lump sum payment and an annual, sales-based royalty fee (Rubin 1978; Hoffman and Preble 1993; Shane 1996a; Blair and Lafontaine 2011). Franchising is a proven business strategy worldwide. It has a multiplier effect in terms of enterprise creation, job generation and contribution to GDP growth. Indeed, about 30,000 franchise systems operate globally generating at least 2 million firms (World Franchise Council 2013) and accounting for almost 10–25 % of the GDP of most OECD countries. The U.S. franchising industry,Footnote 1 where a new franchise business opens approximately every 5–8 min of each business day, grows twice as fast as the rest of the economy since 2010 (3 % or $ 472 billion of GDP as of 2013, with a 4.5 % growth expected in 2014).Footnote 2 Besides fuelling entrepreneurial opportunities under favorable circumstances, it has also shown resilience throughout the recent recessions (e.g., the downturn of 2008–2009) maintaining job growth and minimizing losses.Footnote 3
 Research work on franchising, spanning various fields (including economics, strategy and marketing) and aspects (e.g., bargaining power, governance) (see for all Yin and Zajac 2004), can be classified into three main streams: (a) resource scarcity (RS); (b) administrative efficiency (AE); (c) risk management (RM). According to their combined interpretation of this phenomenon, the franchisor leverages capital of others, more motivated outlet owners and a portfolio of owned vs. franchised units properly allocated depending on the riskiness of locality.Footnote 4
 Growth and expansion go to the very essence of franchising.Footnote 5 Extant research has shown that firms that have created an easily replicable business model typically face two strategic alternatives to rapidly expand their operations and leverage their brand so as to reach new geographical or product markets with the aim of improving or preserving performance and competitive advantage. The first is the opening of new company-owned stores through which managers pre-commit to network expansion today passively exposing their firm to the future outcomes of such decision. The second entails pursuing a multiple (or multi-unit) franchise strategy, wherein the franchisor gives franchisees the right to own several outlets.Footnote 6
 Four main theories have been so far applied to help explain franchising: agency theory (AT), transaction cost economics (TCE), property rights (PR), resource-based view (RBV). Franchising typically occurs when: (1) it involves a trade-off between the costs of monitoring outlet managers and the cost of free riding (AT—Rubin 1978; Lafontaine 1992a); (2) parties make investments in specific assets that bond them together and align their interests in anticipation of future profit streams (TCE—Klein 1995); (3) franchisors are exposed to incomplete contracts due to the presence of non-contractible assets offered by franchisees (PR—Windsperger and Dant 2006); (4) centralized and local activities that can be loosely coordinated are combined to enhance value creation (RBV—Combs et al. 2004). Some take a franchisor’s perspective (AT, PR), others a franchisee’s (TCE, RBV). What such theories struggle to enlighten are operational extensions of franchising (e.g., multi-unit, plural form
Footnote 7) and their connectedness to the growth opportunities pursued by the parent company via establishment of a franchise system. Recent attempts exploit agency theory (Perryman and Combs 2012). In this domain, however, the corporate decision to grow via multiple franchising has not been analyzed with a view to accounting for how the flexibility to franchise or not (vis-à-vis the rigidity of investing into new own outlets), as uncertain market circumstances warrant, can drive performance. Indeed, to the best of our knowledge, no prior research has applied the real options logic to franchising.Footnote 8 In this study, we seek to fill the gap by proposing a theoretical framework and empirically investigating about the real options that underlie multi-unit franchise strategies. Our study makes three key contributions to the franchising literature. First, we combine the real options perspective with an organizational mechanism predominantly used by firms such as franchising advancing an options-based classification of multi-unit franchise strategies in an effort to better explicate franchising and its performance consequences. In this regard, we offer an integrative tool helping managers to identify and evaluate franchise investment opportunities that need to be made under uncertainty based on growth acceleration potential, network control features and type/degree of embedded managerial flexibility. Second, our analysis provides evidence drawn from the U.S. franchising industry that, besides supporting classical findings on franchising, highlights the key source of extra value brought in by optionality associated with multi-unit arrangements and their impact on network performance, which has not received attention in prior empirical research. Finally, we respond to the recent call for researchers to deliver complementary insights into what makes franchising work using alternative theories other than economic-based (e.g., agency theory), strategy-based (e.g., resource-based view) and social-psychological (e.g., relational marketing) approaches (Nijmeijer et al. 2014). To this end, the application of real options theory borrowed from finance in the context of franchising contributes to that “greater theoretical diversity” pointed out by Combs et al. (2004). This article proceeds as follows. Section 2 provides an overview of multiple franchising techniques. Section 3 develops the real options framework. Section 4 formulates the hypotheses grounded in the classical as well as the real options theory (ROT) of franchising. Section 5 contains the empirical analysis. Section 6 discusses the results and related implications for researchers, managers and policy-makers leading to conclusions drawn in Sect. 7.",3
43,2,Journal of Industrial and Business Economics,14 January 2016,https://link.springer.com/article/10.1007/s40812-016-0025-x,The dark side of social media game: the addiction of social gamers,June 2016,Mehrnaz Kalhour,Jhony Choon Yeong Ng,,Female,Unknown,Unknown,Female,"We used theoretical sampling to choose our participants. As we were interested in finding the drivers of the near-irrational virtual consumption behavior of social gamers, we focused our investigation on “big spenders”. By big spenders, we refer to those who have spent at least USD 1000 on a social game. We believed that this approach could help us in getting a better view of the behaviors of social gamers who have spent a lot of money on their social games, and this approach could also help in keeping our research focused and manageable. We first interviewed several social gamers whom we know personally to get their opinions on the type of social games that had the most “big spenders”. These interviewees were selected because they were “veteran social gamers” who had played many different types of social games, and they were thus a good source of information. Based on the results of the interviews, reflecting on what we gathered from the interviewees, we zeroed-into one specific social game that they considered “money burning”. Prior to the start of the data collection process, the first author of this paper created a game account and joined the game as a social gamer. To gain the trust of the other social gamers, and to have a better understanding of the rules and norms of the game, the researcher spent about half a year playing the game before the data collection phase was initiated. This gaining of trust phase was important to the data collection phase because a person’s lack of trust in another person will result in the restriction of information flow between the interacting parties (Ng, 2013), thus limiting the amount of valuable insights that one can obtain from an interview. Social gamers of the game compete with each other by using “power”. The information on a social gamer’s power can be found easily in the game’s “information of other players” function. One can increase one’s power by completing “tasks” in the game. The power accumulated will be reduced by the “battles” that social gamers took part in. The game has a variety of tasks that social gamers can undertake (e.g. research). Each task requires a different number of “waiting time” to complete. The task that has the shortest waiting time can be “completed” 1 day after the player has initiated the task, and the task that has the longest waiting time takes more than 1000 days. An alternative to wait for more than 1000 days is to spend money to buy “gold packs”. A gold pack that costs USD 100 can cut the waiting time of a task by 200 days. That is, if a social gamer wants to complete a 1000 day task immediately, instead of waiting, that social gamer can just spend USD 500 on the game to buy five gold packs. To become stronger than the other social gamers, one just has to spend more money on the game. “Dump in the money, and you will be the hero.” Social gamers of the game can gather to form communities called “alliances”. It is a type of guild in which members can communicate with each other and take part in group tasks. We studied the behaviors of big spenders by focusing on the alliance that was made up of social gamers who had the greatest amount of power. To be qualified to join the alliance, it was necessary for a social gamer to have more than 100 million powers (costs around USD 1000). The most powerful member of the alliance had 500 million powers (costs around USD 5000). Thus, if the 500 million powers social gamer lost a battle, the social gamer would need to spend another USD 5000 to get the power back. To stay in the alliance, the members had to engage in battles actively. This increased the chances of them losing their powers. If a social gamer’s power stayed below 100 million powers for a few days, the alliance leader would kick that person out of the alliance. Thus, to remain in the alliance, a social gamer had to spend a lot of money every now and then to keep their power high, so they can continue to stay in the “prestigious group”. Qualitative data were collected using semi-structured interviews. Samples of the guiding questions that we used include: How do you find the game? In average, how much time do you spend on the game? What does power means to you? What motivates you to spend continuously on the game? How do you feel when you are defeated by the other social gamers? What would you usually do? All interviews were conducted in the game’s chat channels (cf. Balci & Ali Salah, 2015; Ross & Collister, 2014). The first strength of this approach was that it was easier for the researcher to build relations with social gamers because of the “common interest” between the researcher and social gamers (the game). The affinity that the researcher had built with them over the past few months of interactions had reduced the possibility of the social gamers giving “fake answers”, and it also had increased the willingness of social gamers to participate in this research. The second strength of this approach was that the chat channel feature of the game saved the time of the researcher to transcribe the interviews conducted because all “interviews” conducted were “typed conversations” between the researcher and social gamers. We were interested in how social gamers would behave during their “normal games”. Hence, instead of asking a social gamer to talk in the game for a long period of time, we conducted our interviews in the form of several “small-chats”. For example, we would ask one question and discuss it over 10 min or so, and then we would discuss the rest of the questions over another short period of time when we met the person again. Another reason for us to conduct our interviews in this way was to fit the context of social games. Social gamers would usually access the game for multiple short durations. For example, one social gamer might go online and complete some “tasks”, and then go offline to continue with one’s usual live. After a couple of minutes, sometimes after a few hours, when the social gamer has the free time to go online, the social gamer will then access the game again to complete some other tasks. Thus, rather than asking social gamers to talk with us for a long period of time, it was better for us to conduct our interviews over several “small-chats”. In addition, different from the other traditional forms of academic research, we did not report the data on the participants’ demographics (for e.g., gender, wealth, education, etc.), nor did we rely on these data for our analyses. We did not make use of these data because of the questionable nature of the data that we might collect. Social gamers came from virtually all parts of the world. They came from all walks of lives. The beauty of social game is everybody from everywhere can get together and play the game together without bearing the burden of one’s background. It is unusual for one to mix one’s real life with one’s avatar. That is, it is unusual for one to really tell the other social gamers where one comes from and what one does. Even if one does so, we have practically no way to confirm these data. Thus, for the sake of prudency, we chose not to rely on the demographic data of the participants for this research. We admit that our approach has limited our ability to differentiate the nuances in the participants’ behaviors. For example, we could not explain the influence of factors such as gender, wealth, and education on the behaviors of social gamers. Nevertheless, insofar as virtual consumption behavior is concerned, we believed that our approach has not affected the quality of our research.",3
