Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1017385014395,Editors’ Introduction,March 2001,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1011517724873,The Microsoft Antitrust Case,March 2001,Nicholas Economides,,,Male,Unknown,Unknown,Male,,22
1.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1011516509852,Innovative Industries and Antitrust: Comments on The Microsoft Antitrust Case,March 2001,Franklin M. Fisher,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1011572626690,Comments on The Microsoft Antitrust Case,March 2001,Daniel P. O'Brien,,,Male,Unknown,Unknown,Male,,
1.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1011524710760,Comment on The Microsoft Antitrust Policy Case,March 2001,Francis O'Toole,,,Male,Unknown,Unknown,Male,,
1.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1011576827599,The Microsoft Antitrust Case: Rejoinder,March 2001,Nicholas Economides,,,Male,Unknown,Unknown,Male,,7
1.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1011528928507,Market Delineation and Product Differentiation,March 2001,Jonas Häckner,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1011533029416,"Patent Protection, Transnational Corporations, and Market Structure: A Simulation Study of the Indian Pharmaceutical Industry",March 2001,Carsten Fink,,,Male,Unknown,Unknown,Male,,10
1.0,2.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1012830529827,Geography and International Inequalities: The Impact of New Technologies*,June 2001,Anthony J. Venables,,,Male,Unknown,Unknown,Male,,47
1.0,2.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1012826530736,Market Structures with Multi-product Firms: Welfare Analysis and Policy Implications,June 2001,Alessandro Sembenelli,Davide Vannoni,,Male,Male,Unknown,Male,,
1.0,2.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1012830631644,Product Differentiation and Process R&D: The Trade-off Between Quality and Productivity in the Spanish Firm,June 2001,Rafael Llorca vivero,,,Male,Unknown,Unknown,Male,,3
1.0,2.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1012834715715,Privatization and Regulatory Reform in Brazil: The Case of Freight Railways,June 2001,Antonio Estache,Andrea Goldstein,Russell Pittman,Male,Female,Male,Mix,,
1.0,3.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1015268420311,Buyer Power and its Impact on Competition in the Food Retail Distribution Sector of the European Union,September 2001,Paul W. Dobson,Roger Clarke,Michael Waterson,Male,Male,Male,Male,,49
1.0,3.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1015269804381,Import Diversion under European Antidumping Policy,September 2001,Jozef Konings,Hylke Vandenbussche,Linda Springael,Male,,Female,Mix,,
1.0,3.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1015221921220,Import Competition and Labor Productivity,September 2001,Harry Bloch,James Ted McDonald,,Male,Male,Unknown,Male,,12
1.0,3.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1015273905290,Telecommunications in the United States and Changing Productive Efficiency,September 2001,Noel D. Uri,,,Male,Unknown,Unknown,Male,,2
1.0,4.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1019521325295,What Do We Know about Success and Failure of Mergers?,December 2001,Gunther Tichy,,,Male,Unknown,Unknown,Male,,47
1.0,4.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1019518909366,Merger and Acquisitions as Adjustment Processes,December 2001,J. Fred Weston,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1019571026204,What Do We Conclude from the Success and Failure of Mergers?,December 2001,Bruce R. Lyons,,,Male,Unknown,Unknown,Male,,2
1.0,4.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1019523110274,A Need For a Substantial Tightening of Merger Control? Comment on Tichy,December 2001,Andrea Coscelli,,,Female,Unknown,Unknown,Female,,
1.0,4.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1019575127113,What Do We Know about Success and Failure of Mergers?—Rejoinder,December 2001,Gunther Tichy,,,Male,Unknown,Unknown,Male,,2
1.0,4.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1019527211183,Competition Policy for High Technology Industries,December 2001,Stephen Martin*,,,Male,Unknown,Unknown,Male,,4
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020824803225,The California Electricity Crisis: Editors’ Introduction,June 2002,Carl Blumstein,Richard Green,,Male,Male,Unknown,Male,,
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020822720063,The History of Electricity Restructuring in California,June 2002,Carl Blumstein,Lee S. Friedman,Richard Green,Male,,Male,Mix,,
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020874704134,"High Natural Gas Prices in California, 2000–2001: Causes and Lessons",June 2002,James F. Wilson,,,Male,Unknown,Unknown,Male,,2
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020826920972,Boom and Bust in Power Plant Construction: Lessons from the California Electricity Crisis,June 2002,Andrew Ford,,,Male,Unknown,Unknown,Male,,32
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020878905042,The Issue of Governance and the Role of the Regulator: Lessons from the California Deregulation Experiment,June 2002,Michal C. Moore,,,Male,Unknown,Unknown,Male,,2
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020831021881,"A California Conundrum: Tradeoffs Among Rates, Reliability and the Environment During California’s 2000–2001 Energy Crisis",June 2002,David Gamson,,,Male,Unknown,Unknown,Male,,
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020883005951,California Customer Load Reductions during the Electricity Crisis: Did They Help to Keep the Lights On?,June 2002,Charles A. Goldman,Galen L. Barbose,Joseph H. Eto,Male,,Male,Mix,,
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020835122789,Simulating Effects of Business Decisions on Regional Economy Experience During the California Energy Crisis,June 2002,Ottie Nabors,George Backus,Jeff Amlin,Unknown,Male,Male,Male,,1
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020887106859,Second Generation Electricity Reforms in Latin America and the California Paradigm,June 2002,Hugh Rudnick,Juan-Pablo Montero,,Male,Unknown,Unknown,Male,,16
2.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1020839223698,Will California come to Europe? A Numerical Simulation,June 2002,Mark Lijesen,Hein Mannaerts,Machiel Mulder,Male,Male,Male,Male,,
3.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1025418218566,Vertical Restructuring (or Not) of the Infrastructure Sectors of Transition Economies,March 2003,Russell Pittman,,,Male,Unknown,Unknown,Male,,35
3.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1025474302636,"Antitrust Laws and the Relationship Between Mergers, Stock Prices and Industrial Production: A Cointegration Approach",March 2003,Kun-Ming Chen,Hsiu-Hua Rau,,,,Unknown,Mix,,
3.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1025426403545,Price Cap Regulation in the Cable Television Industry: Why was the Demand Stagnant?,March 2003,Yasuji Otsuka,Bradley M. Braun,,Male,Male,Unknown,Male,,1
3.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1025430520383,European Merger Control: Do We Need an Efficiency Defence?,March 2003,Fabienne Ilzkovitz,Roderick Meiklejohn,,Female,Male,Unknown,Mix,,
3.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1025482604454,Influences on Pricing and Markup in Segmented Manufacturing Markets*,March 2003,Harry Bloch,Michael Olive,,Male,Male,Unknown,Male,,6
3.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1025434721292,"Industry Classifications: Aim, Scope and Techniques",March 2003,Michael Peneder,,,Male,Unknown,Unknown,Male,,35
3.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/A:1025486722201,"On the Relationship Between Acquisitions, Divestitures and Innovations: An Explorative Study",March 2003,Cees van Beers,Bert M. Sadowski,,Male,Male,Unknown,Male,,4
4.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000029239.55756.e6,"Survey on Competing in Network Industries: Firm Strategies, Market Outcomes, and Policy Implications",March 2004,Heli Koski,Tobias Kretschmer,,Female,Male,Unknown,Mix,,
4.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000029240.85701.fc,Network Externalities and Competition Policy. Comments on Koski and Kretschmer,March 2004,Pierre Régibeau,,,Male,Unknown,Unknown,Male,,2
4.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000029243.39685.6f,The Competition Policy Approach in the New Regulatory Framework for Electronic Communications. Comments on Koski and Kretschmer,March 2004,Pierre-André Buigues,,,Unknown,Unknown,Unknown,Unknown,,
4.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000029241.35770.81,Competition and Regulation in Network Industries: Not an Easy Balance to Strike. Comments on Koski and Kretschmer*,March 2004,Stefano Vannini,,,Male,Unknown,Unknown,Male,,1
4.0,1.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000029242.58091.fa,Competing in Network Industries—A Rejoinder,March 2004,Heli Koski,Tobias Kretschmer,,Female,Male,Unknown,Mix,,
4.0,2.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000037355.82246.e0,Sunk Costs and the Entry Decision,June 2004,T.W. Ross,,,Unknown,Unknown,Unknown,Unknown,,
4.0,2.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000037356.85817.e0,Subsidizing Industry: An Empirical Analysis of Irish Manufacturing,June 2004,Mark Cassidy,Eric Strobl,,Male,Male,Unknown,Male,,5
4.0,2.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000037357.99142.40,Has Import Disciplined Swedish Manufacturing Firms in the 1990s?,June 2004,Nan Nan Lundin,,,,Unknown,Unknown,Mix,,
4.0,2.0,"Journal of Industry, Competition and Trade",,https://link.springer.com/article/10.1023/B:JICT.0000037358.43442.78,Who Survives in Japan? An Empirical Analysis of European and U.S. Multinational Firms in Japanese Manufacturing Industries,June 2004,Hideki Yamawaki,,,Male,Unknown,Unknown,Male,,6
