Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171505,Editorial,June 1988,Klaus F. Zimmermann,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171506,Bernard M.S. van Praag 1986/87 President of the European Society for Population Economics,June 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171507,The notion of population economics,June 1988,Bernard M. S. van Praag,,,Male,Unknown,Unknown,Male,,4
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171508,Population policy and individual choice,June 1988,M. Nerlove,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171509,Age structure and income distribution policy,June 1988,R. K. von Weizsäcker,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171510,Labour migration as a response to relative deprivation,June 1988,O. Stark,S. Yitzhaki,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171511,"Application of Granger-Sims causality tests to monthly fertility data, 1958–1984",June 1988,D. J. Macunovich,R. A. Easterlin,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171512,Call for papers,June 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171513,"First ESPE Congress and General Assembly in Rotterdam, 1987",June 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00171514,European Society for Population Economics Statutes,June 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00163884,On tests for sex preferences,October 1988,Siu Fai Leung,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00163885,Wage differentials due to gender,October 1988,N. Smith,N. Westergård-Nielsen,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00163886,An interest-group theory of population growth,October 1988,M. S. Kimenyi,W. F. Shughart II,R. D. Tollison,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00163887,The dependency ratio and optimum population growth,October 1988,A. Rodriguez,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00163888,"Merging populations, stochastic dominance and Lorenz curves",October 1988,O. Stark,S. Yitzhaki,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00163889,Call for papers,October 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00163890,"Second ESPE Congress and General Assembly in Mannheim, 1988",October 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00161476,"Age structure, education, and the transmission of technical change",February 1989,Evert van Imhoff,,,Male,Unknown,Unknown,Male,,10
1.0,3.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00161477,Age structure and capital dilution effects in neo-classical growth models,February 1989,Didier Blanchet,,,Male,Unknown,Unknown,Male,,7
1.0,3.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00161478,Temporary vs. permanent migration A decision theoretical approach,February 1989,Siegfried Berninghaus,Hans Günther Seifert-Vogt,,Male,Male,Unknown,Male,,10
1.0,3.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00161479,Household composition and optimal commodity taxes,February 1989,Ranjan Ray,,,Male,Unknown,Unknown,Male,,1
1.0,3.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00161480,"Diet, mortality and life expectancy A cross national analysis",February 1989,Vijayendra Rao,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00161481,Call for Papers,February 1989,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00166066,Demographic behavior and the welfare state,March 1989,Robert Moffitt,,,Male,Unknown,Unknown,Male,,
1.0,4.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00166067,Preschoolers with working mothers,March 1989,Evelyn L. Lehrer,,,Female,Unknown,Unknown,Female,,
1.0,4.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00166068,Intergenerational transfers in industrialised countries,March 1989,John Ermisch,,,Male,Unknown,Unknown,Male,,
1.0,4.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00166069,The old age security hypothesis and optimal population growth,March 1989,Benjamin Bental,,,Male,Unknown,Unknown,Male,,42
1.0,4.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00166070,Editorial collaborators,March 1989,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00166071,Announcements,March 1989,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00599176,Pierre Pestieau 1988 President of the European Society for Population Economics,March 1989,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00599177,The demographics of inequality,March 1989,Pierre Pestieau,,,Male,Unknown,Unknown,Male,,15
2.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00599178,Intergenerational effects on fertility Theory and evidence from Israel,March 1989,Leif Danziger,Shoshana Neuman,,Male,Female,Unknown,Mix,,
2.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00599179,Married women's retirement behavior,March 1989,Silvana Pozzebon,Olivia S. Mitchell,,Female,Female,Unknown,Female,,47
2.0,1.0,Journal of Population Economics,,https://link.springer.com/article/10.1007/BF00599180,Two earner family migration A search theoretic approach,March 1989,Daniel Mont,,,Male,Unknown,Unknown,Male,,5
