Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Productivity Analysis,04 December 2013,https://link.springer.com/article/10.1007/BF00161736,Measuring labor cost for productivity comparison,March 1989,Peter Chinloy,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Journal of Productivity Analysis,04 December 2013,https://link.springer.com/article/10.1007/BF00161737,Modeling technical progress and total factor productivity: A plant level example,March 1989,Edward C. Kokkelenberg,Sang van Nguyen,,Male,,Unknown,Mix,,
1.0,1.0,Journal of Productivity Analysis,04 December 2013,https://link.springer.com/article/10.1007/BF00161738,Economic performance and “frontier” efficiency: A product life-cycle approach,March 1989,Julien Van Den Broeck,Fernand Broeckx,Leonard Kaufman,Male,Male,Male,Male,,1
1.0,1.0,Journal of Productivity Analysis,04 December 2013,https://link.springer.com/article/10.1007/BF00161739,Kernel estimation for disequilibrium models for floorspace efficiency in retailing,March 1989,H. D. Vinod,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00157791,"Productivity gaps and capacity utilization in the manufacturing sectors of five OECD-countries, 1963–1982",June 1989,Klaus Conrad,Ralph Unger,,Male,Male,Unknown,Male,,3
1.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00157792,"Capacity, competiton and efficiency in hospitals: A nonparametric approach",June 1989,R. Färe,S. Grosskopf,V. Valdmanis,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00157793,Total factor productivity growth in banking: The Israeli banking sector 1979–1982,June 1989,Moshe Kim,Jacob Weiss,,Male,Male,Unknown,Male,,14
1.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00157794,A comparison of the rate of technical change between FmHA and non-FmHA farmers,June 1989,Richard Grabowski,Seyed Mehdian,,Male,Male,Unknown,Male,,3
1.0,3.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158752,Public sector productivity: the sensitivity of productivity indexes to alternative output measures and index number formulas,December 1989,Diane F. Primont,,,Female,Unknown,Unknown,Female,,
1.0,3.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158753,"The effect of defense program uncertainty on cost, schedule, and capital investment",December 1989,Norman Keith Womer,Katsuaki Terasawa,,Male,Male,Unknown,Male,,1
1.0,3.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158754,Finite sample evidence on the performance of stochastic frontier models using panel data,December 1989,Byeong-Ho Gong,Robin C. Sickles,,Unknown,,Unknown,Mix,,
1.0,4.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00160046,New techniques in the measurement of multifactor productivity,June 1990,Catherine Morrison,W. Erwin Diewert,,Female,Unknown,Unknown,Female,,6
1.0,4.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00160047,"Decomposing TFP growth in the presence of cost inefficiency, nonconstant returns to scale, and technological progress",June 1990,Paul W. Bauer,,,Male,Unknown,Unknown,Male,,136
1.0,4.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00160048,Productivity growth and the depletion of technological opportunities,June 1990,Leo Sveikauskas,,,Male,Unknown,Unknown,Male,,2
1.0,4.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00160049,An axiomatic framework of dynamic production,June 1990,Steven T. Hackman,,,Male,Unknown,Unknown,Male,,3
2.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158705,Efficiency measurement in the manufacturing firm,December 1990,Jeffrey L. Callen,,,Male,Unknown,Unknown,Male,,3
2.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158706,Productivity growth and regulation of P/L insurance: 1980–1984,December 1990,Mary A. Weiss,,,,Unknown,Unknown,Mix,,
2.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158707,A profit function approach to measuring productivity growth: The case of U.S. manufacturing,December 1990,Subhash C. Ray,Kathleen Segerson,,Male,Female,Unknown,Mix,,
2.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158708,A productivity study of the Norwegian building industry,December 1990,Rolf O. Albriktsen,Finn R. Førsund,,Male,Male,Unknown,Male,,16
2.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158709,"Energy use, technical progress and productivity growth: A survey of economic issues",December 1990,Ernst R. Berndt,,,Male,Unknown,Unknown,Male,,68
2.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156340,Marginal and total production cost indices: Theory and applications,July 1991,Michael R. Baye,Mary E. Deily,Dennis W. Jansen,Male,,Male,Mix,,
2.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156341,An axiomatic characterization of a generalized index of concentration,July 1991,Satya R. Chakravarty,Wolfgang Eichhorn,,Male,Male,Unknown,Male,,14
2.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156342,The importance of efficient use in the adoption of technology: A micro panel data analysis,July 1991,K. P. Kalirajan,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156343,Technical efficiency of Norwegian banks: The non-parametric approach to efficiency measurement,July 1991,Sigbjørn Atle Berg,Finn R. Førsund,Eilev S. Jansen,Male,Male,Unknown,Male,,77
2.0,2.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156344,Functional forms for technical change functions,July 1991,Thomas Mitchell,Daniel Primont,,Male,Male,Unknown,Male,,1
2.0,3.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00159729,Uncertainty and the measurement of productivity,October 1991,Elie Appelbaum,,,Male,Unknown,Unknown,Male,,16
2.0,3.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00159730,Nonparametric tests for optimizing behavior in production: Extensions to unobservable factors and superadditive technology,October 1991,A. Maindiratta,,,Unknown,Unknown,Unknown,Unknown,,
2.0,3.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00159731,"Producer price dispersion, real output, and the analysis of production",October 1991,Thomas A. Abbott III,,,Male,Unknown,Unknown,Male,,8
2.0,3.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00159732,A structure for classifying and characterizing efficiency and inefficiency in Data Envelopment Analysis,October 1991,A. Charnes,W. W. Cooper,R. M. Thrall,Unknown,Unknown,Unknown,Unknown,,
2.0,4.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156469,Incorporating ancillary measures of process and quality change into a superlative productivity index,February 1992,Dennis Fixler,Kimberly D. Zieschang,,Male,,Unknown,Mix,,
2.0,4.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156470,"Measuring total factor productivity, technical change and the rate of returns to research and development",February 1992,Sang V. Nguyen,Edward C. Kokkelenberg,,,Male,Unknown,Mix,,
2.0,4.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156471,Indirect productivity measurement,February 1992,Rolf Färe,Shawna Grosskopf,C. A. Knox Lovell,Male,Female,Unknown,Mix,,
2.0,4.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00156472,"The approximation capabilities of the minflex-Laurents, translog, and generalized Leontief forms",February 1992,Gary D. Thompson,Mark Langworthy,David Blough,Male,Male,Male,Male,,1
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158765,Editors' introduction,June 1992,Thomas R. Gulledge,C. A. Knox Lovell,,Male,Unknown,Unknown,Male,,
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158766,Efficiency and ownership in Swedish electricity retail distribution,June 1992,Lennart Hjalmarsson,Ann Veiderpass,,Male,Female,Unknown,Mix,,
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158767,A comparison of parametric and non-parametric efficiency measures: The case of Norwegian ferries,June 1992,Finn R. Førsund,,,Male,Unknown,Unknown,Male,,25
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158768,Allowing for inefficiency in parametric estimation of production functions for urban transit firms,June 1992,Bernard Thiry,Henry Tulkens,,Male,Male,Unknown,Male,,42
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158769,The relative efficiency of public versus private municipal bus firms: An application of data envelopment analysis,June 1992,Kuo-Ping Chang,Pei-Hua Kao,,Unknown,,Unknown,Mix,,
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158770,Productivity changes in Swedish pharamacies 1980–1989: A non-parametric Malmquist approach,June 1992,R. Färe,S. Grosskopf,P. Roos,Unknown,Unknown,Unknown,Unknown,,
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158771,Variation in productive efficiency in French workers' cooperatives,June 1992,Jacques Defourny,C. A. Knox Lovell,Aké G.M. G. N'gbo,Male,Unknown,Unknown,Male,,6
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158772,Technical inefficiency and productive decline in the U.S. interstate natural gas pipeline industry under the Natural Gas Policy Act,June 1992,Robin C. Sickles,Mary L. Streitwieser,,,,Unknown,Mix,,
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158773,Measuring technical efficiency in European railways: A panel data approach,June 1992,Henry-Jean Gathon,Sergio Perelman,,Unknown,Male,Unknown,Male,,36
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158774,"Frontier production functions, technical efficiency and panel data: With application to paddy farmers in India",June 1992,G. E. Battese,T. J. Coelli,,Unknown,Unknown,Unknown,Unknown,,
3.0,1.0,Journal of Productivity Analysis,,https://link.springer.com/article/10.1007/BF00158775,"Estimating efficiencies from frontier models with panel data: A comparison of parametric, non-parametric and semi-parametric methods with bootstrapping",June 1992,Léopold Simar,,,Male,Unknown,Unknown,Male,,105
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073462,Editors' introduction,June 1993,,,,Unknown,Unknown,Unknown,Unknown,,
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073463,Cost and technical change: Effects from bank deregulation,June 1993,David B. Humphrey,,,Male,Unknown,Unknown,Male,,65
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073464,Economies of scale and scope in French commercial banking industry,June 1993,Michel Dietsch,,,Male,Unknown,Unknown,Male,,15
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073465,Economies of scale and scope in French banking and savings institutions,June 1993,Ugur Muldur,Mohamed Sassenou,,Unknown,Male,Unknown,Male,,7
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073466,Comments on “Economies of scale and scope in French banking and savings institutions” by Ugur Muldur and Mohamed Sassenou,June 1993,Frank C. Wykoff,,,Male,Unknown,Unknown,Male,,
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073467,Productive performance of the French insurance industry,June 1993,F. Fecher,D. Kessler,P. Pestieau,Unknown,Unknown,Unknown,Unknown,,
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073468,Productivity and computers in Canadian banking,June 1993,Darrell Parsons,Calvin C. Gotlieb,Michael Denny,Male,Male,Male,Male,,30
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073469,Efficiency and productivity growth comparisons of European and U.S. Air carriers: A first look at the data,June 1993,David H. Good,M. Ishaq Nadiri,Robin C. Sickles,Male,Unknown,,Mix,,
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073470,Cost effects of mergers and deregulation in the U.S. Rail industry,June 1993,Ernst R. Berndt,Ann F. Friedlaender,Christopher A. Vellturo,Male,Female,Male,Mix,,
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073471,Provision of child care: Cost functions for profit-making and not-for-profit day care centers,June 1993,Swati Mukerjee,Ann Dryden Witte,,Female,Female,Unknown,Female,,8
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073472,"Efficiency, quality, and social externalities in the provision of day care: Comparisons of nonprofit and for-profit firms",June 1993,Anne E. Preston,,,Female,Unknown,Unknown,Female,,20
4.0,1.0,Journal of Productivity Analysis,09 July 2013,https://link.springer.com/article/10.1007/BF01073473,"On FDH efficiency analysis: Some methodological issues and applications to retail banking, courts, and urban transit",June 1993,Henry Tulkens,,,Male,Unknown,Unknown,Male,,361
