Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404645,Determinants of Child Labour in Indian States: Some Empirical Explorations (19612–1991),January 2003,D. P. Chaudhri,A. L. Nagar,E. J. Wilson,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404646,The Relevance of Investor Risk Classes in Ranking Fund Performance: An Application of the Extended Mean-Gini CAPM,January 2003,Karen Benson,Peter Pope,Robert Faff,Female,Male,Male,Mix,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404647,Persistence and Predictability of Skewness in Country Equity Market Returns,January 2003,Eric Lai,Robert Brooks,Robert Faff,Male,Male,Male,Male,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404648,Hoglex Demand Systems and Welfare Policy in Major Asean Developing Countries: A Bayesian Analysis Using Expenditure Unit Records,January 2003,Hikaru Hasegawa,Tran Van Hoa,Rebecca Ma. Valenzuela,,,Female,Mix,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404649,Measuring Price Responsiveness Under a Profit Maximization Framework,January 2003,Arunava Bhattacharyya,Subal C. Kumbhakar,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404650,Bilateral Merger a Note on Salant-Switzer-Reynolds Model,January 2003,Tarun Kabiraj,Arijit Mukherjee,,Male,Unknown,Unknown,Male,,4
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404651,A Tale of Two Indices: The Story of the NASDAQ and the SENSEX,January 2003,Kaushik Bhattacharya,G. P. Samanta,,Male,Unknown,Unknown,Male,,4
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404652,Small-Sample Forecasting Regression or Arima Models?,January 2003,Tilak Abeysinghe,Uditha Balasooriya,Albert Tsui,Unknown,Unknown,Male,Male,,8
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404653,The Effect of Education on the Timing of Marriage and First Birth in Pakistan,January 2003,Lata Gangadharan,Pushkar Maitra,,Female,Unknown,Unknown,Female,,13
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404654,A Study of Longterm Memory in Stock Market Prices Using Rescaled Range Analysis,January 2003,A. Chandra Babu,G. Arivarignan,Punithavathy Pandian,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404655,"Productivity, Wages and Human Capital",January 2003,Saibal Ghosh,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404656,"Economic Growth, Productivity Gains and Foreign Capital: A Comment",January 2003,T. Krishna Kumar,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404657,"Growth, Migration and Poverty: Some Corrections and Critical Comments",January 2003,P. K. Chaubey,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Quantitative Economics,01 January 2003,https://link.springer.com/article/10.1007/BF03404658,"Money Matters (Not Only, but Also)",January 2003,Romar Correa,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404591,Sustainable Economic Growth for India: An Exercise in Macroeconomic Scenario Building,January 2004,V. Pandit,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404592,Price Changes and Some Underlying Aspects of Measurement of Poverty,January 2004,Manoj K. Panda,Kali P. Rath,,Male,Female,Unknown,Mix,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404593,A Cross Country Comparison of Child Nutrition and Investigation of its Demographic Determinants,January 2004,Ranjan Ray,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404594,Evolving Weak-Form Informational Efficiency of Indian Stock Market,January 2004,G. P. Samanta,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404595,Energy Consumption Changes and CO2 Emission in India During Reforms,January 2004,Kakali Mukhopadhyay,Debesh Chakraborty,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404596,Estimating Costs of Children from Micro-Unit Records: A New Procedure Applied to Australian Data,January 2004,William E. Griffiths,M. A. Rebecca Valenzuela,,Male,Unknown,Unknown,Male,,2
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404597,Monte Carlo Analysis of Score Test-Based Corrections in the Presence of Time-Varying Covariates within the Log-Hazard,January 2004,Michael A. Nolan,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404598,Wavelet Analysis of the Bombay Stock Exchange Index,January 2004,Pratap Chandra Biswal,B. Kamaiah,Prasanta Kumar Panigrahi,Male,Unknown,Female,Mix,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404599,Sales Tax Policy Interaction Among the State Governments in India,January 2004,K. R. Shanmugam,R. Sthanumoorthy,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404600,An Econometric Analysis of Risk in Himachal’s Apple Production,January 2004,K. K. Kaushik,Sanju Karol,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404601,Var and Impulse-Response: A Note,January 2004,T. Krishna Kumar,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404602,Economic Growth and Productivity Gains from Capital Inflow: A Rejoinder,January 2004,Kanta Marwah,Lawrence R. Klein,,Female,Male,Unknown,Mix,,
2.0,1.0,Journal of Quantitative Economics,01 January 2004,https://link.springer.com/article/10.1007/BF03404603,Money and Banking: Select Research Papers by the Economists of Reserve Bank of India,January 2004,Pushpa Trivedi,,,Female,Unknown,Unknown,Female,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404604,M.J. Manohar Rao — Obituary,July 2004,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404605,Professor M.J. Manohar Rao: A Look Back At His Work,July 2004,Ajit Karnik,,,,Unknown,Unknown,Mix,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404606,Statistical Properties of a Composite Index as Estimator of a Single Latent Variable,July 2004,A. L. Nagar,Sudip Ranjan Basu,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404607,Economy-Wide Structural Modeling: The Changing Perspectives,July 2004,V. Pandit,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404608,Time-Frequency Analysis for Nonstationary Time Series,July 2004,D. M. Nachane,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404609,Measurement of Changes in Economic Welfare in India: 1970–2001,July 2004,R. Radhakrishna,C. Ravi,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404610,Growth and Stability in the Indian Economy in Post Reform Era: A Macro Econometric Evaluation,July 2004,B. B. Bhattacharya,Sabyasachi Kar,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404611,"Dynamics of the Relationship Between the Terms of Trade and the Trade Balance in Developing Countries of Asia, Africa and Latin America",July 2004,Ashok Parikh,Miyuki Shibata,,,Female,Unknown,Mix,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404612,Univariate Time-Series Analysis of Public Debt,July 2004,Indira Rajaraman,Abhiroop Mukhopadhyay,,Female,Unknown,Unknown,Female,,3
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404613,Strategy as Policy Making — Changing Facets in India,July 2004,Yoginder K. Alagh,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404614,Asymmetric Complementarity and Dynamic Optimization in Pharmaceuticals,July 2004,H. D. Vinod,P. M. Rao,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404615,Econometric Specification and Identification of the Behavior of Economic Agents,July 2004,T. V. S. Ramamohan Rao,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404616,Nonparametric Sharpe Ratio,July 2004,Debasri Mukherjee,Aman Ullah,,Unknown,Male,Unknown,Male,,
2.0,2.0,Journal of Quantitative Economics,01 July 2004,https://link.springer.com/article/10.1007/BF03404617,The Role Of Maternal Literacy in Reducing the Risk of Child Malnutrition in India,July 2004,Vani K. Borooah,,,Unknown,Unknown,Unknown,Unknown,,
