Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00150294,A test for regulatory lag and the role played by periodic contract renewals in mitigating such lag in local cable franchise relationships,March 1989,Mark A. Zupan,,,Male,Unknown,Unknown,Male,,6
1.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00150295,A role for preferred stock in the financing decision of a public utility,March 1989,Louis O. Scott,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00150296,An informational effect when regulated firms enter unregulated markets,March 1989,Tracy R. Lewis,David E. M. Sappington,,,Male,Unknown,Mix,,
1.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00150297,Firm/interruptible gas pricing patterns in a regulated environment,March 1989,Daniel R. Hollas,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00150298,A long-run cost allocation problem in the political economy of electric utility power pools,March 1989,Scott R. Herriott,,,Male,Unknown,Unknown,Male,,1
1.0,2.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00140019,Incentives for cost reduction under price cap regulation,June 1989,Luis M. B. Cabral,Michael H. Riordan,,Male,Male,Unknown,Male,,116
1.0,2.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00140020,"Regulatory standards, noncompliance and enforcement",June 1989,John Kambhu,,,Male,Unknown,Unknown,Male,,47
1.0,2.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00140021,Franchise bidding for natural monopoly: The case of cable television in Massachusetts,June 1989,Robin A. Prager,,,,Unknown,Unknown,Mix,,
1.0,2.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00140022,Regulating by capping prices,June 1989,Timothy J. Brennan,,,Male,Unknown,Unknown,Male,,116
1.0,2.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00140023,Optimal rate base additions and the regulated firm,June 1989,Robert H. Patrick,,,Male,Unknown,Unknown,Male,,3
1.0,2.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00140024,Pricing periods under rate-of-return regulation,June 1989,Roger Sherman,,,Male,Unknown,Unknown,Male,,5
1.0,2.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00140025,A note on the disinterest in deregulation,June 1989,Roger Frantz,Michael Naughton,,Male,Male,Unknown,Male,,
1.0,3.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00134956,Ramsey pricing of priority service,September 1989,Robert Wilson,,,Male,Unknown,Unknown,Male,,21
1.0,3.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00134957,Efficient menu structures for pricing interruptible electric power service,September 1989,Stephen A. Smith,,,Male,Unknown,Unknown,Male,,10
1.0,3.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00134958,Industrial cogeneration and regulatory policy,September 1989,Paulette Barclay,Douglas Gegax,John Tschirhart,Female,Male,Male,Mix,,
1.0,3.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00134959,An analysis of some aspects of regulatory risk and the required rate of return for public utilities,September 1989,Chang Mo Ahn,Howard E. Thompson,,,Male,Unknown,Mix,,
1.0,3.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00134960,"The effects of United States railroad deregulation on shippers, labor, and capital",September 1989,Henry McFarland,,,Male,Unknown,Unknown,Male,,25
1.0,3.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00134961,The rational regulator's pricing response to enhanced opportunities to “bypass” the public telephone network,September 1989,Lewis Evans,Steven Garber,,Male,Male,Unknown,Male,,2
1.0,3.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00134962,An expository note on depreciation and profitability under rate-of-return regulation,September 1989,Richard Schmalensee,,,Male,Unknown,Unknown,Male,,41
1.0,4.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139899,Public utility pricing and capacity choice under risk: A rational expectations approach,December 1989,Stephen Coate,John C. Panzar,,Male,Male,Unknown,Male,,16
1.0,4.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139900,The economics of deregulation of local exchange telecommunications,December 1989,Bruce C. Greenwald,William W. Sharkey,,Male,Male,Unknown,Male,,5
1.0,4.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139901,Optimal new-product pricing in regulated industries,December 1989,Gerald R. Faulhaber,James Boyd,,Male,Male,Unknown,Male,,6
1.0,4.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139902,Full price competition and Dupuit's defense of the long-and-short-haul “discrimination”,December 1989,Robert B. Ekelund Jr.,Yeung-Nan Shieh,,Male,Unknown,Unknown,Male,,10
1.0,4.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139903,A first-best regulatory tax for oligopoly,December 1989,Sherrill Shaffer,,,,Unknown,Unknown,Mix,,
1.0,4.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139904,Book reviews,December 1989,Michael A. Crew,Glenn A. Woroch,,Male,Male,Unknown,Male,,1
1.0,4.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139905,Editors' report,December 1989,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139359,Interruption insurance for generation and distribution of electric power,March 1990,Shmuel S. Oren,Joseph A. Doucet,,Male,Male,Unknown,Male,,21
2.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139360,The Public Utility Regulatory Policy Act and regulatory behavior,March 1990,Clifford Nowell,John Tschirhart,,Male,Male,Unknown,Male,,14
2.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139361,Cross-subsidization and cost misallocation by regulated monopolists,March 1990,Timothy J. Brennan,,,Male,Unknown,Unknown,Male,,47
2.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139362,The impact and politics of entry regulation on intrastate telephone rates,March 1990,Alan D. Mathios,Robert P. Rogers,,Male,Male,Unknown,Male,,10
2.0,1.0,Journal of Regulatory Economics,,https://link.springer.com/article/10.1007/BF00139363,Efficient electricity pricing with self-rationing,March 1990,Chi-Keung Woo,,,Unknown,Unknown,Unknown,Unknown,,
