Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055563,Editors' note,March 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055564,Status quo bias in decision making,March 1988,William Samuelson,Richard Zeckhauser,,Male,Male,Unknown,Male,,2887
1.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055565,Theory and individual behavior of first-price auctions,March 1988,James C. Cox,Vernon L. Smith,James M. Walker,Male,Male,Male,Male,,234
1.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055566,Risk aversion in bargaining: An experimental study,March 1988,J. Keith Murnighan,Alvin E. Roth,Francoise Schoumaker,Unknown,Male,Unknown,Male,,69
1.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055567,The law of large numbers and the attractiveness of compound gambles,March 1988,Chew S. H.,Larry G. Epstein,,Unknown,Male,Unknown,Male,,12
1.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056165,Editor's introduction,June 1988,W. Kip Viscusi,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056166,Measuring values: A conceptual framework for interpreting transactions with special reference to contingent valuation of visibility,June 1988,Baruch Fischhoff,Lita Furby,,Male,Female,Unknown,Mix,,
1.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056167,The marginal value of job safety: A contingent valuation study,June 1988,Shelby Gerking,Menno De Haan,William Schulze,,Male,Male,Mix,,
1.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056168,Consumer processing of hazard warning information,June 1988,Wesley A. Magat,W. Kip Viscusi,Joel Huber,Male,Unknown,Male,Male,,34
1.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056169,Learning about radon's risk,June 1988,V. Kerry Smith,William H. Desvousges,F. Reed Johnson,Unknown,Male,Unknown,Male,,25
1.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056138,Expected utility: An anniversary and a new era,September 1988,Peter C. Fishburn,,,Male,Unknown,Unknown,Male,,54
1.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056139,The value of changes in life expectancy,September 1988,Sherwin Rosen,,,,Unknown,Unknown,Mix,,
1.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056140,"Rank-dependent, subjective expected-utility representations",September 1988,R. Duncan Luce,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056141,Non-expected utility risk premiums: The cases of probability ambiguity and outcome uncertainty,September 1988,Uzi Segal,Avia Spivak,,Male,Female,Unknown,Mix,,
1.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00117640,Publisher's announcements,December 1988,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00117641,Ordinal independence in nonlinear utility theory,December 1988,Jerry R. Green,Bruno Jullien,,Male,Male,Unknown,Male,,80
1.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00117642,How a certain internal consistency entails the expected utility dogma,December 1988,Paul A. Samuelson,,,Male,Unknown,Unknown,Male,,1
1.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00117643,Aversion to one risk in the presence of others,December 1988,John W. Pratt,,,Male,Unknown,Unknown,Male,,82
1.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00117644,The effect of OSHA records-check inspections on reported occupational injuries in manufacturing establishments,December 1988,John W. Ruser,Robert S. Smith,,Male,Male,Unknown,Male,,20
2.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055709,"Risk, ambiguity, and insurance",April 1989,Robin M. Hogarth,Howard Kunreuther,,,Male,Unknown,Mix,,
2.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055710,Preferences for information on probabilities versus prizes: The role of risk-taking attitudes,April 1989,Paul J. H. Schoemaker,,,Male,Unknown,Unknown,Male,,26
2.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055711,An experimental test of several generalized utility theories,April 1989,Colin F. Camerer,,,Male,Unknown,Unknown,Male,,317
2.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055712,Decision analysis using lottery-dependent utility,April 1989,Joao L. Becker,Rakesh K. Sarin,,Unknown,Male,Unknown,Male,,12
2.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00055713,Erratum,April 1989,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056134,Retrospective on the utility theory of von Neumann and Morgenstern,June 1989,Peter C. Fishburn,,,Male,Unknown,Unknown,Male,,75
2.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056135,Probability and juxtaposition effects: An experimental investigation of the common ratio effect,June 1989,Chris Starmer,Robert Sugden,,,Male,Unknown,Mix,,
2.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056136,Deterministic transformations of random variables and the comparative statics of risk,June 1989,Jack Meyer,Michael B. Ormiston,,Male,Male,Unknown,Male,,39
2.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056137,Adjusting risky situations: A theoretical framework and empirical test,June 1989,Donald A. Wehrung,Kam-Hon Lee,Ilan B. Vertinsky,Male,Unknown,Male,Male,,13
2.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00209388,The impact of risk sharing on efficient decision,September 1989,John W. Pratt,Richard J. Zeckhauser,,Male,Male,Unknown,Male,,17
2.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00209389,Prospective reference theory: Toward an explanation of the paradoxes,September 1989,W Kip Viscusi,,,Unknown,Unknown,Unknown,Unknown,,
2.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00209390,Experimental markets for insurance,September 1989,Colin Camerer,Howard Kunreuther,,Male,Male,Unknown,Male,,36
2.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00209391,Laboratory experiments with a finite-horizon job-search model,September 1989,James C. Cox,Ronald L. Oaxaca,,Male,Male,Unknown,Male,,80
2.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00356860,The effect of airline pilot characteristics on perceptions of job safety risks,December 1989,Leon N. Moses,Ian Savage,,Male,Male,Unknown,Male,,8
2.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00356861,Risk aversion and the relationship between Nash's solution and subgame perfect equilibrium of sequential bargaining,December 1989,Alvin E. Roth,,,Male,Unknown,Unknown,Male,,18
2.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00356862,"Adaptive learning, adaptive utility, and rational behavior in a repeated prisoner's dilemma",December 1989,Michael J. Moore,Marian Chapman Moore,,Male,Male,Unknown,Male,,4
2.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00356863,Welfare analysis under uncertainty,December 1989,John M. Marshall,,,Male,Unknown,Unknown,Male,,2
2.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00356864,Choice of purchasing arrangements in insurance markets,December 1989,Kevin D. Cotter,Gail A. Jensen,,Male,,Unknown,Mix,,
2.0,4.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00356865,More on insurance as a Giffen good,December 1989,Eric Briys,Georges Dionne,Louis Eeckhoudt,Male,Male,Male,Male,,39
3.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00213257,Editorial announcement,March 1990,,,,Unknown,Unknown,Unknown,Unknown,,
3.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00213258,Inducing risk-neutral preferences: An examination in a controlled market environment,March 1990,James M. Walker,Vernon L. Smith,James C. Cox,Male,Male,Male,Male,,25
3.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00213259,Testing between alternative models of choice under uncertainty: Some initial results,March 1990,Raymond C. Battalio,John H. Kagel,Komain Jiranyakul,Male,Male,Unknown,Male,,156
3.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00213260,The cost of accidental death: A capital market approach,March 1990,Ivy E. Broder,,,Female,Unknown,Unknown,Female,,15
3.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00213261,A tale of two tails: An alternative characterization of comparative risk,March 1990,Michael Landsberger,Isaac Meilijson,,Male,Male,Unknown,Male,,18
3.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00213262,The value of information in anticipated utility theory,March 1990,Edward Schlee,,,Male,Unknown,Unknown,Male,,25
3.0,1.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00213263,Ross' measure of risk aversion and portfolio selection,March 1990,Josef Hadar,Tae Kun Seo,,Male,,Unknown,Mix,,
3.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056367,The logic of partial-risk aversion: Paradox lost,June 1990,John W. Pratt,,,Male,Unknown,Unknown,Male,,18
3.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056368,An experimental evaluation of the descriptive validity of lottery-dependent utility theory,June 1990,Richard L. Daniels,L. Robin Keller,,Male,Unknown,Unknown,Male,,12
3.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056369,The role of risk preferences in bargaining when acceptance of a proposal requires less than unanimous approval,June 1990,Joseph E. Harrington Jr.,,,Male,Unknown,Unknown,Male,,35
3.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056370,Dynamic processes in risk perception,June 1990,George Loewenstein,Jane Mather,,Male,Female,Unknown,Mix,,
3.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056371,The Becker-DeGroot-Marschak mechanism and nonexpected utility: A testable approach,June 1990,Zvi Safra,Uzi Segal,Avia Spivak,Male,Male,Female,Mix,,
3.0,2.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00056372,The impact of self-protection and self-insurance on individual response to risk,June 1990,Jason F. Shogren,,,Male,Unknown,Unknown,Male,,53
3.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00116781,The effect of probabilistic demands on the structure of cost functions,September 1990,Gregory M. Duncan,,,Male,Unknown,Unknown,Male,,16
3.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00116782,"Loss volatility, bankruptcy, and the demand for reinsurance",September 1990,Thomas J. Hoerger,Frank A. Sloan,Mahmud Hassan,Male,Male,Male,Male,,48
3.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00116783,"A “Pseudo-endowment” effect, and its implications for some recent nonexpected utility models",September 1990,Drazen Prelec,,,Unknown,Unknown,Unknown,Unknown,,
3.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00116784,Information evaluation under nonadditive expected utility,September 1990,Irving H. Lavalle,Yongsheng Xu,,Male,Unknown,Unknown,Male,,2
3.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00116785,"Expected utility, μ-σ preferences, and linear distribution classes: A further result",September 1990,Hans-Werner Sinn,,,Unknown,Unknown,Unknown,Unknown,,
3.0,3.0,Journal of Risk and Uncertainty,,https://link.springer.com/article/10.1007/BF00116786,OSHA enforcement and workplace injuries: A behavioral approach to risk assessment,September 1990,John T. Scholz,Wayne B. Gray,,Male,Male,Unknown,Male,,97
