Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of the Economic Science Association,07 July 2015,https://link.springer.com/article/10.1007/s40881-015-0012-4,Editors’ preface: introducing JESA,July 2015,Nikos Nikiforakis,Robert Slonim,,Male,Male,Unknown,Male,"One of the most important advances in economics in the past century was the development of a methodology for conducting controlled experiments. In the space of 50 years, experimental economists have made contributions to our understanding of markets, strategic behavior and individual decision making that transformed economic theory, influenced policy and helped shape public debate. Two milestones during this period were the establishment of the Economic Science Association (ESA) in 1986 to further economics as an observational science through controlled experiments, and the introduction of Experimental Economics in 1998—ESA’s first official journal—to serve the needs of the growing community of experimental economists. Today marks another milestone. It is our great pleasure to introduce the first issue of the Journal of the Economic Science Association. JESA is a ‘companion journal’ to Experimental Economics (EXEC) which raises two questions: (1) Why does the association need a new journal? (2) How are the two journals similar and, most importantly, how will they differ? This preface is dedicated to answering these questions.",10
1.0,1.0,Journal of the Economic Science Association,19 May 2015,https://link.springer.com/article/10.1007/s40881-015-0006-2,Fair weather avoidance: unpacking the costs and benefits of “Avoiding the Ask”,July 2015,Hannah Trachtman,Andrew Steinkruger,Justin M. Rao,Female,Male,Male,Mix,,
1.0,1.0,Journal of the Economic Science Association,24 February 2015,https://link.springer.com/article/10.1007/s40881-015-0001-7,Conformity in the lab,July 2015,Jacob K. Goeree,Leeat Yariv,,Male,Unknown,Unknown,Male,"Understanding the formation of herds is relevant to a variety of economic environments, ranging from voting behavior to fashion fads to financial market investments. The literature on herd formation is split into two strands. The psychology literature [see initial studies of Sherif (1937); Asch (1958)] suggests a preference-based explanation in which agents exhibit conformity, an intrinsic taste to follow others. In contrast, the economics literature [see Banerjee (1992); Bikhchandani et al. (1992)] has proposed an information-based model in which agents opt to ignore private signals and follow their predecessors’ choices when the latter provide a stronger statistical indication as to the best course of action. In such a setting, agents who appear to be blindly following their peers may simply be best responding. The goal of the current paper is twofold. First, to disentangle conformity from information based decision-making and inequality aversion. Specifically, to determine whether conformity plays a significant role in economic environments. Second, to establish the effects of institutions on the prevalence of conformist behavior. In particular, we explore the impacts of payoff externalities and incentive magnitudes on conformist behavior in the lab. Our experimental design allows subjects to choose between observing a statistically informative signal and the history of choices of preceding players who themselves chose to observe the history of choices of predecessors who chose the history of choices, etc. That is, subjects choose between a statistically informative signal and a pure word-of-mouth signal. Within this framework, we study two aspects of subjects’ decisions: whether they choose to observe the social word-of-mouth signal and whether, upon choosing such a signal, they follow the more popular action. In our experiments, a significant percentage of subjects choose to observe the social information. Upon observing the social information, a significant majority of subjects choose the prevalent action observed. Externalities, learning, or increased stakes do not mitigate the results. In particular, the motives to “conform” appear to outweigh both individual and strategic voting motives. There are several experimental contributions to the literature on information cascades that tie directly to the current paper.Footnote 1 Our experimental design is similar in spirit to that used in Anderson and Holt (1997) and Hung and Plott (2001) in order to test experimentally the original informational cascade model of Bikhchandani et al. (1992). Ultimately, both these papers illustrate the prevalence of cascades and their sensitivity to the institution used to aggregate group choices.Footnote 2 However, in these papers both social and statistical information are always provided and are not objects of choice. Our paper also relates to a few recent papers exploring information acquisition in the context of social learning. For instance, in Çelen and Hyndman (2012), subjects often paid a fee to observe another agent’s action that held information that was not useful. This is consistent with our results. In fact, we illustrate that even when predecessors’ actions hold no information at all, agents are willing to forego statistical information in order to observe historical choices. See also Kübler and Weizsäcker (2004) and work that followed.Footnote 3
 Last, our paper contributes to the literature on imitation. Some of that literature assumes agents mimic successful others and analyzes the likely outcomes [see, e.g., Vega-Redondo (1997) and references therein]. Furthermore, several papers have inspected experimentally the tendency of subjects to mimic successful agents, mostly in the context of oligopolistic competition [see, for instance, Offerman et al. (2002); Apesteguia et al. (2007)]. While that literature often uses evolutionary forces as a justification for agents’ following others who have done well, the current paper suggests agents’ taste for following others, even absent any performance information.",53
1.0,1.0,Journal of the Economic Science Association,19 May 2015,https://link.springer.com/article/10.1007/s40881-015-0005-3,Online field experiments: a selective survey of methods,July 2015,Yan Chen,Joseph Konstan,,Male,Male,Unknown,Male,"Field experiments allow researchers to combine the control of laboratory experiments with some of the ecological validity of field studies. Areas such as medicine (Lohr et al. 1986), economics (Harrison and List 2004), and social psychology (Lerner et al. 2003) have all incorporated field experiments in their research. One of the challenges of field experiments, however, is the substantial cost of conducting them, particularly at a sufficient scale for studying high-variance social phenomena. Online communities present a more practical and cost effective venue for conducting field experiments. Given sufficient access to a community of users and the software substrate for their community, researchers can study both short- and long-term effects of a wide range of manipulations. In this paper, we present an analysis of the design choices for online field experiments using representative studies from both Economics and Computer Science. Within Computer Science, we focus on two subfields, i.e., Human–Computer Interactions (HCI), and Computer-Supported Collaborative Work (CSCW). We first summarize current methods for conducting online field experiments, with particular emphasis on the underlying technologies, and then offer some insights and design advice for social scientists interested in conducting such studies. From the extensive catalog of online field experiments, we choose a representative set of academic studies which use a variety of technologies and cover a broad spectrum of online sites, including those focused on social networking (Facebook, LinkedIn), user-generated content (Wikipedia, MovieLens), e-commerce (eBay, Yahoo!), online games (World of Warcraft), crowdfunding (Kiva), and crowdsourcing (Google Answers, TopCoder, oDesk, Taskcn). Note that we do not include experiments conducted on Amazon’s Mechanical Turk, as they have been covered in a separate survey (Horton et al. 2011). Nor do we include experiments conducted on platforms designed for behavioral experimentation, such as LabintheWild (Reinecke and Gajos 2015) and TestMyBrain (Germine et al. 2012). We also note that IT companies, including Amazon, eBay, Facebook, Google, LinkedIn, Microsoft, Netflix, ShopDirect, Yahoo, and Zynga, conduct a large number of commercial online field experiments, sometimes called A/B testing, to evaluate new ideas, guide product development, and improve interface design.Footnote 1 Although the vast majority of these experiments are not intended for publication and are thus not discussed here, the veracity of these studies nonetheless primarily depends on the same methodological issues academic researchers are concerned with that we discuss in this paper.",24
1.0,1.0,Journal of the Economic Science Association,25 April 2015,https://link.springer.com/article/10.1007/s40881-015-0007-1,Stated and revealed inequality aversion in three subject pools,July 2015,Benjamin Beranek,Robin Cubitt,Simon Gächter,Male,,Male,Mix,,
1.0,1.0,Journal of the Economic Science Association,07 May 2015,https://link.springer.com/article/10.1007/s40881-015-0011-5,Communication in legislative bargaining,July 2015,Andrzej Baranski,John H. Kagel,,Male,Male,Unknown,Male,"The Baron-Ferejohn (1989; BF) legislative bargaining model is one of the most popular, if not the most popular, formal model of the legislative bargaining process. It has been explored experimentally under a variety of different specifications including variations in the size of the committee, in voting rules, whether proposals can be amended, and a number of other variations (see Palfrey 2015 in press, for a review). These experiments provide clear qualitative support for the BF model in that minimum winning coalitions (MWC) are quite common, proposals typically pass without delay, and proposers exercise some power achieving higher payoffs than other members of the winning coalition. However, proposer power is substantially weaker than the stationary sub-game perfect equilibrium (SSPE) predicts. One central element of the legislative bargaining process as it occurs outside the lab, but has been largely missing in these experiments, is pre-play communication between proposers and voters. Under the standard bargaining model, there is no need for pre-play communication; it is assumed that risk neutral players can compute the continuation value of the game, and the only thing that matters is own income. However, past experiments have shown considerable heterogeneity in the payoffs individual players require to secure their vote, so proposers cannot identify voters with the lowest reservation values as coalition partners.Footnote 1 As such, at a minimum, what communication can do is to permit potential coalition partners to signal acceptable offers and, in the case of multilateral bargaining, permit proposers to take advantage of competition between potential coalition partners to elicit their lowest acceptable offers. Of course, given that pre-play communication is not binding, it is possible that coalition partners will exaggerate their lowest acceptable shares. Alternatively, if the cost of delay is not too high, voters might state very low reservation values with the idea of voting against the proposed allocation and getting a better deal, or having the chance to become the proposer when the bargaining continues. In addition, there is some evidence from bilateral bargaining games (Rankin 2003) and the dictator games (Andreoni and Rao 2011) that communication results in more equal payoffs between bargainers compared to the no communication case. Our game involves three player groups with $30 to be distributed under majority rule and no discounting of payoffs following a rejected proposal. The first question addressed is whether permitting free form communication increases proposer power relative to the no communication case. The unambiguous answer is that it results in a substantial increase, with proposers’ earnings averaging 63.7 % of the available money in the last five bargaining rounds compared to 66.7 % predicted under the SSPE, and 48.3 % for the no communication control treatment. This significant increase in proposer power is achieved with a slight increase in the frequency with which initial proposals are accepted, consistent with increased voter acceptability of the sharp increase in proposer power with communication. The second question posed is: What is the mechanism underlying this increase in proposer power? For this, we look at the dialogues between proposers and potential coalition partners. Three bargaining styles are identified: (1) Proposers actively solicit voters’ lowest acceptable offers to get them to compete to be included in an MWC (strong proposer bargaining; 29.4 %), (2) Proposers bargain with potential coalition partners within the context of achieving an “equitable” allocation between all three players (weak proposer bargaining; 7.1 %), and (3) Potential coalition partners initiate the bargaining, making offers to proposers while frequently calling for a zero allocation for the redundant voter (voters initiated bargaining; 50.6 %). We also compare potential coalition partners’ reservation shares to what they were allocated and the extent to which they renege on these commitments. Here, it is not unusual for proposers to reject rock bottom shares, with voters offering to accept significantly lower shares, more likely to renege on these low offers, compared to somewhat higher offers. Further, it is not uncommon for proposers to offer shares a little above what was requested, which significantly increases the probability that their proposal will be accepted. The experiment that is closest to ours is Agranov and Tergiman (2014) who also investigate the BF model with nonbinding communication. There are a number of potentially important differences in our experimental design and theirs.Footnote 2 Our main experimental treatment involves “closed door” bargaining with bilateral communication between proposers and their potential coalition partners, with no communication permitted between voters (think of secret legislative negotiations). In contrast, Agranov and Tergiman permit communication between potential coalition partners, as well as public communication between all players, which is more akin to a double auction market, with strong downward pressure on shares toward the equilibrium outcome. Of potentially more importance, in their experiment the money to be allocated shrinks by twenty percent following rejected offers, which puts strong pressure on accepting lower shares, thereby enhancing proposer power, as well as discouraging voters from forming blocking coalitions in an effort to obtain a better outcome. Finally, our experiment involved three bargainers, theirs five, so that it would be somewhat easier to coordinate the formation of a blocking coalition in our design. In spite of these differences in experimental design, both yield the same main result: permitting cheap talk into the Baron-Ferejohn legislative bargaining process substantially increases proposer power. However, there is an even greater increase in proposer power in our experiment than in theirs. Motivated by these minor differences we conducted a second, “open door”, communication treatment, the same in all respects to our closed door treatment, but with their open door communication. This too results in a sharp increase in proposer power compared to the no communication control, albeit with a somewhat weaker increase in proposer power compared to closed door communication. The results of this treatment are briefly discussed in the results section, with details provided online (Online Supplementary Material).",41
1.0,1.0,Journal of the Economic Science Association,27 May 2015,https://link.springer.com/article/10.1007/s40881-015-0008-0,Game form misconceptions are not necessary for a willingness-to-pay vs. willingness-to-accept gap,July 2015,Björn Bartling,Florian Engl,Roberto A. Weber,Male,Male,Male,Male,"A recent article by Cason and Plott (2014) argues for caution in drawing inferences about non-standard preferences from choice data using experimental value elicitation procedures, such as the mechanism introduced by Becker et al. (1964, henceforth, BDM). This argument raises challenges to parts of the behavioral literature, especially the literature on willingness-to-pay (WTP) vs. willingness-to-accept (WTA) gaps—i.e., the tendency for subjects endowed with an object to state higher valuation for the object than subjects not endowed with it—which is one of the most widely studied phenomena in behavioral economics (see, e.g., Kahneman et al. 1991; Ericson et al. 2014). Cason and Plott support their argument with evidence that a systematic bias in subjects’ stated valuations for an item with a known dollar value is reflective of subjects’ misunderstanding of the game form—that is, subjects systematically fail to understand the incentive properties of the BDM mechanism and therefore over-report their WTA. Specifically, Cason and Plott conduct a classroom experiment in which they endow subjects with a card that is redeemable from the experimenter for $2, and allow subjects to state sales price offers through the BDM procedure. A random posted price between $0 and an upper price limit ranging from $4 to $8 is generated, and a subject sells his card to the experimenter only if this posted price exceeds the subjects’ stated offer price. Using this design, Cason and Plott find that a large majority of subjects (83 %) do not select offers within 5 cents of the dominant strategy of $2. This frequency of apparently confused subjects decreases, to 69 %, with feedback and repetition. Moreover, subjects’ offers are biased upward, and are also influenced by the upper range of the distribution from which the posted prices are drawn. From this evidence, Cason and Plott argue that studies in which researchers attempt to make inferences about preferences from experiments using the BDM elicitation procedure should be taken with caution. The possibility that game form misconceptions may account for behavior inconsistent with standard models of choice in some experiments is intriguing—indeed, this seems to be the case in Cason and Plott’s experiment. In this paper, we ask if game form misconceptions are necessary to produce such data, or whether WTP-WTA gaps are observed even among subjects with no apparent misconceptions about the incentive properties of the BDM. To test whether subjects’ misunderstanding of the incentive properties of the BDM mechanism is necessary in order to observe WTP-WTA gaps, we follow the recommendation that “experimental procedures should be designed to avoid ‘subject misconceptions’” (Plott and Zeiler 2005). But, we also go further and focus the analysis on those subjects for whom we have evidence that there is no misconception. If subject misconceptions about the BDM procedure are largely absent, but subjects’ choices nevertheless exhibit significant WTP-WTA gaps, then we can exclude that the observed behavior is entirely driven by mistakes in understanding the incentive properties of the BDM. To address this question, we conduct a valuation experiment in which subjects are randomly assigned to the role of either buyer or seller and where we elicit, respectively, subjects’ WTP or WTA values. Our experiment consists of two parts. First, in Part I, we elicit buying and selling prices for a card worth precisely 8.50 Swiss francs (CHF). We employ a price-list representation of the BDM procedure, in which subjects are presented with a series of prices and asked, for each price, whether they are willing to trade at that price (Kahneman et al. 1990; Murphy et al. 2010). Part II of the study is identical to Part I, except for exactly one difference: in Part II subjects do not trade an object of induced value (a card worth 8.50 CHF) but instead an item with private and heterogeneous valuation—a box of chocolates. Furthermore, after subjects indicate their choices in each part, but before they can finalize their choices, we also require them to identify the actual payoff consequences for each choice and, in case they make a mistake, we provide feedback and ask them to correct their mistake. Hence, all subjects, at the time of implementing a choice, have correctly entered all of the payoff consequences from their choices. Moreover, we can identify those subjects who entered their payoffs correctly on the very first attempt. These procedures allow us to identify a subset of subjects who satisfy three conditions that are likely to mean they understand the BDM mechanism and its payoff consequences. First, we consider only subjects who provide payoff-maximizing valuations in Part I, where values are common and known. Second, we further eliminate any subjects who do not enter their payoffs entirely correctly on their first attempt in Part I. Third, we also eliminate subjects who do not enter their payoffs correctly on their first attempt in Part II, when bidding or offering prices for the box of chocolates. Hence, what remains are subjects who (1) make optimal choices in the BDM with known value, (2) identify all payoff consequences correctly in the BDM with known value on their first attempt, and (3) identify all payoff consequences correctly in the BDM for the box of chocolates on their first attempt. These “sophisticated” subjects are unlikely to have misconceptions about the BDM game form. We test whether a WTP-WTA gap for the object of unknown value—the box of chocolates—still obtains within this subset of our population. Our main result is that, looking only at the subjects with no apparent game form misconception, we nevertheless replicate a strong WTP-WTA gap in Part II. Hence, WTP-WTA gaps obtain even among a population for which misconception of the incentive properties of the BDM mechanism is likely not an issue. However, while we observe that a majority of subjects, 70 %, provide the payoff-maximizing valuation in Part I of the experiment, we also observe that 30 % do not. Hence, we confirm the limitations of the BDM as a valuation mechanism observed by Cason and Plott (2014), providing support for their claim that caution is warranted when relying on valuations elicited with this mechanism due to subject miscomprehension of the incentive properties. Before proceeding to our design and results, we note that we do not attempt to provide evidence supporting any particular explanation for WTP-WTA gaps. Thus, we make no claims that the WTP-WTA gap in our data is driven by loss aversion, or whether it results from other behavioral phenomena, such as misperception of the value of a commodity or alternative sources of utility or disutility (cf. Plott and Zeiler 2005, 2007; Weaver and Frederick 2012). Instead, our simpler goal is to test whether game form misconceptions are a necessary condition to produce WTP-WTA gaps, or whether such gaps obtain even when such misconceptions are absent.",27
1.0,1.0,Journal of the Economic Science Association,25 February 2015,https://link.springer.com/article/10.1007/s40881-015-0002-6,Dishonesty under scrutiny,July 2015,Jeroen van de Ven,Marie Claire Villeval,,Male,Female,Unknown,Mix,,
1.0,1.0,Journal of the Economic Science Association,09 May 2015,https://link.springer.com/article/10.1007/s40881-015-0010-6,An experimental study of leadership institutions in collective action games,July 2015,Selhan Garip Sahin,Catherine Eckel,Mana Komai,Unknown,Female,Female,Female,"Free riding and coordination failures are two common problems in collective action. Economists have emphasized leadership as a viable solution to such collective action problems, and recent experimental research has explored the effectiveness of leadership in improving cooperation and coordination. We construct parallel standard linear and weakest-link public good games, and examine the effectiveness of two common leadership institutions: leading by example, where a leader moves first and is observed by others; and leading by suggestion, where a leader makes a “cheap talk” suggestion of a choice for each member of a group. Much of the extensive research in economics on leadership can be categorized based on four important characteristics. First is the set of actions that the leader may take. Some leaders lead by making a costly commitment such as their own participation as a first mover in the project (Hermalin 1998; Vesterlund 2003; Potters et al. 2005, 2007; Komai et al. 2007; Komai and Stegeman 2010). In most cases, these leaders are simply first movers with observable actions (Moxnes and van der Heijden 2003; Bardsley and Sausgruber 2005; Guth et al. 2007; Levy et al. 2011; Gächter et al. 2012; Jack and Recalde 2015).Footnote 1 Others lead by sending their followers a cheap talk signal such as making a simple suggestion (Wilson and Sell 1997; Levy et al. 2011; Houser et al. 2014). In a typical experiment these messages are sent by a leader, who is also a participant in the game; strategies (such as contribution levels) are chosen both by the followers and the leader herself after the signals are sent. A second characteristic is the type of collective action in question. Most papers focus on leadership in linear public goods games, most using the voluntary contribution mechanism, in which free-riding is the dominant strategy (e.g., Guth et al. 2007). A number of papers, however, address leadership in coordination games (e.g., Brandts et al. 2007). Several have designed games that simultaneously capture both the free-riding problem and coordination failures (e.g., Komai and Stegeman 2010; Komai et al. 2011). Third is the way in which leaders are selected. In most research in experimental economics, leaders are randomly-selected players who occupy the leadership position. However, selecting the leader, whether by a transparent procedure (Kumru and Vesterlund 2010; Eckel et al. 2010), by volunteering (Arbak and Villeval 2013; Rivas and Sutter 2011), or by election (Brandts et al. 2014; Grossman and Baldassarri 2012; Jack and Recalde 2015) substantially improves the leader’s effectiveness. In our study, leaders are selected according to their score on a 10 question trivia quiz, thus enhancing the legitimacy, and perhaps effectiveness, of the leader.Footnote 2
 A fourth characteristic is the information structure in which the leader operates. The leader may have no informational advantage, in which case he serves primarily as a role model or coordination device (as in Moxnes and van der Heijden 2003); or he may have access to information that the followers do not (as in Potters et al. 2005, 2007; see Footnote 1 for additional studies). Our study focuses on the first condition, and does not consider the very important issue of informational advantage. In this paper, we compare, under complete information, the effectiveness of two leadership institutions in two different collective action settings: a linear public good game (Isaac and Walker 1988) in which the dominant strategy of a selfish player is to free ride on others by contributing zero, and a weakest link coordination game (Van Huyck et al. 1990), in which the optimal strategy of any player depends on the actions of others. The games are repeated for 20 periods in stable groups. We consider an “Exemplar” leadership institution in which a first mover makes a commitment in the form of an actual contribution: This institution is known as “leading by example”. A second institution introduces a “Manager” in which a first mover makes cheap talk suggestions to the team members before contributions are selected: This institution could be termed, “leading by suggestion”. The two games are parallel. Free riding in the linear public good game and coordination failures in the weakest link public good game limit efficiency. Ours is the first paper (to our knowledge) that brings together two different leadership styles in directly comparable linear public goods and weakest link games. Results in the weakest link game reveal strong coordination failure in the absence of leadership. Both leadership institutions significantly reduce coordination failure. Leading by suggestion seems more effective than leading by example in the first period but it loses its advantage over time. Results in the linear public good game also show strong evidence of free riding in the absence of leadership. The free riding problem in the linear public good game, however, does not seem as severe as the coordination failures in the weakest link game; in the sense that in the absence of a leader total contributions in the weakest link game are much smaller than those in the linear public good game. According to our results neither of the leadership institutions seem effective in the linear public good game. Subjects who choose to free ride continue to do so with or without leaders and subjects who choose to be cooperative do not get discouraged by others’ lack of cooperation. Section 2 explains our public good games. Section 3 presents our experimental procedure. Sections 4 and 5 present our results. Section 6 concludes the paper and discusses the replication of previous studies.",34
1.0,1.0,Journal of the Economic Science Association,07 May 2015,https://link.springer.com/article/10.1007/s40881-015-0004-4,Subject pool recruitment procedures: organizing experiments with ORSEE,July 2015,Ben Greiner,,,Male,Unknown,Unknown,Male,"The subject pool is the most precious resource of the experimental economist. It is the source of our data and insights, and a necessary condition for our academic work. Dealing with it mindfully and cautiously is not only a requirement of human subject research ethics, but also a precondition of valid data and valid conclusions from an experimental study. There are several reasons why we should care about recruitment procedures (and this list is not exhaustive): To minimize unobserved or unwanted selection effects, and to fully control for selection criteria imposed for the purpose of the research project (for example, based on subject demographics or participation in previous studies); To prevent multiple participations of the same person in an experiment since this may invalidate the data and conclusions; To minimize the direct costs of both recruitment and maintaining a subject pool; and To ensure that we obtain exactly the right number of participants, not too many (which is costly in terms of turn-away fees) and not too few (which is even more costly due to a potentially insufficient number of observations, or required minimum group sizes). In the early days of experimental economics, before the rise of the Internet and database-backed web applications, a wide range of procedures were used to recruit participants for economic experiments. This included having troops of research assistants approaching people individually, and distributing hundreds of leaflets and signup lists across campus. Since the days of e-mail technology, long (and often inaccurate) e-mail lists have been maintained. Participation would be tracked using Excel lists to prevent multiple participations, but with less than perfect results. The Online Recruitment Software for Economic Experiments (ORSEE) was introduced in 2003, one of the first of its kind.Footnote 1 ORSEE is a software tool that allows researchers to schedule experiment sessions and recruit participants. It tracks experiment participation and provides information about the subject pool and recruitment procedures of a study. This software aims to simplify the organization of economic laboratory experiments and to reduce its cost, to allow for the standardization of the procedures of experiment organization, to depersonalize the experimenter–subject interaction, and to provide information and statistics about the subject pool and recruitment procedures. In terms of the critical aspects of recruitment, using ORSEE immediately reduces the costs of subject recruitment (point 3 above) by saving valuable research assistant time, and makes recruitment more efficient. The database-backed system is also able to effectively prevent multiple participations in the same experiment (point 2), conditional on that each subject holds only one account in the system. (This can be enforced, for example, by requiring subjects to use their student ID or university e-mail address when registering for the subject pool.) A set of strict laboratory rules combined with a reputation system that tracks no-shows can effectively reduce the variability in the number of participants who show up for sessions (point 4). The trickiest issue is selection (point 1). In the context of ORSEE, the selection can take place at two different stages: (1) during registration for the subject pool database, and (2) during the enrolment for sessions of a particular experiment. The means of a recruitment software to address the first stage of selection into the recruitment database are limited. Such selection will largely depend on the laboratory’s efforts to attract students and other populations to create profiles in the system.Footnote 2 However, at the second level of selection into experiments, ORSEE can help to reduce selection biases in various ways. Both stages of selection are likely affected by similar factors. While there is a large and growing literature on whether student samples are representative of broader populations, there is surprisingly little research on non-random selection of students into participation in laboratory experiments. Cleave et al. (2013) studied the total selection effect over both stages by first running trust games and lottery choices with the total number of students in an introductory microeconomics course, and then examined whether the 12 % of the initial population who later enrolled in the database and signed up for an experiment differed from the original population. They found no difference in risk or social preferences among those who signed up compared to the population. Similarly, Falk et al. (2013) examined whether students who donated to a charity were more likely to participate in laboratory experiments than students who did not, but also found no effect. Harrison et al. (2009) and Slonim et al. (2013) directly recruited for experiment sessions. Harrison et al. (2009) varied the spread of earnings advertised in the recruitment e-mail sent to potential subjects, and found that participants who signed up in response to a recruitment e-mail advertising a lower variance were less willing to take risks in the laboratory experiment. Slonim et al. (2013) obtained demographics and choices in a variety of games from a full sample of an undergraduate microeconomics class. The students were then invited to take part in economic experiments. The authors found strong demographic effects of selection into experiments: those with less income, more leisure time, more interest in economics, and who were more pro-social were more likely to participate in laboratory experiments.Footnote 3 Based on the literature and their own results, Slonim et al. (2013) made recommendations to reduce selection biases in experiments: high rewards or even compulsory course credits, short laboratory sessions, convenient laboratory locations, and providing as little information as possible about experiments when recruiting. They also discussed possible econometric ways to compensate or correct for selection effects. ORSEE addresses selection to experiments in the following ways: Extensive participant statistics which can be aggregated at various levels of the subject pool allow the researcher to get an in-depth picture of the subject pool she is going to recruit from. The use of an impersonal software for recruitment, generic e-mail templates, an institutional laboratory e-mail address, a public generic name for experiments etc. all aim to reduce experimenter-subject interaction in the recruitment and prevent biases due to too much information in the recruitment process. A sophisticated query tool that allows researchers to counterbalance an existing non-representativeness of the subject pool compared to the university population, as well as demographics-based enrollment biases. The ORSEE recruitment report facilitates ex-post assessment of the extent of selection bias through detailed comparative subject pool statistics at three levels: the complete subject pool, the pool of eligible subjects, and the subset of subjects who eventually enrolled and participated in the study. These data may be of use to control for biases econometrically (Slonim et al. 2013). Using ORSEE provides another advantage in the evaluation process of experimental research: since it standardizes recruitment procedures to a certain extent, there is additional value (other than complying with ORSEE’s license) to mention the use of this software in the recruitment of experiment subjects, as researchers/reviewers familiar with ORSEE will know immediately how subject recruitment was organized. The wealth of information collected in the system and provided by the ORSEE recruitment report also facilitates the replication of experimental studies down to the details of the recruitment procedures. Researchers wishing to replicate a previous study can use the same selection conditions, the same messages, and follow the exact same timing as in the original study, provided both laboratories use ORSEE for recruitment. That said, one guiding principle in the design of ORSEE is to make it as flexible as possible, and accommodate as many research procedures as possible under the general architecture. In the end, the researcher and the laboratory as an institution will be responsible for proper recruitment procedures and efforts to reduce selection biases. ORSEE provides many tools and features, but the maintenance of an active subject pool, the communication with subjects, and the establishment of rules and procedures are all in the hands of the researchers. The remainder of this paper is devoted to a description of the general features of the software, a list of configuration options demonstrating the software’s flexibility, as well as some technical details and license information. A * will indicate features that are introduced or enhanced in Version 3.0 of the software.",1505
