Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Journal of the Knowledge Economy,10 March 2010,https://link.springer.com/article/10.1007/s13132-010-0010-y,Editor’s Note,March 2010,Elias G. Carayannis,,,Male,Unknown,Unknown,Male,,3
1.0,1.0,Journal of the Knowledge Economy,04 February 2010,https://link.springer.com/article/10.1007/s13132-009-0002-y,A Time for Action and a Time to Lead: Democratic Capitalism and a New “New Deal” for the US and the World in the Twenty-first Century,March 2010,Elias G. Carayannis,Aris Kaloudis,,Male,Male,Unknown,Male,"New frontiers of the mind are before us, and if they are pioneered with the same vision, boldness, and drive with which we have waged this war we can create a fuller and more fruitful employment and a fuller and more fruitful life. Franklin D. Roosevelt, November 17, 1944 There are specific approaches that need to be considered across regions, sectors, and technologies that can help us all transform global and precipitous threats into a real opportunity for peace and prosperity around the globe. On November 4, 2008, a new ray of hope shone on a world full of gloom and doom with the unprecedented, over the last century (since 1908), level of participation of US voters in electing a president that may indeed be a major part of the solution required to tip the world into a better path and away from despair and decline. The key realization that leaders in politics, the economy, society, and science need to endorse and make it the conscience and mantra of us all as citizens and economic agents is the systemic interconnectedness of the world. Therefore, to address challenge and opportunity today, sectors of priority where sustained action and inspired democratic leadership are needed and must be empowered by both top-down policies as well as bottom-up, grass-roots initiatives and intelligent use of technology are as follows:
 Financial/economic system, Environmental challenges, Feed and heal the world challenges, Energy challenges, Educational challenges, Political democratic reform across the world, Transformative government across the world, Equity and security across the world, Technology innovation and entrepreneurship as drivers of knowledge-based societies. These challenges are themselves logically and systemically interlinked in many and complex ways. We choose to go to the moon. We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard, because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one which we intend to win, and the others, too. It is for these reasons that I regard the decision last year to shift our efforts in space from low to high gear as among the most important decisions that will be made during my incumbency in the Office of the Presidency. JFK, September 12, 1962 Education, entrepreneurship, and innovation are the keys for solving these challenges. They are human endeavors and complex socioeconomic phenomena that are intrinsic to human nature as well as constitute both social and political engines of positive change and growth, provided they are balanced and guided by effective and transparent regulatory and incentive systems in place. Current local, regional, and global economic and financial conditions and trends make the need to trigger, catalyze, and accelerate high-quantity and high-quality entrepreneurial initiatives that are based on high-quality and high-quantity innovations (low-tech, medium-tech, and high-tech) even more clear and present as this is one of the major ways and means to target and achieve real, sustainable, and eventually accelerating GNP growth. Creative destruction is the “powerful mechanism” transforming and adjusting not only economies but also societies to new technoeconomic regimes having profound implications on the societal equilibrium and status quo. The systemic socioeconomic and cultural impacts of technology and innovation-driven creative destruction must, therefore, be better understood and politically managed. Instead of a wild force, creative destruction can and must be steered and put in the service of democratic societies. In doing that, policies should become not only global but also holistic and more sophisticated, thus, overcoming their traditional sectoral boundaries (policies for research, innovation, education, labor market, transport, and health). The holistic policy perspective should support and leverage creativity in the entire society, while losses due to the destructive powers of (radical) innovation and entrepreneurship should be alleviated at the level of the individual as opposed to the level of firms or sectors, irrespective of how big and important these firms or sectors are for a nation. If not, inequality, bitterness, defiance, distrust to democratic institutions, and violence will only increase and worsen in the world. Hence, economic growth may come from new and qualitatively different and superior initiatives in “sunrise” industries as well as revival of existing industries as it may be strategically more prudent to invest scarce and precious resources in carefully calculated strategic “bets” against main societal threats rather than keep throwing them after waning industrial sectors and declining firms and, in that sense, it may be best to provide incentives and possibilities for retraining, reinsertion, and/or early retirement programs to allow for real growth strategies to be implemented The so-called low-tech sectors are constantly revitalized and revolutionized with the help of generic technologies and innovative management practices. Think only of the green revolution with the tremendous effects on societies, including urbanization it still has. Textiles, food industry, and construction are but a few examples of areas where innovation and entrepreneurship does already make a difference. From a sector-specific perspective, one could assert that the high-tech growth is a myth. In fact, structural change is actually a very slow process in all national economies and the high-tech sectors represent still a very low share of national economies. The truth is that most often than not old industries adopt new technologies and breed new solutions as the expertise and know-how can most often than not migrate and be capitalized to closely interlinked activities and technologies.
 Hence, already here we are discerning a dilemma regarding targets in the modern innovation policies we most need. Hidden innovation practices must be better understood and supported and not only the new and high-tech areas of industrial development should benefit from the public policy support and R&D funding of more or less the same prioritized areas across the globe: that is, biotechnologies, nanotechnologies, ICT, and now most recently, on clean-tech.
 Since the beginning of our American history we have been engaged in change, in a perpetual, peaceful revolution, a revolution which goes on steadily, quietly, adjusting itself to changing conditions without the concentration camp or the quicklime in the ditch. The world order which we seek is the cooperation of free countries, working together in a friendly, civilized society. FDR, January 6, 1941 This is perhaps the most fundamental lesson we learn from the Nordic socioeconomic models and innovation policies, namely, that a strong focus on excellence and the needs of the few, while neglecting the needs and interests of the vast majority of the populations will not only lead to more unjust and polarized societies, it will also lead to grossly underperforming socioeconomic regimes compared to their overall performing potential. For each unemployed, sick, uneducated, or undereducated individual, there is a price to pay, an opportunity loss for all the others—sooner or later (see Fig. 1).
 Participation rates in vocational training and nonformal education versus formal education. Source: Adult Education Survey. The secret of success of the Nordic countries and economies is that policies address and balance needs of the many, not of the few, but without hampering personal development paths. The majority of citizens are included in multilocal decision-making webs and they learn early to trust and manage the basic rules of distributed power. It follows that innovation cannot exist without trusting the individual and without individuals trusting the state and the public sphere. Let us shortly consider what the main achievements of these societies are:
 The level of corruption is low and there is a system of check and balances and transparency that makes the public trustful and willing to contribute to common goods and to societal investments in education, training, health, public infrastructures, etc. There is always the scope of improvements, but the fundamental challenge for these societies is to preserve these qualities intact. Flexicurity systems enable the creative destruction forces in the economy to freely enfold and develop while the individual (the ordinary employee) as such is protected from the adverse consequences of these forces and increase mobility in the labor market. Hence, the incentive to try and fail, to innovate, and to experiment at the individual level are amply there, risk-taking costs are clearly lower in Nordic countries than in other areas of the world where individuals are most worried for how secure are their jobs because the consequences of losing it are enormous and with repercussions to the education and status of their children, etc. Again, the main challenge is the problem of “moral hazard” where individuals are tempted to lavishly misuse societal benefits. This is why empowering by allocating responsibilities, articulating expectations, and integration is a major policy and cultural issue in Scandinavia. Developing individual competences and focusing on high-quality education for all as well as on lifelong learning policies (see the figure) seems to be an additional major advantage of the Nordic knowledge-based economies. Lifelong learning in this respect is a key issue, as is the trust and the quality and effectiveness of the public services at all levels. Hence, the lessons learned from the Nordic countries are that innovation in the broad domains of the economic life, investment in human capital, development of democratic processes, and constant innovation in the public sector are fundamental aspects of future prosperity. From this follows the direct derivative of a collection of top-down policies as well as bottom-up initiatives. Specifically, the concepts of robust competitiveness and sustainable entrepreneurship are pillars of a regime that we call democratic capitalism (as opposed to “popular or casino capitalism”) where real opportunities for education and economic prosperity are available to all and especially the younger people (but not only). This would be the direct derivative of a collection of top-down policies as well as bottom-up initiatives (including strong R&D policies and funding but going beyond that to the development of innovation networks and knowledge clusters across regions and sectors):
 We define sustainable entrepreneurship as the creation of viable, profitable, and scalable firms. Such firms engender the formation of self-replicating and mutually enhancing innovation networks and knowledge clusters (innovation ecosystems) leading toward robust competitiveness. We understand robust competitiveness as a state of economic being and becoming that avails systematic and defensible “unfair advantages” to the entities that are part of the economy. Such competitiveness is built on mutually complementary and reinforcing low, medium, and high technology and public and private sector entities (government agencies, private firms, universities, and nongovernmental organizations). (Excerpts from: http://search.barnesandnoble.com/Diversity-in-the-Knowledge-Economy-and-Society/Elias-Carayannis/e/9781847202116/?itm=5; see Figs. 2, 3, 4, 5, 6, 7, and 8.)
 The conceptualization of the “quadruple helix.” Adapted from: Carayannis E, Campbell D (2009) “Mode 3” and “quadruple helix”: toward a 21st century fractal innovation ecosystem. In: Carayannis EG, Formica P (eds) International Journal of Technology Management Special Issue on Innovation Networks and Knowledge Clusters 46(3/4) (forthcoming). Knowledge creation, diffusion, and use in a global knowledge economy and society. Adapted from: Carayannis E, Campbell D (2009) “Mode 3” and “quadruple helix”: toward a 21st century fractal innovation ecosystem. In: Carayannis EG, Formica P (eds) International Journal of Technology Management Special Issue on Innovation Networks and Knowledge Clusters 46(3/4) (forthcoming). National R&D performance of the USA according to the “R&D activities” of basic research, applied research, and experiment development (percentage of annual R&D activities; 1981, 2004, and a possible projection for 2030). Adapted from: Carayannis E, Campbell D (2009) “Mode 3” and “quadruple helix”: toward a 21st century fractal innovation ecosystem. In: Carayannis EG, Formica P (eds) International Journal of Technology Management Special Issue on Innovation Networks and Knowledge Clusters 46(3/4) (forthcoming). Linear and nonlinear innovation modes linking together universities with commercial and academic films (firm units). Adapted from: Carayannis E, Campbell D (2009) “Mode 3” and “quadruple helix”: toward a 21st century fractal innovation ecosystem. In: Carayannis EG, Formica P (eds) International Journal of Technology Management Special Issue on Innovation Networks and Knowledge Clusters 46(3/4) (forthcoming). A fourfold typology about possible cross-references and interactions between “knowledge” and “innovation.” Adapted from: Carayannis E, Campbell D (2009) “Mode 3” and “quadruple helix”: toward a 21st century fractal innovation ecosystem. In: Carayannis EG, Formica P (eds) International Journal of Technology Management Special Issue on Innovation Networks and Knowledge Clusters 46(3/4) (forthcoming). A “three-dimensional” modeling of knowledge in a multilevel system understanding: axis of spatial aggregation, axis of R&D aggregation, axis of education aggregation. Adapted from: Carayannis E, Campbell D (2009) “Mode 3” and “quadruple helix”: toward a 21st century fractal innovation ecosystem. In: Carayannis EG, Formica P (eds) International Journal of Technology Management Special Issue on Innovation Networks and Knowledge Clusters 46(3/4) (forthcoming). Different societal systems: lines of political (policy) influence. Adapted from: Carayannis E, Campbell D (2009) “Mode 3” and “quadruple helix”: toward a 21st century fractal innovation ecosystem. In: Carayannis EG, Formica P (eds) International Journal of Technology Management Special Issue on Innovation Networks and Knowledge Clusters 46(3/4) (forthcoming). First, existing and new small and medium enterprises (SMEs) that can provide better solutions for less and more environmental friendly will always be winners—even and perhaps especially in down markets and recessionary economic cycle stages—and this is the area where fiscal, monetary, institutional, intellectual property rights-related, and other public–private sector programs and initiatives are needed to help unlock, capture, and leverage fully the value-adding potential of the world's knowledge creation infrastructure (i.e., universities, research institutions, and private sector R&D facilities) by providing incentives and establishing a large number, scale, and scope of pilots connecting organically and effectively all stages of the value-adding knowledge chain (from the laboratory to the market via world-class SMEs that will be both locally as well as globally oriented by design and the new ones from their inception). Second, the role of an ever-innovating public sector, not only toward greater levels of efficiency and effectiveness, but also to new ways of organizing and addressing new emerging issues with the objective to provide framework conditions for socioeconomic development and to empower and attribute responsibility to citizens is fundamental. The more complex the world, the more important it is to develop intelligent, robust, responsive, learning, and flexible organization of the public services and policies (Fig. 9).
 The twenty-first century fractal innovation ecosystem. Adapted from: Carayannis E, Campbell D (2009) “Mode 3” and “quadruple helix”: toward a 21st century fractal innovation ecosystem. In: Carayannis EG, Formica P (eds) International Journal of Technology Management Special Issue on Innovation Networks and Knowledge Clusters 46(3/4) (forthcoming). Japan is a country where, on many indicators, is at the forefront of global knowledge production. The OECD STI Outlook 2008 states: “…, R&D outputs have not always appeared commensurate with the substantial investment in R&D. …Strengthening the efficiency of the innovation system will be essential to increasing growth” (see Fig. 10).
 Science and innovation profile of Japan. Yet, strengthening the efficiency of the innovation system implies that more efforts should be invested in making the Japanese society even more responsive and flexible to the needs of future knowledge societies and even more open to innovation and entrepreneurship by focusing on individual skills and empowerment. We would like to point out, in particular, the following challenges:
 Low levels of international R&D linkages, including a relatively low level of high-skill mobility. For example, R&D funded from abroad is very low in Japan. Career paths open to women. Generous maternal leave schemes and greater inclusion of women in high-skill professions is still a considerable challenge for a society facing the challenge of one of the fastest aging and least growing populations in the world. Job-to job mobility is very low. This is probably a reflection of the low structural change in the Japanese society, a result partly of excessive regulations in the most dynamic segments of all modern societies, that is, the service sector and partly a low degree of entrepreneurship, venture capital investment, and low numbers of new entries in a number of key economic sectors. Instead of securing jobs, the Japanese society should pay more attention to increasing of job mobility rates through ambitious and bold flexicurity as well as lifelong learning policies, such as what we find in the Scandinavian countries. This does not mean, however, that Japan should pursue a high-tech policy of economic restructuring. Innovation in the public sector should be prioritized as a key area of policy focus. The fundamental point to be made here is that all these issues are areas where several policies intermingle. These are also areas closely related to the final performance and direction of the Japanese economy and society. Therefore, they should be regarded equally as societal and economic challenges requiring considerable and more encompassing policy reforms than the ones already announced in the narrower domain of the present research and innovation policies. Again, the ultimate aim is that policies contribute to the empowerment and innovativeness of responsible citizens in a democratic and prosperous society. The challenge and opportunity is to engage on a large enough scale to convert the past failures of courage and imagination into future successes and to learn to convert counterproductive cynicism into empowering dreams grounded into reality. To identify and outline clearly and convincingly to all citizens of the US and the world a vision for the future and a strategy for change that is comprehensive, feasible, and compelling enough so to overcome the “cynicism premium” that politics has to pay to atone for prior failures of omission and commission.",13
1.0,1.0,Journal of the Knowledge Economy,20 January 2010,https://link.springer.com/article/10.1007/s13132-009-0007-6,"Scope, Style, and Theme of Research on Knowledge and Learning Societies",March 2010,Bengt-Åke Lundvall,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Journal of the Knowledge Economy,06 January 2010,https://link.springer.com/article/10.1007/s13132-009-0005-8,The Knowledge Economy and Entrepreneurial Activities in Technology-Based Economic Development,March 2010,Suleiman “Sul” K. Kassicieh,,,Male,Unknown,Unknown,Male,"The link between new firm creation and economic development has been documented by many authors such as Phan and Foo [1], Birch [2], Kirchhoff and Phillips [3], Park [4], Oakey [5], Reynolds [6], and Betz [7]. Malecki [8] maintains that capitalist systems are concerned with two major imperatives: creating new jobs and developing the economy through structural changes of innovation and through productivity improvement. The two development activities are extremely dependent on innovation and the effect of the knowledge economy. Castells and Hall [9] recount the story of Silicon Valley as the first of many technopoles where industrial complexes helped shape the future of their regions. Many authors have used many different factors to explain the increase in entrepreneurial activities in the Metropolitan Statistical Areas (MSAs). Smilor et al. [10] have described the role of university and laboratory spin-offs in local economic development. Florida and Gates [11] describe economic development as the situation where “people with ideas” and an environment that nurtures them is more important than research and development (R&D), financing, and entrepreneurial groups for job and wealth creation. Venkataraman [12] indicates the need for more than capital to accomplish development based on technology. Miller [13] supports the view that technological innovation drives economic growth, the globalization of markets, firm competitiveness, and a nation's standard of living. The resource availability and its effect on competitive advantage as well as the multiplier effect of such economic activity have been furthered by Porter [14]. Thompson [15] indicates that high technology development provides above average growth rates in a situation that requires balance between the countercyclical high technology sector and the more cyclical manufacturing sector. Bruno and Tyebjee [16] indicated that many factors encourage entrepreneurship in a region. These factors include availability of venture funding, experienced entrepreneurs, skilled labor, supplier's access, market access, universities, supportive government policies, facilities, logistics, receptive population, support services, and living conditions. The entrepreneurial act has been explained by personal individual factors as well as by many exogenous factors. Risk-taking behavior, motivation, and personal characteristics in technology-based start-ups have been explained by many authors such as Kassicieh et al. [17], Linton [18], Carayannis et al. [19], and Newbert et al. [20]. These are factors that are indigenous to the entrepreneur but what are the exogenous factors that can be influenced by public investments? The multiple factors have been well established but the policy makers especially in areas that do not have many of these factors are asking the question: Which areas do we fund to encourage entrepreneurial activities in an era of limited resources? Authors such as Acs and Storey [21], Armington and Acs [22], Audretsch et al. [23], Carlsson [24], DeVol and Fogelback [25], Delapierre et al. [26], Anderson [27], Kassicieh [28], Kassicieh and Radosevich [29], Reynolds et al. [30], Neck et al. [31], Wren [32], Smilor and Matthews [33], Antoncic and Hisrich [34], Von Bargen et al. [35], and Anderson et al. [36] tested many of these factors individually or in small clusters. Policy makers are interested in devising policies that can improve the situation in their regions and support more entrepreneurial activities but they would like to understand which of these policies, incentives, and conditions are more likely to lead to job and wealth creation if one if faced with a resource allocation question. Entrepreneurial activity drives economic development as jobs and wealth pump up the standard of living and the tax base of the region allowing further development over time. While new companies can focus on low technology or mature products or services, regions have figured that price-taking in these commodity product areas is less likely to produce comparatively high levels of wealth or high-paying jobs. This has increased the focus on technology-based entrepreneurship. Atkinson and Gottlieb [37] suggest that many governmental and nongovernmental organizations have undertaken efforts to better understand economic development in order to identify the factors that lead to a healthy job and wealth creation climate. It is widely believed that differences in economic development results seen between regions are largely attributable to initial differences in the factors that enable business creation. In an extensive search of the literature, we were able to identify 11 broad categories of factors identified as drivers for technology-based economic development as can be seen in Fig. 1.
 Link between government policies, factors, and economic development. This paper will examine the link between the factors and economic development, collect data to test hypotheses that link these exogenous factors to economic development establishing a priority of factors, and test these for 361 US MSA that include high-technology and low-technology environments to determine success factors in entrepreneurial activities.",12
1.0,1.0,Journal of the Knowledge Economy,13 February 2010,https://link.springer.com/article/10.1007/s13132-009-0004-9,Assessing the Value of Regional Innovation Networks,March 2010,Mary G. Schoonmaker,Elias G. Carayannis,,,Male,Unknown,Mix,,
1.0,2.0,Journal of the Knowledge Economy,30 March 2010,https://link.springer.com/article/10.1007/s13132-010-0009-4,Editor’s Note,June 2010,Elias G. Carayannis,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Journal of the Knowledge Economy,30 March 2010,https://link.springer.com/article/10.1007/s13132-010-0011-x,"Why, When, and How are Real Options used in Strategic Technology Venturing?",June 2010,Elias G. Carayannis,Caroline M. Sipp,,Male,Female,Unknown,Mix,,
1.0,2.0,Journal of the Knowledge Economy,08 January 2010,https://link.springer.com/article/10.1007/s13132-009-0006-7,Corporate Exploration Competence and the Entrepreneurial Enterprise,June 2010,Raphael Klein,Uzi de Haan,Albert I. Goldberg,Male,Male,Male,Male,"It is now well accepted that established technology firms must become “ambidextrous” to achieve optimal balance between exploitation and exploration [84], build entrepreneurial capabilities, and continuously innovate in order to survive long term. To augment their in-house research and development (R&D), such firms could avail themselves of external R&D, by now a proven resource of intellectual property (IP) and creative work. Such IP comes in tangible and intangible forms of inventions and technologies that can be the basis for or merely assist in developing incremental as well as disruptive products by the firms. In recent years, a new model of business based on “open innovation” has been espoused [20]. We introduce the construct of corporate exploration competence as a dynamic capability, important to strategic management in achieving ambidexterity. The proposed theoretical foundation for corporate exploration competence uses the strategic management framework of resource-based view (RBV) to integrate organizational entrepreneurial capabilities with organizational absorptive capacity (ACAP) [25] into the dynamic capability of corporate exploration competence. Corporate ACAP enables organizations to recognize opportunities, evaluate their market potential and technical feasibility, and make decisions toward utilizing them. Our study focused on the interdisciplinary field of medical imaging that integrates medicine, biology, physics, electronics, and computing. Sixty interviews and discussions were held with executives and researchers at GE (American), Siemens (German), Philips (Dutch), and Hitachi and Toshiba (Japanese) and with people from firms in other fields as well to gain a broader scope and to confirm findings. The first three listed above readily look for external knowledge (“we have adopted open innovation policy in our research program,” says Dr. Paul Smit [103], Senior Vice President of Strategy and Business at Philips Medical Systems). We found that these three firms have maintained top-notch internal R&D, which in turn allowed them to recognize and absorb external inventions and established and sustained both culture and structure that are directed specifically at the task of exploration and provide a readiness by the organization to introduce and internalize new knowledge. We found that GE, Siemens, and Philips have actively engaged in “open innovation” through both R&D and acquire and develop (A&D), while Hitachi and Toshiba did so to much lesser degree. Indeed, it turns out that the first three invested not just in a structure for exploration but also in creating a culture conducive to exploration. Coincidentally, the first three dominate the field of medical imaging, together owning about 85% of the market. Although it is tempting to look for causality here, we limit ourselves to conclude that culture and structure are each necessary but not sufficient for creating high corporate exploration competence, and having them together is a precondition for developing and sustaining such competence. To dispel a presumption that Japanese firms have an inherent difficulty in establishing a culture espousing open innovation, we found evidence to the contrary at Yamaha, a firm not involved in medical imaging, which has executed a brilliant strategy of open innovation, creating a technology from which we all benefit: digital electronic music [53].",6
1.0,2.0,Journal of the Knowledge Economy,28 January 2010,https://link.springer.com/article/10.1007/s13132-009-0008-5,"Maslow, Mazes, Minotaurs; Updating Employee Needs and Behavior Patterns in a Knowledge-Based Global Economy",June 2010,Phillip Sinclair Harvard,,,Male,Unknown,Unknown,Male,,8
1.0,2.0,Journal of the Knowledge Economy,26 January 2010,https://link.springer.com/article/10.1007/s13132-009-0001-z,China’s Emerging Informatization Strategy,June 2010,Nagy K. Hanna,Christine Zhen-Wei Qiang,,Male,Female,Unknown,Mix,,
