Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
24,1,Latin American Economic Review,26 November 2015,https://link.springer.com/article/10.1007/s40503-015-0023-9,US–Mexico border tourism and day trips: an aberration in globalization?,December 2015,John Berdell,Animesh Ghoshal,,Male,Unknown,Unknown,Male,"If globalization is conceived as the movement towards a borderless world, the physical interface between the US and Mexico can only be a study in contradictions. On the one hand, flows of goods have continued to increase along with, if not faster than, the general trend towards greater vertical specialization in the world economy. China’s entry into the world economy considerably dampened the hopes that NAFTA had raised for Mexican export performance, but by now there are clear signs that US–Mexican integration continues apace. Financial integration has clearly accompanied the integration of trade and production (Lahrech and Sylwester 2013). Of course barriers to the movement of people have not fallen at the same pace, and remain politically fraught. Rivers of ink have been devoted to the causes, consequences and regulation of migration over the border, but the very shortest of trans-border trips, in which someone comes and goes within the same day—perhaps within a few hours—have gone relatively unattended. On one level this is quite understandable since such short trips are necessarily confined to the border region, unlike immigration which has effects throughout both nations. Yet changes in the regulations governing very short trips are of tremendous local consequence. They also have wider national consequence to the extent that the communities that constitute the border loom increasingly large within their national economies and populations. Border regions can either be vibrant areas of commercial interchange that contribute to the dynamism of their larger economies, or at the other extreme, they can be relatively isolated, peripheral areas where stagnation reduces national progress. In a much cited conceptual paper on cross-border contact, based primarily on the US–Mexican border, Martinez (1994) categorizes borderlands into four categories: alienated, where due to hostility cross-border interaction is severely restricted; co-existent, with limited binational integration; interdependent, where a mutually beneficial economic system is created through the flow of resources and people across the border; and integrated, where barriers to trade and human movements have been eliminated, and the border economies are functionally merged. In the spirit of Martinez’s view of an integrated border, Cooper and Rumford (2013) argue that borders must be regarded as mechanisms of connectivity and encounter rather than markers of division. An example of such a border is discussed in Prokkola’s (2010) study of the transition of the internal border regions of the European Union. Focusing on tourism in the frontier between Finland and Sweden, Prokkola finds that border permeability has contributed to dissolution of mental boundaries in the region. In this paper, we examine two periods that experienced dramatic changes in the rules and regulations governing movement between the US and Mexico. The rules concern the documentation that US residents need to produce in order to reenter the US from Mexico. We seek to establish whether these changes in regulations are important in explaining the reduction, over the past two decades, in day trips from the US into Mexico (and back). This reduction in day trips stands in marked contrast to the increasing volumes of goods and services trade, as well as tourism that is not associated with the border. We begin (in Sect. 2) with a very short discussion of the importance of the border region to the Mexican economy, and the role that short visits may play in the border region’s economic and social development. We then provide (in Sect. 3) a provisional outline of the two changes to the border crossing regulatory regime that have been of considerable consequence for recorded cross-border day trips. We also briefly discuss a critical confounding factor, namely the dramatic increase in the homicide rate within the Mexican border states. Sections 4 and 5 present estimates of the impact of the two regulatory regime changes on day trips. The conclusion summarizes the implications of our analysis for the growth and transformation of the border economy and the tourism sector.",3
24,1,Latin American Economic Review,11 November 2015,https://link.springer.com/article/10.1007/s40503-015-0028-4,Climate change in Latin America and the Caribbean: policy options and research priorities,December 2015,Brian Feld,Sebastian Galiani,,Male,Male,Unknown,Male,"Global warming is a particularly thorny externality because it is global and its effects extend for many decades into the future. To complicate matters even more, it has heterogeneous effects around the world. It requires a level of effort and commitment from the international community that is unparalleled in history, its consequences are potentially disastrous, and it is plagued with uncertainties. While the physical mechanism that links greenhouse gases to global warming is clear and records show that the concentration of greenhouse gases has been increasing in the atmosphere for the last two centuries, a long list of scientific uncertainties makes it difficult to assess precisely how much warming will result from a given increase in greenhouse gas concentrations, when such warming will occur, or how it will affect different regions and ecosystems. To address these concerns, the United Nations and the World Meteorological Organization established an international body—the Intergovernmental Panel on Climate Change (IPCC)—to assess the scientific knowledge on climate change. Projecting future climate trends is a complex endeavor. To cope with these complexities, the IPCC produced a set of emissions scenarios. Each scenario provides an alternative and internally consistent picture of how world development might shape future emission trends. Taking into account these scenarios, along with uncertainty about emissions and climate-system response, projected twenty-first century warming ranges from 1.1 to 6.4 °C (IPCC 2007). Thus, while the magnitude of global warming that might occur in the future is indeed highly uncertain, all these scenarios agree on its upward direction. Just as the effects of global warming on the climate system are uncertain, the physical and socioeconomic implications of climate change are not fully understood. Thus, uncertain physical risks are compounded by uncertain natural and socioeconomic consequences. Uncertainty about the effects of climate change and how to cope with them is also compounded by uncertainty about its cost. Costs are unknown due to possible changes in the available technology, the existence of irreversibilities in some policies that cope with the problem, and the presence of nonmarket goods and services that are vulnerable to climate change. In short, uncertainty is the single most important attribute of climate change as a policy problem. A central concept in analyzing the effects of climate change is whether a system can be managed. The nonagricultural sectors of high-income countries are highly managed and this feature will allow them to better adapt to climate change. However, human and natural systems that are unmanaged or unmanageable are highly vulnerable. These systems include rain-fed agriculture, seasonal snow packs, coastal communities, river runoffs, and natural ecosystems. Thus, the potential damage of climate change is likely to be most heavily concentrated in low-income and tropical regions such as tropical Africa, Latin America, coastal states, and the Indian subcontinent. The economics of climate change is simple. When we burn fossil fuels we emit CO2 into the atmosphere, and this leads over time to potential harmful effects. Such a process is an externality that occurs because those who produce the emissions do not pay for that privilege, and those who are harmed are not compensated. One major lesson from economics is that unregulated markets cannot efficiently deal with harmful externalities. Any solution needs substantial reductions in the emissions of CO2 into the atmosphere. An obvious instrument to achieve that goal is to raise the market price of those emissions. Raising the price on carbon will achieve four goals. First, it will provide signals to consumers to reduce the consumption of goods and services that are carbon-intensive. Second, it will provide signals to producers to substitute away from inputs that are carbon-intensive. Third, it will provide market incentives to innovate and adopt new low-carbon products and process. Fourth, a carbon price will economize on the information that is required to undertake all these tasks (Nordhaus 2008). Rapid technological change in the energy sector is central to the transition to a low-carbon economy. Current low-carbon technologies cannot substitute for fossil fuels without a substantial economic penalty on carbon emissions. Developing economical low-carbon technologies will lower the cost of achieving climate goals. Therefore, governments and the private sector must intensively pursue low-carbon or even noncarbon technologies. There are, of course, other actions that can be taken to manage the problem of global warming. Some of these actions are best performed by governments, while others are best undertaken by private agents acting on their own, such as adapting production practices to a changed climate. A general typology classifies these actions into mitigation and adaptation. Mitigation focuses directly on reducing the amount of greenhouse gases released into the atmosphere (thus assuming that human activity is partly responsible for the issue), while adaptation deals with increasing resilience to the consequences of climate change. Developed countries, which are better prepared to cope with climate change, have stressed the importance of mitigation in order to limit temperatures to a range between 2 and 3 °C above preindustrial levels depending upon costs, participation rates, and discounting. Achieving such an objective will require a mitigation effort that is global in scope. International agreements should provide incentives to encourage participation, but the cost of those incentives should also be taken into account. To date there are no such agreements. This paper argues that in the absence of binding international agreements that limit the levels of carbon emissions, Latin America should mainly focus on adaptation to cope with climate change consequences. The paper also argues that the region should implement traditional development policies that increase resilience to climate change but that are also welfare-improving in the absence of climate change (also known as “nonregret” policies). Only in the presence of a global binding agreement like that mentioned in the previous paragraph would the region engage seriously in mitigation. In that case, Latin America could exploit its comparative advantage in the conservation and management of forests, which are a large carbon sink. Finally, deciding which policies to implement depends on the results of thorough cost–benefit analysis of competing projects. Such cost–benefit analyses have yet to be carried out. The next section of the paper describes the projected trends in climate change and what has been suggested to overcome them. Section 3 then presents a list of available policies that have been proposed to address climate change, divided into three broad categories: adaptation, mitigation, and development policies that increase countries’ adaptive capacity. Section 4 presents a theoretical framework, and Sect. 5 provides a framework for evaluating different policies by their cost-effectiveness so that policymakers can efficiently choose the ones that should be implemented. Section 6 looks at the agricultural sector, an unmanaged system that has long been assumed to be able to adapt autonomously, while Sect. 7 will concentrate on forestry, a sector on which the region should focus in the event that appropriate incentives for emissions reduction are put in place. The final section summarizes and draws conclusions in order to propose the direction for future research.",7
24,1,Latin American Economic Review,11 November 2015,https://link.springer.com/article/10.1007/s40503-015-0027-5,Urban infrastructure in Latin America and the Caribbean: public policy priorities,December 2015,Laura Jaitman,,,Female,Unknown,Unknown,Female,"Most of the world’s population today lives in cities. However, this has been true only since 2007, when the urban population surpassed the rural population due both to natural growth of the urban population as well as accelerated rural migration to cities (United Nations 2009; Henderson 2002). The global urbanization process was mainly driven by the developing world, where the urban population grew at 3.35 % annually during the period 1975–2010, while the rural population grew at around 1 % (United Nations 2009). By 2011, 53 % of the world’s population lived in cities, including 80 % of the population in the developed world and 46 % of the population in developing countries. However, Latin America and the Caribbean (LAC) is an outlier among lower- and middle-income regions, with a strikingly high urbanization rate of 79 %—higher even than the urbanization rate of many member countries of the Organization for Economic Cooperation and Development (OECD). Rural to urban migration is driven by the expectation of better opportunities and living standards. In cities, residents and firms enjoy the benefits of agglomeration and economies of scale as well as network effects, all of which increase labor productivity and reduce the per capita cost of providing urban services (Rauch 1993). Yet, the expected benefits of living in cities do not materialize for all. The rapid and unplanned expansion of cities has resulted in the growth of informal settlements, which develop because governments are unable to provide urban services for the growing population and because the formal housing market and transport networks cannot meet the new demands. A large proportion of the urban poor in developing countries live in urban or peri-urban areas under conditions of overcrowding, insecure property rights, deficient urban and social services, poverty, and exposure to crime and violence, among other socioeconomic problems. Consequently, migration to urban areas moved the location of global poverty to the cities, triggering the process known as the “urbanization of poverty” (UN-Habitat 2003). In LAC, approximately 60 % of the poor and half of the extreme poor live in urban areas. The urbanization of poverty is projected to continue in the region, particularly in certain areas such as Central America (Fay 2005). Slums represent a major challenge to development given the deficient provision of urban services to them, the lack of public safety, and environmental hazards. In addition, the geographical and social segregation of slum dwellers accentuates bad peer effects and sometimes inflicts a stigma on slum dwellers that prevents them from joining the formal labor market. Thus, programs to avoid new informal settlements and to stop the growth of existing ones should be of first-order importance on the LAC research and policy agenda. Also, governments need to urgently find solutions to integrate the actual slum dwellers into the formal city and solve the urban divide. This paper identifies the main problems in housing and urban infrastructure in LAC and reviews the causal effect of past interventions within urban infrastructure programs in the region. The ultimate goal is to understand what has worked in terms of housing and transport and to detect gaps in knowledge to promote avenues for future research for a more sustainable urbanization process. The paper looks to explore what drives the decisions of households in terms of consumption of household services and location within a city—decisions that, in turn, shape urban patterns. Many urban poor cannot afford formal housing or are confined to live in substandard conditions close to the city center because transport systems that would enable them to live elsewhere are deficient or inaccessible. This leads to the first two policy priorities that will be investigated further in this paper: access to the formal housing market and improvement of the public transit network. The rationale for these first two priorities is based on the fact that the rapid and unplanned urbanization of LAC distorted the equilibrium of housing supply and demand, and to date that equilibrium has not been restored. There are market failures in the formal housing market for the poor that prevent or delay this adjustment. At the same time, in the developing world mass public transport is deficient, which affects the living standards of the urban poor. It is therefore clear that the integration of formal housing supply and mass public transit policies are the key elements to shape more sustainable cities in the future and accommodate the still growing urban population. Slums could be viewed as a first step in the move to the city. Inner slums are located close to the city center and might be a strategic starting point for newly arrived poor migrants to look for a job and explore opportunities. However, as can be seen in LAC, slums tend to be a permanent rather than a transitory phenomenon. Therefore, the third policy priority explored in this paper is slum upgrading to improve the living standards of slum dwellers and mitigate urban poverty. Although the urban poverty problem is multi-causal and requires a cross-sectoral approach, including citizen security and health for example, the scope of this paper is limited to the main barriers to the integration of the urban poor in terms of housing and transport. Other important socioeconomic and environmental problems related to the urban poor are excluded from the analysis. When studying the causal effects of interventions, identification issues are of the first order of relevance. We include mainly papers that exploit experimental or quasi-experimental settings.Footnote 1 Those methods have proven to be the most accurate for causal inference. Nevertheless, we also include important observational studies or qualitative evaluations when more rigorous evaluations are not yet available. Most of the programs reviewed take place in the developing world, with priority given to LAC, unless there is no information available for developing regions, in which case relevant papers from other regions are included. In terms of the first priority area, there is scant knowledge on the best way to expand the supply of housing for the poor and promote the rental market in LAC for low-income households. There is, however, a body of literature with sound identification strategies on formalizing urban poor by giving them land titles. The second policy priority is to improve transport networks for the poor. The most urgent area for future research is to find ways to make mass public transit accessible and affordable for the poor and to investigate how this can shape the spatial patterns of the city. Policies that integrate transport reforms with supply of housing for low-income households seem the most promising Finally, for informal settlements, there are many papers investigating the effect of slum upgrading programs. Proposals that involve a single intervention to improve the living standards of the urban poor have improved the level of satisfaction of households, but have not substantially improved the main socioeconomic outcomes of slum dwellers. It seems that integral slum upgrading programs are necessary to produce more profound and long-lasting changes. Rigorous evaluation of integral programs will be very useful to determine which mix of programs produces the best outcomes. The rest of the document is structured as follows: Section 2 sets the region in the context of the world in terms of a wide range of housing and transport indicators. Section 3 develops a simple spatial equilibrium approach that serves as a theoretical framework to understand housing choices. Section 4 studies a set of programs within the main selected policy areas: (1) access to housing, (2) transport interventions, and (3) upgrading housing. Finally, Sect. 5 presents conclusions that point out avenues for future research.",26
24,1,Latin American Economic Review,11 November 2015,https://link.springer.com/article/10.1007/s40503-015-0026-6,Progress and challenges in achieving an evidence-based education policy in Latin America and the Caribbean,December 2015,Miguel Urquiola,,,Male,Unknown,Unknown,Male,"Recent years have seen increasing calls for evidence-based education policies. In fact, academic researchers have been on a quest for such policies for decades—at least since the publication of the Coleman Report on the equality of educational opportunity (Coleman et al. 1966).Footnote 1 This paper reviews some of the significant contributions economists have made in the area of evidence-based education policies. It also argues that this quest is incomplete, and identifies substantial knowledge gaps, some of which are unlikely to be filled based on the current trends. Two notes on the focus of the paper are relevant. First, in keeping with this volume, the discussion emphasizes Latin America, although the evidence comes from, and the conclusions are meant to apply to, countries in other regions and with diverse income levels. Second, the focus is on assessing the skills that individuals gain in educational systems before they enter the labor market; less attention is placed on the performance of systems in terms of increasing enrollment. This focus—which Sect. 2 justifies in more detail—is based on the fact that in Latin America, as in other developing regions, much greater strides have been made in increasing enrollment. In addition, the region performs at or above what its income levels might suggest in terms of enrollment, but lags in terms of measures of skills such as test scores.Footnote 2
 The paper begins by setting out a conceptual framework that serves to organize past work and identify remaining gaps. It then considers the evidence, with five main conclusions: Over the past two decades, much effort has gone into identifying the causal effects of school inputs. As Banerjee (2007) suggests, this trend reflects a substantial effort by economists to “get into the machine”—that is, to study schools in detail and understand the educational production function. The growth in this type of research is a salutary trend, as in many countries the implementation of many if not most educational interventions still goes unevaluated. It follows that this type of research should be expanded, even if it means that some education economists must go further into the machine. For example, work on the effectiveness of different types of curricula—a topic far afield from most economists’ training—could not only be quite productive but also seem to be a logical extension of current work. That said, work that is primarily focused on identifying the causal effects of different inputs and interventions—particularly when it originates in small-scale experiments—is unlikely to produce a full road map for an evidence-based education policy. Specifically, the sometimes explicit promise of this work has been to generate a ranking of inputs and interventions in terms of cost-effectiveness, with the rationale that such rankings will one day guide policy throughout the developing world (Dhaliwal et al. 2011). For reasons discussed below, however, such rankings are unlikely to be stable across or even within countries—they may vary with the setting and/or scale of implementation, for instance. This also suggests some caution in implementation. There has been less work on the effects of educational inputs during the preschool stage. The relative scarcity of such work may be a greater constraint to sound policy recommendations than at first appears. For example, if educational investments made early in life affect the productivity of investments made later (Cunha and Heckman 2007)—and this remains to be fully shown—then an evidence-based educational policy will look more complicated. In other words, it will have to take into account that part of the return to preschool educational investments that may come in the form of increasing the returns to educational investments during a later period (e.g., high school). In short, further work on the impact of preschool inputs is desirable and may also help to improve policy beyond the preschool sphere. There has been progress on understanding the effects of incentives within education. For example, there has been significant work on the effects of introducing competition in school systems. In general, the effects of voucher and similar initiatives have not been nearly as robust or positive as most economists expected. That said, recent research suggests progress toward understanding how the design of policies introducing competition (e.g., school vouchers) might be improved. In short, while caution in implementation is desirable, further experimentation also seems warranted. There is relatively less work surrounding the effects of inputs provided by parents and students, both in terms of resources and effort. The key issue here is to what extent parental and student effort matter, and how their level responds to incentives. Parents are even harder for policymakers to control than school administrators or teachers, so understanding incentives is critical. For example, the return to skill in the labor market, or in admission to universities, may be crucial in terms of determining parents’ and students’ attitudes toward skill accumulation. The corollary is that the organization of the educational market, and its relation with the labor market, may involve a broad set of institutions that set up an educational system for either success or failure. If this is the case, then understanding these incentives may be essential not only to school system design but also to correctly exploiting all the knowledge gained from experimentation. In short, while education economists might want to invest energy “getting into the machine”, they should not lose sight of the fact that broad institutions/incentives may matter (Acemoglu and Robinson 2012). The next section lays out a basic conceptual framework. Sections 3–6, then review research and derive the implications discussed above, and Sect. 7 puts forth conclusions.",3
24,1,Latin American Economic Review,11 November 2015,https://link.springer.com/article/10.1007/s40503-015-0025-7,The rise of noncommunicable diseases in Latin America and the Caribbean: challenges for public health policies,December 2015,Maria Victoria Anauati,Sebastian Galiani,Federico Weinschelbaum,Female,Male,Male,Mix,,
24,1,Latin American Economic Review,10 November 2015,https://link.springer.com/article/10.1007/s40503-015-0024-8,Introduction to research at the policy frontier in Latin America,December 2015,Sebastian Galiani,,,Male,Unknown,Unknown,Male,,
24,1,Latin American Economic Review,28 October 2015,https://link.springer.com/article/10.1007/s40503-015-0030-x,On intergenerational (im)mobility in Latin America,December 2015,Christian Daude,Virginia Robano,,Male,Female,Unknown,Mix,,
24,1,Latin American Economic Review,07 October 2015,https://link.springer.com/article/10.1007/s40503-015-0022-x,Does access to health insurance reduce the risk of miscarriages? Evidence from Mexico’s Seguro popular,December 2015,Tobias Pfutze,,,Male,Unknown,Unknown,Male,"Since the start of its roll-out in 2004, Mexico’s health insurance system Seguro Popular has received considerable attention in the academic, as well as, policy literatures. These can be subdivided into three broad topics: (i) the incidence of a non-contributory health insurance on labor market decision, in particular informality; (ii) whether or not the program was successful in its stated aim of increasing access to quality health services and reducing out of pocket expenses on health care, and, lastly; (iii) the effect of the insurance on health outcomes. Regarding this last point, thus far, most of the studies have failed to find any significant effect (Barros 2008; Martínez and Aguilera 2010; King et al. 2009; Knox 2008). However, as most health outcomes, especially in adults, are slowly moving targets, it is doubtful whether one would expect to find any significant effect of a recently established program (Scott and Aguilera 2010). Focusing on shorter-term health outcomes, some authors have recently found evidence that program affiliation results in lower levels of cholesterol (Ruvalcaba and Parker 2010), lower blood pressure (Ruvalcaba and Parker 2010; Bleich et al. 2007), and lower infant mortality (Pfutze 2014). The present paper contributes to this last line of research. Similar to infant mortality, any effect of improved health care access on the likelihood of a miscarriage can be expected to manifest itself in the short-run. While there are some data-related problems (a relatively rare outcome, combined with a noisy measurement of program exposure) that affect statistical power, it is found that the program significantly reduced the risk of a miscarriage by around 0.04 % points for each percentage point increase in coverage of the target population. It is also shown that this effect is not changed much by potential selection on the outcome variable. The upshot is that during the first four and a half years of roll-out alone, Seguro Popular has prevented an estimated 47,986 miscarriages. These are economically important positive welfare effects that need to be included into every coherent assessment of the policy. Regarding the literature in the other lines of research, following Santiago Levy’s early critique that the program will undermine efforts to bring Mexico’s labor force into the formal sector (Levy 2008), several studies have set out to determine whether or not it changed the incentives to pursue formal vs. informal sector employment (Aterido et al. 2011; Azuara and Marinescu 2013; Barros 2008; Bosch and Campos-Vázquez 2014; Camacho et al. 2014; Campos-Vázquez and Knox 2013; Duval-Hernández and Smith-Ramírez 2011). In most cases, they either find no effect or a statistically significant, but fairly small shift toward informality. Other studies focus on changes in the access and use of health services in response to the program (Knox 2008; Sosa-Rubi et al. 2009), or the avoidance of catastrophic health expenditures (Grogger et al. 2010; Gakidou et al. 2006; Knaul et al. 2006; King et al. 2009). The principal findings are that the program has largely succeeded on both counts. The Seguro Popular health insurance program started its roll-out in January 2004, after a pilot program in 2002/03. The roll-out occurred at the level of locality, with localities that had a large proportion of its population uncovered being enrolled first. The insurance is de-facto non-contributory for all beneficiaries as it is free of charge for households in the bottom two wealth quintiles as determined by a uniform questionnaire, and for the immediate family of every child born after December 1, 2006. According to the Mexican health ministry, less than 1 % of the affiliated households pay for coverage. Its declared aim is to provide health insurance to the more than 50 % of Mexico’s population, mostly self-employed and/or in the informal sector of the economy, that did not get coverage through any of the employment linked programs or through the private market.Footnote 1 It does not replace any of the existing public health services, but adds a lowest tier of coverage to the existing system. Its distinguishing feature is that it is run as an insurance, not a direct provider of health services. It certifies health care providers and buys services from a list of close to 300 covered interventions (plus a separate list of interventions that would result in catastrophic health expenditures) at fixed prices. A large number of these interventions are related to pre-natal care.Footnote 2 While in theory any provider can be certified, the lion’s share is made up of clinics and hospitals run by the federal and state level ministries of health (Lakin 2010).",5
24,1,Latin American Economic Review,24 September 2015,https://link.springer.com/article/10.1007/s40503-015-0021-y,Does access to free health insurance crowd-out private transfers? Evidence from Mexico’s Seguro Popular,December 2015,Pedro P. Orraca-Romano,,,Male,Unknown,Unknown,Male,"A number of developing countries have implemented social assistance programs with the purpose of benefiting the population located in the lower tail of the income distribution. Understanding the impact of these programs and how they compare to other public policies is central to the development process. This issue is especially salient in Mexico, a country with a per capita income approximately one-third of the U.S. and a high degree of income inequality, characterised by being at the forefront in putting into effect large public assistance programs whose objective is to increase its population’s human development levels. Given that such policies are often overlaid on top of pre-existing private support networks, various studies have analysed whether public assistance programs displace or crowd-out private transfers (e.g. Cox and Jimenez 1992; Rosenzweig and Wolpin 1994; Attanasio and Ríos-Rull 2000; Jensen 2003). The present study contributes to this literature by examining whether the introduction of Seguro Popular, a free-of-charge publicly provided health insurance program for informal sector workers, crowded-out private transfers in Mexico.Footnote 1
 Seguro Popular covers the costs of 284 unique health care interventions and more than 300 medicines comprising 95.0 % of Mexico’s total disease burden (King et al. 2009). For more than 52 million people, Seguro Popular offers a generous means of support since it functions as a source of protection against catastrophic health expenditures, and provides a safety net to many of the country’s most vulnerable households. The program has been studied at length by researchers, who have mostly focused on its impact on health expenditures, health outcomes and sector of employment (e.g. King et al. 2009; Barros 2009; Galárraga et al. 2010; Barofsky 2011; Sosa-Rubí et al. 2009; Azuara and Marinescu 2013). The reduction in health expenditures derived from being affiliated in Seguro Popular may be large enough to influence the receipt of private transfers.Footnote 2
 If households receive private transfers to alleviate budget constraints, it might be expected that those enrolled in Seguro Popular receive fewer private transfers or stop receiving them altogether, since being affiliated to the program is likely to reduce health expenditures and help alleviate budget constraints by increasing disposable income. Alternatively, if private transfers are not a result of budget constraints or are used for other purposes unrelated to health expenditures, then private transfers might not be affected by enrolment in Seguro Popular. As a result, it is an empirical question whether and to what extent expenses not incurred in resulting from being affiliated to Seguro Popular affect the receipt of private transfers. If the program crowds-out private support, then the study is relevant for policy makers who must take into account this unintended effect of Seguro Popular, since some of the program’s goals might have been partially hampered. The choice to remit is typically preceded by the decision to migrate. Individuals migrate due to a variety of reasons related to income maximisation, minimising risks to family income, or overcoming capital constraints, among others. Prior to the implementation of Seguro Popular, vulnerable households commonly encountered out-of-pocket and catastrophic health expenditures attributed to outpatient care and medication, constraining them to reduce expenses in food, shelter, or education (Galárraga et al. 2010). Migrating and subsequently remitting represented a plausible alternative to overcome these difficulties. Although declining in recent years, international private transfers represent a significant source of income for Mexican households, accounting for 1.8 % of Mexico’s gross domestic product (GDP) in 2012.Footnote 3 According to information from the Mexican Migration Project (MMP) 143, Mexican migrants residing in the U.S. commonly claim that one of their main motives for remitting is to cover health expenditures in Mexico. Specifically, when asked to report up to five reasons why they send private transfers to family members left behind, 39.2 % of respondents state as one of their reasons that they send money to Mexico to cover health expenses. This category is only surpassed by food and maintenance, which is claimed to be one of the motives for remitting for 41.8 % of the U.S.-based remitters included in the MMP. On the contrary, education expenses are only reported as one of the reasons for remitting 12.1 % of the time. Consequently, various studies have analysed the relationship between private transfers and health expenditures, generally finding a positive correlation among the two variables (e.g. Airola 2007; Valero-Gil 2008; Amuedo-Dorantes and Pozo 2011).Footnote 4
 Given the significant segment of the population that Seguro Popular aimed to cover, the program was expanded gradually throughout Mexico. The variation in Seguro Popular’s availability and intensity over time and space allows to identify its causal effects, where differences between regions permit circumventing issues of selection into treatment among the uninsured population. While the expansion of Seguro Popular was not completely random, several studies have relied on the timing and rate of the program’s implementation to identify its impact on different outcomes (Bosch et al. 2012). To date, evidence on the impact of Seguro Popular on private transfers is non-existent, as the literature on Mexico has focused on whether social assistance programs such as Prospera, previously called Progresa and Oportunidades, or 70 y Más, both of which include a cash transfer component, crowd-out private support (e.g. Attanasio and Ríos-Rull 2000; Albarran and Attanasio 2003; Amuedo-Dorantes and Juarez 2015). The related international literature is limited to the study by Klohn and Strupat (2013), who investigate whether informal transfers in Ghana were affected by the introduction of a nationwide health insurance scheme. The scholars observe that the policy affected the likelihood of making or receiving informal transfers and their monetary equivalents. The results show that among households eligible for the program, a 1.0 % increase in the Seguro Popular coverage rate reduced the probability of receiving private transfers by 0.0555 % points. This finding appears to be driven by domestic private transfers, since the program’s effect is statistically significant for private transfers originating within Mexico, but is not significant for private transfers sent by foreign-based migrants. Moreover, the results show that Seguro Popular had a weak and non-significant negative effect on the amount of private transfers received. The study suggests that an unintended consequence of Seguro Popular is that the program partially crowds-out private transfers by reducing the likelihood of receiving them. The study proceeds as follows. Section 2 discusses the motives for remitting and how Seguro Popular may affect private transfers. Section 3 provides background information on the social security system in Mexico and Seguro Popular. Section 4 describes the data. Section 5 presents the methodology. Section 6 discusses the main results. Section 7 tests the sensitivity of the results. Section 8 concludes.",3
24,1,Latin American Economic Review,28 July 2015,https://link.springer.com/article/10.1007/s40503-015-0020-z,A robust Bayesian dynamic linear model for Latin-American economic time series: “the Mexico and Puerto Rico cases”,December 2015,Jairo Fúquene,Marta Álvarez,Luis Raúl Pericchi,Male,Female,Male,Mix,,
