Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Letters in Spatial and Resource Sciences,27 June 2008,https://link.springer.com/article/10.1007/s12076-008-0007-3,Editorial: the raison détre of letters in spatial and resource sciences,July 2008,Luc Anselin,Roberta Capello,Yoshiro Higano,Male,Female,Male,Mix,,
1.0,1.0,Letters in Spatial and Resource Sciences,02 February 2008,https://link.springer.com/article/10.1007/s12076-008-0001-9,A spatial J-test for model specification against a single or a set of non-nested alternatives,July 2008,Harry H. Kelejian,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Letters in Spatial and Resource Sciences,23 February 2008,https://link.springer.com/article/10.1007/s12076-008-0002-8,The enforcement mechanisms of the Kyoto protocol: flawed or promising concepts?,July 2008,Michael Finus,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Letters in Spatial and Resource Sciences,21 March 2008,https://link.springer.com/article/10.1007/s12076-008-0003-7,Agglomeration incentives in a spatial Cournot model with increasing returns to scale,July 2008,Sylvain Barde,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Letters in Spatial and Resource Sciences,15 April 2008,https://link.springer.com/article/10.1007/s12076-008-0004-6,Rangeland management using cell grazing: a dynamic and stochastic analysis of the optimal temporal control,July 2008,Amitrajeet A. Batabyal,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Letters in Spatial and Resource Sciences,16 May 2008,https://link.springer.com/article/10.1007/s12076-008-0005-5,A Monte Carlo EM algorithm for the estimation of a logistic auto-logistic model with missing data,July 2008,Marco Bee,Giuseppe Espa,,Male,Male,Unknown,Male,,
1.0,1.0,Letters in Spatial and Resource Sciences,20 June 2008,https://link.springer.com/article/10.1007/s12076-008-0006-4,Measuring revealed localisation economies,July 2008,Jan Oosterhaven,Lourens Broersma,,Male,Male,Unknown,Male,,
1.0,2.0,Letters in Spatial and Resource Sciences,10 July 2008,https://link.springer.com/article/10.1007/s12076-008-0008-2,Cooperative equilibria in fisheries: how many players?,December 2008,Rögnvaldur Hannesson,,,Male,Unknown,Unknown,Male,,
1.0,2.0,Letters in Spatial and Resource Sciences,05 August 2008,https://link.springer.com/article/10.1007/s12076-008-0009-1,"Concentration, congestion, and the dynamics: spatial re-modeling of the Murphy, Shleifer, and Vishny model",December 2008,Jinhwan Oh,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Letters in Spatial and Resource Sciences,16 August 2008,https://link.springer.com/article/10.1007/s12076-008-0010-8,"Visitor classification, vehicle breakdowns, and the provision of transport for tourism",December 2008,Amitrajeet A. Batabyal,Hamid Beladi,,Unknown,Male,Unknown,Male,,
1.0,2.0,Letters in Spatial and Resource Sciences,06 September 2008,https://link.springer.com/article/10.1007/s12076-008-0011-7,Optimal resource management in the presence of a deleterious alien species: a stochastic model for an orchard,December 2008,Amitrajeet A. Batabyal,Peter Nijkamp,,Unknown,Male,Unknown,Male,,
1.0,2.0,Letters in Spatial and Resource Sciences,19 September 2008,https://link.springer.com/article/10.1007/s12076-008-0012-6,Assessing the spatial dependence of welfare estimates obtained from discrete choice experiments,December 2008,Danny Campbell,Riccardo Scarpa,W. George Hutchinson,Male,Male,Unknown,Male,,47
1.0,2.0,Letters in Spatial and Resource Sciences,02 October 2008,https://link.springer.com/article/10.1007/s12076-008-0013-5,"Do growth, investment, and trade encourage water use or water conservation?",December 2008,John P. Hoehn,Kwami Adanu,,Male,Unknown,Unknown,Male,,
