Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101588,The pace of change in Central and Eastern Europe,February 1991,Domenico Mario Nuti,,,Male,Unknown,Unknown,Male,,
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101589,Polish hyperinflation and stabilization 1989–1990,February 1991,Grzegorz W. Kolodko,,,Male,Unknown,Unknown,Male,,
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101590,"Direct foreign investments in Poland: Regulations, experience and prospects",February 1991,Mikolaj Breitkopf,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101591,Evolution of the crisis and progress of the reform in USSR,February 1991,Leonid Grigorev,Olga Korčagina,,Male,Female,Unknown,Mix,,
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101592,The national product and income in the Soviet economic system,February 1991,Gennadij N. Zoteev,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101593,The impact of perestrojka on the banking system in the Soviet Union,February 1991,José Angel Sánchez Asiaín,,,Male,Unknown,Unknown,Male,,
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101594,The USSR property law: Possible forms of development,February 1991,Vladimir Škredov,,,Male,Unknown,Unknown,Male,,
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101595,Juridical forms of enterprise organization in USSR,February 1991,Viktor F. Raikhmilovič,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101596,The Polish Foreign Investment Act,February 1991,Barbara Zochowska Despiney,,,Female,Unknown,Unknown,Female,,
1.0,1.0,MOCT-MOST: Economic Policy in Transitional Economies,,https://link.springer.com/article/10.1007/BF01101597,Forms of ownership in USSR,February 1991,Nicoletta Amodio,,,Female,Unknown,Unknown,Female,,
