Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512226,Introductory article,March 2000,Riccardo Viale,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512227,Bounded rationality in social science: Today and tomorrow,March 2000,Herbert A. Simon,,,Male,Unknown,Unknown,Male,,258
1.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512228,"Reasons, cognition and society",March 2000,Raymond Boudon,Riccardo Viale,,Male,Male,Unknown,Male,,11
1.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512229,How to build and use agent-based models in social science,March 2000,Nigel Gilbert,Pietro Terna,,Male,Male,Unknown,Male,,235
1.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512230,Reasoning and pragmatics,March 2000,Guy Politzer,Laura Macchi,,Male,Female,Unknown,Mix,,
1.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512231,Deduction and induction: Reasoning through mental models,March 2000,Bruno G. Bara,Monica Bucciarelli,,Male,Female,Unknown,Mix,,
1.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512232,Through the agents' minds: Cognitive mediators of social action,March 2000,Cristiano Castelfranchi,,,Male,Unknown,Unknown,Male,,15
1.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512311,Individualism and holism: New controversies in the philosophy of social science,September 2000,Pierre Demeulenaere,,,Male,Unknown,Unknown,Male,,10
1.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512312,"The limits of probability modelling: A serendipitous tale of goldfish, transfinite numbers, and pieces of string",September 2000,Ranald R. Macdonald,,,Male,Unknown,Unknown,Male,,6
1.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512313,Collective and joint intention,September 2000,Raimo Tuomela,,,Male,Unknown,Unknown,Male,,15
1.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512314,"Dualism, monism, physicalism",September 2000,Tim Crane,,,Male,Unknown,Unknown,Male,,4
1.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512315,Interaction without reduction: The relationship between personal and sub-personal levels of description,September 2000,Martin Davies,,,Male,Unknown,Unknown,Male,,13
1.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512316,Do actions occur inside the body?,September 2000,Helen Steward,,,Female,Unknown,Unknown,Female,,7
2.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512073,On the functional orgins of essentialism,March 2001,H. Clark Barrett,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512074,The role of pragmatic rules in the conjunction fallacy,March 2001,Giuseppe Mosconi,Laura Macchi,,Male,Female,Unknown,Mix,,
2.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512075,Is self-knowledge compatible with externalism?,March 2001,Pierre Jacob,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512076,A mathematical theory of evidence for G.L.S. Shackle,March 2001,Guido Fioretti,,,Male,Unknown,Unknown,Male,,10
2.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512077,How do norms emerge? An outline of a theory,March 2001,Karl-Dieter Opp,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512078,The norms of thought: Are they social?,March 2001,Pascal Engel,,,Male,Unknown,Unknown,Male,,5
2.0,1.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512079,F.A. Hayek’s theory of mind and theory of cultural evolution revisited: Toward and integrated perspective,March 2001,Evelyn Gick,Wolfgang Gick,,Female,Male,Unknown,Mix,,
2.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512355,Enterprise risk management: Applications of economic modeling and information technology,September 2001,Christine P. Ries,,,Female,Unknown,Unknown,Female,,
2.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512356,A Re-examination of illusory inferences based on factual conditional sentences,September 2001,Paolo Cherubini,Alberto Mazzocco,Aurore Russo,Male,Male,Female,Mix,,
2.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512357,Preface,September 2001,Lorenzo Magnani,Nancy J. Nersessian,,Male,Female,Unknown,Mix,,
2.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512358,Models in science and mental models in scientists and nonscientists,September 2001,William F. Brewer,,,Male,Unknown,Unknown,Male,,6
2.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512359,Developmental issues in model-based reasoning during childhood,September 2001,Patricia H. Miller,,,Female,Unknown,Unknown,Female,,3
2.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512360,Conceptual mapping through keyword coupled clustering,September 2001,Zvika Marx,Ido Dagan,,Male,Male,Unknown,Male,,2
2.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512361,Reasoning based on categorisation for interpreting and acting: a first approach,September 2001,Elisabetta Zibetti,Vicenç Quera,Francesc Salvador Beltran,Female,Unknown,Male,Mix,,
2.0,2.0,Mind & Society,,https://link.springer.com/article/10.1007/BF02512362,Moral reasoning without rules,September 2001,Alan H. Goldman,,,Male,Unknown,Unknown,Male,,
