Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
25,1,Mineral Economics,30 October 2011,https://link.springer.com/article/10.1007/s13563-011-0010-9,Editorial,July 2012,Magnus Ericsson,,,Male,Unknown,Unknown,Male,,
25,1,Mineral Economics,22 November 2011,https://link.springer.com/article/10.1007/s13563-011-0009-2,"‘There’s nothing surer, the rich get rich and . . .’",July 2012,Gill Burke,,,,Unknown,Unknown,Mix,,
25,1,Mineral Economics,16 November 2011,https://link.springer.com/article/10.1007/s13563-011-0011-8,The present understanding of Earth’s global anthrobiogeochemical metal cycles,July 2012,Jason N. Rauch,,,Male,Unknown,Unknown,Male,"Perhaps the most comprehensive work to date in analyzing global metal cycles has been (1) the estimation of global metal stocks and flows from natural and anthropogenic sources by Nriagu, Pacyna, and colleagues (e.g., Nriagu 1979, 1990; Nriagu and Pacyna 1988; Pacyna et al. 1995) and (2) the estimation of anthropogenic stocks and flows by Graedel, Gordon, and colleagues (e.g., Graedel et al. 2004, 2005; Klee and Graedel 2004; Johnson et al. 2005; Gordon et al. 2006). Although useful to their disciplines, none of these studies provide a detailed, comprehensive “anthrobiogeochemical” cycle. An “anthrobiogeochemical” cycle is a biogeochemical cycle with its peripheral system boundaries expanded to incorporate the cycling systems of the anthroposphere. In the present context, the term is meant to emphasize the significant role humans play in mobilizing metal mass on the global scale, as opposed to humanity’s more minor role in mobilizing the grand nutrients. Without a comprehensive cycle, it is difficult to discuss how the past, present, and potential future use of metals in human society compare to the sustainable mobilization and use of Earth’s natural biogeochemical flows. Preliminary global anthrobiogeochemical cycles aimed at remedying this lack of knowledge integration of human and natural impacts have now been developed for aluminum (Al), silver (Ag), chromium (Cr), copper (Cu), iron (Fe), nickel (Ni), lead (Pb), and zinc (Zn) (Rauch and Graedel 2007; Rauch and Pacyna 2009). Aspects of this story of human impact include the (1) relative total mass mobilization (the mass of material moved from one anthrobiogeochemical reservoir to another) by human and natural processes and (2) metal emissions to air, water, and soil. One of the most comprehensive analyses to date, Nriagu and Pacyna’s (1988) seminal paper on global anthropogenic metal emissions to the environment, has been updated to the year 2000 for Cu, Cr, Pb, Ni, and Zn, and expanded upon by representing how the natural cycle of metal interacts with these emissions (Rauch and Pacyna 2009). These anthrobiogeochemical cycles of Al, Ag, Cr, Cu, Fe, Ni, Pb, and Zn also diagram the relative sizes of mass flows in anthropogenic technological cycles versus natural hydrological, biological, and geological cycles. People have today become true global geomorphic agents. While it took 5,000 years for human society to mobilize the amount of material approximately equal to the mass of the Catskill Mountains, people are on a pace to double that figure by the end of the twenty-first century (Hooke 2000). Metals are an integral part of this total mass movement as they act as technological nutrients without which modern society could not function. This ever increasing utilization of metal cannot exist without consequences to the natural mobilization and cycling of metals. By analyzing spatially the flows of the Klee–Graedel Human vs. Nature Dominance Index (Klee and Graedel 2004) for Cu, Zn, Al, and Fe, the spatial variability of human impact on these metal cycles can be approximated. These four metals were selected because they constitute society’s major industrial metals and as a consequence have significant metal mass flow quantities. Other metals, such as gold (Au), may potentially have more aggregate material mass movement associated with mining (mining is one of the six mass flows in the index), but as defined, the Human–Nature Dominance Index only examines the direct movement of metal mass on an element by element basis and does not account for indirect effects. If it were to, the associated material mass mobilized via Au mining would be allocated among the remaining elements of the periodic table, not to Au itself. Spatial resolution of key reservoirs in both the anthropic and natural realms provides further insights into the perturbation of Earth’s metal cycles beyond what can be elucidated by nonspatial global anthrobiogeochemical cycles alone. The results show that the patterns of dominance are both what one would expect, with high human impact in dense urban centers and mining sites, and what one would not necessarily deduce (the human impact on Al and Fe is much larger than on Zn and Cu in these urban areas) (Rauch 2010). Anthropogenic activity not only releases metal to the environment via unnatural vectors, it also moves metal from its natural setting into human consumption. Depleted from virgin ore deposits, this relocated metal mass is accumulating in in-use stocks and waste repositories, becoming a significant secondary resource of metal. The size of these secondary deposits is reflected in the market size of the recycling and reuse industry, at least in the USA, where it now exceeds the size of the mining industry both in terms of employment and revenues (R. W. Beck Inc. 2001). To increase understanding of these secondary deposits, work on mapping the quantities of in-use Al, Fe, Cu, and Zn stocks at the global scale at 1 km resolution has been completed (Rauch 2009). These deposits, concentrated in the wealthiest regions of the world, are compared to the locations of traditional ore deposits. While ore deposits are more spatially concentrated, they are more equally dispersed between developing and developed countries. The implications of the research introduced and discussed in further detail below are generally threefold. First, in managing metal emissions into the environment, it is helpful to understand the vectors, and magnitude of such vectors, so as to be able to prioritize the allocation of management resources. Anthrobiogeochemical cycles provide this information. Second, the relative differences between the spatial distributions of primary and secondary metal deposits show the material metal wealth transfer occurring from the poorer to the richer nations of the world, highlighting a potential long-term inequity in global metal resource distributions. And finally, the research clearly demonstrates that human society has now itself become a force of nature in the geological movement of metal material on Earth. The remainder of this article delves into three areas of the human–nature connection of global metal mobilization. First, anthrobiogeochemical cycles are discussed, and the vantage these cycles provide in understanding major metal mass mobilization is presented. The data generated by constructing these cycles are then examined through the lens of a human–nature dominance index, both spatially and nonspatially. Finally, the greatest imbalance observed in these global anthrobiogeochemical cycles, that of ore depletion and in-use stock accumulation, is further discussed and analyzed.",9
25,1,Mineral Economics,08 July 2011,https://link.springer.com/article/10.1007/s13563-011-0006-5,The 2008 commodity price boom: did speculation play a role?,July 2012,Olle Östensson,,,Male,Unknown,Unknown,Male,"From 2002 to 2008, world commodity markets experienced a dramatic increase in demand and spectacular price rises. The price rise was interrupted for some commodities when the United States and Europe entered recession in the last quarter of 2007, but prices of others continued rising a little longer until mid-2008. As seen from Fig. 1, the steep downturn in the world economy in the autumn of 2008 exacerbated the already initiated fall in commodity demand and resulted in severe declines in prices.
 Commodity price indices, by group, 2002-May 2009. Source: UNCTAD Commodity Price Bulletin  In the wake of the commodity boom and bust, a number of articles and reports have appeared that attempt to make the case that the surge in commodity prices and the subsequent fall were caused by speculation. Specifically, they argue that the nature of commodity markets has changed as a result of financial investors redirecting funds into these markets in order to diversify portfolios and offset declining yields of stock and bond markets. This “financialization” of commodity markets led, it is argued, to steeper price rises than would otherwise have been the case, and to a steeper fall once prices started falling. In the following, this claim is reviewed. The aim here is not to provide a detailed statistical or econometric analysis of events, but to present an overview of the arguments in a form that is hopefully accessible to non-specialists. One of the reasons for thinking this may be useful is that the arguments of the proponents of the speculation hypothesis appear to have prevailed among non-experts, as well as in commodity trading circles, in spite of it having been rejected in most of the authoritative statistical and econometric studies carried out. This is understandable in view of the intuitively convincing nature of some of the arguments used by supporters of the speculation hypothesis. By way of contrast, academic economists and financial market regulators who have concluded that the hypothesis should be rejected have not made their views—admittedly based on less accessible reasoning—widely known. While the scope of the article is applicable to all commodities and uses examples for a broad range of products, the market for crude oil is often referred to. There are three reasons for this. First, the rise and subsequent fall in crude oil prices attracted a great deal of attention and for many people, this was probably the only aspect of the commodity price boom that they noticed. Second, the crude oil market is broadly representative of commodity markets both with respect to price formation and interaction with the rest of the economy. Third, the quality and availability of data for crude oil are better than those for most commodities. It should be noted that the discussion in the following is concerned with events during the period leading up to, and including, the peaks in commodity prices reached during the 2007–2008 period. Interesting developments have taken place in commodity markets since then, but they are outside the scope of this article, mainly because it would otherwise grow to impractical dimensions. The section, “The financial speculation argument”, sets out the arguments used by the proponents of the speculation explanation. The section “The nature of commodity markets” provides some basic descriptions of commodity markets. It is concluded from the description that the speculation argument is to some extent based on false analogies with other markets. The section “Some simple statistical evidence“reviews some simple statistical evidence, and the section “Brief review of published studies” provides a brief review of published studies, concluding the basic examination of the arguments. Finally, the “Conclusions” section sets out some conclusions.",4
25,1,Mineral Economics,10 May 2012,https://link.springer.com/article/10.1007/s13563-012-0018-9,Taxing construction minerals: a contribution to a resource-efficient Europe,July 2012,Bettina Bahn-Walkowiak,Raimund Bleischwitz,Mark Meyer,Female,Male,Male,Mix,,
25,1,Mineral Economics,26 August 2011,https://link.springer.com/article/10.1007/s13563-011-0007-4,Recycling of metal scraps—a positive concept leading to augmentation of reserve base,July 2012,Pradeep Kumar Jain,,,,Unknown,Unknown,Mix,,
25,2,Mineral Economics,19 December 2012,https://link.springer.com/article/10.1007/s13563-012-0026-9,Sustainable production and consumption of mineral resources—introduction,March 2013,Joanna Kulczycka,Corina Hebestreit,,Female,Female,Unknown,Female,,
25,2,Mineral Economics,23 November 2012,https://link.springer.com/article/10.1007/s13563-012-0023-z,Mineral development and regional employment effects in northern Sweden: a scenario-based assessment,March 2013,Thomas Ejdemo,,,Male,Unknown,Unknown,Male,"New mines may offer important economic benefits for communities in the surrounding region, most notably in the form of employment opportunities, improved wages, developed infrastructure and tax revenues. Historically, mining has often been an important driver for regional development, but the local benefits of investments in mineral development appear to be diminishing compared to past experiences. Past mineral development projects often faced poor transport links and usually had little alternative to establishing town sites near the mines to accommodate workers and their families (Crowson 2008). The populations of such towns required various goods and services supplied locally and in this way, communities would emerge around mines. Local employment would consist of not only direct employment at the mine, but also indirect employment in suppliers to the mine, and of jobs sustained by induced consumption spending. But basing ones expectations of the regional impact of contemporary mining projects on past examples might prove a fallacy in hindsight. Eggert (2001), for instance, argues that while mineral development in the late nineteenth and early twentieth century typically served local or regional populations and industry, falling transport costs during the more recent decades have enabled mines to be located further away from final consumers and mineral processors, and the previously regional mineral markets have hence become global. In addition, technological progress has led to increasingly specialized input demands which cannot necessarily be supplied competitively by local firms (Radetzki 1982). Eggert (2001) argues that the backward and forward regional economic linkages of contemporary mines are weaker than they have been in past mineral development projects. More frequently than in the past, inputs are purchased outside of the region, and hence will not benefit local businesses. Radetzki (1982) argues that most of the returns to capital and to entrepreneurship may flow not only out of the region, but out of the country as well. This paper focuses on analysing the potential regional economic impact of the so-called Kaunisvaara Iron Ore Project, which is currently being developed by Northland Resources in Pajala—a municipality of approximately 6,300 people, located in Norrbotten County in northern Sweden. The county covers nearly one quarter of Sweden’s total land area and is sparsely populated with a total population of approximately 249,000, or less than 3 % of Sweden’s total population. Figure 1 illustrates the geographic location of the Kaunisvaara Project. Scandinavia and the geographic location of the Kaunisvaara Project The local government in Pajala has had to tackle demographic decline during the last decades, as its population has decreased by nearly 50 % since the late 1960s. Local officials are hopeful that the positive aspects of the Kaunisvaara Project, such as new jobs and increased tax revenues can improve the socio-economic outlook and that the project might also contribute to improving the negative population development. The mining industry has maintained a strong presence in Norrbotten County since the late 1800s when the iron ore producer Luossavaara-Kiirunavaara Aktiebolag (LKAB) was formed. The current operations are concentrated to the towns of Kiruna and Gällivare (located to the west of Pajala), where LKAB and Boliden Mineral AB together employ around 3,125 persons. While it may be tempting to look at the contribution of mining to the development of these towns, which currently have a combined population of 41,502, the arguments outlined above suggest that these towns may offer poor yardsticks for assessing the regional economic impact of the Kaunisvaara Project. Quantitative assessments based on current data are motivated to increase the understanding of the potential impacts and to enhance the public sectors ability to plan for and adapt to a new economic situation. In an attempt to provide such an assessment, we employ the Swedish regional economic impact model (rAps) to estimate medium- to long-term local and regional economic benefits of the Kaunisvaara Project, focusing mainly on the contribution of jobs in Pajala and Norrbotten County. The paper extends upon earlier work that was presented in Ejdemo and Söderholm (2011). There are two main differences between the paper at hand and our earlier study: (1) The previous study considered a preliminary planFootnote 1 for the mining operation which indicated an on-site (direct) employment of 1,071 persons at full production. The plan for the project has since been revised and the paper at hand considers the new plan which indicates a total of 500 on-site workers. Notably, the previous plan for the project included the construction and operation of a pellet plant, which has been excluded in the revised project. (2) In our earlier study, we assumed that the demand for labour was met by a considerable increase in in-migration to Pajala. This expansive demographic assumption was imposed to indicate a potential impact on the local economy if a fly-in-fly-out solution to labour demand could be avoided. The assumptions that are used in the paper at hand conform more closely to the prevailing demographic trend and assume a more modest direct impact on the demographic development. The paper proceeds as follows. “Model, data inputs, scenarios and assumptions” section briefly describes the applied regional economic impact model and summarizes the main characteristics of the Kaunisvaara Project. We outline the scenario-based approach, the input data and the main underlying assumptions of the study. “Model simulation results” section outlines the main results, first on the local level (i.e. Pajala municipality) and then followed by the regional level (i.e. Norrbotten County). The focus of the paper is largely on the contribution of jobs and in particular on the strength of multiplier effects in a few different scenarios, but we also address the effect on taxable incomes on both the local and county levels. Finally, some concluding remarks and implications are summarized in the “Final remarks” section.",11
25,2,Mineral Economics,24 October 2012,https://link.springer.com/article/10.1007/s13563-012-0024-y,LGOM region as a perspective power energy basin and implementation of innovative lignite development methods,March 2013,Janusz Nowak,Jan Kudelko,,Male,Male,Unknown,Male,"Legnica–Głogów Copper Region (LGOM) area is rich in numerous mineral resources, which can be a regional wealth for long years in the future. Currently, copper is mined in Lubin, Rudna, Sieroszowice, Polkowice mines and rock salt in Sieroszowice mine. The subsequent mining areas, i.e. “Glogow Gleboki” and others, are now prepared for extraction. Copper deposit occurs on the depth of from 700 to 1,500 m below the surface. Apart from those deposits, it is a region where rich lignite deposits are encountered. They occur on the depth from tens to over 400 m below the surface. In many cases, due to the land development, it is not possible to use the open-pit mining method. However, the progress in clean coal/lignite technologies, especially the method of underground coal gasification (Kozlowski 2008; Stachowiak et al. 2011) enables to plan their extraction.",3
25,2,Mineral Economics,22 November 2012,https://link.springer.com/article/10.1007/s13563-012-0025-x,Value creation of a mining company through international expansion,March 2013,Herbert Wirth,Krzysztof Kubacki,Krzysztof Napierała,Male,Male,Male,Male,"A growing intensity of international economic relations, advancing globalization and easier access to information, combined with relatively open global economy and mutual homogenization of markets, create new challenges for a growing company which some years ago were not an issue at all. The companies are forced to interact with other market players on a global level, and their activities cross borders very frequently. Recent decades have dramatically changed the economic environment of every business branch, and thus, the sources of company value creation have changed as well. International expansion is nowadays a necessity that accompanies entrepreneurs at earlier stages of development than in the past, and its role in value creation and building a successful company is essential. On the one hand, geographically diversified activities are a good source of competitive advantage for a company over international competitors entering the domestic market. On the other hand, due to recent intensive changes, the risk of international expansion outside the home market has diminished significantly, and the presence of foreign competitors on a given market has increased. Still, there is no single pattern of how to go international. This phenomenon is very individual, and it depends on both the internal situation of a given company and the conditions of business environment. Today international expansion has become a natural direction of companies' development. This article describes the issues of value creation through international expansion of an enterprise. In the first part, the authors analyze different forms of the process of internationalization of a company. The second part presents sources of value creation focusing on their appropriate identification within such company and describes the influence of global expansion on its growth. The last part analyzes a Polish entity—KGHM Polska Miedź S.A.—as an example of a mining enterprise that has just started its international expansion and has identified this process as a key factor value creation for its shareholders.",2
