Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1011464518669,Introduction to the Berlin Meeting,October 1999,Thosten Wichmann,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1017363001830,Netnomics – A new branch in economics,October 1999,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1011489402739,Applying game theory to automated negotiation,October 1999,Ken Binmore,Nir Vulkan,,Male,Male,Unknown,Male,,44
1.0,1.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1011441519577,"Money in the real and the virtual world: e‐money, c‐money and the demand for cb‐money",October 1999,Aloys Prinz,,,Male,Unknown,Unknown,Male,,8
1.0,1.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1011493503648,Raiding the net: Is there a need for an information highway patrol?,October 1999,Thorsten Schilling,,,Male,Unknown,Unknown,Male,,1
1.0,1.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1011445620486,Regulatory issues in electronic money: A legal‐economics analysis,October 1999,Boon‐Chye Lee,Olujoke Longe‐Akindemowo,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1011497604556,Jobs on the wire: In search of the perfect labor market,October 1999,Hanno Beck,,,Male,Unknown,Unknown,Male,,5
1.0,1.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1011449721395,On the economics of Internet peering,October 1999,Pio Baake,Thorsten Wichmann,,Male,Male,Unknown,Male,,42
1.0,2.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1019185305465,Java and object standardization in the Internet – A way to more competition in the software industry?,October 1999,Ralf Menkhoff,,,Male,Unknown,Unknown,Male,,
1.0,2.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1019153822303,Economics of advertising: Emerging functions of Internet advertising,October 1999,Marcus Ling,Kevin Lawler,Alfredo Moscardini,Male,Male,Male,Male,,2
1.0,2.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1019105906374,Electronic money and the network externalities theory: lessons for real life,October 1999,Leo Van Hove,,,Male,Unknown,Unknown,Male,,25
1.0,2.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1019157923212,Should the Internet care about regulation? Regulation and convergence,October 1999,Eric de Fontenay,,,Male,Unknown,Unknown,Male,,
1.0,2.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1019110007282,A framework for micropayment evaluation,October 1999,Carsten Schmidt,Rudolf Müller,,Male,Male,Unknown,Male,,8
1.0,2.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1019162124120,Arrow: A flexible architecture for an accounting and charging infrastructure in the Next Generation Internet,October 1999,George Fankhauser,Burkhard Stiller,Bernhard Plattner,Male,Male,Male,Male,,4
1.0,2.0,NETNOMICS: Economic Research and Electronic Networking,,https://link.springer.com/article/10.1023/A:1019114208191,Virtual travel agencies,October 1999,Matthias Kuom,Britta Oertel,,Male,Female,Unknown,Mix,,
