Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011514226782,The Special Issue on Traffic Flow Theory,March 2001,H. Michael Zhang,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011539112438,New Perspectives on Continuum Traffic Flow Models,March 2001,H.M. Zhang,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011577010852,Complexity of Synchronized Flow and Related Problems for Basic Assumptions of Traffic Flow Theories,March 2001,Boris S. Kerner,,,Male,Unknown,Unknown,Male,,120
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011529127691,A Simple Traffic Analysis Procedure,March 2001,Carlos F. Daganzo,,,Male,Unknown,Unknown,Male,,10
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011581111761,Probabilistic Description of Traffic Flow,March 2001,R. Mahnke,J. Kaupuzżs,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011533228599,Platoon-Based Multiclass Modeling of Multilane Traffic Flow,March 2001,Serge P. Hoogendoorn,Piet H.L. Bovy,,Male,,Unknown,Mix,,
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011585212670,The Mathematical Theory of an Enhanced Nonequilibrium Traffic Flow Model,March 2001,T. Li,H. M. Zhang,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011537329508,The Importance of Traffic Flow Modeling for Motorway Traffic Control,March 2001,A. Kotsialos,M. Papageorgiou,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1011589313578,Implementation and Field Testing of Characteristics-Based Intersection Queue Estimation Model,March 2001,Ping Yi,Clara Xin,Qiang Zhao,,Female,,Mix,,
2.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1014559729042,Introduction,March 2002,Jean-Claude Thill,,,Male,Unknown,Unknown,Male,,
2.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1014563113112,Ontologies of Wayfinding: a Traveler's Perspective,March 2002,Sabine Timpf,,,Female,Unknown,Unknown,Female,,58
2.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1014515329951,A GIS Approach to the Spatial Assessment of Telecommunications Infrastructure,March 2002,Guoray Cai,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1014567314021,Analyzing Geographic Representation Error in Capacitated Location-Allocation Modeling,March 2002,Robert G. Cromley,Richard D. Mrozinski Jr.,,Male,Male,Unknown,Male,,1
2.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1014519430859,GIS-Based Analysis of Marginal Price Variation with an Application in the Identification of Candidate Ethanol Conversion Plant Locations,March 2002,Charles E. Noon,F. Benjamin Zhan,Robin L. Graham,Male,Unknown,,Mix,,
2.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1015301926168,Guest Editorial:Special Issue on Spatial Economic Activity Analysis: New Methodologies,June 2002,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1015357027077,Estimation of Alonso's Theory of Movements by Means of Instrumental Variables,June 2002,Jacob J. De Vries,Peter Nijkamp,Piet Rietveld,Male,Male,,Mix,,
2.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1015361111147,Simulating the Interplay Between Regional Demographic and Economic Change in Two Scenarios,June 2002,Leo Van Wissen,Corina Huisman,,Male,Female,Unknown,Mix,,
2.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1015313212056,"Proximity, Polarization, and Local Labor Market Performances",June 2002,Guido Pellegrini,,,Male,Unknown,Unknown,Male,,22
2.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1015317329803,A Kohonen Self-Organizing Map Approach to Modeling Growth Pole Dynamics,June 2002,Rajendra Kulkarni,Laurie A. Schintler,Kenneth Button,Male,Female,Male,Mix,,
2.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1015373430711,Testing for Non-Linear Dependence in Univariate Time Series An Empirical Investigation of the Austrian Unemployment Rate,June 2002,Wolfgang Koller,Manfred M. Fischer,,Male,Male,Unknown,Male,,5
2.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1015377515690,Resilience: An Evolutionary Approach to Spatial Economic Systems,June 2002,Aura Reggiani,Thomas De Graaff,Peter Nijkamp,Female,Male,Male,Mix,,
2.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1019911310914,The Impact of Competition in the Italian Mobile Telecommunications Market,September 2002,Livio Cricelli,Massimo Gastaldi,Nathan Levialdi,Male,Male,Male,Male,,
2.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1019923727752,Evaluating Neural Spatial Interaction Modelling by Bootstrapping,September 2002,Manfred M. Fischer,Martin Reismann,,Male,Male,Unknown,Male,,
2.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1019975711823,A Hybrid Deployable Dynamic Traffic Assignment Framework for Robust Online Route Guidance,September 2002,Srinivas Peeta,Chao Zhou,,Male,,Unknown,Mix,,
2.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1019927828661,Two-Way Interconnection with Partial Consumer Participation,September 2002,Aaron Schiff,,,Male,Unknown,Unknown,Male,,
2.0,4.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1020862526520,"Introduction: Regional Transportation Models: Microsimulation and Computation, Part I",December 2002,Terry L. Friesz,,,,Unknown,Unknown,Mix,,
2.0,4.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1020843410590,Editorial,December 2002,Kai Nagel,Peter Wagner,,Male,Male,Unknown,Male,,1
2.0,4.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1020895427428,A Stochastic Route Choice Model for Car Travellers in the Copenhagen Region,December 2002,Otto Anker Nielsen,Andrew Daly,Rasmus Dyhr Frederiksen,Male,Male,Male,Male,,37
2.0,4.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1020847511499,Real Cases Applications of the Fully Dynamic METROPOLIS Tool-Box: An Advocacy for Large-Scale Mesoscopic Transportation Systems,December 2002,André de Palma,Fabrice Marchal,,Male,Male,Unknown,Male,,68
2.0,4.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1020899528337,A Microscopic Simulator for Freeway Traffic,December 2002,Joachim Wahle,Roland Chrobok,Michael Schreckenberg,Male,Male,Male,Male,,8
2.0,4.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1020851612407,Parallel DYNEMO: Meso-Scopic Traffic Flow Simulation on Large Networks,December 2002,Klaus Nökel,Matthias Schmidt,,Male,Male,Unknown,Male,,14
3.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1022078131827,Introduction,January 2003,Terry L. Friesz,,,,Unknown,Unknown,Mix,,
3.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1022092815898,Editorial: Regional Transportation Simulations,January 2003,Kai Nagel,Peter Wagner,,Male,Male,Unknown,Male,,
3.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1022044932736,Cellular Automata Simulations of Traffic: A Model for the City of Geneva,January 2003,Alexandre Dupuis,Bastien Chopard,,Male,Male,Unknown,Male,,16
3.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1022096916806,An Agent-Based Microsimulation Model of Swiss Travel: First Results,January 2003,Bryan Raney,Nurhan Cetin,Kai Nagel,Male,Female,Male,Mix,,
3.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1022049000877,Microsimulation of Urban Development and Location Choices: Design and Implementation of UrbanSim,January 2003,P. Waddell,A. Borning,G. Ulfarsson,Unknown,Unknown,Unknown,Unknown,,
3.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1022001117715,Growing Urban Roads,January 2003,Daniel Yamins,Steen Rasmussen,David Fogel,Male,Male,Male,Male,,42
3.0,1.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1022039011626,Book Reviews,January 2003,Terry L. Friesz,,,,Unknown,Unknown,Mix,,
3.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1023931117451,Foreword: Special Issue on Energy,June 2003,Steven A. Gabriel,,,Male,Unknown,Unknown,Male,,
3.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1023955701522,"Computational Experience with a Large-Scale, Multi-Period, Spatial Equilibrium Model of the North American Natural Gas System",June 2003,Steven A. Gabriel,Julio Manik,Shree Vikas,Male,Male,Unknown,Male,,27
3.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1023907818360,Nash-Cournot Equilibria in Power Markets on a Linearized DC Network with Arbitrage: Formulations and Properties,June 2003,Carolyn Metzler,Benjamin F. Hobbs,Jong-Shi Pang,Female,Male,Unknown,Mix,,
3.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1023959902430,Market Incompleteness in Regional Electricity Transmission. Part I: The Forward Market,June 2003,Yves Smeers,,,Male,Unknown,Unknown,Male,,14
3.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1023916120177,Market Incompleteness in Regional Electricity Transmission. Part II: The Forward and Real Time Markets,June 2003,Yves Smeers,,,Male,Unknown,Unknown,Male,,17
3.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1023912019269,A Nested Benders Decomposition Approach to Locating Distributed Generation in a Multiarea Power System,June 2003,Susan McCusker,Benjamin F. Hobbs,,Female,Male,Unknown,Mix,,
3.0,2.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1023964003339,Managing Electricity Reliability Risk Through the Forward Markets,June 2003,Afzal S. Siddiqui,,,Male,Unknown,Unknown,Male,,5
3.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1025345717581,Intra-Period (Within-Day) Dynamic Models for Continuous Services,September 2003,Ennio Cascetta,Pierluigi Coppola,,Male,Male,Unknown,Male,,2
3.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1025394201651,The CONTRAM Dynamic Traffic Assignment Model,September 2003,Nicholas B. Taylor,,,Male,Unknown,Unknown,Male,,58
3.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1025346318490,Combined Activity/Travel Choice Models: Time-Dependent and Dynamic Versions,September 2003,William H. K. Lam,Hai-Jun Huang,,Male,,Unknown,Mix,,
3.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1025398302560,The Dynamics and Equilibria of Day-to-Day Assignment Models,September 2003,David Watling,Martin L. Hazelton,,Male,Male,Unknown,Male,,121
3.0,3.0,Networks and Spatial Economics,,https://link.springer.com/article/10.1023/A:1025350419398,Stationary Dynamic Solutions in Congested Transportation Networks: Summary and Perspectives,September 2003,Yurii Nesterov,André de Palma,,Male,Male,Unknown,Male,,43
