Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886172,Editor's statement,February 1990,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886173,The open economy,February 1990,Lawrence R. Klein,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886174,The exchange rate and the trade balance,February 1990,Ronald I. McKinnon,,,Male,Unknown,Unknown,Male,,10
1.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886175,Uncertainty and the choice of instruments in a two-country monetary-policy game,February 1990,Dale W. Henderson,Ning Zhu,,,,Unknown,Mix,,
1.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886176,German dominance in the EMS,February 1990,Michele Fratianni,Juergen von Hagen,,Female,Unknown,Unknown,Female,,47
1.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886177,World oil prices and O.E.C.D. trade balance,February 1990,Dominick Salvatore,Greg Winczewski,,Male,Male,Unknown,Male,,3
1.0,2.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886162,The political economy of trade liberalization in developing countries,June 1990,Mustapha K. Nabli,,,Male,Unknown,Unknown,Male,,5
1.0,2.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886163,The cost of disinflation and the European Monetary System,June 1990,Paul de Grauwe,,,Male,Unknown,Unknown,Male,,21
1.0,2.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886164,Target zones and exchange rate management: A stability analysis of the European Monetary System,June 1990,Andrew Hughes-Hallett,Patrick Minford,,Male,Male,Unknown,Male,,7
1.0,2.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886165,From the European Monetary System to Economic and Monetary Union — How and why?,June 1990,Niels Thygesen,,,Male,Unknown,Unknown,Male,,2
1.0,3.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886157,Why floating exchange rates fall: A reconsideration of the liquidity trap,October 1990,Ronald McKinnon,,,Male,Unknown,Unknown,Male,,3
1.0,3.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886158,The choice of an invoicing currency in international trade and the balance of trade impact of currency depreciation,October 1990,Michael Melvin,Jahangir Sultan,,Male,Male,Unknown,Male,,6
1.0,3.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886159,Relative price risk in an open economy with fixed and flexible exchange rates,October 1990,Jürgen von Hagen,Manfred J. M. Neumann,,Male,Male,Unknown,Male,,1
1.0,3.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886160,John Hicks: A personal recollection,October 1990,Rainer Masera,,,Male,Unknown,Unknown,Male,,
1.0,3.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886161,A scholar and a friend has died: In memoriam of Karl Brunner,October 1990,Michele Fratianni,,,Female,Unknown,Unknown,Female,,
2.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886131,Editor's announcement,February 1991,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886132,Foreign dependence of individual stock prices: The role of aggregate product market developments,February 1991,Filip Abraham,Hilde Leliaert,,Male,Female,Unknown,Mix,,
2.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886133,The demand for protection: A look at antidumping cases,February 1991,Danny M. Leipziger,Hyun Ja Shin,,Male,,Unknown,Mix,,
2.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886134,What has foreign exchange market intervention since the Plaza Agreement accomplished?,February 1991,Michael D. Bordo,Anna J. Schwartz,,Male,Female,Unknown,Mix,,
2.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886135,Target zones and wealth effects: Current account implications of alternative policy assignments,February 1991,Patrizio Tirelli,,,Male,Unknown,Unknown,Male,,3
2.0,1.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886136,Insular or open economies?,February 1991,H. Peter Gray,,,Unknown,Unknown,Unknown,Unknown,,
2.0,2.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886895,Precommitment by central bank independence,June 1991,Manfred J. M. Neumann,,,Male,Unknown,Unknown,Male,,44
2.0,2.0,Open Economies Review,,https://link.springer.com/article/10.1007/BF01886896,Fiscal policy independence in a European Monetary Union,June 1991,Paul Masson,Jacques Melitz,,Male,Male,Unknown,Male,,19
