Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948419,Regional science and planning,December 1962,Walter Isard,Thomas A. Reiner,,Male,Male,Unknown,Male,,3
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948420,Regional analysis and the geographic concept of region,December 1962,Andrzej Wrobel,,,Male,Unknown,Unknown,Male,,3
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948421,Theoretical problems in the development of economic regions (with special emphasis on Poland),December 1962,Kazimierz Dziewonski,,,Male,Unknown,Unknown,Male,,4
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948422,Comments on Dziewonski and Wrobel,December 1962,Eustace G. Panas,,,Unknown,Unknown,Unknown,Unknown,,
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948423,A model of optimization of foreign trade in a planned economy and its applications,December 1962,Witold Trzeciakowski,,,Male,Unknown,Unknown,Male,,1
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948424,On some methods and problems in the study of metropolitan economies,December 1962,Roland Artle,,,Male,Unknown,Unknown,Male,,6
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948425,Comments on artle,December 1962,Félix Rosenfeld,,,Male,Unknown,Unknown,Male,,
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948426,Large areal complexes of productive forces of the Soviet Union,December 1962,Julian G. Saúshkin,,,Male,Unknown,Unknown,Male,,3
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948427,Statistical explanations of the relative shift of manufacturing among regions of the United States,December 1962,Victor R. Fuchs,,,Male,Unknown,Unknown,Male,,17
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948428,Regional distribution of national wealth in Yugoslavia,December 1962,Ivo Vinski,,,Male,Unknown,Unknown,Male,,2
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948429,Regional income inequalities and the problems of growth in Spain,December 1962,J. R. Lasuén,,,Unknown,Unknown,Unknown,Unknown,,
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948430,Comments on Vinski and Lasuén,December 1962,Werner Hochwald,,,Male,Unknown,Unknown,Male,,
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948431,Summary paper,December 1962,Walter Isard,Thomas A. Reiner,,Male,Male,Unknown,Male,,
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948432,Program,December 1962,,,,Unknown,Unknown,Unknown,Unknown,,
8,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01948433,List of participants,December 1962,,,,Unknown,Unknown,Unknown,Unknown,,
9,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01947619,Presidential address: The nature of cities reconsidered,December 1962,Edward L. Ullman,,,Male,Unknown,Unknown,Male,,18
9,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01947620,Aspects of decision-making theory and regional science,December 1962,Walter Isard,Thomas A. Reiner,,Male,Male,Unknown,Male,,6
9,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01947621,Regional theory and regional models,December 1962,Michael B. Teitz,,,Male,Unknown,Unknown,Male,,6
9,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01947622,Towards a theory of intra-urban wage differentials and their influence on travel patterns,December 1962,Leon N. Moses,,,Male,Unknown,Unknown,Male,,30
9,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01947623,Retail location and consumer behavior,December 1962,Brian J. L. Berry,H. Gardiner Barnum,Robert J. Tennant,Male,Unknown,Male,Male,,38
9,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01947624,The spatial behavior of a dispersed non-farm population,December 1962,Edwin N. Thomas,Richard A. Mitchell,Donald A. Blome,Male,Male,Male,Male,,2
9,1,Papers in Regional Science,,https://link.springer.com/article/10.1007/BF01947625,The journey-to-work as a determinant of residential location,December 1962,John F. Kain,,,Male,Unknown,Unknown,Male,,91
