Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0005-0,Editors’ note,March 2002,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-001-0003-7,The state of Portuguese research in economics: an analysis based on publications in international journals,March 2002,Paulo Guimarães,,,Male,Unknown,Unknown,Male,,9
1.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-001-0001-9,The behaviour of seasonal unit root tests under neglected local drifts,March 2002,Paulo M. M. Rodrigues,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-001-0004-6,Monetary policy shocks and productivity measures in the G-7 countries,March 2002,Charles L. Evans,F. Teixeira dos Santos,,Male,Unknown,Unknown,Male,,2
1.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-001-0002-8,Measuring the economic benefits of protecting the Parque Natural do Sudoeste Alentejano e Costa Vicentina from commercial tourism development: results from a contingent valuation survey,March 2002,Paulo A. L. D. Nunes,,,Male,Unknown,Unknown,Male,,3
1.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0011-2,Microeconometrics: Editors’ introduction,August 2002,João M. C. Santos Silva,Frank Windmeijer,,,Male,Unknown,Mix,,
1.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0010-3,Alternative approaches to evaluation in empirical microeconomics,August 2002,Richard Blundell,Monica Costa Dias,,Male,Female,Unknown,Mix,,
1.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0008-x,"Inverse probability weighted M-estimators for sample selection, attrition, and stratification",August 2002,Jeffrey M. Wooldridge,,,Male,Unknown,Unknown,Male,,295
1.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0009-9,Dynamic panel data models: a guide to micro data methods and practice,August 2002,Stephen R. Bond,,,Male,Unknown,Unknown,Male,,1176
1.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0007-y,Nonlinear models with panel data,August 2002,Bo E. Honoré,,,Male,Unknown,Unknown,Male,,41
1.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0006-z,Semi-parametric models for satisfaction with income,August 2002,Charles Bellemare,Bertrand Melenberg,Arthur van Soest,Male,Male,Male,Male,,16
1.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0012-1,On the impact of a tax shock in Portugal,December 2002,Alfredo M. Pereira,Pedro G. Rodrigues,,Male,Male,Unknown,Male,,7
1.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0013-0,Bargaining regimes and wages in Portugal,December 2002,Joop Hartog,Pedro T. Pereira,José A. C. Vieira,,Male,Male,Mix,,
2.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0014-z,Predation and reputation acquisition in debt markets,April 2003,Cesaltina Pacheco Pires,,,Female,Unknown,Unknown,Female,,
2.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0018-3,Endogenous timing of moves in an asymmetric price-setting duopoly,April 2003,Attila Tasnádi,,,Male,Unknown,Unknown,Male,,13
2.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0015-y,Job and worker flows in high adjustment cost settings,April 2003,José M. Varejão,,,Male,Unknown,Unknown,Male,,4
2.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-002-0016-5,Structure and performance in the Portuguese banking industry in the nineties,April 2003,Victor Mendes,João Rebelo,,Male,,Unknown,Mix,,
2.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-003-0020-9,Special Issue on Health Economics: Introduction,August 2003,Pedro Pita Barros,,,Male,Unknown,Unknown,Male,,
2.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-003-0017-4,The economics of crowd out under mixed public/private health insurance,August 2003,William Encinosa,,,Male,Unknown,Unknown,Male,,3
2.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-003-0019-2,Optimal payment schemes for physicians,August 2003,Rosella Levaggi,Lise Rochaix,,Female,Female,Unknown,Female,,7
2.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-003-0021-8,Treatment effects of selection behavior in managed care plans: evidence from Medicaid,August 2003,Carla S. Gomes,,,Female,Unknown,Unknown,Female,,
2.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-003-0022-7,Crime and social norms,December 2003,Nuno Garoupa,,,Male,Unknown,Unknown,Male,,6
2.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-003-0023-6,Takeover bids: evidence from the Portuguese market,December 2003,Vasco Rodrigues,,,Male,Unknown,Unknown,Male,,
2.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-003-0024-5,Maturity and volatility effects on UK smiles,December 2003,João L. C. Duque,Patrícia Teixeira Lopes,,,Female,Unknown,Mix,,
2.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-003-0025-4,Real exchange rates and target interest rates in a simple VAR model,December 2003,André Varella Mollick,,,Male,Unknown,Unknown,Male,,
3.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0026-y,"A note on conspicuous leisure, animal spirits and endogenous cycles",April 2004,Mark Weder,,,Male,Unknown,Unknown,Male,,7
3.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0027-x,A general equilibrium framework for the affine class of term structure models,April 2004,João Pedro Vidal Nunes,,,,Unknown,Unknown,Mix,,
3.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0029-8,Institutions and economic growth in Portugal: a quantitative exploration,April 2004,José Tavares,,,Male,Unknown,Unknown,Male,,15
3.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0036-9,Special issue on applied environmental economics: Editors’ introduction,September 2004,Susana Mourato,Giles Atkinson,,Female,Male,Unknown,Mix,,
3.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0035-x,Resource price trends and development prospects,September 2004,Kirk Hamilton,Katharine Bolt,,Male,Female,Unknown,Mix,,
3.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0033-z,Possible economic impacts of a shutdown of the thermohaline circulation: an application of FUND,September 2004,P. Michael Link,Richard S. J. Tol,,Unknown,Male,Unknown,Male,,41
3.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0034-y,Environmental market creation: saviour or oversell?,September 2004,David Pearce,,,Male,Unknown,Unknown,Male,,17
3.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0031-1,Contingent valuation of ill health caused by pollution: testing for context and ordering effects,September 2004,Richard Ready,Ståle Navrud,Maria Xosé Vázquez Rodriquez,Male,Male,Female,Mix,,
3.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0032-0,"An economic reappraisal of the Melamchi water supply project - Kathmandu, Nepal",September 2004,Dale Whittington,Donald T. Lauria,Joe Cook,,Male,Male,Mix,,
3.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0028-9,A note on the welfare consequences of wage indexing in a stochastic economy,December 2004,Pierre-Guillaume Méon,,,Unknown,Unknown,Unknown,Unknown,,
3.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0030-2,Stock market volatility of regulated industries: an empirical assessment,December 2004,Claudio Morana,John W. Sawkins,,Male,Male,Unknown,Male,,4
3.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-004-0037-8,"Human capital, innovation capability and economic growth in Portugal, 1960-2001",December 2004,Aurora A. C. Teixeira,Natércia Fortuna,,Female,Female,Unknown,Female,,21
4.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0038-2,Low-wage mobility in the Portuguese labour market,April 2005,José A. Cabral Vieira,,,Male,Unknown,Unknown,Male,,7
4.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0039-1,Demand shocks and productivity growth,April 2005,António Gomes de Menezes,,,Male,Unknown,Unknown,Male,,1
4.0,1.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0040-8,“Ideas” driven growth: the OECD evidence,April 2005,Argentino Pessoa,,,Male,Unknown,Unknown,Male,,27
4.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0041-7,Special issue on geographical economics: Editor’s introduction,August 2005,Masahisa Fujita,,,Male,Unknown,Unknown,Male,,1
4.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0043-5,On the evolution of the spatial economy with multi-unit · multi-plant firms: the impact of IT development,August 2005,Masahisa Fujita,Toshitaka Gokan,,Male,Unknown,Unknown,Male,,13
4.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0044-4,Market potential and welfare: evidence from the Iberian Peninsula,August 2005,Armando José Garcia Pires,,,Male,Unknown,Unknown,Male,,5
4.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0042-6,Transport development and the evolution of economic geography,August 2005,Masahisa Fujita,Tomoya Mori,,Male,Male,Unknown,Male,,22
4.0,2.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0045-3,Agglomeration in a vertically-related oligopoly,August 2005,José Pedro Pontes,,,Male,Unknown,Unknown,Male,,4
4.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0046-2,Endogenous fertility and modified Pareto-optimality,December 2005,Günther Lang,,,Male,Unknown,Unknown,Male,,3
4.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0047-1,"Government deficits, consumption, and the price level",December 2005,Barbara Annicchiarico,Giancarlo Marini,,Female,Male,Unknown,Mix,,
4.0,3.0,Portuguese Economic Journal,,https://link.springer.com/article/10.1007/s10258-005-0048-0,Understanding the election results in Portugal,December 2005,António Caleiro,Gertrudes Guerreiro,,Male,Female,Unknown,Mix,,
5.0,1.0,Portuguese Economic Journal,25 March 2006,https://link.springer.com/article/10.1007/s10258-006-0001-x,Use of borrowed start-up capital and micro enterprises in Mexico: existence of liquidity constraints,May 2006,Heikki Heino,,,Male,Unknown,Unknown,Male,,8
5.0,1.0,Portuguese Economic Journal,07 March 2006,https://link.springer.com/article/10.1007/s10258-006-0002-9,Are voters rationally ignorant? An empirical study of Portuguese local elections,May 2006,Ester Gomes Silva,José da Silva Costa,,Female,Male,Unknown,Mix,,
5.0,1.0,Portuguese Economic Journal,04 May 2006,https://link.springer.com/article/10.1007/s10258-006-0003-8,Entry and fiscal policy effectiveness in a small open economy within a Monetary Union,May 2006,Luís F. Costa,,,Male,Unknown,Unknown,Male,,2
5.0,2.0,Portuguese Economic Journal,19 August 2006,https://link.springer.com/article/10.1007/s10258-006-0012-7,Special issue on contemporary labor economics: Editor’s introduction,August 2006,John T. Addison,,,Male,Unknown,Unknown,Male,,
5.0,2.0,Portuguese Economic Journal,28 September 2006,https://link.springer.com/article/10.1007/s10258-006-0009-2,Building blocks in the economics of mandates,August 2006,John T. Addison,Richard C. Barrett,W. Stanley Siebert,Male,Male,Unknown,Male,,
5.0,2.0,Portuguese Economic Journal,23 September 2006,https://link.springer.com/article/10.1007/s10258-006-0011-8,Education and its intergenerational transmission: country of origin-specific evidence for natives and immigrants from Switzerland,August 2006,Philipp Bauer,Regina T. Riphahn,,Male,Female,Unknown,Mix,,
5.0,2.0,Portuguese Economic Journal,27 September 2006,https://link.springer.com/article/10.1007/s10258-006-0006-5,Re-employment probabilities over the business cycle,August 2006,Guido W. Imbens,Lisa M. Lynch,,Male,Female,Unknown,Mix,,
5.0,2.0,Portuguese Economic Journal,21 September 2006,https://link.springer.com/article/10.1007/s10258-006-0008-3,Learning to update your reservation wage while looking for a new job,August 2006,Ben Kriechel,Gerard A. Pfann,,Male,Male,Unknown,Male,,3
5.0,2.0,Portuguese Economic Journal,29 September 2006,https://link.springer.com/article/10.1007/s10258-006-0010-9,Crime and benefit sanctions,August 2006,Stephen Machin,Olivier Marie,,Male,Male,Unknown,Male,,18
5.0,2.0,Portuguese Economic Journal,23 September 2006,https://link.springer.com/article/10.1007/s10258-006-0007-4,Should employment authorities worry about mergers and acquisitions?,August 2006,David N. Margolis,,,Male,Unknown,Unknown,Male,,13
