Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718986,Preface,December 1966,Gordon Tullock,,,Male,Unknown,Unknown,Male,,2
1.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718987,A simple theory of non-cooperative games with ordinal utilities (1),December 1966,Duncan Black,,,Male,Unknown,Unknown,Male,,
1.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718988,Individual interests and collective action,December 1966,James S. Coleman,,,Male,Unknown,Unknown,Male,,7
1.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718989,On the process of budgeting: An empirical study of congressional appropriation,December 1966,Otto A. Davis,M. A. H. Dempster,Aaron Wildavsky,Male,Unknown,Male,Male,,13
1.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718990,A pareto optimal group decision process,December 1966,E. A. Thompson,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718991,Information without profit,December 1966,Gordon Tullock,,,Male,Unknown,Unknown,Male,,15
1.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718992,Pressure groups and political entrepreneurs: A review article,December 1966,Richard E. Wagner,,,Male,Unknown,Unknown,Male,,54
2.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718647,Foreword,December 1967,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718648,Fiscal policy and fiscal preference,December 1967,James M. Buchanan,,,Male,Unknown,Unknown,Male,,1
2.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718649,Ethics and game theory: The prisoner's dilemma,December 1967,R. L. Cunningham,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718650,Constitutional asymmetry,December 1967,David Tuerck,,,Male,Unknown,Unknown,Male,,1
2.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718651,A method for finding “acceptable proposals” in group decision processes,December 1967,Charles R. Plott,,,Male,Unknown,Unknown,Male,,3
2.0,1.0,Public Choice,,https://link.springer.com/article/10.1007/BF01718652,Alternative voting rules and local expenditure: The town-meeting vs. city,December 1967,Harvey J. Wheeler,,,Male,Unknown,Unknown,Male,,1
