Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010114,Dear readers,January 2011,,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010060,The impact of the global crisis on the strategy of spatial socio-economic development of the Russian federation,January 2011,A. G. Granberg,N. N. Mikheeva,P. A. Minakir,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010138,Regional inequality in large post-soviet countries,January 2011,N. V. Zubarevich,S. G. Safronov,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010047,Modern transportation geography and transportation accessibility,January 2011,V. N. Bugromenko,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010126,The eastern vector as a priority area for the development of the Russian energy sector in the first half of the 21st century,January 2011,B. G. Saneev,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010096,Socio-economic challenges to the timber industry in the North-European part of Russia (case study of Kostroma oblast),January 2011,I. F. Kuz’minov,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010023,Social segregation of personal activity spaces in a posttransformation metropolis (case study of St. Petersburg),January 2011,K. E. Aksyonov,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010059,Human geography: Prospects of axiomatization and lawmaking,January 2011,Yu. N. Gladkii,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010102,On the methodology of research and regulation of spatial development processes,January 2011,V. N. Leksin,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010084,Development of environmental legislation in pre-revolutionary Russia (1649–1855),January 2011,A. N. Krenke,M. M. Chernavskaya,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010072,Geographical roots of ancient civilizations (on the 120th anniversary of L.I. Mechnikov’s Civilization and Great Historical Rivers). Part I,January 2011,A. G. Isachenko,,,Unknown,Unknown,Unknown,Unknown,,
1.0,1.0,Regional Research of Russia,21 April 2011,https://link.springer.com/article/10.1134/S2079970511010035,Single-industry towns in Russia,January 2011,D. Yu. Zemlyanskii,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020122,Socioeconomic preconditions for risks to sustainable development of RF regions,April 2011,G. A. Privalovskaya,I. N. Volkova,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020080,Spatial externalities as a source of economic growth,April 2011,E. A. Kolomak,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020079,Export risks of resource development projects in the Yamalo-Nenets Autonomous Okrug,April 2011,V. N. Kharitonova,I. A. Vizhina,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020134,Socioeconomic consequences of anticipated climate change in the Arctic,April 2011,V. V. Vasilyev,V. S. Selin,E. B. Tereshchenko,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020109,"Largest urban agglomerations in Russia at the beginning of the 21st century: Status, problems, and approaches to solving them",April 2011,G. M. Lappo,V. Ya. Lyubovnyi,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S207997051102002X,The 2008 financial-economic crisis and spatial transformation of the St. Petersburg agglomeration,April 2011,A. R. Batchayev,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020067,Vector of postcrisis development of rural Russia,April 2011,Z. I. Kalugina,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020031,On the relativity of indicators and concepts in socioeconomic geography,April 2011,A. P. Gorkin,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020092,Russia’s environmental legislation 1855–1913,April 2011,A. N. Krenke,M. M. Chernavskaya,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020043,Geographic roots of ancient civilizations (on the 120th anniversary of L.I. Mechnikov’s Civilization and Great Historic Rivers): Part II,April 2011,A. G. Isachenko,,,Unknown,Unknown,Unknown,Unknown,,
1.0,2.0,Regional Research of Russia,30 June 2011,https://link.springer.com/article/10.1134/S2079970511020110,Russia’s migration balance by regions: The twenty post-Soviet years,April 2011,N. V. Mkrtchyan,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S207997051103004X,Regional growth: the quality of economic space,July 2011,S. A. Kirillova,O. G. Kantor,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030105,Regional distribution of Russian internet domains,July 2011,A. N. Pelyasov,E. N. Kuritsyna-Korsovskaya,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030075,Post-soviet transformation of natural resource utilization in eastern Russia,July 2011,T. V. Litvinenko,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030087,Population dynamics of Russia’s regions and the role of migration: Critical assessment based on the 2002 and 2010 censuses,July 2011,N. V. Mkrtchyan,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030129,Migration processes in the formation of the population of the Russian Northwest,July 2011,S. P. Semyonov,P. V. Abramov,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030130,Health of the Siberian population: Risks and their indicators,July 2011,S. V. Soboleva,N. E. Smirnova,O. V. Chudaeva,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030051,Possibilities and prospects for Siberia’s innovative development,July 2011,N. A. Kravchenko,G. A. Untura,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030117,Approaches to the ecological and economical assessment of desertification processes,July 2011,B. L. Radnaev,A. S. Mikheeva,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030063,Land market and urban development in Russia: Problems of nonspecified property rights and the state quasimonopoly on land,July 2011,L. E. Limonov,K. V. Vakhrusheva,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030026,Symbolic management in creating regional identity,July 2011,N. E. Abalmasova,E. A. Pain,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030038,Experience in evaluating the historical maturity of a region’s borders (a case study of Pskov oblast),July 2011,S. I. Evdokimov,,,Unknown,Unknown,Unknown,Unknown,,
1.0,3.0,Regional Research of Russia,08 October 2011,https://link.springer.com/article/10.1134/S2079970511030099,Agricultural land in Russia and its dynamics,July 2011,T. G. Nefedova,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Regional Research of Russia,24 December 2011,https://link.springer.com/article/10.1134/S2079970511040083,Evaluation of the branch competitiveness of the regions of the Central Federal District in 2005–2009 using the shift-share analysis,October 2011,L. E. Limonov,S. N. Rastvortseva,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Regional Research of Russia,24 December 2011,https://link.springer.com/article/10.1134/S2079970511040034,Studies on income inequality among Russian regions,October 2011,K. P. Gluschenko,,,Unknown,Unknown,Unknown,Unknown,,
1.0,4.0,Regional Research of Russia,24 December 2011,https://link.springer.com/article/10.1134/S2079970511040022,West Siberian oil and gas sector: Problems and solutions,October 2011,V. A. Bykovskii,,,Unknown,Unknown,Unknown,Unknown,,
