Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
98,1,"Review of Agricultural, Food and Environmental Studies",31 July 2017,https://link.springer.com/article/10.1007/s41130-017-0049-2,The impact of single farm payments on technical inefficiency of French crop farms,July 2017,Kassoum Ayouba,Jean-Philippe Boussemart,Stéphane Vigeant,Unknown,Unknown,,Mix,,
98,1,"Review of Agricultural, Food and Environmental Studies",27 March 2017,https://link.springer.com/article/10.1007/s41130-017-0041-x,Mandatory integrated pest management in the European Union: experimental insights on consumers’ reactions,July 2017,M. Lefebvre,C. Biguzzi,A. Sutan,Unknown,Unknown,Unknown,Unknown,,
98,1,"Review of Agricultural, Food and Environmental Studies",06 April 2017,https://link.springer.com/article/10.1007/s41130-017-0044-7,Autonomy under contract: the case of traditional free-range poultry farmers,July 2017,Cécile J.M. Adam,Christian P.M. Ducrot,Nicolas Fortané,Female,Male,Male,Mix,,
98,1,"Review of Agricultural, Food and Environmental Studies",19 July 2017,https://link.springer.com/article/10.1007/s41130-017-0048-3,Objectives’ alignment between members and agricultural cooperatives,July 2017,François Bareille,Florence Bonnet-Beaugrand,Sabine Duvaleix-Tréguer,Male,Female,Female,Mix,,
98,1,"Review of Agricultural, Food and Environmental Studies",08 March 2017,https://link.springer.com/article/10.1007/s41130-017-0038-5,"Jill E. Hobbs, Stavroula Malla, Eric K. Sogah and May T. Yeung, 2014, Regulating Health Foods. Policy Challenges and Consumer Conundrums",July 2017,Stéphan Marette,,,Male,Unknown,Unknown,Male,,
98,1,"Review of Agricultural, Food and Environmental Studies",16 February 2017,https://link.springer.com/article/10.1007/s41130-017-0036-7,"Jackson P., 2015, Anxious Appetites: Food and Consumer Culture",July 2017,Steffen Hirth,,,Male,Unknown,Unknown,Male,,
98,1,"Review of Agricultural, Food and Environmental Studies",22 March 2017,https://link.springer.com/article/10.1007/s41130-017-0040-y,"Jayson Lusk, 2016, Unnaturally delicious: how science and technology are serving up super foods to save the world",July 2017,Gunnar Rundgren,,,Male,Unknown,Unknown,Male,,1
98,1,"Review of Agricultural, Food and Environmental Studies",20 April 2017,https://link.springer.com/article/10.1007/s41130-017-0045-6,"Krishnendu Ray, 2016, The ethnic restaurateur",July 2017,Alan Warde,,,Male,Unknown,Unknown,Male,,
99,1,"Review of Agricultural, Food and Environmental Studies",23 May 2018,https://link.springer.com/article/10.1007/s41130-018-0070-0,Food provisioning—from supermarket to producer: understanding the articulation of different suppliers,June 2018,Marie-Pierre Julien,,,Female,Unknown,Unknown,Female,"To counter the standardisation of foods in supermarkets, the 1980s saw the emergence of a widespread movement promoting heritage (“patrimonialisation”) (Poulot 1998; Jeudy 2001; Tornatore 2012), mobilising both historical depth and naturalness (Dupré 2006). It gave legitimacy to the revival of traditional products (Bromberger et al. 2004) within a legal framework and a modern economy (Bérard and Marchenay 2004). However, this movement had begun in the interwar period with the growth of tourism (Laferté 2002), with products such as chestnut flour (Dupré 2004), Mortagne black pudding (Gilbert 1994), Noirmoutier salt (Potterie 1994), Morteau sausage and Morbier cheese being used as elements of regional identity (Menant et al. 1996). The task of the Patrimoine Ethnologique (French Ethnological Heritage, working under the Ministry for Culture) was to analyse motivations (Bromberger et al. 2004; Chevallier 1991). The dual nature of households’ consumption has been qualified as paradoxical (Warnier 1994) because “merchandise” signifies goods that are tradable, usually for money, with a “value for use”. Thus, through monetary means, all merchandise can be compared. Authenticity, on the contrary, is a particularity that cannot, ostensibly, be commodified, but one that has nevertheless become the driver of an economy (Esquerre and Boltanski 2017) that some have called “terroir-caisse” (local-tradition cash cow) (Bessière 2012), hence the observation of a paradox, namely the growth of market demand for identifier goods in reference to inalienable historical or geographical roots. To resolve this paradox, eater consumers mobilise three types of identifying authorities and procedures (Warnier 1994). (1) Sourcing their supplies from a known producer, artisan or seller whose products are respected, well-priced, tasty or healthy, whose production mode is considered sustainable and good for the environment, or to support local employment. Warnier calls this la marchandisation singularisante in reference to Kopytoff’s “resingulariz[ation of] what has been commoditized” (1986). (2) In more anonymous premises for provisioning, certifying authorities guarantees a product’s origin and production mode when the consumer does not personally know its source. This is the primary role of brands, which guarantee the stable taste and value for money upon which consumer confidence is built. Protected Origin (AOC, AOP) and organic farming certification (e.g. AB, Ecocert, Bio Europe and Bio Cohérence in France) rely on specific terms of reference, compliance with which is monitored regularly. (3) Lastly, if we make this analysis by examining practices, we should also take into account the way in which an industrially manufactured product is appropriated by its recurrent use, entering into a family’s gustatory history by reminding young adults of their childhood, for example. This may be a particular brand of spaghetti or a specific chocolate spread. These foods, obtained in a supermarket, will be domesticated through repeated or even daily use, contributing to the construction of a family or age-group food history. We can call this “domestication” (Warnier 1994). These three authentication modes can be found in the articles, presented from a contemporary perspective. We put forward the hypothesis that the food and health scandals of the last 30 years have strengthened consumers’ demand for traceability to help them authenticate the foods they buy and to manage the risks (Lamine 2008, 2015; Raude 2008). Although eaters do not all patronise the same suppliers for financial, social, cultural or political reasons, the multiplication of types of provisioning and the authentication modes described by this issue’s authors converge with those illustrated by Warnier in the 1990s. However, the aim of contemporary forms of authentication is no longer only to give meaning to mass consumption by means of “singularised” and identified products but to inform the consumer of the economic, social and political conditions of the goods’ production and distribution. These authentication processes are particularly significant if observed from the perspective of households’ provisioning practices. In 2011, 72% of food purchases were made in supermarkets (Kranklader 2014), and this figure has remained stable since 2011. However, the diversification of provisioning in the remaining 28% has evolved because of the diversification of production and therefore of supply (organic shops, AMAPs, producer cooperatives, internet access, local markets, etc.). As for the differences in economic or social restrictions that exist among consumers, Ferrant and Plessz (2015) note that “the proportion [of income spent on food] has become less divisive in the sense that working class expenditure has been catching up with that of middle class consumers (Bigot and Langlois 2011; Larochette and Sanchez-Gonzalez 2015)” with a variation of 5% from one category to the other for food’s share in households’ consumption expenditure. This can be explained by the fact that in the second half of the twentieth century, the middle class expanded in France (Insee 2014), although categorisations other than income, such as age, gender or domestic situation (couples, divorce with joint custody of children, etc.) make it possible to introduce differences in consumption. Furthermore, in order to understand this provisioning from suppliers other than supermarkets, it is important to take into consideration place of residence, age and household composition. More qualitative studies, such as those by Dubuisson-Quellier (2013); Jung et al. (2014); or Adamiec (2016), have examined the counterculture that these modes of provisioning champion, although they often remain combined with provisioning from supermarkets, as described by Lamine (2008) who studied “occasional organic shoppers”. The interest in understanding this multimodality is not new. In 1991, surveys of the multiplicity of provisioning were already being conducted. For example, the INSEE “consumption and places of food purchase” survey showed that, on average, 35% of French households (39% in the south west of the country: Aquitaine, Midi-Pyrénées, Limousin) tended a vegetable garden, almost 17% kept poultry and 10% raised rabbits (Dubeau 1994), although this represented only 5% of food consumed. Nevertheless, the motivations for this home production were not identical depending on the consumer: Some were motivated by the low cost of production while others saw it as a way of singularising their consumption. However, the non-negligible presence of home production encourages us to consider the question of the decision-making operated by actors between different forms of provisioning. In this respect, with regard to the consumption of vegetables, Caillavet and Nichele (1999) also demonstrated the interdependence of commercial provisioning and home production practices. The research presented in this special issue expands on these studies by shedding light on the dual aspect of contemporary food consumption. On the one hand, eaters benefit from the globalisation of the food trade on a macroeconomic scale, which allows them either diversified provisions whatever the season, or low prices, which, in the current political, moral and health/food hygiene climate, raises questions of traceability and ethics. On the other hand, they continue to make local integration a greater or lesser part of their consumption in order to have power over its authentication. To understand the articulation of consumers’ approaches as complementary (Lallement 2010), the authors of this special issue describe the logics of action articulating eaters’ social, economic, moral and political restrictions and means and leading them to this multimodality of provisioning practices. While food makes it possible to address the question of (economic, social and cultural) choices and restrictions, how, during these provisionings, are shopping baskets filled? How are notions of balance, health and diet articulated with the economic dimension, social engagement and consideration for different family members’ tastes? How are these unstable elements put forward as motives for decisions depending on the situation? The authors of this issue’s articles have used various methods to shed light on these logics of action.",
99,1,"Review of Agricultural, Food and Environmental Studies",29 June 2017,https://link.springer.com/article/10.1007/s41130-017-0046-5,“Making people buy and eat differently”: lessons from the modernisation of small independent grocery stores in the early twentieth century,June 2018,Franck Cochoy,,,Male,Unknown,Unknown,Male,"In this section, I will briefly introduce the theoretical framework my paper rests upon, present the data and method I rely on and define the narrative that I will develop to show how grocery people and technologies reshaped food consumption. This paper shares the agenda and perspectives of a larger research stream now known as “market studies” (Araujo et al. 2011). Having strong intellectual roots in science and technology studies (STS), market studies promote a view urging social sciences to account not only for everyone but also for every thing that matters in market environments. Of course, human actors, culture, meanings, sentiments, strategies, talks and representations still play a prominent role in social conduct and often take the lead. However, objects, artefacts, living beings and more generally all non-human agencies cannot be considered as mere material resources, as elements of a passive context or as the product of social conducts (McFall 2009). Instead, these entities often fully participate in the unfolding of various undertakings (Callon 1986); in other words, they too have “agency”, i.e. the capacity to act, even when they are not “alive” by virtue of their physical characteristics. For instance, a hermetic tin preserves the food it contains, and a printed paper label describes and qualifies the product it presents. As a consequence, market situations may be described as various “agencements”, where the “agency” of market professionals (Cochoy and Dubuisson-Quellier 2013) and market devices (Callon et al. 2007) combine their efforts and transformative force to achieve a given organisation of commerce—an agencement (Callon 2016). In some respects, one may consider that human actors, given their distinctive rational and intentional abilities, try to frame and direct this combination in a dynamic effort aimed at “agencing markets” (Cochoy et al. 2016). However, a symmetrical account of how market professionals and market devices jointly shape market exchange helps understand that all the elements involved in such “market agencements” are not in full control. In particular, technologies often produce some specific and unexpected effects. As such, market devices (although the same is true for market professionals) cannot be considered as faithful intermediaries that merely act as neutral “connectors” between the two sides of supply and demand. Thanks to Antoine Hennion (2015) and Bruno Latour (1988), we have long known the extent to which intermediaries, given their often autonomous and unpredictable agency, often mutate into mediators, i.e. into entities that, rather than working as faithful messengers, modify not only the elements they are meant to convey (e.g. food) but also their origin and destination (e.g. the food industry and consumers). In this paper, I propose to examine how the transformation of the grocery business and related techniques made them act as strong mediators in the circulation of foods on the American market: as I will show, they contributed to reshaping the food industry’s strategies, the content of foods and the identity of eaters. Market devices bring some new features that often produce effects that “overflow” from the frame fixed for their implementation. Market professionals ceaselessly attempt to reframe these overflows according to their initial preferences and goals (Callon 1998), but I aim to show that they also use them as foundations for a continuous “re-agencement” of their activity. As we will see, in the early twentieth century, innovative retail technologies favoured the promotion of a new art of “making people buy and eat”: the purpose was still to make people buy and eat, but to make them buy and eat differently. This idea of “making (someone) do (something)” is borrowed from Latour (1999). It helps move away from the false alternative between “sociologism” (i.e. the view according to which “doing” is the privilege of social actors who are supposed to be the only origin of action: “we do”) and “technologism” (i.e. the opposite view, according to which we are not really doing anything, but instead passively driven by technological frames and forces: we are “done”). Neither sociologism nor technologism is satisfactory. If we do not fully control our action, we still assume a very large part of it. However, during the course of our action, material devices often lend us their own agency; they thus “make us do” the things we aim for, but given their contribution, we tend to do these things slightly differently from what we would have done alone. My study of how retailers and retail technologies made consumers buy their foods differently (and also buy different foods) is based on the systematic reading of the professional journal Progressive Grocer over the period 1922–1959. This magazine was aimed at small independent grocers to help them resist the competition of new forms of distribution such as chain stores and supermarkets by modernising their techniques and practices (Cochoy 2016). I reviewed each issue of the magazine, page by page, from 1922 to 1959. I photographed every page with content directly or indirectly linked to the presentation of retailing techniques, in both the managerial and material senses (articles and advertisements). The resulting archive containing about 5000 magazine pages was classified and analysed along various thematic lines. The method used combines the “archaeology of present time” (Cochoy 2009) with historical methods. Like an archaeologist, I base my analysis on the material forms taken by food-selling techniques (new furniture, packaging techniques, service methods and so on). This focus on the visual and material aspects of what can be seen in pictures helps gain insights that are often lacking in texts and testimonies. I combine this archaeological approach with traditional historical analysis of written documents in the form of magazine articles. Even if systematic, this method is, at first glance, debatable, given its “single source” nature. Does not careful historical inquiry require the use of several types of sources and their subsequent triangulation? Yes, in most cases, but several arguments may nevertheless justify the single source approach as far as Progressive Grocer is concerned. Firstly, this journal is less a “source” than an historical “ocean”! Indeed, it is not a specific and tiny flow that irrigates retail history from upstream; it is rather a large and central reservoir—the leading trade magazine of its sector, with a readership of 50,000 grocers in the 1930s, i.e. 20% of professionals at the time—that receives (downstream!) the input of various flows: contributions of journalists specialised in retailing policies and techniques, information about government regulation, facts about competition (in particular chain stores and supermarkets), advertisements from suppliers who promote various retailing devices, experiences of varied retailers and even information about consumers, be it through professional testimonies or surveys. Secondly and consequently, the wide scope and heterogeneity of Progressive Grocer allows the information to be triangulated within itself. While many papers and advertisements are aimed at promoting particular techniques and equipment and should thus be taken with precaution as far as their real use and business potential is concerned, looking at one topic in a paper or advertisement that focuses on a different subject is a powerful means to get a better and more neutral view of the first. The third argument is the advantages of continuously following a single source rather than intermittently covering multiple archives when trying to account for developments over a long period. Reading Progressive Grocer provides a more systematic view of the array and timing of innovations and a better chance of not missing small but nevertheless significant developments. That said, my approach is not strictly monomaniac: I have crossed my primary data with several secondary sources and supplemented it with knowledge obtained from major works on the same topic (Bowlby 2001; Deutsch 2001; Grandclément 2008; Spellman 2016; Strasser 1989; Tedlow 1990). My focus is on the modernisation of food businesses and food-buying and consumption practices in the early twentieth century. This focus is given by the name of the magazine itself: Progressive Grocer, as the title suggests, is about helping US independent grocers to move forward according to the argument that these professionals, if they want to survive, have no choice but to follow the general advances of the times. American society and economy had experienced an incredible array of changes since the beginning of the so-called “Progressive Era” in the late nineteenth century (Buenker and Kantowicz 1988), a movement the magazine’s title clearly refers to. However, talking of progress is one thing, explaining what it is or should be is another, and historians should be very careful in this respect. In particular, they should be wary of presenting the new solutions that emerged as “progressive” or “modern” and discarding other features and practices that disappeared as “regressive” or “old-fashioned”. The delivery of customer service is the best example one can give for the need for such caution. Should service be considered as an outmoded feature of an archaic state of the grocery world, which could not avoid being replaced by new “modern” or “progressive” arrangements such as self-service and cash and carry methods? Most people looking at history from our contemporary context would answer positively, but early twentieth century grocers had excellent reasons to look at the issue in other terms: does service not benefit consumers and build customer loyalty for the grocer? Would abandoning it not mean regression rather than progress in this respect? These questions help define progress according to the actors’ perspective, rather than a rigid, normative and, moreover, anachronistic view. More importantly, they help identify two versions of modernisation proposed by the actors themselves. As we will see, the first version is that of “betterment”: making progress is not necessarily about abandoning existing methods for new ones, but could be about improving the first. The second version is that of “replacement”: instead of improving available techniques, one may also replace them with fully innovative ideas, methods and devices.",3
