Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Gender_Author 1,Gender_Author 2,Gender_Author 3,Article_Gender,Intro,Citations
1.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/A:1021881529850,FROM THE EDITOR'S DESK: REHO and the New Home Economics,January 2003,Shoshana Grossbard-Shechtman,,,Female,Unknown,Unknown,Female,,
1.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/A:1021895313920,Children and Demand: Direct and Non-Direct Effects,January 2003,Martin Browning,Valérie Lechene,,Male,Female,Unknown,Mix,,
1.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/A:1021847430758,"Agricultural Household Models: Genesis, Evolution, and Extensions",January 2003,J. Edward Taylor,Irma Adelman,,Unknown,Female,Unknown,Female,,173
1.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/A:1021899414829,Dementia Problem Behavior and the Production of Informal Caregiving Services,January 2003,Carolyn W. Zhu,Michael J. Moore,Elizabeth C. Clipp,Female,Male,Female,Mix,,
1.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/A:1021851531667,The Liberalization of Maternity Leave Policy and the Return to Work after Childbirth in Germany,January 2003,Jan Ondrich,C. Katharina Spiess,Gert G. Wagner,Male,Unknown,Male,Male,,49
1.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/A:1021803615737,Gary Becker's Contributions to Family and Household Economics,January 2003,Robert A. Pollak,,,Male,Unknown,Unknown,Male,,62
1.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/A:1021855716646,Biographical Notes,January 2003,,,,Unknown,Unknown,Unknown,Unknown,,
2.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/B:REHO.0000018020.84844.7c,Analyzing Religiosity within an Economic Framework: The Case of Spanish Catholics,March 2004,Pablo Brañas-Garza,Shoshana Neuman,,Male,Female,Unknown,Mix,,
2.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/B:REHO.0000018021.36768.37,Measuring Housework in Time Use Surveys,March 2004,W. Keith Bryant,Hyojin Kang,Anna Y. Chan,Unknown,Unknown,Female,Female,,12
2.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/B:REHO.0000018022.80998.e3,Demographic Changes and Economic Activityin Greece,March 2004,George Hondroyiannis,Evangelia Papapetrou,,Male,Female,Unknown,Mix,,
2.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/B:REHO.0000018023.60325.70,Asthma Patients' Activities and Air Pollution: A Semiparametric Censored Regression Analysis,March 2004,Steven T. Yen,W. Douglass Shaw,Mark E. Eiswerth,Male,Unknown,Male,Male,,2
2.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/B:REHO.0000018024.53114.3a,"Self-Protection and Averting Behavior, Values of Statistical Lives, and Benefit Cost Analysis of Environmental Policy",March 2004,Glenn C. Blomquist,,,Male,Unknown,Unknown,Male,,60
2.0,1.0,Review of Economics of the Household,,https://link.springer.com/article/10.1023/B:REHO.0000018042.55373.d4,Biographical Notes,March 2004,,,,Unknown,Unknown,Unknown,Unknown,,
